# Matter power spectrum P(k) at redshift z=1
# for k=1.13457e-05 to 11.3575 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.134570579728e-05       1.153626117007e+01 
       1.428339734294e-05       1.445488188639e+01 
       1.798173188178e-05       1.811188849779e+01 
       2.263765921404e-05       2.269407253509e+01 
       2.849912444809e-05       2.843546937700e+01 
       3.587827198159e-05       3.562928966185e+01 
       4.516806832888e-05       4.464286180805e+01 
       5.686322902088e-05       5.593632020905e+01 
       7.158656401106e-05       7.008595700642e+01 
       9.012214457655e-05       8.781336163524e+01 
       1.134570579728e-04       1.100216868610e+02 
       1.428339734294e-04       1.378406142525e+02 
       1.798173188178e-04       1.726817542308e+02 
       2.263765921404e-04       2.163062520761e+02 
       2.849912444809e-04       2.709060275951e+02 
       3.587827198159e-04       3.391990891188e+02 
       4.516806832888e-04       4.245372680382e+02 
       5.686322902088e-04       5.310212059868e+02 
       7.158656401106e-04       6.636127835383e+02 
       9.012214457655e-04       8.282306258148e+02 
       1.134570579728e-03       1.031808546684e+03 
       1.428339734294e-03       1.282274287357e+03 
       1.798173188178e-03       1.588309873845e+03 
       2.263765921404e-03       1.958867854193e+03 
       2.849912444809e-03       2.402182726550e+03 
       3.587827198159e-03       2.924202485326e+03 
       4.516806832888e-03       3.526329817117e+03 
       5.686322902088e-03       4.193158930177e+03 
       7.158656401106e-03       4.920210550553e+03 
       9.012214457655e-03       5.665497163551e+03 
       1.134570579728e-02       6.371031382730e+03 
       1.428339734294e-02       6.952160870988e+03 
       1.798173188167e-02       7.299653043398e+03 
       2.263765873673e-02       7.298097063378e+03 
       2.849884145614e-02       6.877200580179e+03 
       3.584631505238e-02       6.097567378308e+03 
       4.428561621800e-02       5.259226235434e+03 
       5.104995857948e-02       4.752694878873e+03 
       5.603051497842e-02       4.468667544764e+03 
       6.019441282051e-02       4.270940836618e+03 
       6.393931604965e-02       4.110588234392e+03 
       6.744694765135e-02       3.965870878543e+03 
       7.081533357728e-02       3.825922184616e+03 
       7.410405567772e-02       3.684573516726e+03 
       7.735265489081e-02       3.539017786828e+03 
       8.058922660029e-02       3.388717447023e+03 
       8.383487404749e-02       3.234433957067e+03 
       8.710620626139e-02       3.078309655295e+03 
       9.041682922338e-02       2.923184661134e+03 
       9.377828169976e-02       2.772319735211e+03 
       9.720064703839e-02       2.628938172658e+03 
       1.006929668257e-01       2.495975620090e+03 
       1.042635284698e-01       2.375537298916e+03 
       1.079200697579e-01       2.268889029167e+03 
       1.116699270674e-01       2.176062185416e+03 
       1.155201443060e-01       2.095899296720e+03 
       1.194775538353e-01       2.026117912241e+03 
       1.235488370024e-01       1.963454537860e+03 
       1.277405695866e-01       1.904021980684e+03 
       1.320592559620e-01       1.843906383337e+03 
       1.365113547849e-01       1.779713584346e+03 
       1.411032983537e-01       1.709301049116e+03 
       1.458415073508e-01       1.632357987631e+03 
       1.507324023833e-01       1.550445625212e+03 
       1.557824135489e-01       1.466805060224e+03 
       1.609979891275e-01       1.385547489245e+03 
       1.663856044215e-01       1.310616386625e+03 
       1.719517717180e-01       1.244954433351e+03 
       1.777030523160e-01       1.189503687087e+03 
       1.836460715405e-01       1.143051856221e+03 
       1.897875376542e-01       1.102515044370e+03 
       1.961342655674e-01       1.063864955050e+03 
       2.026932062433e-01       1.023412031307e+03 
       2.094714827015e-01       9.786266643810e+02 
       2.164764335355e-01       9.298211551214e+02 
       2.237156649026e-01       8.798502548443e+02 
       2.311971120041e-01       8.325383203166e+02 
       2.389291111889e-01       7.906811625201e+02 
       2.469204839723e-01       7.551113593263e+02 
       2.551806345061e-01       7.246328596384e+02 
       2.637196623660e-01       6.964175806553e+02 
       2.725484929875e-01       6.674942145496e+02 
       2.816790286943e-01       6.367124464994e+02 
       2.911243240883e-01       6.050720491141e+02 
       3.008987906581e-01       5.748368313930e+02 
       3.110184369027e-01       5.479706849790e+02 
       3.215011521729e-01       5.245116630538e+02 
       3.323670449782e-01       5.027853947854e+02 
       3.436388499239e-01       4.811079720035e+02 
       3.553424220851e-01       4.589611212871e+02 
       3.675073440067e-01       4.373641241168e+02 
       3.801676794077e-01       4.174804404794e+02 
       3.933629202329e-01       3.993895032551e+02 
       4.071391917505e-01       3.821526327122e+02 
       4.215508067689e-01       3.650341466420e+02 
       4.366622993284e-01       3.483308457212e+02 
       4.525511279194e-01       3.325878765885e+02 
       4.693113310559e-01       3.177292112440e+02 
       4.870585658531e-01       3.033137775713e+02 
       5.059372023086e-01       2.891789801006e+02 
       5.261305547206e-01       2.755618248781e+02 
       5.478760460405e-01       2.624192341479e+02 
       5.714883990267e-01       2.494567888958e+02 
       5.973964131007e-01       2.367124815970e+02 
       6.262038076183e-01       2.240893011505e+02 
       6.587950152786e-01       2.113954876441e+02 
       6.965302506479e-01       1.984986230447e+02 
       7.416307886529e-01       1.851043801135e+02 
       7.980014283076e-01       1.708280595701e+02 
       8.731244977081e-01       1.550252161466e+02 
       9.825095399256e-01       1.367095372625e+02 
       1.157144671872e+00       1.149170172872e+02 
       1.431333207922e+00       9.126528157232e+01 
       1.800069308241e+00       7.016072032828e+01 
       2.266124015143e+00       5.259693266734e+01 
       2.852881024046e+00       3.822045482726e+01 
       3.591564417964e+00       2.680138096359e+01 
       4.521511713870e+00       1.812317181673e+01 
       5.692245996316e+00       1.185419991106e+01 
       7.166113134946e+00       7.538661883718e+00 
       9.021601929375e+00       4.686508589938e+00 
       1.135752392398e+01       2.862082322093e+00 
