# Matter power spectrum P(k) at redshift z=2.5
# for k=8.15677e-06 to 10.2833 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.156769220106e-06       1.935768773727e+01 
       1.026876404933e-05       2.410473867658e+01 
       1.292760800942e-05       3.001585924023e+01 
       1.627489423678e-05       3.737646098251e+01 
       2.048887792894e-05       4.654189395864e+01 
       2.579396908389e-05       5.795454583468e+01 
       3.247268315074e-05       7.216508452265e+01 
       4.088068600761e-05       8.985881325384e+01 
       5.146573446656e-05       1.118882850505e+02 
       6.479152095660e-05       1.393135433054e+02 
       8.156769220106e-05       1.734514676829e+02 
       1.026876404933e-04       2.159357505882e+02 
       1.292760800942e-04       2.687887122541e+02 
       1.627489423678e-04       3.345051875888e+02 
       2.048887792894e-04       4.161464221153e+02 
       2.579396908389e-04       5.174372962324e+02 
       3.247268315074e-04       6.428518222340e+02 
       4.088068600761e-04       7.976588426202e+02 
       5.146573446656e-04       9.878840276194e+02 
       6.479152095660e-04       1.220135316130e+03 
       8.156769220106e-04       1.501253720428e+03 
       1.026876404933e-03       1.837780079981e+03 
       1.292760800942e-03       2.235140118506e+03 
       1.627489423678e-03       2.696187696738e+03 
       2.048887792894e-03       3.218923649013e+03 
       2.579396908389e-03       3.794091831744e+03 
       3.247268315074e-03       4.402785718292e+03 
       4.088068600761e-03       5.013774066929e+03 
       5.146573446656e-03       5.581965889660e+03 
       6.479152095660e-03       6.048160374894e+03 
       8.156769220106e-03       6.339075780214e+03 
       1.026876404933e-02       6.372858926452e+03 
       1.292760800942e-02       6.067746755466e+03 
       1.627489423297e-02       5.369654493900e+03 
       2.048887091317e-02       4.307450687176e+03 
       2.579196972617e-02       3.064815685868e+03 
       3.234889764964e-02       1.991328539045e+03 
       3.899743021609e-02       1.428548717439e+03 
       4.380902687390e-02       1.247886643949e+03 
       4.756314855102e-02       1.182746068167e+03 
       5.081755845778e-02       1.152677842966e+03 
       5.380253307373e-02       1.130543887256e+03 
       5.663153891592e-02       1.104147757892e+03 
       5.936922933233e-02       1.067474572277e+03 
       6.205649512827e-02       1.018125539158e+03 
       6.472131222599e-02       9.562713299485e+02 
       6.738405176684e-02       8.840256237516e+02 
       7.006033123218e-02       8.049010758792e+02 
       7.276265873337e-02       7.231688429455e+02 
       7.550143662810e-02       6.432646504451e+02 
       7.828560285365e-02       5.692278929388e+02 
       8.112305647420e-02       5.042298555617e+02 
       8.402094896700e-02       4.503530840631e+02 
       8.698588879194e-02       4.085412931469e+02 
       9.002408810415e-02       3.787002047271e+02 
       9.314146974583e-02       3.597904206197e+02 
       9.634374627242e-02       3.500353330168e+02 
       9.963647885100e-02       3.469275371945e+02 
       1.030251214013e-01       3.473124169938e+02 
       1.065150537615e-01       3.475598943718e+02 
       1.101116066213e-01       3.440642568038e+02 
       1.138200802790e-01       3.339487840574e+02 
       1.176457588178e-01       3.158785489961e+02 
       1.215939209969e-01       2.905599276402e+02 
       1.256698489468e-01       2.605740127842e+02 
       1.298788356287e-01       2.296807352267e+02 
       1.342261919336e-01       2.016879227674e+02 
       1.387172542420e-01       1.794441764878e+02 
       1.433573932327e-01       1.642819188285e+02 
       1.481520247084e-01       1.559604606763e+02 
       1.531066231921e-01       1.528090724787e+02 
       1.582267390380e-01       1.521386772334e+02 
       1.635180197978e-01       1.506985415363e+02 
       1.689862365787e-01       1.455756402770e+02 
       1.746373161409e-01       1.357268656878e+02 
       1.804773794976e-01       1.224571573847e+02 
       1.865127878242e-01       1.085410332540e+02 
       1.927501965479e-01       9.665726494283e+01 
       1.991966185977e-01       8.837923794120e+01 
       2.058594979521e-01       8.380932750694e+01 
       2.127467948516e-01       8.150630406654e+01 
       2.198670843556e-01       7.919601923449e+01 
       2.272296703531e-01       7.511602959829e+01 
       2.348447177103e-01       6.898893094468e+01 
       2.427234059971e-01       6.207515858772e+01 
       2.508781092424e-01       5.618527544027e+01 
       2.593226074972e-01       5.217777263546e+01 
       2.680723377528e-01       4.959038022963e+01 
       2.771446941255e-01       4.724706529892e+01 
       2.865593904090e-01       4.413267169217e+01 
       2.963389024493e-01       4.036194530450e+01 
       3.065090138154e-01       3.679655917464e+01 
       3.170994966707e-01       3.407419258436e+01 
       3.281449717509e-01       3.196312746006e+01 
       3.396860087102e-01       2.982814879142e+01 
       3.517705536602e-01       2.743905317109e+01 
       3.644558091044e-01       2.511122700093e+01 
       3.778107503297e-01       2.313833406724e+01 
       3.919195547273e-01       2.142674704958e+01 
       4.068863693795e-01       1.967001404427e+01 
       4.228420890733e-01       1.791834583716e+01 
       4.399542395227e-01       1.637474178794e+01 
       4.584418108999e-01       1.491774368017e+01 
       4.785982745969e-01       1.347375840413e+01 
       5.008287053569e-01       1.212481683533e+01 
       5.257124249963e-01       1.082638313423e+01 
       5.541145015595e-01       9.562041684737e+00 
       5.873970701815e-01       8.332934103985e+00 
       6.278501367237e-01       7.113930074287e+00 
       6.796423983766e-01       5.886421416661e+00 
       7.510592474326e-01       4.629755794712e+00 
       8.594799666561e-01       3.339009448052e+00 
       1.035345659408e+00       2.116602454053e+00 
       1.294850733868e+00       1.215741762405e+00 
       1.629795880942e+00       6.825684393633e-01 
       2.051788858515e+00       3.805425334409e-01 
       2.583049130187e+00       2.109027323562e-01 
       3.251866189904e+00       1.162572509344e-01 
       4.093856982225e+00       6.376534100746e-02 
       5.153860587173e+00       3.481493633589e-02 
       6.488326062037e+00       1.892756567738e-02 
       8.168318559505e+00       1.024954268298e-02 
       1.028330380619e+01       5.530000786007e-03 
