# Matter power spectrum P(k) at redshift z=2
# for k=2.05673e-07 to 10.3187 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.056726565924e-07       2.061903854552e-01 
       2.589265338954e-07       2.575006977601e-01 
       3.259691933087e-07       3.215795400485e-01 
       4.103709009184e-07       4.016043507662e-01 
       5.166263554271e-07       5.015432711452e-01 
       6.503940472498e-07       6.263519108047e-01 
       8.187975937624e-07       7.822190784316e-01 
       1.030805097903e-06       9.768736618022e-01 
       1.297706732358e-06       1.219967873883e+00 
       1.633715982421e-06       1.523555869717e+00 
       2.056726565924e-06       1.902691462728e+00 
       2.589265338954e-06       2.376174579514e+00 
       3.259691933087e-06       2.967483462366e+00 
       4.103709009184e-06       3.705938832932e+00 
       5.166263554271e-06       4.628157727087e+00 
       6.503940472498e-06       5.779869056759e+00 
       8.187975937624e-06       7.218180852474e+00 
       1.030805097903e-05       9.014411476036e+00 
       1.297706732358e-05       1.125762491073e+01 
       1.633715982421e-05       1.405904488812e+01 
       2.056726565924e-05       1.755756565317e+01 
       2.589265338954e-05       2.192663048042e+01 
       3.259691933088e-05       2.738281479084e+01 
       4.103709009184e-05       3.419653110919e+01 
       5.166263554271e-05       4.270537011216e+01 
       6.503940472498e-05       5.333070670641e+01 
       8.187975937624e-05       6.659833006435e+01 
       1.030805097903e-04       8.316399400572e+01 
       1.297706732358e-04       1.038449063683e+02 
       1.633715982421e-04       1.296582349700e+02 
       2.056726565924e-04       1.618676055030e+02 
       2.589265338954e-04       2.020381197419e+02 
       3.259691933088e-04       2.520993194898e+02 
       4.103709009184e-04       3.144133091138e+02 
       5.166263554271e-04       3.918414742540e+02 
       6.503940472498e-04       4.877979933366e+02 
       8.187975937624e-04       6.062733333760e+02 
       1.030805097903e-03       7.518091642979e+02 
       1.297706732358e-03       9.294030143024e+02 
       1.633715982421e-03       1.144284602173e+03 
       2.056726565924e-03       1.401418124543e+03 
       2.589265338954e-03       1.704616778745e+03 
       3.259691933088e-03       2.055329128369e+03 
       4.103709009184e-03       2.451004398928e+03 
       5.166263554271e-03       2.882909943215e+03 
       6.503940472498e-03       3.333592875108e+03 
       8.187975937624e-03       3.774210496776e+03 
       1.030805097903e-02       4.162008862963e+03 
       1.297706732358e-02       4.439195765246e+03 
       1.633715982419e-02       4.536279785340e+03 
       2.056726549930e-02       4.386780090640e+03 
       2.589253086878e-02       3.962907414834e+03 
       3.257987430033e-02       3.331229720198e+03 
       4.046724949142e-02       2.705882848761e+03 
       4.713074916424e-02       2.348287379503e+03 
       5.196088793447e-02       2.171684379281e+03 
       5.594181537105e-02       2.060401526610e+03 
       5.949516820000e-02       1.975411857962e+03 
       6.280870055250e-02       1.900538059520e+03 
       6.598170189804e-02       1.827738387689e+03 
       6.907366984060e-02       1.752811346465e+03 
       7.212366785998e-02       1.673827444707e+03 
       7.515921626710e-02       1.590424021708e+03 
       7.820084093720e-02       1.503395716397e+03 
       8.126459987139e-02       1.414377079018e+03 
       8.436357978683e-02       1.325542905343e+03 
       8.750882946672e-02       1.239308268826e+03 
       9.070996679249e-02       1.158035949353e+03 
       9.397558743203e-02       1.083771623919e+03 
       9.731354796902e-02       1.018026409351e+03 
       1.007311667143e-01       9.616201206718e+02 
       1.042353688693e-01       9.145892784037e+02 
       1.078327930397e-01       8.761587406534e+02 
       1.115298702590e-01       8.447796856867e+02 
       1.153328830551e-01       8.182458643734e+02 
       1.192480097804e-01       7.939108467007e+02 
       1.232813579349e-01       7.690234203046e+02 
       1.274389892187e-01       7.411678328337e+02 
       1.317269384027e-01       7.087410947624e+02 
       1.361512276662e-01       6.713420494677e+02 
       1.407178777619e-01       6.299266006527e+02 
       1.454329171784e-01       5.866273383705e+02 
       1.503023903459e-01       5.442459735293e+02 
       1.553323658523e-01       5.055509050581e+02 
       1.605289455887e-01       4.725838403665e+02 
       1.658982757091e-01       4.461596133228e+02 
       1.714465602751e-01       4.256660404218e+02 
       1.771800784372e-01       4.092055123155e+02 
       1.831052060006e-01       3.940934757699e+02 
       1.892284422163e-01       3.776740094871e+02 
       1.955564426425e-01       3.582552730532e+02 
       2.020960589335e-01       3.357743909065e+02 
       2.088543864465e-01       3.117935829854e+02 
       2.158388206129e-01       2.887425258725e+02 
       2.230571231175e-01       2.687704855389e+02 
       2.305174990740e-01       2.527887347879e+02 
       2.382286865995e-01       2.401344922089e+02 
       2.462000604918e-01       2.289838848950e+02 
       2.544417521244e-01       2.173565659911e+02 
       2.629647882324e-01       2.042362877183e+02 
       2.717812520043e-01       1.901023834466e+02 
       2.809044708764e-01       1.764442800196e+02 
       2.903492367244e-01       1.646054356410e+02 
       3.001320658694e-01       1.548408634330e+02 
       3.102715086049e-01       1.462606744016e+02 
       3.207885210272e-01       1.376573307775e+02 
       3.317069161252e-01       1.285360471192e+02 
       3.430539168043e-01       1.194213606738e+02 
       3.548608414837e-01       1.111564937263e+02 
       3.671639641248e-01       1.039753801270e+02 
       3.800056066447e-01       9.734941652060e+01 
       3.934355451185e-01       9.070962235233e+01 
       4.075128460056e-01       8.411149553122e+01 
       4.223083014161e-01       7.798788797419e+01 
       4.379077142002e-01       7.242782058934e+01 
       4.544164134505e-01       6.710414424291e+01 
       4.719655927338e-01       6.187386565831e+01 
       4.907214193009e-01       5.692693055413e+01 
       5.108984815184e-01       5.228683685783e+01 
       5.327802601926e-01       4.778182094220e+01 
       5.567514197881e-01       4.343501132581e+01 
       5.833508985040e-01       3.926500751828e+01 
       6.133635447202e-01       3.518125602737e+01 
       6.479876246554e-01       3.118355195538e+01 
       6.891623497045e-01       2.720579581434e+01 
       7.402593865234e-01       2.319467152295e+01 
       8.076606553072e-01       1.906521480047e+01 
       9.044868646383e-01       1.473775153333e+01 
       1.057536396618e+00       1.028128437545e+01 
       1.301273855243e+00       6.326847848260e+00 
       1.635439292919e+00       3.670597999456e+00 
       2.058843152515e+00       2.102170203150e+00 
       2.591929764974e+00       1.194075524507e+00 
       3.263046246606e+00       6.732713214923e-01 
       4.107931839712e+00       3.770821720936e-01 
       5.171579782931e+00       2.099074928024e-01 
       6.510633207853e+00       1.161968072438e-01 
       8.196401592237e+00       6.399351470752e-02 
       1.031865824974e+01       3.507759935720e-02 
