# Matter power spectrum P(k) at redshift z=2.5
# for k=2.26914e-07 to 11.3846 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.269141159456e-07       8.608864747072e-02 
       2.856679468588e-07       1.078688091926e-01 
       3.596346376356e-07       1.351592844689e-01 
       4.527531842808e-07       1.693541656024e-01 
       5.699824889618e-07       2.122002458456e-01 
       7.175654396317e-07       2.658862516473e-01 
       9.033613665776e-07       3.331546503594e-01 
       1.137264580418e-06       4.174417446940e-01 
       1.431731280221e-06       5.230532105946e-01 
       1.802442891531e-06       6.553840456147e-01 
       2.269141159456e-06       8.211941624392e-01 
       2.856679468588e-06       1.028953705056e+00 
       3.596346376356e-06       1.289275727521e+00 
       4.527531842808e-06       1.615458333206e+00 
       5.699824889618e-06       2.024163963156e+00 
       7.175654396317e-06       2.536270522879e+00 
       9.033613665776e-06       3.177937800470e+00 
       1.137264580418e-05       3.981943608977e+00 
       1.431731280221e-05       4.989357804220e+00 
       1.802442891531e-05       6.251639517781e+00 
       2.269141159456e-05       7.833264357723e+00 
       2.856679468588e-05       9.815015049612e+00 
       3.596346376356e-05       1.229810214183e+01 
       4.527531842808e-05       1.540932238327e+01 
       5.699824889618e-05       1.930751247278e+01 
       7.175654396317e-05       2.419161649962e+01 
       9.033613665776e-05       3.031075643138e+01 
       1.137264580418e-04       3.797677547181e+01 
       1.431731280221e-04       4.757980680326e+01 
       1.802442891531e-04       5.960749021638e+01 
       2.269141159456e-04       7.466848171587e+01 
       2.856679468588e-04       9.352080950348e+01 
       3.596346376356e-04       1.171053021235e+02 
       4.527531842808e-04       1.465835553258e+02 
       5.699824889618e-04       1.833784641982e+02 
       7.175654396317e-04       2.292130730148e+02 
       9.033613665776e-04       2.861407406749e+02 
       1.137264580418e-03       3.565576026636e+02 
       1.431731280221e-03       4.431872290590e+02 
       1.802442891531e-03       5.490181847040e+02 
       2.269141159456e-03       6.771387240602e+02 
       2.856679468588e-03       8.303846741753e+02 
       3.596346376356e-03       1.010792427480e+03 
       4.527531842808e-03       1.218827293140e+03 
       5.699824889618e-03       1.452255728786e+03 
       7.175654396317e-03       1.704691835410e+03 
       9.033613665776e-03       1.963871827834e+03 
       1.137264580418e-02       2.209755520431e+03 
       1.431731280221e-02       2.413073100795e+03 
       1.802442891519e-02       2.535913348071e+03 
       2.269141107987e-02       2.538049416188e+03 
       2.856649523281e-02       2.394528468588e+03 
       3.593016405727e-02       2.126043915280e+03 
       4.436892645167e-02       1.837044008556e+03 
       5.110812802353e-02       1.662741366237e+03 
       5.607669952625e-02       1.564693694872e+03 
       6.023481506102e-02       1.496272185730e+03 
       6.397654939471e-02       1.440589679375e+03 
       6.748233390240e-02       1.390170545985e+03 
       7.084963903615e-02       1.341144250599e+03 
       7.413777078314e-02       1.291426275360e+03 
       7.738611810713e-02       1.240019013148e+03 
       8.062268604702e-02       1.186687667603e+03 
       8.386852097852e-02       1.131769372204e+03 
       8.714019454319e-02       1.076026226161e+03 
       9.045128730495e-02       1.020506627009e+03 
       9.381332030285e-02       9.664039727613e+02 
       9.723636428244e-02       9.149138786351e+02 
       1.007294517482e-01       8.670977488173e+02 
       1.043008635056e-01       8.237616515655e+02 
       1.079583325215e-01       7.853596233689e+02 
       1.117091916552e-01       7.519285908716e+02 
       1.155604822590e-01       7.230607003123e+02 
       1.195190348577e-01       6.979200569039e+02 
       1.235915295003e-01       6.753130085574e+02 
       1.277845410727e-01       6.538198692755e+02 
       1.321045733603e-01       6.319896211593e+02 
       1.365580846593e-01       6.085816931037e+02 
       1.411515070813e-01       5.828144070912e+02 
       1.458912612552e-01       5.545562044712e+02 
       1.507837678416e-01       5.243915195248e+02 
       1.558354570839e-01       4.935155970961e+02 
       1.610527774966e-01       4.634634330594e+02 
       1.664422047121e-01       4.357345118690e+02 
       1.720102514599e-01       4.114127526135e+02 
       1.777634796192e-01       3.908821017380e+02 
       1.837085152693e-01       3.737126751001e+02 
       1.898520676457e-01       3.587599617819e+02 
       1.962009529049e-01       3.444849528020e+02 
       2.027621235926e-01       3.294450315390e+02 
       2.095427047202e-01       3.128117782090e+02 
       2.165500373654e-01       2.946942233963e+02 
       2.237917307536e-01       2.760767011559e+02 
       2.312757238431e-01       2.583578174805e+02 
       2.390103575438e-01       2.426993265230e+02 
       2.470044588675e-01       2.295011109757e+02 
       2.552674385447e-01       2.182503550205e+02 
       2.638094039828e-01       2.078231408073e+02 
       2.726412898978e-01       1.971137056956e+02 
       2.817750095732e-01       1.856622128212e+02 
       2.912236305252e-01       1.738747095037e+02 
       3.010015794429e-01       1.626572190891e+02 
       3.111248827176e-01       1.527242065214e+02 
       3.216114507868e-01       1.440993463651e+02 
       3.324814170711e-01       1.361727981852e+02 
       3.437575457084e-01       1.282543589033e+02 
       3.554657269496e-01       1.201534609055e+02 
       3.676355854818e-01       1.122549872403e+02 
       3.803012358650e-01       1.050322417844e+02 
       3.935022318813e-01       9.853152069758e+01 
       4.072847747177e-01       9.238395120819e+01 
       4.217032713863e-01       8.628930785375e+01 
       4.368223742337e-01       8.034511618437e+01 
       4.527196923504e-01       7.480254601732e+01 
       4.694894589083e-01       6.965190006159e+01 
       4.872475870017e-01       6.467901498908e+01 
       5.061387898953e-01       5.983768915829e+01 
       5.263468526033e-01       5.524507766009e+01 
       5.481098603594e-01       5.087380139653e+01 
       5.717434959227e-01       4.662088057273e+01 
       5.976779997014e-01       4.251225072692e+01 
       6.265193451707e-01       3.852990832068e+01 
       6.591556691535e-01       3.461592163591e+01 
       6.969536436850e-01       3.075488111422e+01 
       7.421466246519e-01       2.688525785693e+01 
       7.986639290604e-01       2.294594617978e+01 
       8.740417954236e-01       1.884802505281e+01 
