# Matter power spectrum P(k) at redshift z=2
# for k=1.86585e-07 to 11.7866 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.865846415361e-07       3.728055075280e-01 
       2.348961466803e-07       4.639084885388e-01 
       2.957167281883e-07       5.772744267336e-01 
       3.722853038089e-07       7.183437506130e-01 
       4.686794294026e-07       8.938863730028e-01 
       5.900324436601e-07       1.112326578796e+00 
       7.428068371067e-07       1.384147305537e+00 
       9.351384032881e-07       1.722393217985e+00 
       1.177269499444e-06       2.143296718334e+00 
       1.482094489380e-06       2.667056934152e+00 
       1.865846415361e-06       3.318809062786e+00 
       2.348961466803e-06       4.129830588260e+00 
       2.957167281883e-06       5.139042246417e+00 
       3.722853038089e-06       6.394875749788e+00 
       4.686794294026e-06       7.957597864272e+00 
       5.900324436601e-06       9.902202296493e+00 
       7.428068371067e-06       1.232200802190e+01 
       9.351384032881e-06       1.533313644167e+01 
       1.177269499444e-05       1.908008163361e+01 
       1.482094489380e-05       2.374263988173e+01 
       1.865846415361e-05       2.954452873330e+01 
       2.348961466803e-05       3.676410475313e+01 
       2.957167281883e-05       4.574768547045e+01 
       3.722853038089e-05       5.692609745755e+01 
       4.686794294026e-05       7.083521040185e+01 
       5.900324436601e-05       8.814137529419e+01 
       7.428068371067e-05       1.096728551156e+02 
       9.351384032881e-05       1.364584973446e+02 
       1.177269499444e-04       1.697749986608e+02 
       1.482094489380e-04       2.112040501531e+02 
       1.865846415361e-04       2.627002255013e+02 
       2.348961466803e-04       3.266693214654e+02 
       2.957167281883e-04       4.060543868251e+02 
       3.722853038089e-04       5.044220784887e+02 
       4.686794294026e-04       6.260346351245e+02 
       5.900324436601e-04       7.758834752401e+02 
       7.428068371067e-04       9.596535994006e+02 
       9.351384032881e-04       1.183590101311e+03 
       1.177269499444e-03       1.454237250613e+03 
       1.482094489380e-03       1.777949721615e+03 
       1.865846415361e-03       2.159922737874e+03 
       2.348961466803e-03       2.602628877634e+03 
       2.957167281883e-03       3.103900791268e+03 
       3.722853038089e-03       3.654569190665e+03 
       4.686794294026e-03       4.235574159220e+03 
       5.900324436601e-03       4.813612593246e+03 
       7.428068371067e-03       5.344238584130e+03 
       9.351384032881e-03       5.762654830454e+03 
       1.177269499444e-02       5.989237496647e+03 
       1.482094489380e-02       5.935787563765e+03 
       1.865846411276e-02       5.528488356086e+03 
       2.348957151492e-02       4.758341698561e+03 
       2.956387189189e-02       3.752872516203e+03 
       3.689997592640e-02       2.820819472888e+03 
       4.354485590577e-02       2.310650573668e+03 
       4.830577010230e-02       2.095924213592e+03 
       5.215563640899e-02       1.979678604864e+03 
       5.555763814503e-02       1.899447892936e+03 
       5.871174967430e-02       1.831199721365e+03 
       6.172107580498e-02       1.763463883381e+03 
       6.464629309281e-02       1.690415794839e+03 
       6.752670359128e-02       1.609516125090e+03 
       7.038970155333e-02       1.520498028613e+03 
       7.325554002821e-02       1.424778885594e+03 
       7.613994605015e-02       1.324984132423e+03 
       7.905565471765e-02       1.224479500221e+03 
       8.201335843030e-02       1.126898609055e+03 
       8.502232028806e-02       1.035695703884e+03 
       8.809078487351e-02       9.537669088152e+02 
       9.122626158291e-02       8.831752593079e+02 
       9.443572485838e-02       8.249911482544e+02 
       9.772575851589e-02       7.792343922314e+02 
       1.011026614115e-01       7.448883211516e+02 
       1.045725257122e-01       7.199629491360e+02 
       1.081412953403e-01       7.016141282059e+02 
       1.118148098173e-01       6.863622815960e+02 
       1.155988372157e-01       6.704705278533e+02 
       1.194990989328e-01       6.505078794205e+02 
       1.235212883395e-01       6.240311133170e+02 
       1.276710849171e-01       5.902031935842e+02 
       1.319541652042e-01       5.500982453872e+02 
       1.363762116793e-01       5.064999917990e+02 
       1.409429205840e-01       4.631886777999e+02 
       1.456600096071e-01       4.239396855942e+02 
       1.505332263025e-01       3.915756535903e+02 
       1.555683580806e-01       3.673408616115e+02 
       1.607712445947e-01       3.506814127601e+02 
       1.661477933288e-01       3.393933283404e+02 
       1.717039991869e-01       3.301342353811e+02 
       1.774459688764e-01       3.193463486717e+02 
       1.833799508818e-01       3.044791985634e+02 
       1.895123718341e-01       2.850340347042e+02 
       1.958498801079e-01       2.627704165783e+02 
       2.023993975291e-01       2.408060123357e+02 
       2.091681801580e-01       2.220862564573e+02 
       2.161638892408e-01       2.080818450336e+02 
       2.233946736157e-01       1.982828311504e+02 
       2.308692651223e-01       1.905792687920e+02 
       2.385970889394e-01       1.823817034692e+02 
       2.465883912694e-01       1.720714607791e+02 
       2.548543874611e-01       1.599222870189e+02 
       2.634074345404e-01       1.477183081795e+02 
       2.722612332937e-01       1.373229041247e+02 
       2.814310665891e-01       1.293594497183e+02 
       2.909340826858e-01       1.229372840376e+02 
       3.007896350351e-01       1.165152127419e+02 
       3.110196938177e-01       1.092315850935e+02 
       3.216493495702e-01       1.015468835412e+02 
       3.327074363544e-01       9.455843432952e+01 
       3.442273119018e-01       8.877168277455e+01 
       3.562478464388e-01       8.367390380124e+01 
       3.688146926357e-01       7.848326258172e+01 
       3.819819398277e-01       7.310823862966e+01 
       3.958143020133e-01       6.807992391546e+01 
       4.103900606885e-01       6.364958189555e+01 
       4.258050966748e-01       5.947136389483e+01 
       4.421785287099e-01       5.527849825999e+01 
       4.596607836114e-01       5.127468341280e+01 
       4.784454536268e-01       4.757807158496e+01 
       4.987872492449e-01       4.398670532634e+01 
       5.210301396472e-01       4.048412260566e+01 
       5.456532783849e-01       3.714278612669e+01 
       5.733495881663e-01       3.385738533107e+01 
       6.051679465612e-01       3.063160029136e+01 
       6.427878968789e-01       2.741175655221e+01 
       6.890919871051e-01       2.414936055358e+01 
       7.494560651698e-01       2.076471175182e+01 
       8.348041867060e-01       1.716412610063e+01 
       9.678249134559e-01       1.331422960182e+01 
       1.182189651325e+00       9.574669455937e+00 
       1.483935485760e+00       6.713873526225e+00 
       1.868056594899e+00       4.777886252030e+00 
       2.351743378175e+00       3.450782586465e+00 
       2.960669500395e+00       2.513733781868e+00 
       3.727262069972e+00       1.833537848559e+00 
       4.692344936304e+00       1.329174439452e+00 
       5.907312281216e+00       9.508891998151e-01 
       7.436865546227e+00       6.672826050391e-01 
       9.362459020242e+00       4.572846751286e-01 
       1.178663757746e+01       3.052751795960e-01 
