# Matter power spectrum P(k) at redshift z=2.5
# for k=1.86585e-07 to 11.7866 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.865846415361e-07       2.778886442435e-01 
       2.348961466803e-07       3.457966642741e-01 
       2.957167281883e-07       4.302994578809e-01 
       3.722853038089e-07       5.354523120376e-01 
       4.686794294026e-07       6.663015092261e-01 
       5.900324436601e-07       8.291264983071e-01 
       7.428068371067e-07       1.031741244672e+00 
       9.351384032881e-07       1.283869221284e+00 
       1.177269499444e-06       1.597610035731e+00 
       1.482094489380e-06       1.988020087005e+00 
       1.865846415361e-06       2.473835113410e+00 
       2.348961466803e-06       3.078369305459e+00 
       2.957167281883e-06       3.830634124359e+00 
       3.722853038089e-06       4.766730503911e+00 
       4.686794294026e-06       5.931581218439e+00 
       5.900324436601e-06       7.381086501326e+00 
       7.428068371067e-06       9.184806253235e+00 
       9.351384032881e-06       1.142929734760e+01 
       1.177269499444e-05       1.422226576242e+01 
       1.482094489380e-05       1.769773199552e+01 
       1.865846415361e-05       2.202245599520e+01 
       2.348961466803e-05       2.740392675126e+01 
       2.957167281883e-05       3.410029361872e+01 
       3.722853038089e-05       4.243270352751e+01 
       4.686794294026e-05       5.280061155722e+01 
       5.900324436601e-05       6.570075139002e+01 
       7.428068371067e-05       8.175058101468e+01 
       9.351384032881e-05       1.017171428917e+02 
       1.177269499444e-04       1.265523601816e+02 
       1.482094489380e-04       1.574357570829e+02 
       1.865846415361e-04       1.958252951947e+02 
       2.348961466803e-04       2.435161888474e+02 
       2.957167281883e-04       3.027057474682e+02 
       3.722853038089e-04       3.760588386676e+02 
       4.686794294026e-04       4.667628416546e+02 
       5.900324436601e-04       5.785532318420e+02 
       7.428068371067e-04       7.156842160053e+02 
       9.351384032881e-04       8.828195606079e+02 
       1.177269499444e-03       1.084825326746e+03 
       1.482094489380e-03       1.326414113561e+03 
       1.865846415361e-03       1.611462041477e+03 
       2.348961466803e-03       1.941826082334e+03 
       2.957167281883e-03       2.315880390194e+03 
       3.722853038089e-03       2.726787123120e+03 
       4.686794294026e-03       3.160324892721e+03 
       5.900324436601e-03       3.592199114705e+03 
       7.428068371067e-03       3.988529155844e+03 
       9.351384032881e-03       4.301459255586e+03 
       1.177269499444e-02       4.471824487023e+03 
       1.482094489380e-02       4.434092911708e+03 
       1.865846411276e-02       4.133225696371e+03 
       2.348957151492e-02       3.561847761766e+03 
       2.956387189189e-02       2.813808282256e+03 
       3.689997592640e-02       2.119171696835e+03 
       4.354485590577e-02       1.739587521797e+03 
       4.830577010230e-02       1.581064019770e+03 
       5.215563640899e-02       1.496314546326e+03 
       5.555763814503e-02       1.438526828912e+03 
       5.871174967430e-02       1.389592176231e+03 
       6.172107580498e-02       1.340780366460e+03 
       6.464629309281e-02       1.287589112792e+03 
       6.752670359128e-02       1.228002887424e+03 
       7.038970155333e-02       1.161757808929e+03 
       7.325554002821e-02       1.089916277241e+03 
       7.613994605015e-02       1.014513367160e+03 
       7.905565471765e-02       9.381961979134e+02 
       8.201335843030e-02       8.638490652037e+02 
       8.502232028806e-02       7.942329539900e+02 
       8.809078487351e-02       7.316787013532e+02 
       9.122626158291e-02       6.778653110603e+02 
       9.443572485838e-02       6.336932584281e+02 
       9.772575851589e-02       5.992397983810e+02 
       1.011026614115e-01       5.737688697891e+02 
       1.045725257122e-01       5.557730195549e+02 
       1.081412953403e-01       5.430504616671e+02 
       1.118148098173e-01       5.328540788797e+02 
       1.155988372157e-01       5.221695901975e+02 
       1.194990989328e-01       5.081595904540e+02 
       1.235212883395e-01       4.887346661826e+02 
       1.276710849171e-01       4.631039253144e+02 
       1.319541652042e-01       4.320783405352e+02 
       1.363762116793e-01       3.979357560752e+02 
       1.409429205840e-01       3.638267372033e+02 
       1.456600096071e-01       3.329200914611e+02 
       1.505332263025e-01       3.075998512338e+02 
       1.555683580806e-01       2.889481198934e+02 
       1.607712445947e-01       2.765666182256e+02 
       1.661477933288e-01       2.686796209956e+02 
       1.717039991869e-01       2.625114663826e+02 
       1.774459688764e-01       2.550168994361e+02 
