# Matter power spectrum P(k) at redshift z=0
# for k=1.05145e-05 to 10.5268 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.051448934518e-05       5.721914106635e+01 
       1.323695782869e-05       7.137406155418e+01 
       1.666434258538e-05       8.903054323912e+01 
       2.097916435158e-05       1.110546996087e+02 
       2.641120312041e-05       1.385267344830e+02 
       3.324973476435e-05       1.727938666091e+02 
       4.185893603025e-05       2.155360289436e+02 
       5.269727827915e-05       2.688478393464e+02 
       6.634194275801e-05       3.353400712233e+02 
       8.351955760585e-05       4.182655055608e+02 
       1.051448934518e-04       5.216740453691e+02 
       1.323695782869e-04       6.506025736144e+02 
       1.666434258538e-04       8.113050130283e+02 
       2.097916435158e-04       1.011526255657e+03 
       2.641120312041e-04       1.260819766640e+03 
       3.324973476435e-04       1.570900690425e+03 
       4.185893603025e-04       1.956013495442e+03 
       5.269727827915e-04       2.433276866632e+03 
       6.634194275801e-04       3.022952204116e+03 
       8.351955760585e-04       3.748557203088e+03 
       1.051448934518e-03       4.636655766313e+03 
       1.323695782869e-03       5.715951268745e+03 
       1.666434258538e-03       7.015244915641e+03 
       2.097916435158e-03       8.559880408020e+03 
       2.641120312041e-03       1.036640953465e+04 
       3.324973476435e-03       1.243472708898e+04 
       4.185893603025e-03       1.473840005420e+04 
       5.269727827915e-03       1.721260218794e+04 
       6.634194275801e-03       1.974098212014e+04 
       8.351955760585e-03       2.214653223019e+04 
       1.051448934518e-02       2.417955551622e+04 
       1.323695782869e-02       2.552079211543e+04 
       1.666434258538e-02       2.580630660644e+04 
       2.097916430232e-02       2.470425933422e+04 
       2.641115198458e-02       2.210442963814e+04 
       3.324062310880e-02       1.838934003608e+04 
       4.147994313247e-02       1.467124233114e+04 
       4.891440276370e-02       1.243498694786e+04 
       5.424290537398e-02       1.136953246303e+04 
       5.855640218677e-02       1.071701710579e+04 
       6.237027371470e-02       1.022427090519e+04 
       6.590739417182e-02       9.793477617710e+03 
       6.928283727836e-02       9.377215757372e+03 
       7.256439119610e-02       8.953990162833e+03 
       7.579599721183e-02       8.513172220896e+03 
       7.900830121128e-02       8.053797294536e+03 
       8.222397116184e-02       7.581511433810e+03 
       8.546061652511e-02       7.105427842076e+03 
       8.873250171340e-02       6.636372974221e+03 
       9.205160677762e-02       6.187055193557e+03 
       9.542831306911e-02       5.768648616228e+03 
       9.887186254910e-02       5.390600250656e+03 
       1.023906746672e-01       5.059096588405e+03 
       1.059925703461e-01       4.776696484238e+03 
       1.096849334564e-01       4.541988095050e+03 
       1.134748290506e-01       4.349377424348e+03 
       1.173690909513e-01       4.190045228266e+03 
       1.213743871565e-01       4.051830584241e+03 
       1.254972689068e-01       3.921554653593e+03 
       1.297442075628e-01       3.785566867154e+03 
       1.341216223312e-01       3.633381279355e+03 
       1.386359011354e-01       3.458784013378e+03 
       1.432934164396e-01       3.261766630566e+03 
       1.481005375042e-01       3.048890242279e+03 
       1.530636403378e-01       2.831864545343e+03 
       1.581891164685e-01       2.624173138006e+03 
       1.634833815689e-01       2.438263438672e+03 
       1.689528849130e-01       2.282050709751e+03 
       1.746041206074e-01       2.157162915228e+03 
       1.804436415169e-01       2.058635814799e+03 
       1.864780767917e-01       1.976075595635e+03 
       1.927141538911e-01       1.896599133999e+03 
       1.991587259958e-01       1.809160083142e+03 
       2.058188056994e-01       1.707875798044e+03 
       2.127016058849e-01       1.594437910112e+03 
       2.198145887203e-01       1.477844633974e+03 
       2.271655237622e-01       1.369746886571e+03 
       2.347625562538e-01       1.277744994147e+03 
       2.426142868443e-01       1.202879999216e+03 
       2.507298641735e-01       1.140821159874e+03 
       2.591190920659e-01       1.083899683828e+03 
       2.677925534943e-01       1.024236082702e+03 
       2.767617540369e-01       9.589180645393e+02 
       2.860392883004e-01       8.915145031168e+02 
       2.956390337764e-01       8.281980769994e+02 
       3.055763779147e-01       7.734791828904e+02 
       3.158684859356e-01       7.272494350137e+02 
       3.265346192198e-01       6.848035791353e+02 
       3.375965172186e-01       6.420514150527e+02 
       3.490788600314e-01       5.982413317507e+02 
       3.610098345491e-01       5.558454243914e+02 
       3.734218350506e-01       5.177782684350e+02 
       3.863523403745e-01       4.837766680061e+02 
       3.998450258523e-01       4.516926579569e+02 
       4.139511915420e-01       4.198313106301e+02 
       4.287316228747e-01       3.892459895987e+02 
       4.442590520427e-01       3.609050073612e+02 
       4.606214690645e-01       3.345997025610e+02 
       4.779266589040e-01       3.094183313439e+02 
       4.963085479694e-01       2.851205995871e+02 
       5.159362894783e-01       2.621736224147e+02 
       5.370276158045e-01       2.405166517496e+02 
       5.598690606945e-01       2.195881282824e+02 
       5.848476676271e-01       1.995349525152e+02 
       6.125027587760e-01       1.802513821359e+02 
       6.436145595063e-01       1.614899053291e+02 
       6.793646369584e-01       1.431575425502e+02 
       7.216460748677e-01       1.250138352428e+02 
       7.737101617644e-01       1.068051523354e+02 
       8.416252755842e-01       8.818206742830e+01 
       9.377310119148e-01       6.877129307991e+01 
       1.087638836280e+00       4.870313235622e+01 
       1.329100102692e+00       3.033682196448e+01 
       1.668481564798e+00       1.757620188700e+01 
       2.100377998757e+00       1.002784853851e+01 
       2.644218664250e+00       5.675397219922e+00 
       3.328874070340e+00       3.189189266307e+00 
       4.190804159814e+00       1.780491784650e+00 
       5.275909852643e+00       9.881424476878e-01 
       6.641976983827e+00       5.454294894668e-01 
       8.361753609492e+00       2.995629386479e-01 
       1.052682410615e+01       1.637665247457e-01 
