# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04706e-05 to 10.4817 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047060171637e-05       2.219917910057e+01 
       1.318170657751e-05       2.769085694023e+01 
       1.659478538124e-05       3.454104799515e+01 
       2.089159701971e-05       4.308579638227e+01 
       2.630096238108e-05       5.374424058538e+01 
       3.311094989619e-05       6.703914649189e+01 
       4.168421623295e-05       8.362246716866e+01 
       5.247731908639e-05       1.043071918671e+02 
       6.606503054068e-05       1.301069356106e+02 
       8.317094577862e-05       1.622850761692e+02 
       1.047060171637e-04       2.024156032878e+02 
       1.318170657751e-04       2.524580849491e+02 
       1.659478538124e-04       3.148494251235e+02 
       2.089159701971e-04       3.926149214314e+02 
       2.630096238108e-04       4.895004059101e+02 
       3.311094989619e-04       6.101253726995e+02 
       4.168421623295e-04       7.601534258244e+02 
       5.247731908639e-04       9.464710175150e+02 
       6.606503054068e-04       1.177359127096e+03 
       8.317094577862e-04       1.462635726453e+03 
       1.047060171637e-03       1.813729869431e+03 
       1.318170657751e-03       2.243558576649e+03 
       1.659478538124e-03       2.766078783579e+03 
       2.089159701971e-03       3.395447316044e+03 
       2.630096238108e-03       4.144177331192e+03 
       3.311094989619e-03       5.020509271706e+03 
       4.168421623295e-03       6.024568379625e+03 
       5.247731908639e-03       7.142867798431e+03 
       6.606503054068e-03       8.340905881689e+03 
       8.317094577862e-03       9.556142763633e+03 
       1.047060171637e-02       1.068572384523e+04 
       1.318170657751e-02       1.158270100259e+04 
       1.659478538112e-02       1.205786716337e+04 
       2.089159650480e-02       1.191453953104e+04 
       2.630066916913e-02       1.104279687512e+04 
       3.307891009543e-02       9.578158833634e+03 
       4.082633491443e-02       8.086767962200e+03 
       4.698799937305e-02       7.232308787454e+03 
       5.153767369142e-02       6.772977582023e+03 
       5.534962179818e-02       6.465700230827e+03 
       5.878196572991e-02       6.223676996263e+03 
       6.199903730295e-02       6.008365012340e+03 
       6.508975630375e-02       5.799496049480e+03 
       6.810829022671e-02       5.585673586730e+03 
       7.109064757972e-02       5.361719878784e+03 
       7.406244831329e-02       5.125445873723e+03 
       7.704295782164e-02       4.878315175310e+03 
       8.004735311168e-02       4.624167992331e+03 
       8.308807727390e-02       4.367970652537e+03 
       8.617569037235e-02       4.116253636585e+03 
       8.931942616477e-02       3.875397296570e+03 
       9.252756877436e-02       3.651247642042e+03 
       9.580771470570e-02       3.448740398273e+03 
       9.916695930131e-02       3.270880793962e+03 
       1.026120318862e-01       3.118712888591e+03 
       1.061493951308e-01       2.990871783556e+03 
       1.097853188751e-01       2.883865820312e+03 
       1.135259353554e-01       2.792218894261e+03 
       1.173772806705e-01       2.708582901923e+03 
       1.213453259530e-01       2.625423684500e+03 
       1.254360008068e-01       2.535349063334e+03 
       1.296552109740e-01       2.433095728726e+03 
       1.340088517925e-01       2.316598902328e+03 
       1.385028187413e-01       2.187606385707e+03 
       1.431430161948e-01       2.051439728913e+03 
       1.479353653970e-01       1.915932510106e+03 
       1.528858125917e-01       1.789329500929e+03 
       1.580003382026e-01       1.678540102508e+03 
       1.632849679277e-01       1.586994302283e+03 
       1.687457865957e-01       1.513978353021e+03 
       1.743889556193e-01       1.454514601156e+03 
       1.802207348715e-01       1.401463139723e+03 
       1.862475098112e-01       1.345899864552e+03 
       1.924758246844e-01       1.281398400986e+03 
       1.989124226444e-01       1.206837101054e+03 
       2.055642936704e-01       1.126550499585e+03 
       2.124387312231e-01       1.048008761188e+03 
       2.195433986779e-01       9.780801435158e+02 
       2.268864067276e-01       9.206678518079e+02 
       2.344764031700e-01       8.748918168386e+02 
       2.423226768025e-01       8.352776928408e+02 
       2.504352775740e-01       7.951007379009e+02 
       2.588251557127e-01       7.501573663234e+02 
       2.675043233090e-01       7.008985730334e+02 
       2.764860428395e-01       6.521496649867e+02 
       2.857850484459e-01       6.092051674861e+02 
       2.954178075463e-01       5.736485478533e+02 
       3.054028327070e-01       5.429006140498e+02 
       3.157610568597e-01       5.125172111987e+02 
       3.265162892458e-01       4.800230649919e+02 
       3.376957753654e-01       4.469463598643e+02 
       3.493308924373e-01       4.165076592990e+02 
       3.614580235022e-01       3.902078063138e+02 
       3.741196700138e-01       3.661890841774e+02 
       3.873658871930e-01       3.421116520163e+02 
       4.012561628142e-01       3.178252294433e+02 
       4.158619154261e-01       2.950681606841e+02 
       4.312698740602e-01       2.744939403369e+02 
       4.475867386492e-01       2.549197722831e+02 
       4.649457451416e-01       2.354603490298e+02 
       4.835161391094e-01       2.168936182214e+02 
       5.035172260023e-01       1.995871385828e+02 
       5.252398744999e-01       1.826736007675e+02 
       5.490806463668e-01       1.662472858274e+02 
       5.755983178608e-01       1.504893212683e+02 
       6.056122758894e-01       1.349504339293e+02 
       6.403842027801e-01       1.196831844191e+02 
       6.819775075407e-01       1.043935034604e+02 
       7.340259748068e-01       8.887161188249e+01 
       8.035063438154e-01       7.276317896570e+01 
       9.048970054382e-01       5.577159568699e+01 
       1.067000552077e+00       3.835431269944e+01 
       1.320844739915e+00       2.340693542300e+01 
       1.661251128354e+00       1.362849570629e+01 
       2.091367421000e+00       7.841240670650e+00 
       2.632875524621e+00       4.472242267230e+00 
       3.314593904011e+00       2.530822070823e+00 
       4.172826495538e+00       1.421925193696e+00 
       5.253277314240e+00       7.936982729746e-01 
       6.613484306099e+00       4.404446534602e-01 
       8.325883453450e+00       2.430745947670e-01 
       1.048166625518e+01       1.334864144582e-01 
