# Matter power spectrum P(k) at redshift z=2.5
# for k=2.10174e-07 to 10.5454 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.101743514402e-07       1.777966351960e-01 
       2.645938319354e-07       2.217805914912e-01 
       3.331038988275e-07       2.766454532536e-01 
       4.193529630017e-07       3.450829771605e-01 
       5.279341016340e-07       4.304508157206e-01 
       6.646296562997e-07       5.369372492364e-01 
       8.367191637478e-07       6.697666689684e-01 
       1.053367017777e-06       8.354558935183e-01 
       1.326110506626e-06       1.042133893106e+00 
       1.669474215638e-06       1.299940607667e+00 
       2.101743514402e-06       1.621524423960e+00 
       2.645938319354e-06       2.022662716478e+00 
       3.331038988275e-06       2.523035894642e+00 
       4.193529630017e-06       3.147192920648e+00 
       5.279341016340e-06       3.925755656081e+00 
       6.646296562997e-06       4.896921088385e+00 
       8.367191637478e-06       6.108335082577e+00 
       1.053367017777e-05       7.619429456634e+00 
       1.326110506626e-05       9.504336803012e+00 
       1.669474215638e-05       1.185552558740e+01 
       2.101743514402e-05       1.478833289338e+01 
       2.645938319354e-05       1.844661535760e+01 
       3.331038988275e-05       2.300979178629e+01 
       4.193529630017e-05       2.870161567140e+01 
       5.279341016340e-05       3.580109354303e+01 
       6.646296562997e-05       4.465605617580e+01 
       8.367191637478e-05       5.569999242495e+01 
       1.053367017777e-04       6.947286080529e+01 
       1.326110506626e-04       8.664668333278e+01 
       1.669474215638e-04       1.080567548266e+02 
       2.101743514402e-04       1.347391822876e+02 
       2.645938319354e-04       1.679750380526e+02 
       3.331038988275e-04       2.093403828505e+02 
       4.193529630017e-04       2.607593609508e+02 
       5.279341016340e-04       3.245540126006e+02 
       6.646296562997e-04       4.034793306971e+02 
       8.367191637478e-04       5.007268810486e+02 
       1.053367017777e-03       6.198787635290e+02 
       1.326110506626e-03       7.647962612327e+02 
       1.669474215638e-03       9.394103444484e+02 
       2.101743514402e-03       1.147301851191e+03 
       2.645938319354e-03       1.390929846772e+03 
       3.331038988275e-03       1.670594363540e+03 
       4.193529630017e-03       1.983149174004e+03 
       5.279341016340e-03       2.320339096174e+03 
       6.646296562997e-03       2.666995497226e+03 
       8.367191637478e-03       2.999336523840e+03 
       1.053367017777e-02       3.283588823793e+03 
       1.326110506626e-02       3.475844617650e+03 
       1.669474215637e-02       3.525236068768e+03 
       2.101743506871e-02       3.385121833050e+03 
       2.645931293668e-02       3.038767988079e+03 
       3.329891446915e-02       2.538323617924e+03 
       4.149288130236e-02       2.039414253081e+03 
       4.871674678911e-02       1.744230424632e+03 
       5.390925262387e-02       1.601384144125e+03 
       5.813981528378e-02       1.512568413406e+03 
       6.189309383111e-02       1.444960550456e+03 
       6.538079567834e-02       1.385537728327e+03 
       6.871315846803e-02       1.328070435304e+03 
       7.195551456684e-02       1.269435049278e+03 
       7.515040453838e-02       1.208287779605e+03 
       7.832760276678e-02       1.144469168850e+03 
       8.150919686020e-02       1.078659487179e+03 
       8.471238779005e-02       1.012117333660e+03 
       8.795113866773e-02       9.464428706588e+02 
       9.123719806084e-02       8.833513739398e+02 
       9.458076291246e-02       8.244620512580e+02 
       9.799092340071e-02       7.711153881978e+02 
       1.014759702963e-01       7.242307803655e+02 
       1.050436124776e-01       6.842110623984e+02 
       1.087011338909e-01       6.508944228754e+02 
       1.124555085647e-01       6.235524130675e+02 
       1.163134858576e-01       6.009364136745e+02 
       1.202816541372e-01       5.813819964151e+02 
       1.243664885604e-01       5.629856804993e+02 
       1.285743869852e-01       5.438604954870e+02 
       1.329116969706e-01       5.224508331415e+02 
       1.373847361051e-01       4.978486460018e+02 
       1.419998074296e-01       4.700194068321e+02 
       1.467632114050e-01       4.398446995400e+02 
       1.516812556638e-01       4.089314723059e+02 
       1.567602636532e-01       3.792189908889e+02 
       1.620065831870e-01       3.524910979877e+02 
       1.674265958727e-01       3.299335850457e+02 
       1.730267283435e-01       3.118487820230e+02 
       1.788134662063e-01       2.975855073936e+02 
       1.847933716000e-01       2.857036433338e+02 
       1.909731052504e-01       2.743713186406e+02 
       1.973594539040e-01       2.619407006941e+02 
       2.039593640219e-01       2.475351971037e+02 
       2.107799826296e-01       2.313815475442e+02 
       2.178287062515e-01       2.146723880518e+02 
       2.251132389099e-01       1.989846860332e+02 
       2.326416602709e-01       1.855426276151e+02 
       2.404225051600e-01       1.746894263103e+02 
       2.484648558903e-01       1.657963254036e+02 
       2.567784491469e-01       1.576373688836e+02 
       2.653737995916e-01       1.490698810107e+02 
       2.742623429175e-01       1.396692297768e+02 
       2.834566018352e-01       1.299028353013e+02 
       2.929703794728e-01       1.207002956469e+02 
       3.028189859928e-01       1.127435348482e+02 
       3.130195059746e-01       1.060118336108e+02 
       3.235911164435e-01       9.989178830605e+01 
       3.345554685430e-01       9.373405813529e+01 
       3.459371500799e-01       8.738489534881e+01 
       3.577642519636e-01       8.121453771039e+01 
       3.700690696055e-01       7.564462906632e+01 
       3.828889816768e-01       7.069929268082e+01 
       3.962675648338e-01       6.604878318094e+01 
       4.102560266129e-01       6.144071763915e+01 
       4.249150736568e-01       5.696221838699e+01 
       4.403173853063e-01       5.281783657591e+01 
       4.565509442948e-01       4.899579573966e+01 
       4.737236056608e-01       4.532645238910e+01 
       4.919694953870e-01       4.177291953619e+01 
       5.114581828316e-01       3.842177601190e+01 
       5.324081818646e-01       3.525418728229e+01 
       5.551074347702e-01       3.219449807509e+01 
       5.799454971351e-01       2.925712592266e+01 
       6.074662114756e-01       2.643264603082e+01 
       6.384581362895e-01       2.367973177862e+01 
       6.741187994799e-01       2.098840871257e+01 
       7.163734908328e-01       1.832013850602e+01 
       7.685428214020e-01       1.563832562511e+01 
       8.368547570074e-01       1.288979043445e+01 
       9.340240012035e-01       1.002011295028e+01 
       1.086319231813e+00       7.057391563532e+00 
       1.330809703484e+00       4.374430497525e+00 
       1.671397614345e+00       2.534083680627e+00 
       2.104075522031e+00       1.447004997234e+00 
       2.648873740987e+00       8.196128380575e-01 
       3.334734464897e+00       4.608998440130e-01 
       4.198181959445e+00       2.574838061348e-01 
       5.285197952081e+00       1.429851754719e-01 
       6.653670008237e+00       7.896826496972e-02 
       8.376474255062e+00       4.339415438795e-02 
       1.054535630094e+01       2.373558161796e-02 
