# Matter power spectrum P(k) at redshift z=2
# for k=1.04725e-05 to 10.4835 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047252130310e-05       1.027587363680e+01 
       1.318412319403e-05       1.281794088740e+01 
       1.659782772118e-05       1.598886007933e+01 
       2.089542709878e-05       1.994418482476e+01 
       2.630578416495e-05       2.487793608914e+01 
       3.311702016242e-05       3.103210623935e+01 
       4.169185824537e-05       3.870850328019e+01 
       5.248693981002e-05       4.828348899422e+01 
       6.607714231415e-05       6.022632844893e+01 
       8.318619359802e-05       7.512197048035e+01 
       1.047252130310e-04       9.369927325149e+01 
       1.318412319403e-04       1.168658325123e+02 
       1.659782772118e-04       1.457506834803e+02 
       2.089542709878e-04       1.817561264449e+02 
       2.630578416495e-04       2.266196117803e+02 
       3.311702016242e-04       2.824857229848e+02 
       4.169185824537e-04       3.519864089638e+02 
       5.248693981002e-04       4.383242694627e+02 
       6.607714231415e-04       5.453488629852e+02 
       8.318619359802e-04       6.776109371409e+02 
       1.047252130310e-03       8.403764928293e+02 
       1.318412319403e-03       1.039566414072e+03 
       1.659782772118e-03       1.281571876462e+03 
       2.089542709878e-03       1.572884672658e+03 
       2.630578416495e-03       1.919176592312e+03 
       3.311702016242e-03       2.324089403729e+03 
       4.169185824537e-03       2.787446875671e+03 
       5.248693981002e-03       3.299338157195e+03 
       6.607714231415e-03       3.848820852273e+03 
       8.318619359802e-03       4.404016403821e+03 
       1.047252130310e-02       4.917271452440e+03 
       1.318412319403e-02       5.320844343865e+03 
       1.659782772108e-02       5.528113426673e+03 
       2.089542662731e-02       5.450102158641e+03 
       2.630550948961e-02       5.038736291886e+03 
       3.308644182032e-02       4.358893836376e+03 
       4.085867244208e-02       3.670311794203e+03 
       4.706721502360e-02       3.276497991637e+03 
       5.164411322149e-02       3.066115042959e+03 
       5.547416222617e-02       2.925816977801e+03 
       5.892054661221e-02       2.815461827537e+03 
       6.214953110162e-02       2.717382539235e+03 
       6.525092380453e-02       2.622364389914e+03 
       6.827936443560e-02       2.525339985635e+03 
       7.127114071265e-02       2.423873507485e+03 
       7.425205155457e-02       2.317167723222e+03 
       7.724148465923e-02       2.205879382938e+03 
       8.025470515627e-02       2.091683803932e+03 
       8.330422256787e-02       1.976951685695e+03 
       8.640064906248e-02       1.864474583898e+03 
       8.955326073326e-02       1.757116348143e+03 
       9.277037720913e-02       1.657471697605e+03 
       9.605962563189e-02       1.567604918968e+03 
       9.942812846022e-02       1.488797597341e+03 
       1.028826395630e-01       1.421407462698e+03 
       1.064296442645e-01       1.364799020201e+03 
       1.100754336669e-01       1.317338020829e+03 
       1.138261602468e-01       1.276510422854e+03 
       1.176878795977e-01       1.239176221753e+03 
       1.216665818085e-01       1.201931060766e+03 
       1.257682150571e-01       1.161660699450e+03 
       1.299987033935e-01       1.116129293517e+03 
       1.343639602828e-01       1.064506786930e+03 
       1.388698992127e-01       1.007631109040e+03 
       1.435224424904e-01       9.478662135710e+02 
       1.483275292450e-01       8.886029484422e+02 
       1.532911235751e-01       8.333988863457e+02 
       1.584192237386e-01       7.851145870483e+02 
       1.637178732516e-01       7.451445227753e+02 
       1.691931747474e-01       7.130873651776e+02 
       1.748513074327e-01       6.867571098917e+02 
       1.806985489709e-01       6.630548337910e+02 
       1.867413026189e-01       6.382677401395e+02 
       1.929861304489e-01       6.097537833103e+02 
       1.994397934994e-01       5.770754611874e+02 
       2.061092997368e-01       5.422021294997e+02 
       2.130019607685e-01       5.082129758524e+02 
       2.201254583498e-01       4.779573521041e+02 
       2.274879218782e-01       4.529530522470e+02 
       2.350980182898e-01       4.327746529726e+02 
       2.429650560833e-01       4.151250664519e+02 
       2.510991056198e-01       3.972310246926e+02 
       2.595111384192e-01       3.774378449532e+02 
       2.682131889304e-01       3.559969176585e+02 
       2.772185432612e-01       3.348738505021e+02 
       2.865419606817e-01       3.161977698392e+02 
       2.961999354736e-01       3.005396404483e+02 
       3.062110090529e-01       2.868191434640e+02 
       3.165961454435e-01       2.732575252746e+02 
       3.273791874739e-01       2.589087384292e+02 
       3.385874169600e-01       2.444173416434e+02 
       3.502522503542e-01       2.310312906520e+02 
       3.624101129524e-01       2.193068403234e+02 
       3.751035514357e-01       2.084864034045e+02 
       3.883826689108e-01       1.976738779723e+02 
       4.023070029293e-01       1.868327498170e+02 
       4.169480221760e-01       1.766249686327e+02 
       4.323925033372e-01       1.672671862287e+02 
       4.487471864272e-01       1.583051589730e+02 
       4.661453308732e-01       1.494109800705e+02 
       4.847561730582e-01       1.408675412188e+02 
       5.047989476091e-01       1.327919775826e+02 
       5.265643373532e-01       1.248540482509e+02 
       5.504485017100e-01       1.170778017300e+02 
       5.770093976544e-01       1.095027630176e+02 
       6.070647604762e-01       1.019424385557e+02 
       6.418728770421e-01       9.437402159068e+01 
       6.834898825092e-01       8.663282373570e+01 
       7.355330769059e-01       7.854648242897e+01 
       8.049398038216e-01       6.982257904836e+01 
       9.060972849448e-01       6.006933442116e+01 
       1.067698076731e+00       4.906835343083e+01 
       1.321135576212e+00       3.799875190806e+01 
       1.661542124690e+00       2.890271418043e+01 
       2.091732151309e+00       2.181275079275e+01 
       2.633334686680e+00       1.622725043295e+01 
       3.315171954793e+00       1.182469013904e+01 
       4.173554218356e+00       8.399212416954e+00 
       5.254193462989e+00       5.795944635407e+00 
       6.614637669039e+00       3.879011046602e+00 
       8.327335451365e+00       2.519441080956e+00 
       1.048349421226e+01       1.592763725867e+00 
