# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04599e-05 to 10.4716 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045990109754e-05       1.434525370743e+01 
       1.316823529655e-05       1.789401483254e+01 
       1.657782604332e-05       2.232066333140e+01 
       2.087024647823e-05       2.784235606348e+01 
       2.627408364185e-05       3.472995256807e+01 
       3.307711156834e-05       4.332128730051e+01 
       4.164161630213e-05       5.403769953258e+01 
       5.242368895093e-05       6.740462875782e+01 
       6.599751420032e-05       8.407723370528e+01 
       8.308594774203e-05       1.048722301123e+02 
       1.045990109754e-04       1.308073509458e+02 
       1.316823529655e-04       1.631500764578e+02 
       1.657782604332e-04       2.034774794496e+02 
       2.087024647823e-04       2.537490221418e+02 
       2.627408364186e-04       3.163938447673e+02 
       3.307711156834e-04       3.944130417840e+02 
       4.164161630213e-04       4.914952281039e+02 
       5.242368895093e-04       6.121398545303e+02 
       6.599751420032e-04       7.617773845629e+02 
       8.308594774203e-04       9.468700290918e+02 
       1.045990109754e-03       1.174972141090e+03 
       1.316823529655e-03       1.454652970566e+03 
       1.657782604332e-03       1.795417521853e+03 
       2.087024647823e-03       2.207102736957e+03 
       2.627408364186e-03       2.698807900733e+03 
       3.307711156834e-03       3.277293783159e+03 
       4.164161630213e-03       3.944526459643e+03 
       5.242368895093e-03       4.685810538008e+03 
       6.599751420032e-03       5.494069315077e+03 
       8.308594774203e-03       6.324518492380e+03 
       1.045990109754e-02       7.111131525831e+03 
       1.316823529655e-02       7.756213667652e+03 
       1.657782604309e-02       8.130766862973e+03 
       2.087024566108e-02       8.096971627331e+03 
       2.627367098951e-02       7.572092726750e+03 
       3.303622702949e-02       6.638580249273e+03 
       4.064413835503e-02       5.681105311326e+03 
       4.656306271844e-02       5.132343336352e+03 
       5.097239339394e-02       4.828103843645e+03 
       5.469029258322e-02       4.620697528050e+03 
       5.804933978469e-02       4.455756680481e+03 
       6.120404533023e-02       4.308804790173e+03 
       6.423878494801e-02       4.166615761463e+03 
       6.720529872299e-02       4.021722291006e+03 
       7.013815463774e-02       3.870262993053e+03 
       7.306204663657e-02       3.710792230925e+03 
       7.599560580825e-02       3.544158388426e+03 
       7.895355121319e-02       3.372393642011e+03 
       8.194798011200e-02       3.198849290138e+03 
       8.498918090002e-02       3.027675954900e+03 
       8.808616628913e-02       2.863052590548e+03 
       9.124703478000e-02       2.708988920075e+03 
       9.447922252248e-02       2.568860439694e+03 
       9.778968278788e-02       2.444853906931e+03 
       1.011850161907e-01       2.337815647188e+03 
       1.046715665104e-01       2.247133223100e+03 
       1.082554919236e-01       2.170711970432e+03 
       1.119428183114e-01       2.105011513562e+03 
       1.157394792893e-01       2.045354155513e+03 
       1.196513462988e-01       1.986638773282e+03 
       1.236842512357e-01       1.923950813506e+03 
       1.278440035121e-01       1.853635867097e+03 
       1.321364030694e-01       1.774017934705e+03 
       1.365672506030e-01       1.685865695618e+03 
       1.411423560955e-01       1.592460909437e+03 
       1.458675466437e-01       1.498811525786e+03 
       1.507486744995e-01       1.410503890903e+03 
       1.557916262010e-01       1.332324705302e+03 
       1.610023336432e-01       1.266875777469e+03 
       1.663867879200e-01       1.214055083683e+03 
       1.719510567601e-01       1.170936975122e+03 
       1.777013063691e-01       1.132809752729e+03 
       1.836438284885e-01       1.093552054951e+03 
       1.897850734883e-01       1.048675213782e+03 
       1.961316903222e-01       9.970878337050e+02 
       2.026905742154e-01       9.413042175142e+02 
       2.094689230117e-01       8.860085362889e+02 
       2.164743032143e-01       8.360951960076e+02 
       2.237147269037e-01       7.945906900649e+02 
       2.311987409421e-01       7.612046449875e+02 
       2.389355301845e-01       7.324644184077e+02 
       2.469350368427e-01       7.038171042444e+02 
       2.552080987210e-01       6.720447950734e+02 
       2.637666098046e-01       6.370940151872e+02 
       2.726237076903e-01       6.021254962568e+02 
       2.817939936787e-01       5.708284045465e+02 
       2.912937931199e-01       5.446247190975e+02 
       3.011414659556e-01       5.220289873398e+02 
       3.113577805780e-01       4.998961261290e+02 
       3.219663684323e-01       4.763216219654e+02 
       3.329942827269e-01       4.520676367319e+02 
       3.444726928872e-01       4.294390268367e+02 
       3.564377581077e-01       4.096639584279e+02 
       3.689317402062e-01       3.916385459459e+02 
       3.820044406515e-01       3.735895745674e+02 
       3.957150834318e-01       3.552477886183e+02 
       4.101348214495e-01       3.377932104775e+02 
       4.253501313893e-01       3.218781995239e+02 
       4.414675013367e-01       3.066651654329e+02 
       4.586200441868e-01       2.914012063139e+02 
       4.769770572781e-01       2.766287759689e+02 
       4.967582279724e-01       2.626692472290e+02 
       5.182554237838e-01       2.488713027822e+02 
       5.418673681615e-01       2.352226461162e+02 
       5.681572426313e-01       2.218677356091e+02 
       5.979533279907e-01       2.084083816122e+02 
       6.325356286762e-01       1.948115211097e+02 
       6.740069047285e-01       1.807251847200e+02 
       7.260903702713e-01       1.657845019097e+02 
       7.959768343577e-01       1.493320418877e+02 
       8.986369015956e-01       1.304284421497e+02 
       1.063422284279e+00       1.083628394234e+02 
       1.319295199375e+00       8.534151072970e+01 
       1.659650888302e+00       6.550370419082e+01 
       2.089359903437e+00       4.927484694161e+01 
       2.630348235062e+00       3.610024603574e+01 
       3.311412234974e+00       2.562555669730e+01 
       4.168821011534e+00       1.757676614877e+01 
       5.248234708642e+00       1.165648916323e+01 
       6.607136041770e+00       7.500796449814e+00 
       8.317891462165e+00       4.706295598268e+00 
       1.047160493427e+01       2.893497026715e+00 
