# Matter power spectrum P(k) at redshift z=2
# for k=1.04651e-05 to 10.4765 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046508367301e-05       8.774358858818e+00 
       1.317475977250e-05       1.094497894367e+01 
       1.658603987189e-05       1.365256337969e+01 
       2.088058707575e-05       1.702993784249e+01 
       2.628710168284e-05       2.124277496200e+01 
       3.309350031095e-05       2.649771259622e+01 
       4.166224850667e-05       3.305246345930e+01 
       5.244966335753e-05       4.122841258745e+01 
       6.603021404085e-05       5.142628893850e+01 
       8.312711440223e-05       6.414562987037e+01 
       1.046508367301e-04       8.000891762088e+01 
       1.317475977250e-04       9.979137471568e+01 
       1.658603987189e-04       1.244575437572e+02 
       2.088058707575e-04       1.552057680801e+02 
       2.628710168284e-04       1.935214738632e+02 
       3.309350031095e-04       2.412394768019e+02 
       4.166224850667e-04       3.006140686609e+02 
       5.244966335753e-04       3.743930034223e+02 
       6.603021404085e-04       4.658876467481e+02 
       8.312711440223e-04       5.790273886547e+02 
       1.046508367301e-03       7.183837100191e+02 
       1.317475977250e-03       8.891207609171e+02 
       1.658603987189e-03       1.096899160642e+03 
       2.088058707575e-03       1.347545576626e+03 
       2.628710168284e-03       1.646330217247e+03 
       3.309350031095e-03       1.996962832864e+03 
       4.166224850667e-03       2.400081316240e+03 
       5.244966335753e-03       2.851054317060e+03 
       6.603021404085e-03       3.337078846353e+03 
       8.312711440223e-03       3.833749509460e+03 
       1.046508367301e-02       4.300555062478e+03 
       1.317475977250e-02       4.678494996661e+03 
       1.658603987172e-02       4.890360935732e+03 
       2.088058641815e-02       4.854531347840e+03 
       2.628675026755e-02       4.523099372178e+03 
       3.305703849957e-02       3.947423869650e+03 
       4.073260653115e-02       3.357810111055e+03 
       4.676508002725e-02       3.019788877250e+03 
       5.123995543245e-02       2.835169195060e+03 
       5.500193419862e-02       2.710398861576e+03 
       5.839540756115e-02       2.611648020991e+03 
       6.157944252078e-02       2.523640425223e+03 
       6.464052943315e-02       2.438258556861e+03 
       6.763154051085e-02       2.350943284040e+03 
       7.058771670275e-02       2.259340302839e+03 
       7.353418511543e-02       2.162680249428e+03 
       7.648987386577e-02       2.061412365963e+03 
       7.946971665245e-02       1.956959448405e+03 
       8.248597295423e-02       1.851442784819e+03 
       8.554905868832e-02       1.747385143540e+03 
       8.866809039243e-02       1.647447347704e+03 
       9.185125380524e-02       1.554125859008e+03 
       9.510606047878e-02       1.469436045260e+03 
       9.843953052037e-02       1.394738157288e+03 
       1.018583251200e-01       1.330528879706e+03 
       1.053688440310e-01       1.276392920778e+03 
       1.089772980170e-01       1.230954308172e+03 
       1.126897630591e-01       1.191979029471e+03 
       1.165122210587e-01       1.156577831854e+03 
       1.204505904356e-01       1.121527986327e+03 
       1.245107491354e-01       1.083803647627e+03 
       1.286985519753e-01       1.041118724820e+03 
       1.330198438650e-01       9.924997863210e+02 
       1.374804701820e-01       9.385439159480e+02 
       1.420862854080e-01       8.813625388999e+02 
       1.468431610247e-01       8.241467327241e+02 
       1.517569935968e-01       7.704110990216e+02 
       1.568337139255e-01       7.230995830417e+02 
       1.620792981306e-01       6.837864273083e+02 
       1.674997814993e-01       6.523132245317e+02 
       1.731012759305e-01       6.267231649077e+02 
       1.788899917936e-01       6.041020011745e+02 
       1.848722650193e-01       5.805555762234e+02 
       1.910545902435e-01       5.533220597955e+02 
       1.974436608422e-01       5.217729606809e+02 
       2.040464167279e-01       4.876547409837e+02 
       2.108701008439e-01       4.539898307086e+02 
       2.179223253905e-01       4.238245607806e+02 
       2.252111489736e-01       3.989714923988e+02 
       2.327451660843e-01       3.791853014121e+02 
       2.405336106344e-01       3.621861050513e+02 
       2.485864756931e-01       3.450819878516e+02 
       2.569146521446e-01       3.259299685493e+02 
       2.655300897476e-01       3.047927936539e+02 
       2.744459850829e-01       2.837240192068e+02 
       2.836770022073e-01       2.650650749891e+02 
       2.932395335978e-01       2.496239977308e+02 
       3.031520113236e-01       2.363863443896e+02 
       3.134352815476e-01       2.233568359479e+02 
       3.241130597642e-01       2.093823797225e+02 
       3.352124900969e-01       1.950355367097e+02 
       3.467648402291e-01       1.817740089833e+02 
       3.588063752181e-01       1.703408742387e+02 
       3.713794702268e-01       1.599708628899e+02 
       3.845340467605e-01       1.495696173226e+02 
       3.983294536037e-01       1.390108084698e+02 
       4.128369693442e-01       1.290749252954e+02 
       4.281431900566e-01       1.201313525456e+02 
       4.443547040233e-01       1.116409684901e+02 
       4.616046822289e-01       1.031592142179e+02 
       4.800623971513e-01       9.504867881727e+01 
       4.999473545474e-01       8.750798290129e+01 
       5.215509472349e-01       8.012899567185e+01 
       5.452708710978e-01       7.294176461739e+01 
       5.716682124794e-01       6.605379331889e+01 
       6.015670189261e-01       5.924642286186e+01 
       6.362385654757e-01       5.255473430729e+01 
       6.777668415864e-01       4.584087237617e+01 
       7.298323495910e-01       3.901529460308e+01 
       7.995235850747e-01       3.191831450948e+01 
       9.015765916751e-01       2.442076066961e+01 
       1.065091019137e+00       1.674504999620e+01 
       1.320031895552e+00       1.020666147996e+01 
       1.660422198085e+00       5.949640860096e+00 
       2.090327872948e+00       3.427624890533e+00 
       2.631566825928e+00       1.957255427823e+00 
       3.312946349977e+00       1.108735268455e+00 
       4.170752347896e+00       6.235365623979e-01 
       5.250666117067e+00       3.483670340760e-01 
       6.610197003622e+00       1.934654957212e-01 
       8.321744984826e+00       1.068512691571e-01 
       1.047645623187e+01       5.871766972598e-02 
