# Matter power spectrum P(k) at redshift z=0.5
# for k=1.05448e-05 to 10.5597 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054484564011e-05       2.562967565877e+01 
       1.327517413978e-05       3.196995782623e+01 
       1.671245407057e-05       3.987865303546e+01 
       2.103973312288e-05       4.974368599607e+01 
       2.648745468576e-05       6.204890345043e+01 
       3.334572979765e-05       7.739767240029e+01 
       4.197978661709e-05       9.654240845191e+01 
       5.284942015395e-05       1.204211110286e+02 
       6.653347803039e-05       1.502028114682e+02 
       8.376068622751e-05       1.873437379392e+02 
       1.054484564011e-04       2.336563944987e+02 
       1.327517413978e-04       2.913938834726e+02 
       1.671245407057e-04       3.633514876289e+02 
       2.103973312288e-04       4.529864686553e+02 
       2.648745468576e-04       5.645546171717e+02 
       3.334572979765e-04       7.032571942281e+02 
       4.197978661709e-04       8.753839418318e+02 
       5.284942015395e-04       1.088427198175e+03 
       6.653347803039e-04       1.351132590350e+03 
       8.376068622751e-04       1.673446718644e+03 
       1.054484564011e-03       2.066302873028e+03 
       1.327517413978e-03       2.541089032329e+03 
       1.671245407057e-03       3.108510491888e+03 
       2.103973312288e-03       3.776715661619e+03 
       2.648745468576e-03       4.548622493229e+03 
       3.334572979765e-03       5.418441337138e+03 
       4.197978661709e-03       6.367660084221e+03 
       5.284942015395e-03       7.360673364694e+03 
       6.653347803039e-03       8.340696807487e+03 
       8.376068622751e-03       9.229144769576e+03 
       1.054484564011e-02       9.923030195867e+03 
       1.327517413978e-02       1.030121545172e+04 
       1.671245407057e-02       1.023698414119e+04 
       2.103973311586e-02       9.626684699694e+03 
       2.648744282216e-02       8.454123858098e+03 
       3.334258376519e-02       6.880917103984e+03 
       4.179634858705e-02       5.310648590799e+03 
       5.022889463203e-02       4.302046570182e+03 
       5.630436031040e-02       3.847704289255e+03 
       6.107236969543e-02       3.588874488368e+03 
       6.521892696155e-02       3.400188747180e+03 
       6.902892910339e-02       3.237631709761e+03 
       7.264378256159e-02       3.082137486566e+03 
       7.614448049193e-02       2.924805132872e+03 
       7.958244376749e-02       2.762677079403e+03 
       8.299295684192e-02       2.595622151702e+03 
       8.640177454785e-02       2.426033293515e+03 
       8.982868168719e-02       2.257577772492e+03 
       9.328955146384e-02       2.094427047878e+03 
       9.679760460668e-02       1.940710366573e+03 
       1.003642154025e-01       1.800087290063e+03 
       1.039994473091e-01       1.675350207153e+03 
       1.077124200235e-01       1.567846941039e+03 
       1.115115675295e-01       1.477915709422e+03 
       1.154048233119e-01       1.404207980096e+03 
       1.193997555103e-01       1.344204041048e+03 
       1.235036667931e-01       1.294357053169e+03 
       1.277236688160e-01       1.250293713319e+03 
       1.320667380344e-01       1.207472872021e+03 
       1.365397576398e-01       1.161639512092e+03 
       1.411495490882e-01       1.109690310865e+03 
       1.459028958186e-01       1.050440083683e+03 
       1.508065611884e-01       9.845232166950e+02 
       1.558673022659e-01       9.148638864844e+02 
       1.610918808688e-01       8.455516416951e+02 
       1.664870730708e-01       7.808969538925e+02 
       1.720596782923e-01       7.244309499978e+02 
       1.778165290258e-01       6.779298230757e+02 
       1.837645022024e-01       6.411278405435e+02 
       1.899105331813e-01       6.118069467635e+02 
       1.962616333278e-01       5.863670010503e+02 
       2.028249121307e-01       5.608618374042e+02 
       2.096076048066e-01       5.322958075345e+02 
       2.166171063361e-01       4.996604366174e+02 
       2.238610128858e-01       4.643505527933e+02 
       2.313471716000e-01       4.292891999445e+02 
       2.390837397912e-01       3.976055108897e+02 
       2.470792546550e-01       3.711448065722e+02 
       2.553427147671e-01       3.494579408134e+02 
       2.638836748313e-01       3.307219125106e+02 
       2.727123554412e-01       3.128475846011e+02 
       2.818397700274e-01       2.942308613313e+02 
       2.912778717181e-01       2.744317470076e+02 
       3.010397235810e-01       2.546663912532e+02 
       3.111396967051e-01       2.366180042790e+02 
       3.215937018782e-01       2.209770499354e+02 
       3.324194623443e-01       2.073784947419e+02 
       3.436368374140e-01       1.946076087875e+02 
       3.552682097650e-01       1.817410704900e+02 
       3.673389534089e-01       1.689958819675e+02 
       3.798780049487e-01       1.569378598357e+02 
       3.929185685642e-01       1.460895662468e+02 
       4.064989961199e-01       1.362365134861e+02 
       4.206638993878e-01       1.268118596430e+02 
       4.354655739606e-01       1.176260119724e+02 
       4.509658477133e-01       1.089453500587e+02 
       4.672385166848e-01       1.009208641133e+02 
       4.843726080295e-01       9.337753592647e+01 
       5.024768303584e-01       8.617130958225e+01 
       5.216857664028e-01       7.933252102526e+01 
       5.421686860427e-01       7.286567158184e+01 
       5.641424117775e-01       6.674052759886e+01 
       5.878906539942e-01       6.087257261677e+01 
       6.137940592091e-01       5.527625952702e+01 
       6.423787599667e-01       4.990256894271e+01 
       6.743984761509e-01       4.470587616817e+01 
       7.109810110598e-01       3.965304145041e+01 
       7.539067141257e-01       3.468134093609e+01 
       8.061780561513e-01       2.972772659730e+01 
       8.732809596480e-01       2.470466933271e+01 
       9.661580828197e-01       1.951508369570e+01 
       1.107754341629e+00       1.413695001380e+01 
       1.337434872849e+00       9.016440417752e+00 
       1.673879996107e+00       5.235554092428e+00 
       2.106941134134e+00       2.974191365072e+00 
       2.652479137844e+00       1.676292220999e+00 
       3.339273387726e+00       9.384275014549e-01 
       4.203896124735e+00       5.220998310188e-01 
       5.292391659972e+00       2.888542561433e-01 
       6.662726349907e+00       1.589744044397e-01 
       8.387875513728e+00       8.708220608875e-02 
       1.055970963520e+01       4.749219844276e-02 
