# Matter power spectrum P(k) at redshift z=0
# for k=2.09634e-07 to 10.5173 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.096340862940e-07       8.369262424134e-01 
       2.639136784138e-07       1.043967996785e+00 
       3.322476362752e-07       1.302228467351e+00 
       4.182749923154e-07       1.624378319480e+00 
       5.265770169438e-07       2.026222731857e+00 
       6.629211878974e-07       2.527476822446e+00 
       8.345683294608e-07       3.152732902243e+00 
       1.050659277837e-06       3.932667010076e+00 
       1.322701664006e-06       4.905543922130e+00 
       1.665182737040e-06       6.119094472334e+00 
       2.096340862940e-06       7.632857281255e+00 
       2.639136784138e-06       9.521099774281e+00 
       3.322476362752e-06       1.187646177918e+01 
       4.182749923154e-06       1.481450042358e+01 
       5.265770169438e-06       1.847935923629e+01 
       6.629211878974e-06       2.305083943786e+01 
       8.345683294608e-06       2.875322004823e+01 
       1.050659277837e-05       3.586625895260e+01 
       1.322701664006e-05       4.473891347859e+01 
       1.665182737040e-05       5.580645134800e+01 
       2.096340862940e-05       6.961178691348e+01 
       2.639136784138e-05       8.683208048446e+01 
       3.322476362752e-05       1.083118879478e+02 
       4.182749923154e-05       1.351044519824e+02 
       5.265770169438e-05       1.685230915324e+02 
       6.629211878974e-05       2.102050747433e+02 
       8.345683294608e-05       2.621908422378e+02 
       1.050659277837e-04       3.270219464872e+02 
       1.322701664006e-04       4.078615021586e+02 
       1.665182737040e-04       5.086411207971e+02 
       2.096340862940e-04       6.342378941896e+02 
       2.639136784138e-04       7.906834418425e+02 
       3.322476362752e-04       9.854036104373e+02 
       4.182749923154e-04       1.227481507547e+03 
       5.265770169438e-04       1.527928452261e+03 
       6.629211878974e-04       1.899938177711e+03 
       8.345683294608e-04       2.359084325743e+03 
       1.050659277837e-03       2.923372451408e+03 
       1.322701664006e-03       3.612950308854e+03 
       1.665182737040e-03       4.449224372450e+03 
       2.096340862940e-03       5.453151189410e+03 
       2.639136784138e-03       6.642262256311e+03 
       3.322476362752e-03       8.026154590269e+03 
       4.182749923154e-03       9.600234962618e+03 
       5.265770169438e-03       1.130200585182e+04 
       6.629211878974e-03       1.312455026594e+04 
       8.345683294608e-03       1.493658337350e+04 
       1.050659277837e-02       1.657285496915e+04 
       1.322701664006e-02       1.780346440185e+04 
       1.665182737033e-02       1.834476032466e+04 
       2.096340830234e-02       1.791699622464e+04 
       2.639115826798e-02       1.638853200909e+04 
       3.319955209647e-02       1.400514764308e+04 
       4.108918766850e-02       1.163092845315e+04 
       4.751123858947e-02       1.027927338204e+04 
       5.221523598004e-02       9.576737254754e+03 
       5.613127837420e-02       9.116774923167e+03 
       5.964533326698e-02       8.758698857691e+03 
       6.293238646099e-02       8.442060669012e+03 
       6.608626662180e-02       8.136018723118e+03 
       6.916375992877e-02       7.824027689067e+03 
       7.220242967886e-02       7.498117655266e+03 
       7.522889702195e-02       7.156299847588e+03 
       7.826311498716e-02       6.801066874872e+03 
       8.132075869931e-02       6.438238035076e+03 
       8.441464888562e-02       6.075862392774e+03 
       8.755564354293e-02       5.723100290043e+03 
       9.075321994828e-02       5.389105439246e+03 
       9.401586766668e-02       5.081981578600e+03 
       9.735136148607e-02       4.807893591135e+03 
       1.007669553866e-01       4.570395628147e+03 
       1.042695229819e-01       4.370006890686e+03 
       1.078656606943e-01       4.204044902358e+03 
       1.115617643669e-01       4.066731204631e+03 
       1.153640865583e-01       3.949615119197e+03 
       1.192787795534e-01       3.842393545756e+03 
       1.233119276959e-01       3.734192341369e+03 
       1.274695716981e-01       3.615271465101e+03 
       1.317577269584e-01       3.478916161627e+03 
       1.361823975009e-01       3.323048016758e+03 
       1.407495868683e-01       3.150972458774e+03 
       1.454653071238e-01       2.970816286201e+03 
       1.503355869925e-01       2.793620397927e+03 
       1.553664801036e-01       2.630567766596e+03 
       1.605640742437e-01       2.490154841667e+03 
       1.659345025032e-01       2.376077319650e+03 
       1.714839571815e-01       2.286299992417e+03 
       1.772187072987e-01       2.213500919753e+03 
       1.831451205607e-01       2.146960129009e+03 
       1.892696906126e-01       2.075773310908e+03 
       1.955990704271e-01       1.992675448789e+03 
       2.021401126827e-01       1.896932035431e+03 
       2.088999180235e-01       1.794579814679e+03 
       2.158858921538e-01       1.695493557818e+03 
       2.231058128165e-01       1.608678494062e+03 
       2.305679078600e-01       1.538214870713e+03 
       2.382809458150e-01       1.481703089387e+03 
       2.462543407143e-01       1.431781526222e+03 
       2.544982733117e-01       1.380155566360e+03 
       2.630238314262e-01       1.322305925371e+03 
       2.718431728988e-01       1.259942762020e+03 
       2.809697156547e-01       1.199196533408e+03 
       2.904183606927e-01       1.145811984700e+03 
       3.002057555875e-01       1.101077606224e+03 
       3.103506084391e-01       1.061409206103e+03 
       3.208740653577e-01       1.021692400470e+03 
       3.318001688597e-01       9.796693195934e+02 
       3.431564204343e-01       9.374259606392e+02 
       3.549744787337e-01       8.985457925574e+02 
       3.672910364192e-01       8.641265905416e+02 
       3.801489353115e-01       8.319935196550e+02 
       3.935986037582e-01       7.996837536009e+02 
       4.076999362363e-01       7.673443902869e+02 
       4.225247900230e-01       7.367902156556e+02 
       4.381603588862e-01       7.084290529112e+02 
       4.547138191954e-01       6.808711098457e+02 
       4.723188654010e-01       6.534551250181e+02 
       4.911451254088e-01       6.269333514454e+02 
       5.114120983057e-01       6.013705695387e+02 
       5.334104394485e-01       5.759873512033e+02 
       5.575356591618e-01       5.507885611582e+02 
       5.843437661947e-01       5.257263591352e+02 
       6.146478003275e-01       5.002598094748e+02 
       6.496953495067e-01       4.741211885137e+02 
       6.915180747081e-01       4.466265188790e+02 
       7.436753275334e-01       4.168600500710e+02 
       8.129618746329e-01       3.832410564368e+02 
       9.134290619348e-01       3.431921524115e+02 
       1.073366798417e+00       2.935668977820e+02 
       1.325678801489e+00       2.365109445914e+02 
       1.666911605673e+00       1.827691452755e+02 
       2.098484027124e+00       1.365975404679e+02 
       2.641834762506e+00       9.843031942285e+01 
       3.325872916235e+00       6.839990173667e+01 
       4.187025930646e+00       4.600569308361e+01 
       5.271153343931e+00       3.010030478811e+01 
       6.635988894139e+00       1.925506053267e+01 
       8.354215051215e+00       1.209917872429e+01 
       1.051733362357e+01       7.497852567691e+00 
