# Matter power spectrum P(k) at redshift z=2.5
# for k=2.10381e-07 to 10.5567 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.103805361357e-07       1.182051628198e-01 
       2.648534030881e-07       1.474471712701e-01 
       3.334306795477e-07       1.839231704327e-01 
       4.197643555544e-07       2.294227302896e-01 
       5.284520141729e-07       2.861781308739e-01 
       6.652816695560e-07       3.569738811978e-01 
       8.375399998050e-07       4.452833315798e-01 
       1.054400389149e-06       5.554390814220e-01 
       1.327411444105e-06       6.928455423434e-01 
       1.671111998890e-06       8.642440857510e-01 
       2.103805361357e-06       1.078043782315e+00 
       2.648534030881e-06       1.344733957329e+00 
       3.334306795477e-06       1.677398802909e+00 
       4.197643555544e-06       2.092359284679e+00 
       5.284520141729e-06       2.609973827220e+00 
       6.652816695560e-06       3.255637039408e+00 
       8.375399998050e-06       4.061025430147e+00 
       1.054400389149e-05       5.065651147761e+00 
       1.327411444105e-05       6.318799799128e+00 
       1.671111998890e-05       7.881947063818e+00 
       2.103805361357e-05       9.831772011917e+00 
       2.648534030881e-05       1.226391359088e+01 
       3.334306795477e-05       1.529765194923e+01 
       4.197643555544e-05       1.908173901520e+01 
       5.284520141729e-05       2.380165404675e+01 
       6.652816695560e-05       2.968861969366e+01 
       8.375399998050e-05       3.703078071383e+01 
       1.054400389149e-04       4.618701472002e+01 
       1.327411444105e-04       5.760389764137e+01 
       1.671111998890e-04       7.183635437329e+01 
       2.103805361357e-04       8.957242432419e+01 
       2.648534030881e-04       1.116622444799e+02 
       3.334306795477e-04       1.391505960934e+02 
       4.197643555544e-04       1.733108719918e+02 
       5.284520141729e-04       2.156757702598e+02 
       6.652816695560e-04       2.680563999142e+02 
       8.375399998050e-04       3.325379241879e+02 
       1.054400389149e-03       4.114392002955e+02 
       1.327411444105e-03       5.072265612630e+02 
       1.671111998890e-03       6.223607592216e+02 
       2.103805361357e-03       7.590005450982e+02 
       2.648534030881e-03       9.184680383090e+02 
       3.334306795477e-03       1.100549860555e+03 
       4.197643555544e-03       1.302659977320e+03 
       5.284520141729e-03       1.518792962952e+03 
       6.652816695560e-03       1.738453225514e+03 
       8.375399998050e-03       1.945739760354e+03 
       1.054400389149e-02       2.118721502632e+03 
       1.327411444105e-02       2.229655143714e+03 
       1.671111998889e-02       2.247257712320e+03 
       2.103805357299e-02       2.143803264272e+03 
       2.648529605151e-02       1.910870791298e+03 
       3.333485671752e-02       1.582820455235e+03 
       4.162273967492e-02       1.256073646323e+03 
       4.918159691796e-02       1.058949497976e+03 
       5.459443935279e-02       9.659188725089e+02 
       5.896292775016e-02       9.093749249824e+02 
       6.281923142812e-02       8.667961696845e+02 
       6.639243768416e-02       8.295432392170e+02 
       6.980036163060e-02       7.935933210085e+02 
       7.311221128472e-02       7.569831322619e+02 
       7.637275438368e-02       7.189042961035e+02 
