# Matter power spectrum P(k) at redshift z=0
# for k=2.0947e-07 to 10.5094 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.094699376715e-07       1.361900180762e+00 
       2.637070275416e-07       1.698811832579e+00 
       3.319874782408e-07       2.119069871853e+00 
       4.179474727549e-07       2.643292819960e+00 
       5.261646942462e-07       3.297199879701e+00 
       6.624021043755e-07       4.112872758835e+00 
       8.339148420242e-07       5.130329647307e+00 
       1.049836585897e-06       6.399488568854e+00 
       1.321665956217e-06       7.982616429909e+00 
       1.663878858184e-06       9.957383917019e+00 
       2.094699376715e-06       1.242067611193e+01 
       2.637070275416e-06       1.549334576506e+01 
       3.319874782408e-06       1.932614240192e+01 
       4.179474727549e-06       2.410710809384e+01 
       5.261646942462e-06       3.007080262486e+01 
       6.624021043755e-06       3.750981043081e+01 
       8.339148420242e-06       4.678909340794e+01 
       1.049836585897e-05       5.836389286408e+01 
       1.321665956217e-05       7.280205716466e+01 
       1.663878858184e-05       9.081188699350e+01 
       2.094699376715e-05       1.132768575129e+02 
       2.637070275416e-05       1.412989073182e+02 
       3.319874782408e-05       1.762523911962e+02 
       4.179474727549e-05       2.198512907045e+02 
       5.261646942462e-05       2.742328756399e+02 
       6.624021043755e-05       3.420617156201e+02 
       8.339148420242e-05       4.266587416897e+02 
       1.049836585897e-04       5.321609031209e+02 
       1.321665956217e-04       6.637177262112e+02 
       1.663878858184e-04       8.277314922952e+02 
       2.094699376715e-04       1.032147305902e+03 
       2.637070275416e-04       1.286797186089e+03 
       3.319874782408e-04       1.603797352827e+03 
       4.179474727549e-04       1.997989133819e+03 
       5.261646942462e-04       2.487401671751e+03 
       6.624021043755e-04       3.093700187348e+03 
       8.339148420242e-04       3.842559276154e+03 
       1.049836585897e-03       4.763825006578e+03 
       1.321665956217e-03       5.891163474100e+03 
       1.663878858184e-03       7.260798004674e+03 
       2.094699376715e-03       8.908947537898e+03 
       2.637070275416e-03       1.086721953598e+04 
       3.319874782408e-03       1.315553749924e+04 
       4.179474727549e-03       1.577194277423e+04 
       5.261646942462e-03       1.867823020441e+04 
       6.624021043755e-03       2.178163194753e+04 
       8.339148420242e-03       2.491326742465e+04 
       1.049836585897e-02       2.780476087175e+04 
       1.321665956217e-02       3.007139125326e+04 
       1.663878858173e-02       3.122407485802e+04 
       2.094699328135e-02       3.076116409927e+04 
       2.637042172975e-02       2.841346732558e+04 
       3.316764337956e-02       2.455184653997e+04 
       4.095181694415e-02       2.065253725892e+04 
       4.716138865308e-02       1.842842586311e+04 
       5.174133144351e-02       1.724053354877e+04 
       5.557539635631e-02       1.644832327835e+04 
       5.902609856076e-02       1.582481116378e+04 
       6.225951733665e-02       1.526972601367e+04 
       6.536540959554e-02       1.473069447566e+04 
       6.839840533316e-02       1.417894365956e+04 
       7.139479660642e-02       1.360013485013e+04 
       7.438039154366e-02       1.299020320246e+04 
       7.737458858254e-02       1.235295481318e+04 
       8.039266386848e-02       1.169820141970e+04 
       8.344713776125e-02       1.103995341036e+04 
       8.654863295348e-02       1.039452954642e+04 
       8.970643574147e-02       9.778613318396e+03 
       9.292887567607e-02       9.207378795943e+03 
       9.622358959354e-02       8.692828226433e+03 
       9.959770947266e-02       8.242465310930e+03 
       1.030579985753e-01       7.858381911536e+03 
       1.066109515311e-01       7.536802819084e+03 
       1.102628686918e-01       7.268138922579e+03 
       1.140199117530e-01       7.037647811506e+03 
       1.178881455154e-01       6.826849021104e+03 
       1.218735692777e-01       6.615814289039e+03 
       1.259821404415e-01       6.386269323664e+03 
       1.302197923026e-01       6.125092854541e+03 
       1.345924476017e-01       5.827397051074e+03 
       1.391060291391e-01       5.498150596905e+03 
       1.437664685806e-01       5.151500639429e+03 
       1.485797144715e-01       4.807612251320e+03 
       1.535517403989e-01       4.487731856688e+03 
       1.586885542018e-01       4.208837095632e+03 
       1.639962090970e-01       3.979322085182e+03 
       1.694808175717e-01       3.796759003249e+03 
       1.751485688833e-01       3.648294315187e+03 
       1.810057509955e-01       3.513935850242e+03 
       1.870587777804e-01       3.372538754200e+03 
       1.933142223176e-01       3.209168484142e+03 
       1.997788571369e-01       3.020997862398e+03 
       2.064597022877e-01       2.818466245460e+03 
       2.133640821776e-01       2.620371047804e+03 
       2.204996922237e-01       2.445019970686e+03 
       2.278746765147e-01       2.301863298766e+03 
       2.354977178996e-01       2.187541919611e+03 
       2.433781422348e-01       2.088086295163e+03 
       2.515260389410e-01       1.986573657434e+03 
       2.599524005988e-01       1.872776931906e+03 
       2.686692850688e-01       1.748937159748e+03 
       2.776900046347e-01       1.627139087412e+03 
       2.870293479944e-01       1.519899376978e+03 
       2.967038426979e-01       1.431113197502e+03 
       3.067320679784e-01       1.354035483823e+03 
       3.171350310947e-01       1.277615364422e+03 
       3.279366246008e-01       1.196106541585e+03 
       3.391641878702e-01       1.113349715525e+03 
       3.508492044422e-01       1.037459777661e+03 
       3.630281784034e-01       9.717265423652e+02 
       3.757437497542e-01       9.117141178179e+02 
       3.890461331691e-01       8.514405143621e+02 
       4.029950009970e-01       7.907188309259e+02 
       4.176619867292e-01       7.339652302560e+02 
       4.331340712784e-01       6.827410489549e+02 
       4.495182516430e-01       6.337991841000e+02 
       4.669481163552e-01       5.852166788183e+02 
       4.855933319023e-01       5.390291884043e+02 
       5.056737084287e-01       4.958564845075e+02 
       5.274807204624e-01       4.537284938470e+02 
       5.514116527863e-01       4.128417740657e+02 
       5.780261259427e-01       3.736096141901e+02 
       6.081444535439e-01       3.349545479174e+02 
       6.430291553069e-01       2.969944956339e+02 
       6.847438192325e-01       2.589980368840e+02 
       7.369200021530e-01       2.204531653642e+02 
       8.065248062767e-01       1.804812195242e+02 
       9.080101301681e-01       1.383499904824e+02 
       1.070175463392e+00       9.517193810140e+01 
       1.324380352780e+00       5.806894869856e+01 
       1.665646590208e+00       3.378416183362e+01 
       2.096899816130e+00       1.942335704318e+01 
       2.639840393046e+00       1.107054955639e+01 
       3.323362153859e+00       6.260657149300e+00 
       4.183865068088e+00       3.515533905456e+00 
       5.267174053734e+00       1.961378515924e+00 
       6.630979264588e+00       1.087864315706e+00 
       8.347908301270e+00       6.001314269388e-01 
       1.050939389580e+01       3.294310483412e-01 
