# Matter power spectrum P(k) at redshift z=1.5
# for k=1.03727e-05 to 10.3832 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037266842765e-05       1.287553212774e+01 
       1.305841587169e-05       1.606070694753e+01 
       1.643957157864e-05       2.003380943190e+01 
       2.069619441936e-05       2.498975506916e+01 
       2.605496508197e-05       3.117162573446e+01 
       3.280125764510e-05       3.888261285100e+01 
       4.129433678822e-05       4.850081787174e+01 
       5.198648994588e-05       6.049771077199e+01 
       6.544711326285e-05       7.546106477566e+01 
       8.239303401517e-05       9.412339073561e+01 
       1.037266842765e-04       1.173971118449e+02 
       1.305841587169e-04       1.464178006506e+02 
       1.643957157864e-04       1.825969226732e+02 
       2.069619441936e-04       2.276852829100e+02 
       2.605496508197e-04       2.838477275973e+02 
       3.280125764510e-04       3.537480186794e+02 
       4.129433678822e-04       4.406397043431e+02 
       5.198648994588e-04       5.484537542169e+02 
       6.544711326285e-04       6.818672398013e+02 
       8.239303401517e-04       8.463319130983e+02 
       1.037266842765e-03       1.048039306614e+03 
       1.305841587169e-03       1.293786034035e+03 
       1.643957157864e-03       1.590635734555e+03 
       2.069619441936e-03       1.945161656534e+03 
       2.605496508197e-03       2.362306413803e+03 
       3.280125764510e-03       2.843676909106e+03 
       4.129433678822e-03       3.385312442194e+03 
       5.198648994588e-03       3.974832590604e+03 
       6.544711326285e-03       4.588196191306e+03 
       8.239303401517e-03       5.186596375091e+03 
       1.037266842765e-02       5.713246492554e+03 
       1.305841587169e-02       6.093775000597e+03 
       1.643957157861e-02       6.240117366994e+03 
       2.069619422250e-02       6.070124408345e+03 
       2.605482185435e-02       5.550345628669e+03 
       3.278215003162e-02       4.761373832407e+03 
       4.067926924556e-02       3.964733896988e+03 
       4.727849399685e-02       3.490664998377e+03 
       5.207530835253e-02       3.238540194710e+03 
       5.604038306771e-02       3.068297973663e+03 
       5.958507984126e-02       2.932012926395e+03 
       6.289352099943e-02       2.809832577706e+03 
       6.606346694829e-02       2.692119875260e+03 
       6.915366744108e-02       2.574055752921e+03 
       7.220277835706e-02       2.453526374155e+03 
       7.523807953171e-02       2.330465343802e+03 
       7.827994628040e-02       2.205779520778e+03 
       8.134433796488e-02       2.081447728637e+03 
       8.444427437821e-02       1.959872686812e+03 
       8.759075765627e-02       1.843607906981e+03 
       9.079337249164e-02       1.735021400715e+03 
       9.406069057728e-02       1.636043347101e+03 
       9.740055099323e-02       1.547960398022e+03 
       1.008202591878e-01       1.471086333589e+03 
       1.043267308844e-01       1.405003666215e+03 
       1.079265977097e-01       1.348249233482e+03 
       1.116262855815e-01       1.298616911559e+03 
       1.154320733068e-01       1.253325942547e+03 
       1.193501365661e-01       1.209333184241e+03 
       1.233865809744e-01       1.163792606301e+03 
       1.275474669392e-01       1.114538877239e+03 
       1.318388283856e-01       1.060537547989e+03 
       1.362666869893e-01       1.002211517422e+03 
       1.408370632715e-01       9.413376969546e+02 
       1.455559857211e-01       8.806791791671e+02 
       1.504294989881e-01       8.232956132874e+02 
       1.554636721123e-01       7.717791303409e+02 
       1.606646077061e-01       7.276124451343e+02 
       1.660384529760e-01       6.907556353255e+02 
       1.715914134512e-01       6.597098591724e+02 
       1.773297702731e-01       6.318102693758e+02 
       1.832599018913e-01       6.041486834732e+02 
       1.893883110083e-01       5.744826045163e+02 
       1.957216576160e-01       5.419512429810e+02 
       2.022667989850e-01       5.074331755683e+02 
       2.090308374949e-01       4.732368360191e+02 
       2.160211772560e-01       4.419412573889e+02 
       2.232455905694e-01       4.149323983841e+02 
       2.307122954167e-01       3.919861696470e+02 
       2.384300453912e-01       3.717308926874e+02 
       2.464082337822e-01       3.523585952028e+02 
       2.546570139410e-01       3.323460794334e+02 
       2.631874386202e-01       3.114129402472e+02 
       2.720116217226e-01       2.906814201770e+02 
       2.811429268877e-01       2.715208465791e+02 
       2.905961886526e-01       2.546530410217e+02 
       3.003879736554e-01       2.397401520765e+02 
       3.105368916621e-01       2.255827114153e+02 
       3.210639692955e-01       2.114131543270e+02 
       3.319931035533e-01       1.973545234718e+02 
       3.433516179762e-01       1.840278143918e+02 
       3.551709523562e-01       1.719496516121e+02 
       3.674875282119e-01       1.608406527196e+02 
       3.803438485068e-01       1.501927276040e+02 
       3.937899137886e-01       1.397657571723e+02 
       4.078850721453e-01       1.298854146082e+02 
       4.227004737679e-01       1.206749065781e+02 
       4.383223836868e-01       1.119915358618e+02 
       4.548567377439e-01       1.036535186811e+02 
       4.724355415176e-01       9.566390131708e+01 
       4.912260730817e-01       8.809914336745e+01 
       5.114444791977e-01       8.088716473808e+01 
       5.333764917951e-01       7.392340122113e+01 
       5.574101401688e-01       6.723968973578e+01 
       5.840895992088e-01       6.077129992133e+01 
       6.142082688472e-01       5.446446323770e+01 
       6.489792095831e-01       4.826901566577e+01 
       6.903690565206e-01       4.210866301719e+01 
       7.418045564656e-01       3.588542182175e+01 
       8.097876996304e-01       2.947091494766e+01 
       9.077093633308e-01       2.274318744284e+01 
       1.062818197359e+00       1.582085473570e+01 
       1.309215816878e+00       9.714126269347e+00 
       1.645670753217e+00       5.634701966644e+00 
       2.071730245684e+00       3.227006665548e+00 
       2.608153686518e+00       1.832796269500e+00 
       3.283470953739e+00       1.033163775667e+00 
       4.133645022550e+00       5.784561866851e-01 
       5.203950762225e+00       3.218671713410e-01 
       6.551385856290e+00       1.780862980649e-01 
       8.247706136953e+00       9.802167436813e-02 
       1.038324684482e+01       5.369726250813e-02 
