# Matter power spectrum P(k) at redshift z=1
# for k=1.02899e-05 to 10.3015 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028994462883e-05       1.958612071529e+01 
       1.295427277918e-05       2.443138060212e+01 
       1.630846319303e-05       3.047522998792e+01 
       2.053113874101e-05       3.801417690769e+01 
       2.584717229413e-05       4.741801429572e+01 
       3.253966202411e-05       5.914796658891e+01 
       4.096500741334e-05       7.377924272826e+01 
       5.157188882699e-05       9.202912270036e+01 
       6.492516137853e-05       1.147918818306e+02 
       8.173593552426e-05       1.431821352191e+02 
       1.028994462883e-04       1.785884933934e+02 
       1.295427277918e-04       2.227396526072e+02 
       1.630846319303e-04       2.777852343527e+02 
       2.053113874101e-04       3.463935250010e+02 
       2.584717229413e-04       4.318675043677e+02 
       3.253966202411e-04       5.382786873551e+02 
       4.096500741334e-04       6.706146016858e+02 
       5.157188882699e-04       8.349298867543e+02 
       6.492516137853e-04       1.038483757350e+03 
       8.173593552426e-04       1.289840116446e+03 
       1.028994462883e-03       1.598898120686e+03 
       1.295427277918e-03       1.976783371196e+03 
       1.630846319303e-03       2.435414317308e+03 
       2.053113874101e-03       2.986548848207e+03 
       2.584717229413e-03       3.640301851940e+03 
       3.253966202411e-03       4.402646401354e+03 
       4.096500741334e-03       5.272055285784e+03 
       5.157188882699e-03       6.234872831449e+03 
       6.492516137853e-03       7.259670164519e+03 
       8.173593552426e-03       8.290647099190e+03 
       1.028994462883e-02       9.241570041444e+03 
       1.295427277918e-02       9.992185995512e+03 
       1.630846319280e-02       1.039371601741e+04 
       2.053113791795e-02       1.029846318598e+04 
       2.584675919933e-02       9.631659541746e+03 
       3.249893821253e-02       8.506251142781e+03 
       3.997621647405e-02       7.360988033931e+03 
       4.578725487744e-02       6.685158682825e+03 
       5.011824123720e-02       6.289415038352e+03 
       5.377124952218e-02       6.003229958220e+03 
       5.707223507875e-02       5.764864498299e+03 
       6.017272681206e-02       5.547111049459e+03 
       6.315551098365e-02       5.335993179766e+03 
       6.607137010411e-02       5.124086244085e+03 
       6.895424109596e-02       4.908249807130e+03 
       7.182837207970e-02       4.688061554956e+03 
       7.471206090396e-02       4.464968049198e+03 
       7.761976546523e-02       4.242028411841e+03 
       8.056336987325e-02       4.023007209817e+03 
       8.355298234479e-02       3.812020941789e+03 
       8.659745858578e-02       3.612860603561e+03 
       8.970475665633e-02       3.429052243631e+03 
       9.288218424859e-02       3.262702266568e+03 
       9.613657490555e-02       3.114745741285e+03 
       9.947441588932e-02       2.984611595514e+03 
       1.029019422748e-01       2.870028097420e+03 
       1.064252068996e-01       2.767561072012e+03 
       1.100501327124e-01       2.672567170608e+03 
       1.137825520826e-01       2.579965985301e+03 
       1.176282363520e-01       2.484963928332e+03 
       1.215929180550e-01       2.383907396029e+03 
       1.256823076752e-01       2.275023165967e+03 
       1.299021064247e-01       2.158876835606e+03 
       1.342580162882e-01       2.038558406706e+03 
       1.387557484063e-01       1.918715438229e+03 
       1.434010307687e-01       1.804603268872e+03 
       1.481996161207e-01       1.700788022825e+03 
       1.531572909436e-01       1.609996573987e+03 
       1.582798863450e-01       1.532286660610e+03 
       1.635732916764e-01       1.464948018540e+03 
       1.690434716850e-01       1.403378730585e+03 
       1.746964880011e-01       1.342465958453e+03 
       1.805385257548e-01       1.278306248266e+03 
       1.865759261275e-01       1.209153077248e+03 
       1.928152256515e-01       1.136682049065e+03 
       1.992632031132e-01       1.065120968398e+03 
       2.059269349731e-01       9.991292918282e+02 
       2.128138603159e-01       9.412293607254e+02 
       2.199318564990e-01       8.910547229747e+02 
       2.272893268821e-01       8.461107144930e+02 
       2.348953023324e-01       8.029222389771e+02 
       2.427595586156e-01       7.585678228001e+02 
       2.508927523476e-01       7.127224274740e+02 
       2.593065789324e-01       6.674870057562e+02 
       2.680139569009e-01       6.254740228635e+02 
       2.770292443800e-01       5.881135747995e+02 
       2.863684951569e-01       5.546285043743e+02 
       2.960497641259e-01       5.226773859360e+02 
       3.060934750228e-01       4.908183655056e+02 
       3.165228675983e-01       4.592513569837e+02 
       3.273645472168e-01       4.293254918782e+02 
       3.386491680131e-01       4.020080843905e+02 
       3.504122922699e-01       3.767157088411e+02 
       3.626954852630e-01       3.523889407959e+02 
       3.755477291031e-01       3.285874643246e+02 
       3.890272753188e-01       3.059619317006e+02 
       4.032041110796e-01       2.848072964290e+02 
       4.181632998574e-01       2.647640505474e+02 
       4.340095945203e-01       2.454734618089e+02 
       4.508739461076e-01       2.269313632417e+02 
       4.689229130480e-01       2.093228894471e+02 
       4.883726446394e-01       1.924611229981e+02 
       5.095103329994e-01       1.761294735819e+02 
       5.327283553206e-01       1.603976832461e+02 
       5.585809987657e-01       1.450993719517e+02 
       5.878835875478e-01       1.301116264326e+02 
       6.218963402218e-01       1.153126145674e+02 
       6.626899938411e-01       1.004972932574e+02 
       7.139320918502e-01       8.541265099724e+01 
       7.827080772943e-01       6.972734373124e+01 
       8.837714476920e-01       5.315809252109e+01 
       1.046024737679e+00       3.626244447342e+01 
       1.297850990508e+00       2.202073522002e+01 
       1.632690137935e+00       1.281794509967e+01 
       2.055418900787e+00       7.376176018147e+00 
       2.587619046002e+00       4.207700736974e+00 
       3.257619373041e+00       2.381279863650e+00 
       4.101099810675e+00       1.338024255400e+00 
       5.162978767963e+00       7.469296619950e-01 
       6.499805171542e+00       4.144984367672e-01 
       8.182769902165e+00       2.287697064895e-01 
       1.030149696870e+01       1.256335002665e-01 
