# Matter power spectrum P(k) at redshift z=1
# for k=2.04356e-07 to 10.2561 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.043563619907e-07       4.630415360447e-01 
       2.572694171719e-07       5.775903781662e-01 
       3.238830069552e-07       7.204767151288e-01 
       4.077445479042e-07       8.987107758769e-01 
       5.133199728772e-07       1.121037004029e+00 
       6.462315582365e-07       1.398363073982e+00 
       8.135573305673e-07       1.744295038080e+00 
       1.024207997403e-06       2.175804860069e+00 
       1.289401474893e-06       2.714063083947e+00 
       1.623260282748e-06       3.385477491080e+00 
       2.043563619907e-06       4.222988699011e+00 
       2.572694171719e-06       5.267686263855e+00 
       3.238830069552e-06       6.570824568373e+00 
       4.077445479042e-06       8.196337381772e+00 
       5.133199728772e-06       1.022397442692e+01 
       6.462315582365e-06       1.275321378899e+01 
       8.135573305673e-06       1.590814198894e+01 
       1.024207997403e-05       1.984354092427e+01 
       1.289401474893e-05       2.475247984421e+01 
       1.623260282748e-05       3.087578395721e+01 
       2.043563619907e-05       3.851384241019e+01 
       2.572694171719e-05       4.804133147143e+01 
       3.238830069552e-05       5.992556830995e+01 
       4.077445479042e-05       7.474938214088e+01 
       5.133199728772e-05       9.323959782614e+01 
       6.462315582365e-05       1.163024761030e+02 
       8.135573305673e-05       1.450677444669e+02 
       1.024207997403e-04       1.809431734114e+02 
       1.289401474893e-04       2.256819744454e+02 
       1.623260282748e-04       2.814655488415e+02 
       2.043563619907e-04       3.510041568257e+02 
       2.572694171719e-04       4.376576430357e+02 
       3.238830069552e-04       5.455770186722e+02 
       4.077445479042e-04       6.798649054172e+02 
       5.133199728772e-04       8.467481800682e+02 
       6.462315582365e-04       1.053750031798e+03 
       8.135573305673e-04       1.309842387657e+03 
       1.024207997403e-03       1.625550321132e+03 
       1.289401474893e-03       2.012945194409e+03 
       1.623260282748e-03       2.485375298322e+03 
       2.043563619907e-03       3.056733690851e+03 
       2.572694171719e-03       3.740125989824e+03 
       3.238830069552e-03       4.545685502380e+03 
       4.077445479042e-03       5.477264803404e+03 
       5.133199728772e-03       6.527587035031e+03 
       6.462315582365e-03       7.671798368335e+03 
       8.135573305673e-03       8.859464610916e+03 
       1.024207997403e-02       1.000560329467e+04 
       1.289401474893e-02       1.098359024387e+04 
       1.623260282595e-02       1.162771235097e+04 
       2.043563268377e-02       1.176236287790e+04 
       2.572573829666e-02       1.128106103017e+04 
       3.230158662628e-02       1.028191336777e+04 
       3.923114619154e-02       9.251907299180e+03 
       4.432883214170e-02       8.632553648181e+03 
       4.824676764401e-02       8.232731684297e+03 
       5.161468576964e-02       7.924678855930e+03 
       5.468947956512e-02       7.658192274467e+03 
       5.759538309935e-02       7.409242725086e+03 
       6.040224335384e-02       7.164890428816e+03 
       6.315380534364e-02       6.918110302877e+03 
       6.587977205512e-02       6.665657983581e+03 
       6.860163999887e-02       6.407011309090e+03 
       7.133580491547e-02       6.143709255795e+03 
       7.409534054773e-02       5.878818308422e+03 
       7.689107834210e-02       5.616418031846e+03 
       7.973229429253e-02       5.361070950483e+03 
       8.262716299292e-02       5.117280494797e+03 
       8.558306747942e-02       4.888964859473e+03 
       8.860681628168e-02       4.678981635541e+03 
       9.170479876799e-02       4.488744025183e+03 
       9.488309825061e-02       4.317966493694e+03 
       9.814757542783e-02       4.164580255517e+03 
       1.015039305240e-01       4.024856627282e+03 
       1.049577498394e-01       3.893774174515e+03 
       1.085145407203e-01       3.765645930561e+03 
       1.121797578484e-01       3.634975747451e+03 
       1.159588230141e-01       3.497440214471e+03 
       1.198571400489e-01       3.350805031721e+03 
       1.238801062655e-01       3.195527432495e+03 
       1.280331215420e-01       3.034809491523e+03 
       1.323215960406e-01       2.873983596049e+03 
       1.367509574640e-01       2.719302208678e+03 
       1.413266586953e-01       2.576403229747e+03 
       1.460541866283e-01       2.448844358535e+03 
       1.509390729761e-01       2.337107162467e+03 
       1.559869078301e-01       2.238382804345e+03 
       1.612033567309e-01       2.147302164471e+03 
       1.665941820081e-01       2.057554879315e+03 
       1.721652691425e-01       1.964017017235e+03 
       1.779226589137e-01       1.864648985705e+03 
       1.838725861096e-01       1.761283849967e+03 
       1.900215256184e-01       1.658774517463e+03 
       1.963762467835e-01       1.562754126676e+03 
       2.029438770089e-01       1.477028642901e+03 
       2.097319757590e-01       1.401859486957e+03 
       2.167486203203e-01       1.333998115703e+03 
       2.240025050015e-01       1.268535685418e+03 
       2.315030558784e-01       1.201684329424e+03 
       2.392605637510e-01       1.132885536714e+03 
       2.472863387406e-01       1.064810914309e+03 
       2.555928909498e-01       1.001182272466e+03 
       2.641941429283e-01       9.439903885447e+02 
       2.731056814408e-01       8.921873592037e+02 
       2.823450583736e-01       8.428111724978e+02 
       2.919321537735e-01       7.935824908690e+02 
       3.018896183143e-01       7.446890135710e+02 
       3.122434184237e-01       6.981068165720e+02 
       3.230235156124e-01       6.552457621993e+02 
       3.342647233477e-01       6.154865305431e+02 
       3.460078018525e-01       5.771463445910e+02 
       3.583008762580e-01       5.395493466388e+02 
       3.712013010520e-01       5.035134071297e+02 
       3.847781511745e-01       4.697567550089e+02 
       3.991156099956e-01       4.377481726598e+02 
       4.143176687943e-01       4.067029246963e+02 
       4.305147909644e-01       3.767694675983e+02 
       4.478736012426e-01       3.482692284238e+02 
       4.666113799797e-01       3.208088310400e+02 
       4.870184675144e-01       2.941104675225e+02 
       5.094942376620e-01       2.682671590577e+02 
       5.346074856603e-01       2.430019690842e+02 
       5.632032496357e-01       2.181118731211e+02 
       5.966037999558e-01       1.933621437630e+02 
       6.370149891179e-01       1.683858078495e+02 
       6.884154936738e-01       1.427047626141e+02 
       7.586405280524e-01       1.157121456116e+02 
       8.641147108765e-01       8.700628696137e+01 
       1.034941918225e+00       5.817537827968e+01 
       1.291574727596e+00       3.510833264519e+01 
       1.625487697996e+00       2.054993665340e+01 
       2.046362934723e+00       1.189551759490e+01 
       2.576218292368e+00       6.821676788236e+00 
       3.243266674589e+00       3.879147940117e+00 
       4.083030833866e+00       2.189118351689e+00 
