# Matter power spectrum P(k) at redshift z=2.5
# for k=2.034e-07 to 10.2047 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.034002898110e-07       1.724398443215e-01 
       2.560657936093e-07       2.150986188621e-01 
       3.223677346660e-07       2.683104708119e-01 
       4.058369331136e-07       3.346860572521e-01 
       5.109184281413e-07       4.174818689928e-01 
       6.432081925410e-07       5.207599987679e-01 
       8.097511386641e-07       6.495874333969e-01 
       1.019416285694e-06       8.102846476164e-01 
       1.283369067256e-06       1.010735695566e+00 
       1.615665931480e-06       1.260775013095e+00 
       2.034002898110e-06       1.572669905854e+00 
       2.560657936093e-06       1.961722394077e+00 
       3.223677346660e-06       2.447019936756e+00 
       4.058369331136e-06       3.052371859992e+00 
       5.109184281413e-06       3.807477412042e+00 
       6.432081925410e-06       4.749382724762e+00 
       8.097511386641e-06       5.924298096877e+00 
       1.019416285694e-05       7.389864630529e+00 
       1.283369067256e-05       9.217981177725e+00 
       1.615665931480e-05       1.149832981567e+01 
       2.034002898110e-05       1.434277181562e+01 
       2.560657936093e-05       1.789082791450e+01 
       3.223677346660e-05       2.231650793742e+01 
       4.058369331136e-05       2.783681741198e+01 
       5.109184281413e-05       3.472234377707e+01 
       6.432081925410e-05       4.331041252929e+01 
       8.097511386641e-05       5.402140150645e+01 
       1.019416285694e-04       6.737890125547e+01 
       1.283369067256e-04       8.403449010422e+01 
       1.615665931480e-04       1.047979099112e+02 
       2.034002898110e-04       1.306732927162e+02 
       2.560657936093e-04       1.629016326036e+02 
       3.223677346660e-04       2.030086328911e+02 
       4.058369331136e-04       2.528549542014e+02 
       5.109184281413e-04       3.146822751260e+02 
       6.432081925410e-04       3.911434349567e+02 
       8.097511386641e-04       4.852998194024e+02 
       1.019416285694e-03       6.005679569401e+02 
       1.283369067256e-03       7.406003522470e+02 
       1.615665931480e-03       9.090686586599e+02 
       2.034002898110e-03       1.109240293279e+03 
       2.560657936093e-03       1.343221218339e+03 
       3.223677346660e-03       1.610963097824e+03 
       4.058369331136e-03       1.909049314638e+03 
       5.109184281413e-03       2.229234933924e+03 
       6.432081925410e-03       2.557016611356e+03 
       8.097511386641e-03       2.870508568394e+03 
       1.019416285694e-02       3.139964285261e+03 
       1.283369067256e-02       3.328645578667e+03 
       1.615665931477e-02       3.396420078895e+03 
       2.034002883275e-02       3.308833268603e+03 
       2.560646384620e-02       3.054858376918e+03 
       3.222048737786e-02       2.671137249279e+03 
       4.003266141565e-02       2.267747452075e+03 
       4.665577501299e-02       2.003984005154e+03 
       5.145263210591e-02       1.850278478832e+03 
       5.540241620047e-02       1.739155746951e+03 
       5.892622036656e-02       1.647088242877e+03 
       6.221125206143e-02       1.564642175732e+03 
       6.535638512255e-02       1.487441893203e+03 
       6.842081394219e-02       1.413405774513e+03 
       7.144337622330e-02       1.341677897669e+03 
       7.445141832284e-02       1.272119108513e+03 
       7.746532721001e-02       1.205013018873e+03 
       8.050104613537e-02       1.140864994445e+03 
       8.357156403025e-02       1.080247494348e+03 
       8.668784399956e-02       1.023676333518e+03 
       8.985942699644e-02       9.715123922717e+02 
       9.309483813949e-02       9.238904357714e+02 
       9.640186813623e-02       8.806770626952e+02 
       9.978777284805e-02       8.414610575331e+02 
       1.032594175313e-01       8.055787378570e+02 
       1.068233826625e-01       7.721759431569e+02 
       1.104860424451e-01       7.403059905041e+02 
       1.142536234856e-01       7.090556791052e+02 
       1.181322488317e-01       6.776841955109e+02 
       1.221279710736e-01       6.457492418586e+02 
       1.262467972315e-01       6.131891112859e+02 
       1.304947075001e-01       5.803325127092e+02 
       1.348776694888e-01       5.478212303192e+02 
       1.394016493079e-01       5.164553194983e+02 
       1.440726206603e-01       4.869936038621e+02 
       1.488965729767e-01       4.599599543337e+02 
       1.538795195534e-01       4.355069683784e+02 
       1.590275066027e-01       4.133771201741e+02 
       1.643466240943e-01       3.929786040454e+02 
       1.698430192493e-01       3.735642866814e+02 
       1.755229135318e-01       3.544672410626e+02 
       1.813926239776e-01       3.353154382863e+02 
       1.874585896948e-01       3.161386826238e+02 
       1.937274043701e-01       2.973143962456e+02 
       2.002058556348e-01       2.793689805769e+02 
       2.069009721681e-01       2.627247067094e+02 
       2.138200794780e-01       2.475115136082e+02 
       2.209708653908e-01       2.335320134969e+02 
       2.283614564272e-01       2.203911690629e+02 
       2.360005064510e-01       2.077171057533e+02 
       2.438972992767e-01       1.953463222834e+02 
       2.520618673268e-01       1.833645455912e+02 
       2.605051289844e-01       1.719872235718e+02 
       2.692390480151e-01       1.613742323990e+02 
       2.782768194061e-01       1.515148507500e+02 
       2.876330872549e-01       1.422565903527e+02 
       2.973242020371e-01       1.334354618125e+02 
       3.073685268519e-01       1.249883796367e+02 
       3.177868052804e-01       1.169559143213e+02 
       3.286026076163e-01       1.093931688833e+02 
       3.398428778831e-01       1.022908966409e+02 
       3.515386119153e-01       9.558256321785e+01 
       3.637257078712e-01       8.920978993300e+01 
       3.764460464382e-01       8.315962193355e+01 
       3.897488811534e-01       7.743752589398e+01 
       4.036926536601e-01       7.202760770719e+01 
       4.183474008232e-01       6.689599176881e+01 
       4.337980013445e-01       6.201892220586e+01 
       4.501486376162e-01       5.738544723681e+01 
       4.675290574440e-01       5.297919234181e+01 
       4.861035713477e-01       4.877721704130e+01 
       5.060843314952e-01       4.476058235520e+01 
       5.277515407551e-01       4.091105695355e+01 
       5.514853196584e-01       3.720631062461e+01 
       5.778180786578e-01       3.362286489486e+01 
       6.075248743498e-01       3.013393861472e+01 
       6.417884880917e-01       2.670757291692e+01 
       6.825220015725e-01       2.330351413775e+01 
       7.330493811612e-01       1.986937526188e+01 
       7.996574108980e-01       1.633611306305e+01 
       8.952639336180e-01       1.263333925311e+01 
       1.046282449369e+00       8.818783931349e+00 
       1.286968805084e+00       5.427982950786e+00 
       1.617378627806e+00       3.146996354772e+00 
       2.036104414102e+00       1.800690532179e+00 
       2.563303379773e+00       1.021837521148e+00 
       3.227007762822e+00       5.755664273420e-01 
       4.062562076674e+00       3.220169434000e-01 
       5.114462635316e+00       1.790588524753e-01 
       6.438726979271e+00       9.901003192711e-02 
       8.105877013809e+00       5.446714437519e-02 
