# Matter power spectrum P(k) at redshift z=0
# for k=1.02718e-05 to 10.2836 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027175321666e-05       5.266018357439e+01 
       1.293137114813e-05       6.568734078006e+01 
       1.627963174772e-05       8.193714327953e+01 
       2.049484210186e-05       1.022066771124e+02 
       2.580147753274e-05       1.274902029640e+02 
       3.248213572780e-05       1.590277515852e+02 
       4.089258609707e-05       1.983657885540e+02 
       5.148071579159e-05       2.474326606519e+02 
       6.481038132738e-05       3.086324631734e+02 
       8.159143600111e-05       3.849614063679e+02 
       1.027175321666e-04       4.801518223221e+02 
       1.293137114813e-04       5.988493272871e+02 
       1.627963174772e-04       7.468292397347e+02 
       2.049484210186e-04       9.312576992206e+02 
       2.580147753274e-04       1.161000998472e+03 
       3.248213572780e-04       1.446981948491e+03 
       4.089258609707e-04       1.802573932028e+03 
       5.148071579159e-04       2.244011939283e+03 
       6.481038132738e-04       2.790786661725e+03 
       8.159143600111e-04       3.465965563099e+03 
       1.027175321666e-03       4.296315392845e+03 
       1.293137114813e-03       5.311947177678e+03 
       1.627963174772e-03       6.545082575216e+03 
       2.049484210186e-03       8.027652074254e+03 
       2.580147753274e-03       9.787364820777e+03 
       3.248213572780e-03       1.184100755288e+04 
       4.089258609707e-03       1.418546455965e+04 
       5.148071579159e-03       1.670495114691e+04 
       6.481038132738e-03       1.943933475231e+04 
       8.159143600111e-03       2.218487080182e+04 
       1.027175321666e-02       2.470927936024e+04 
       1.293137114813e-02       2.669221511065e+04 
       1.627963174745e-02       2.774259711697e+04 
       2.049484113867e-02       2.747689372969e+04 
       2.580101372716e-02       2.571211709855e+04 
       3.243793283608e-02       2.276039730050e+04 
       3.985371774190e-02       1.979068489102e+04 
       4.557609723281e-02       1.805673922893e+04 
       4.985462367003e-02       1.704206449597e+04 
       5.347113319570e-02       1.631052337030e+04 
       5.674290175468e-02       1.570415546064e+04 
       5.981805589592e-02       1.515191513160e+04 
       6.277777789833e-02       1.461649183918e+04 
       6.567197952429e-02       1.407861468216e+04 
       6.853407353282e-02       1.353017310886e+04 
       7.138796663216e-02       1.296817215217e+04 
       7.425171984865e-02       1.239773428883e+04 
       7.713961799041e-02       1.182660160105e+04 
       8.006341286258e-02       1.126466361317e+04 
       8.303310749940e-02       1.072331334555e+04 
       8.605747101733e-02       1.021365236786e+04 
       8.914438793966e-02       9.745114739109e+03 
       9.230110175326e-02       9.323945205023e+03 
       9.553438855654e-02       8.953076745799e+03 
       9.885068310882e-02       8.630969354194e+03 
       1.022561716113e-01       8.351970931629e+03 
       1.057568606949e-01       8.106101421233e+03 
       1.093586290533e-01       7.880710502813e+03 
       1.130672662192e-01       7.660703875475e+03 
       1.168885017129e-01       7.432710288100e+03 
       1.208280269623e-01       7.185423394539e+03 
       1.248915118330e-01       6.913290478944e+03 
       1.290846172421e-01       6.618062649485e+03 
       1.334130050815e-01       6.308264775717e+03 
       1.378823465156e-01       5.998286170311e+03 
       1.424983296151e-01       5.703856782675e+03 
       1.472666672230e-01       5.438551605468e+03 
       1.521931059065e-01       5.210485216625e+03 
       1.572834368236e-01       5.019784540573e+03 
       1.625435093173e-01       4.858260060093e+03 
       1.679792480374e-01       4.711803317856e+03 
       1.735966743845e-01       4.564612793430e+03 
       1.794019330679e-01       4.404569080819e+03 
       1.854013245720e-01       4.226464506629e+03 
       1.916013443448e-01       4.036063736170e+03 
       1.980087295558e-01       3.846845875056e+03 
       2.046305143316e-01       3.673480357529e+03 
       2.114740944813e-01       3.523522318665e+03 
       2.185473028719e-01       3.395457372054e+03 
       2.258584968366e-01       3.281073910362e+03 
       2.334166593033e-01       3.169546358219e+03 
       2.412315157525e-01       3.052063950831e+03 
       2.493136696740e-01       2.928029777921e+03 
       2.576747599443e-01       2.804569619134e+03 
       2.663276445348e-01       2.689949175878e+03 
       2.752866162730e-01       2.588311994116e+03 
       2.845676581172e-01       2.496842657723e+03 
       2.941887477225e-01       2.408193285836e+03 
       3.041702241984e-01       2.318299065402e+03 
       3.145352342000e-01       2.228238883889e+03 
       3.253102803360e-01       2.142281049464e+03 
       3.365259030307e-01       2.063128096196e+03 
       3.482175385147e-01       1.988779715017e+03 
       3.604266122375e-01       1.916189774184e+03 
       3.732019513159e-01       1.844242305371e+03 
       3.866016359450e-01       1.775058559637e+03 
       4.006954650041e-01       1.709263681494e+03 
       4.155682973002e-01       1.645738768064e+03 
       4.313246676367e-01       1.583561075957e+03 
       4.480953032358e-01       1.522745586548e+03 
       4.660465496660e-01       1.463660073184e+03 
       4.853943887660e-01       1.405649966844e+03 
       5.064259604585e-01       1.348111624974e+03 
       5.295338477434e-01       1.290960034847e+03 
       5.552731002361e-01       1.233482242331e+03 
       5.844610099585e-01       1.174967200630e+03 
       6.183624492963e-01       1.114415909560e+03 
       6.590590788378e-01       1.050252803383e+03 
       7.102448183302e-01       9.799992993644e+02 
       7.790707443779e-01       8.994310568373e+02 
       8.804419184245e-01       8.014104026744e+02 
       1.043392627875e+00       6.773320663131e+02 
       1.295508999441e+00       5.342073226838e+02 
       1.629845300826e+00       3.995600309140e+02 
       2.051839378426e+00       2.857595297945e+02 
       2.583112700567e+00       1.962822397765e+02 
       3.251946220262e+00       1.303973190781e+02 
       4.093957734476e+00       8.438989801082e+01 
       5.153987426743e+00       5.354063069196e+01 
       6.488485743594e+00       3.347058493136e+01 
       8.168519586675e+00       2.069837136067e+01 
       1.028355688440e+01       1.269918644084e+01 
