# Matter power spectrum P(k) at redshift z=0.5
# for k=1.02956e-05 to 10.3085 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029564654814e-05       3.095912767187e+01 
       1.296145107030e-05       3.861785246752e+01 
       1.631750012613e-05       4.817118074915e+01 
       2.054251556574e-05       6.008776182184e+01 
       2.586149486788e-05       7.495212927370e+01 
       3.255769307616e-05       9.349335413023e+01 
       4.098770716298e-05       1.166206953211e+02 
       5.160046611865e-05       1.454680178933e+02 
       6.496113805719e-05       1.814490457911e+02 
       8.178122747927e-05       2.263259559889e+02 
       1.029564654814e-04       2.822943617247e+02 
       1.296145107030e-04       3.520881041155e+02 
       1.631750012613e-04       4.391076999194e+02 
       2.054251556574e-04       5.475761479747e+02 
       2.586149486788e-04       6.827249837565e+02 
       3.255769307616e-04       8.510111546837e+02 
       4.098770716298e-04       1.060360772065e+03 
       5.160046611865e-04       1.320428921096e+03 
       6.496113805719e-04       1.642856351237e+03 
       8.178122747927e-04       2.041494387754e+03 
       1.029564654814e-03       2.532545816352e+03 
       1.296145107030e-03       3.134492299707e+03 
       1.631750012613e-03       3.867429553155e+03 
       2.054251556574e-03       4.752146320822e+03 
       2.586149486788e-03       5.807678353426e+03 
       3.255769307616e-03       7.047779276584e+03 
       4.098770716298e-03       8.475680450174e+03 
       5.160046611865e-03       1.007650735474e+04 
       6.496113805719e-03       1.180692692269e+04 
       8.178122747927e-03       1.358515053968e+04 
       1.029564654814e-02       1.527347739166e+04 
       1.296145107030e-02       1.667320280194e+04 
       1.631750012558e-02       1.752614392502e+04 
       2.054251393627e-02       1.756212943066e+04 
       2.586081065826e-02       1.662439058370e+04 
       3.249939158915e-02       1.488014342753e+04 
       3.975957719365e-02       1.309308918299e+04 
       4.524189937416e-02       1.204400369089e+04 
       4.938569274489e-02       1.141056945507e+04 
       5.291269536046e-02       1.094500678346e+04 
       5.611544251170e-02       1.055418548607e+04 
       5.913245795787e-02       1.019480703556e+04 
       6.204044914839e-02       9.843872962974e+03 
       6.488693039532e-02       9.488748107578e+03 
       6.770389164571e-02       9.123646662624e+03 
       7.051432676817e-02       8.746977108843e+03 
       7.333567364582e-02       8.361399433893e+03 
       7.618176926718e-02       7.971479874049e+03 
       7.906402912722e-02       7.584004897613e+03 
       8.199219372368e-02       7.206484070568e+03 
       8.497482000074e-02       6.846465385488e+03 
       8.801961555818e-02       6.510678347566e+03 
       9.113367211135e-02       6.204303814829e+03 
       9.432363219730e-02       5.930035245134e+03 
       9.759581033274e-02       5.688023803385e+03 
       1.009562822764e-01       5.475339874556e+03 
       1.044109514421e-01       5.286383847875e+03 
       1.079655986243e-01       5.113349593479e+03 
       1.116259193453e-01       4.947103466356e+03 
       1.153975519322e-01       4.778024840428e+03 
       1.192860986313e-01       4.598504000159e+03 
       1.232971415388e-01       4.403617254039e+03 
       1.274362547764e-01       4.193394159712e+03 
       1.317090141026e-01       3.971995085396e+03 
       1.361210050004e-01       3.747591573023e+03 
       1.406778301812e-01       3.530302803144e+03 
       1.453851173836e-01       3.329746173667e+03 
       1.502485283055e-01       3.152661941417e+03 
       1.552737694845e-01       3.001027422307e+03 
       1.604666059245e-01       2.871220395825e+03 
       1.658328782578e-01       2.755056754310e+03 
       1.713785242235e-01       2.642828948361e+03 
       1.771096052410e-01       2.525204214268e+03 
       1.830323388645e-01       2.396792061245e+03 
       1.891531379185e-01       2.259234051443e+03 
       1.954786571540e-01       2.120305842239e+03 
       2.020158483267e-01       1.989712383745e+03 
       2.087720247011e-01       1.873902461702e+03 
       2.157549361392e-01       1.774629235854e+03 
       2.229728561542e-01       1.687989622951e+03 
       2.304346826201e-01       1.606355716921e+03 
       2.381500542488e-01       1.522469238653e+03 
       2.461294855169e-01       1.434153209086e+03 
       2.543845234738e-01       1.344609848748e+03 
       2.629279308656e-01       1.259987110673e+03 
       2.717739013219e-01       1.185064729193e+03 
       2.809383141081e-01       1.119012834990e+03 
       2.904390382770e-01       1.057224958787e+03 
       3.002962992017e-01       9.953773365926e+02 
       3.105331247522e-01       9.326810932332e+02 
       3.211758942770e-01       8.723314058955e+02 
       3.322550217931e-01       8.171826251982e+02 
       3.438058164705e-01       7.669926108029e+02 
       3.558695803375e-01       7.189701450131e+02 
       3.684950278235e-01       6.714865963901e+02 
       3.817401486635e-01       6.256164253036e+02 
       3.956746920135e-01       5.828855379813e+02 
       4.103835375644e-01       5.427336361582e+02 
       4.259713602619e-01       5.039253642068e+02 
       4.425692271365e-01       4.662611108998e+02 
       4.603441588165e-01       4.305061550747e+02 
       4.795133819548e-01       3.963430977754e+02 
       5.003662694451e-01       3.630371288891e+02 
       5.232994004673e-01       3.308963934956e+02 
       5.488750854938e-01       2.996069752778e+02 
       5.779242090907e-01       2.688244815208e+02 
       6.117382315283e-01       2.383539149182e+02 
       6.524539059717e-01       2.077110297282e+02 
       7.038873194733e-01       1.763646681708e+02 
       7.734767314424e-01       1.435932565399e+02 
       8.767705373041e-01       1.088481302489e+02 
       1.043420054861e+00       7.360967726185e+01 
       1.298415304546e+00       4.457779596378e+01 
       1.633787968599e+00       2.603018331941e+01 
       2.056807790959e+00       1.503027852876e+01 
       2.589367575955e+00       8.599631564445e+00 
       3.259820641841e+00       4.880276317201e+00 
       4.103871043905e+00       2.748970247248e+00 
       5.166467543898e+00       1.538114707442e+00 
       6.504197280224e+00       8.553025481500e-01 
       8.188299239396e+00       4.729574305061e-01 
       1.030845799185e+01       2.601925077601e-01 
