# Matter power spectrum P(k) at redshift z=1
# for k=1.05011e-05 to 10.5151 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050112124291e-05       1.881034588478e+01 
       1.322012838503e-05       2.346367008076e+01 
       1.664315557110e-05       2.926810199159e+01 
       2.095249148090e-05       3.650837305736e+01 
       2.637762396570e-05       4.553958147677e+01 
       3.320746111317e-05       5.680461516366e+01 
       4.180571665654e-05       7.085574229953e+01 
       5.263027905718e-05       8.838152520637e+01 
       6.625759573490e-05       1.102402016418e+02 
       8.341337099506e-05       1.375010310184e+02 
       1.050112124291e-04       1.714952437753e+02 
       1.322012838503e-04       2.138783735764e+02 
       1.664315557110e-04       2.667056839511e+02 
       2.095249148090e-04       3.325217394789e+02 
       2.637762396570e-04       4.144636151607e+02 
       3.320746111317e-04       5.163739456974e+02 
       4.180571665654e-04       6.429142104524e+02 
       5.263027905718e-04       7.996601302345e+02 
       6.625759573490e-04       9.931518872651e+02 
       8.341337099506e-04       1.230866953629e+03 
       1.050112124291e-03       1.521080407164e+03 
       1.322012838503e-03       1.872536589994e+03 
       1.664315557110e-03       2.293727277133e+03 
       2.095249148090e-03       2.791547949563e+03 
       2.637762396570e-03       3.369369580770e+03 
       3.320746111317e-03       4.024519333360e+03 
       4.180571665654e-03       4.745186589514e+03 
       5.263027905718e-03       5.506945576869e+03 
       6.625759573490e-03       6.269543674732e+03 
       8.341337099506e-03       6.974235569226e+03 
       1.050112124291e-02       7.543486771247e+03 
       1.322012838503e-02       7.882919018956e+03 
       1.664315557109e-02       7.890207746044e+03 
       2.095249146397e-02       7.478747876373e+03 
       2.637760100800e-02       6.629018291313e+03 
       3.320237257257e-02       5.461369033024e+03 
       4.155054224783e-02       4.292158445473e+03 
       4.952321527634e-02       3.557816597521e+03 
       5.523109761857e-02       3.215819054609e+03 
       5.977507947353e-02       3.011594125718e+03 
       6.375728083734e-02       2.858823341697e+03 
       6.743201663714e-02       2.725703886249e+03 
       7.092780124239e-02       2.598366778953e+03 
       7.431919083293e-02       2.469947232374e+03 
       7.765396793807e-02       2.337987758129e+03 
       8.096516207070e-02       2.202432898901e+03 
       8.427702685963e-02       2.064945848286e+03 
       8.760828797975e-02       1.928288959409e+03 
       9.097403399588e-02       1.795591394912e+03 
       9.438687922345e-02       1.670109223332e+03 
       9.785771142344e-02       1.554774993098e+03 
       1.013961904572e-01       1.451697200289e+03 
       1.050110910543e-01       1.362244057366e+03 
       1.087105443722e-01       1.286507322996e+03 
       1.125022117216e-01       1.223718298287e+03 
       1.163934115336e-01       1.171871498235e+03 
       1.203912132898e-01       1.128215755270e+03 
       1.245025076031e-01       1.089293136708e+03 
       1.287340587675e-01       1.051519411091e+03 
       1.330925442502e-01       1.011490945636e+03 
       1.375845843807e-01       9.667469906741e+02 
       1.422167646922e-01       9.161897966499e+02 
       1.469956528337e-01       8.604145400434e+02 
       1.519278116141e-01       8.016576826079e+02 
       1.570198095077e-01       7.431692196631e+02 
       1.622782297918e-01       6.884065102661e+02 
       1.677096793957e-01       6.402653462249e+02 
       1.733207984712e-01       6.002216855454e+02 
       1.791182716635e-01       5.680989872777e+02 
       1.851088420307e-01       5.421541486003e+02 
       1.912993285495e-01       5.194259560166e+02 
       1.976966481301e-01       4.967368792634e+02 
       2.043078430587e-01       4.715913737334e+02 
       2.111401147874e-01       4.431958012814e+02 
       2.182008649997e-01       4.126148894717e+02 
       2.254977449091e-01       3.822392143822e+02 
       2.330387138016e-01       3.547299284411e+02 
       2.408321079231e-01       3.315724108221e+02 
       2.488867209549e-01       3.124128184052e+02 
       2.572118975282e-01       2.957911673194e+02 
       2.658176415285e-01       2.799386817195e+02 
       2.747147413493e-01       2.634513950269e+02 
       2.839149148120e-01       2.459757084575e+02 
       2.934309772150e-01       2.285701083050e+02 
       3.032770369586e-01       2.126288085561e+02 
       3.134687244987e-01       1.987581450817e+02 
       3.240234621086e-01       1.866700621841e+02 
       3.349607842232e-01       1.752804523246e+02 
       3.463027212119e-01       1.638210760066e+02 
       3.580742635835e-01       1.524665480834e+02 
       3.703039293022e-01       1.417151976660e+02 
       3.830244647639e-01       1.320370572912e+02 
       3.962737210259e-01       1.232132694000e+02 
       4.100957626434e-01       1.147771608934e+02 
       4.245422893188e-01       1.065364093856e+02 
       4.396744843212e-01       9.875058109742e+01 
       4.555654544638e-01       9.153355218209e+01 
       4.723035046510e-01       8.475096163247e+01 
       4.899966132725e-01       7.826356481375e+01 
       5.087786741258e-01       7.208798797264e+01 
       5.288184027025e-01       6.625058624888e+01 
       5.503323763646e-01       6.071607421421e+01 
       5.736046988901e-01       5.539833958040e+01 
       5.990176808983e-01       5.032330465267e+01 
       6.271016393187e-01       4.544019949682e+01 
       6.586195675590e-01       4.070945101458e+01 
       6.947191802850e-01       3.609901399776e+01 
       7.372240896448e-01       3.154925067207e+01 
       7.892344504508e-01       2.700326535209e+01 
       8.564682807646e-01       2.237679026032e+01 
       9.504324221982e-01       1.757894901608e+01 
       1.095190150761e+00       1.260849642522e+01 
       1.329623849845e+00       7.952315986824e+00 
       1.666708848217e+00       4.610119793282e+00 
       2.098046765394e+00       2.623552983013e+00 
       2.641283049046e+00       1.481327897613e+00 
       3.325178348876e+00       8.305728514017e-01 
       4.186151522147e+00       4.627745085196e-01 
       5.270052528852e+00       2.563634683231e-01 
       6.634603050062e+00       1.412692243342e-01 
       8.352470376890e+00       7.746929594041e-02 
       1.051513720872e+01       4.229368350018e-02 
