# Matter power spectrum P(k) at redshift z=2.5
# for k=1.02089e-05 to 10.2229 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.020889487195e-05       6.997031645194e+00 
       1.285223718063e-05       8.727973910471e+00 
       1.618000798510e-05       1.088711488905e+01 
       2.036942321548e-05       1.358037651696e+01 
       2.564358450956e-05       1.693987568803e+01 
       3.228336018857e-05       2.113039878240e+01 
       4.064234251950e-05       2.635746871541e+01 
       5.116567779264e-05       3.287739258022e+01 
       6.441377198482e-05       4.100976999393e+01 
       8.109213442121e-05       5.115303851475e+01 
       1.020889487195e-04       6.380375802314e+01 
       1.285223718063e-04       7.958045260287e+01 
       1.618000798510e-04       9.925293568072e+01 
       2.036942321548e-04       1.237780812785e+02 
       2.564358450956e-04       1.543428875336e+02 
       3.228336018857e-04       1.924152366459e+02 
       4.064234251950e-04       2.398017307809e+02 
       5.116567779264e-04       2.987100436905e+02 
       6.441377198482e-04       3.718101884579e+02 
       8.109213442121e-04       4.622854574407e+02 
       1.020889487195e-03       5.738609925488e+02 
       1.285223718063e-03       7.107954647380e+02 
       1.618000798510e-03       8.777791366935e+02 
       2.036942321548e-03       1.079761905809e+03 
       2.564358450956e-03       1.321427266960e+03 
       3.228336018857e-03       1.606414413875e+03 
       4.064234251950e-03       1.936171914236e+03 
       5.116567779264e-03       2.305707028834e+03 
       6.441377198482e-03       2.710271492178e+03 
       8.109213442121e-03       3.130491090991e+03 
       1.020889487195e-02       3.536290103483e+03 
       1.285223718063e-02       3.883196239455e+03 
       1.618000798358e-02       4.112918059010e+03 
       2.036941969642e-02       4.163617850970e+03 
       2.564238118021e-02       3.997707990640e+03 
       3.219673435405e-02       3.649111670191e+03 
       3.910208707787e-02       3.287980470512e+03 
       4.418133756815e-02       3.069782374422e+03 
       4.808547157685e-02       2.928325293815e+03 
       5.144170657327e-02       2.819048906154e+03 
       5.450592444085e-02       2.724419805028e+03 
       5.740188477581e-02       2.636093391475e+03 
       6.019917366333e-02       2.549563919000e+03 
       6.294137539733e-02       2.462414337450e+03 
       6.565808523525e-02       2.373527204374e+03 
       6.837072254233e-02       2.282724046291e+03 
       7.109562474250e-02       2.190526796390e+03 
       7.384581943483e-02       2.097971308531e+03 
       7.663210009195e-02       2.006431917750e+03 
       7.946371037698e-02       1.917440137325e+03 
       8.234879653583e-02       1.832509601212e+03 
       8.529471611264e-02       1.752944129102e+03 
       8.830825421504e-02       1.679692972424e+03 
       9.139577829873e-02       1.613197740734e+03 
       9.456335086581e-02       1.553353998241e+03 
       9.781681260721e-02       1.499418638791e+03 
       1.011618443199e-01       1.450132172479e+03 
       1.046040132900e-01       1.403794299551e+03 
       1.081488081373e-01       1.358496852622e+03 
       1.118016650112e-01       1.312404261065e+03 
       1.155679872924e-01       1.264084828333e+03 
       1.194531604723e-01       1.212820796523e+03 
       1.234625635525e-01       1.158806745639e+03 
       1.276015780965e-01       1.103146752186e+03 
       1.318755959220e-01       1.047630730305e+03 
       1.362900263327e-01       9.943250009222e+02 
       1.408503037326e-01       9.450725846716e+02 
       1.455618964271e-01       9.010126505890e+02 
       1.504303173974e-01       8.622383864142e+02 
       1.554611378147e-01       8.277773544811e+02 
       1.606600040563e-01       7.957968061512e+02 
       1.660326589757e-01       7.642907297591e+02 
       1.715849681794e-01       7.316617637622e+02 
       1.773229520690e-01       6.971311790857e+02 
       1.832528244247e-01       6.613520490135e+02 
       1.893810383455e-01       6.260666150456e+02 
       1.957143404256e-01       5.931567751062e+02 
       2.022598341508e-01       5.636685200933e+02 
       2.090250536548e-01       5.375622649208e+02 
       2.160180491972e-01       5.138278185699e+02 
       2.232474860380e-01       4.909458808502e+02 
       2.307227588035e-01       4.676819959872e+02 
       2.384541240057e-01       4.439069429314e+02 
       2.464528541309e-01       4.204773954185e+02 
       2.547314177054e-01       3.985235988735e+02 
       2.633036910642e-01       3.787167413299e+02 
       2.721852092941e-01       3.606751419654e+02 
       2.813934661557e-01       3.434011291531e+02 
       2.909482759371e-01       3.262498502315e+02 
       3.008722144791e-01       3.092754109822e+02 
       3.111911625310e-01       2.931233803360e+02 
       3.219349828761e-01       2.781865513520e+02 
       3.331383744348e-01       2.642439501056e+02 
       3.448419635326e-01       2.507659581146e+02 
       3.570937174919e-01       2.375772622428e+02 
       3.699508031044e-01       2.249422749058e+02 
       3.834820697690e-01       2.130343054418e+02 
       3.977714266902e-01       2.016621603299e+02 
       4.129225274679e-01       1.906373061695e+02 
       4.290654132954e-01       1.799698859217e+02 
       4.463661718134e-01       1.697385305090e+02 
       4.650413862382e-01       1.598295101381e+02 
       4.853804704799e-01       1.501387616332e+02 
       5.077815324131e-01       1.406821701427e+02 
       5.328115787336e-01       1.313492952156e+02 
       5.613130165874e-01       1.220542117696e+02 
       5.946040500585e-01       1.126809010428e+02 
       6.348838521211e-01       1.030512694837e+02 
       6.861192757157e-01       9.291014844942e+01 
       7.561227008082e-01       8.187810538980e+01 
       8.612710440066e-01       6.949237846824e+01 
       1.031573174623e+00       5.584211595487e+01 
       1.287389500724e+00       4.307601033372e+01 
       1.620221841922e+00       3.298513227262e+01 
       2.039733648659e+00       2.508557070580e+01 
       2.567872515745e+00       1.879650440345e+01 
       3.232759964317e+00       1.378152885146e+01 
       4.069803669310e+00       9.836081395004e+00 
       5.123579260307e+00       6.809400098982e+00 
       6.450204130143e+00       4.565733949069e+00 
       8.120325890696e+00       2.968573714069e+00 
       1.022288461585e+01       1.878238622106e+00 
