# Matter power spectrum P(k) at redshift z=0
# for k=2.06309e-07 to 10.3539 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.063090681967e-07       1.195118912891e+00 
       2.597277286363e-07       1.490771628840e+00 
       3.269778377279e-07       1.859563952006e+00 
       4.116407090091e-07       2.319589414994e+00 
       5.182249491006e-07       2.893417591333e+00 
       6.524065574484e-07       3.609201393861e+00 
       8.213311939930e-07       4.502058299725e+00 
       1.033994711617e-06       5.615793266554e+00 
       1.301722218115e-06       7.005047867412e+00 
       1.638771179483e-06       8.737981082886e+00 
       2.063090681967e-06       1.089961326713e+01 
       2.597277286363e-06       1.359599734055e+01 
       3.269778377279e-06       1.695942183454e+01 
       4.116407090091e-06       2.115490101770e+01 
       5.182249491006e-06       2.638827044583e+01 
       6.524065574484e-06       3.291628496534e+01 
       8.213311939930e-06       4.105921429661e+01 
       1.033994711617e-05       5.121655357263e+01 
       1.301722218115e-05       6.388661845937e+01 
       1.638771179483e-05       7.969098392790e+01 
       2.063090681967e-05       9.940496117773e+01 
       2.597277286363e-05       1.239955990028e+02 
       3.269778377279e-05       1.546690563789e+02 
       4.116407090091e-05       1.929296356172e+02 
       5.182249491006e-05       2.406533037341e+02 
       6.524065574484e-05       3.001791739991e+02 
       8.213311939930e-05       3.744231709040e+02 
       1.033994711617e-04       4.670189370017e+02 
       1.301722218115e-04       5.824918892173e+02 
       1.638771179483e-04       7.264730326030e+02 
       2.063090681967e-04       9.059593734666e+02 
       2.597277286363e-04       1.129626995416e+03 
       3.269778377279e-04       1.408200296860e+03 
       4.116407090091e-04       1.754875778075e+03 
       5.182249491006e-04       2.185790969300e+03 
       6.524065574484e-04       2.720518837279e+03 
       8.213311939930e-04       3.382549480587e+03 
       1.033994711617e-03       4.199666281604e+03 
       1.301722218115e-03       5.204004637079e+03 
       1.638771179483e-03       6.431492340907e+03 
       2.063090681967e-03       7.920292839537e+03 
       2.597277286363e-03       9.707770613157e+03 
       3.269778377279e-03       1.182510951787e+04 
       4.116407090091e-03       1.421976954660e+04 
       5.182249491006e-03       1.698484355882e+04 
       6.524065574484e-03       2.001523799802e+04 
       8.213311939930e-03       2.318292945584e+04 
       1.033994711617e-02       2.626488728568e+04 
       1.301722218115e-02       2.892049090862e+04 
       1.638771179357e-02       3.069458404598e+04 
       2.063090376723e-02       3.109405349150e+04 
       2.597168534599e-02       2.980619278900e+04 
       3.261680330980e-02       2.708972412682e+04 
       3.967377190644e-02       2.431038944727e+04 
       4.488848735550e-02       2.271670688903e+04 
       4.888322772066e-02       2.176209293046e+04 
       5.231067986667e-02       2.107706025922e+04 
       5.543659265458e-02       2.051507320158e+04 
       5.838895678431e-02       2.000346383862e+04 
       6.123951961403e-02       1.950040034775e+04 
       6.403311998212e-02       1.898057563415e+04 
       6.680015328303e-02       1.842969767226e+04 
       6.956258776504e-02       1.784208820136e+04 
       7.233716024930e-02       1.721936938895e+04 
       7.513720369417e-02       1.656938307360e+04 
       7.797375517310e-02       1.590495554442e+04 
       8.085626001295e-02       1.524236443118e+04 
       8.379303690187e-02       1.459952224406e+04 
       8.679159506320e-02       1.399399409235e+04 
       8.985885631980e-02       1.344101867747e+04 
       9.300131395614e-02       1.295170176166e+04 
       9.622514834337e-02       1.253152062385e+04 
       9.953631221817e-02       1.217924954438e+04 
       1.029405941793e-01       1.188642236369e+04 
       1.064436662486e-01       1.163751172976e+04 
       1.100511196001e-01       1.141109058818e+04 
       1.137684914191e-01       1.118227264196e+04 
       1.176012851040e-01       1.092654530810e+04 
       1.215549855189e-01       1.062465326682e+04 
       1.256350706736e-01       1.026750441726e+04 
       1.298470209869e-01       9.859504023005e+03 
       1.341963271421e-01       9.418738102341e+03 
       1.386884974537e-01       8.973298214149e+03 
       1.433290656015e-01       8.554465055895e+03 
       1.481235995569e-01       8.188672271333e+03 
       1.530777124971e-01       7.890474310786e+03 
       1.581970764931e-01       7.658222590325e+03 
       1.634874397442e-01       7.473534500336e+03 
       1.689546481275e-01       7.305404891321e+03 
       1.746046718272e-01       7.119340171926e+03 
       1.804436378170e-01       6.889938868760e+03 
       1.864778689850e-01       6.612037703177e+03 
       1.927139307299e-01       6.303855933306e+03 
       1.991586859229e-01       5.998831357066e+03 
       2.058193592337e-01       5.729758003166e+03 
       2.127036119761e-01       5.513506372109e+03 
       2.198196288563e-01       5.343583425368e+03 
       2.271762183168e-01       5.193824475015e+03 
       2.347829286013e-01       5.032603422975e+03 
       2.426501822338e-01       4.841603013922e+03 
       2.507894323698e-01       4.627209985567e+03 
       2.592133454816e-01       4.414650101149e+03 
       2.679360161714e-01       4.228489158603e+03 
       2.769732216733e-01       4.074869635998e+03 
       2.863427259638e-01       3.938705510907e+03 
       2.960646465820e-01       3.797688915303e+03 
       3.061619015976e-01       3.642164104288e+03 
       3.166607601405e-01       3.482471770566e+03 
       3.275915282761e-01       3.335785338378e+03 
       3.389894138861e-01       3.207151544376e+03 
       3.508956313578e-01       3.085871891358e+03 
       3.633588320753e-01       2.960410978662e+03 
       3.764369844161e-01       2.832652239581e+03 
       3.901998846371e-01       2.712297011442e+03 
       4.047325702899e-01       2.600959351041e+03 
       4.201400527002e-01       2.491330996819e+03 
       4.365540243277e-01       2.381010854820e+03 
       4.541426047256e-01       2.274691260858e+03 
       4.731249093843e-01       2.172315234141e+03 
       4.937935510085e-01       2.070100004727e+03 
       5.165507342664e-01       1.969074651109e+03 
       5.419687797144e-01       1.868930224006e+03 
       5.708970449821e-01       1.767523012239e+03 
       6.046627906069e-01       1.664106177250e+03 
       6.454765596221e-01       1.555907927491e+03 
       6.973176616415e-01       1.439273224108e+03 
       7.680068248525e-01       1.307596801590e+03 
       8.739318278450e-01       1.149651704970e+03 
