# Matter power spectrum P(k) at redshift z=2.5
# for k=2.08362e-07 to 10.4546 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.083619607956e-07       1.524946761167e-01 
       2.623121672969e-07       1.902193448697e-01 
       3.302314532329e-07       2.372764746132e-01 
       4.157367682486e-07       2.959747624063e-01 
       5.233815821653e-07       3.691940386727e-01 
       6.588983738529e-07       4.605265562083e-01 
       8.295039066333e-07       5.744532317259e-01 
       1.044283547243e-06       7.165634862879e-01 
       1.314675094743e-06       8.938294704314e-01 
       1.655077885025e-06       1.114948127544e+00 
       2.083619607956e-06       1.390767877499e+00 
       2.623121672969e-06       1.734820851340e+00 
       3.302314532329e-06       2.163986788887e+00 
       4.157367682486e-06       2.699321167384e+00 
       5.233815821653e-06       3.367088174080e+00 
       6.588983738529e-06       4.200049191938e+00 
       8.295039066333e-06       5.239069971548e+00 
       1.044283547243e-05       6.535125263994e+00 
       1.314675094743e-05       8.151799117871e+00 
       1.655077885025e-05       1.016840322686e+01 
       2.083619607956e-05       1.268386572532e+01 
       2.623121672969e-05       1.582158011083e+01 
       3.302314532329e-05       1.973544992068e+01 
       4.157367682486e-05       2.461742130888e+01 
       5.233815821653e-05       3.070686430786e+01 
       6.588983738529e-05       3.830224579994e+01 
       8.295039066333e-05       4.777563278117e+01 
       1.044283547243e-04       5.959067062877e+01 
       1.314675094743e-04       7.432478706973e+01 
       1.655077885025e-04       9.269645513197e+01 
       2.083619607956e-04       1.155983566700e+02 
       2.623121672969e-04       1.441371247805e+02 
       3.302314532329e-04       1.796798353644e+02 
       4.157367682486e-04       2.239062933821e+02 
       5.233815821653e-04       2.788640867440e+02 
       6.588983738529e-04       3.470202034489e+02 
       8.295039066333e-04       4.312993148657e+02 
       1.044283547243e-03       5.350963297353e+02 
       1.314675094743e-03       6.622491372228e+02 
       1.655077885025e-03       8.169422995116e+02 
       2.083619607956e-03       1.003458694933e+03 
       2.623121672969e-03       1.225663538891e+03 
       3.302314532329e-03       1.486232736261e+03 
       4.157367682486e-03       1.785528940490e+03 
       5.233815821653e-03       2.118448461104e+03 
       6.588983738529e-03       2.477687758622e+03 
       8.295039066333e-03       2.843884570015e+03 
       1.044283547243e-02       3.187208936332e+03 
       1.314675094743e-02       3.464150619721e+03 
       1.655077885002e-02       3.618598444680e+03 
       2.083619523336e-02       3.592104870382e+03 
       2.623079345426e-02       3.351803143049e+03 
       3.298153273231e-02       2.937444108010e+03 
       4.056597671961e-02       2.517982065192e+03 
       4.645682689350e-02       2.278134380720e+03 
       5.084842959289e-02       2.143979514540e+03 
       5.455321618045e-02       2.051239816408e+03 
       5.790130587983e-02       1.976542899427e+03 
       6.104621681308e-02       1.909298373848e+03 
       6.407184356524e-02       1.843896940022e+03 
       6.702965804523e-02       1.777236793611e+03 
       6.995406273921e-02       1.707768868832e+03 
       7.286964119253e-02       1.635056394397e+03 
       7.579494611146e-02       1.559516533492e+03 
       7.874463794038e-02       1.482219130736e+03 
       8.173076811282e-02       1.404692017260e+03 
       8.476358777946e-02       1.328716980027e+03 
       8.785207833327e-02       1.256118952580e+03 
       9.100431113810e-02       1.188560657148e+03 
       9.422769820723e-02       1.127357399978e+03 
       9.752917085243e-02       1.073326211936e+03 
       1.009153093197e-01       1.026680051579e+03 
       1.043924381853e-01       9.869741303415e+02 
       1.079666972759e-01       9.531131581818e+02 
       1.116440947422e-01       9.234320695420e+02 
       1.154305469148e-01       8.958642952954e+02 
       1.193319082650e-01       8.682072461882e+02 
       1.233539939343e-01       8.384715861183e+02 
       1.275025967227e-01       8.052648208421e+02 
       1.317835000471e-01       7.681181762169e+02 
       1.362024881249e-01       7.276479291201e+02 
       1.407653544768e-01       6.854650601391e+02 
       1.454779097299e-01       6.438184315606e+02 
       1.503459896401e-01       6.050484071425e+02 
       1.553754642043e-01       5.709968790728e+02 
       1.605722487124e-01       5.425318659550e+02 
       1.659423175673e-01       5.193063867389e+02 
       1.714917216915e-01       4.998218971186e+02 
       1.772266103333e-01       4.818238916475e+02 
       1.831532580783e-01       4.629920426637e+02 
       1.892780978817e-01       4.417548934220e+02 
       1.956077609488e-01       4.179074343514e+02 
       2.021491243302e-01       3.926889180615e+02 
       2.089093671573e-01       3.682041840550e+02 
       2.158960365494e-01       3.464383165283e+02 
       2.231171243733e-01       3.283483064565e+02 
       2.305811562642e-01       3.134617054249e+02 
       2.382972946218e-01       3.001700814288e+02 
       2.462754577268e-01       2.866173880392e+02 
       2.545264576921e-01       2.717601364703e+02 
       2.630621607235e-01       2.559432703705e+02 
       2.718956741725e-01       2.405402192288e+02 
       2.810415661947e-01       2.268897213488e+02 
       2.905161255911e-01       2.153303452248e+02 
       3.003376717645e-01       2.050462998604e+02 
       3.105269278910e-01       1.948234393776e+02 
       3.211074747136e-01       1.840998382739e+02 
       3.321063082881e-01       1.733609531705e+02 
       3.435545332838e-01       1.634891157766e+02 
       3.554882351398e-01       1.547774879585e+02 
       3.679495912192e-01       1.466893084019e+02 
       3.809883057490e-01       1.385902730171e+02 
       3.946634901029e-01       1.305127805977e+02 
       4.090461659755e-01       1.229422701162e+02 
       4.242226562155e-01       1.159988766053e+02 
       4.402992673792e-01       1.093050668017e+02 
       4.574088967924e-01       1.026818756145e+02 
       4.757205843212e-01       9.635896038247e+01 
       4.954537084960e-01       9.036568789794e+01 
       5.168997660760e-01       8.448145641858e+01 
       5.404570383203e-01       7.873870165911e+01 
       5.666881915394e-01       7.315073235115e+01 
       5.964209447922e-01       6.758920710743e+01 
       6.309348073719e-01       6.204245739753e+01 
       6.723324828871e-01       5.639141466925e+01 
       7.243387078089e-01       5.052030444160e+01 
       7.941506217963e-01       4.423600520168e+01 
       8.967555527353e-01       3.730452253505e+01 
       1.061500898177e+00       2.970796217070e+01 
       1.317130552688e+00       2.247958107392e+01 
       1.656952422090e+00       1.687635456367e+01 
       2.085963230641e+00       1.269232413735e+01 
       2.626072078993e+00       9.494893905905e+00 
       3.306028873434e+00       7.013101256108e+00 
       4.162043760891e+00       5.082597716487e+00 
       5.239702655586e+00       3.596847266125e+00 
       6.596394823362e+00       2.477162634970e+00 
       8.304369069358e+00       1.657114985649e+00 
       1.045458125033e+01       1.076644219306e+00 
