# Matter power spectrum P(k) at redshift z=2.5
# for k=2.06165e-07 to 10.3438 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.061646175931e-07       1.606687053058e-01 
       2.595458761008e-07       2.004154940630e-01 
       3.267488989496e-07       2.499949829892e-01 
       4.113524921635e-07       3.118396200289e-01 
       5.178621055894e-07       3.889836003297e-01 
       6.519497645318e-07       4.852117288806e-01 
       8.207561257823e-07       6.052451085833e-01 
       1.033270743633e-06       7.549727646680e-01 
       1.300810796423e-06       9.417405687340e-01 
       1.637623767553e-06       1.174711637578e+00 
       2.061646175931e-06       1.465315886176e+00 
       2.595458761008e-06       1.827810791436e+00 
       3.267488989496e-06       2.279980874259e+00 
       4.113524921635e-06       2.844010211523e+00 
       5.178621055894e-06       3.547570772611e+00 
       6.519497645318e-06       4.425179953713e+00 
       8.207561257823e-06       5.519893866060e+00 
       1.033270743633e-05       6.885419358606e+00 
       1.300810796423e-05       8.588748217293e+00 
       1.637623767553e-05       1.071344241516e+01 
       2.061646175931e-05       1.336373088799e+01 
       2.595458761008e-05       1.666961741277e+01 
       3.267488989496e-05       2.079324743766e+01 
       4.113524921635e-05       2.593684073202e+01 
       5.178621055894e-05       3.235256822918e+01 
       6.519497645318e-05       4.035483632045e+01 
       8.207561257823e-05       5.033553917962e+01 
       1.033270743633e-04       6.278294483532e+01 
       1.300810796423e-04       7.830497940384e+01 
       1.637623767553e-04       9.765773582958e+01 
       2.061646175931e-04       1.217799941169e+02 
       2.595458761008e-04       1.518342782255e+02 
       3.267488989496e-04       1.892542762793e+02 
       4.113524921635e-04       2.357969871193e+02 
       5.178621055894e-04       2.935953419558e+02 
       6.519497645318e-04       3.652031580557e+02 
       8.207561257823e-04       4.536200057978e+02 
       1.033270743633e-03       5.622813067900e+02 
       1.300810796423e-03       6.949985697837e+02 
       1.637623767553e-03       8.558184988755e+02 
       2.061646175931e-03       1.048707752987e+03 
       2.595458761008e-03       1.276943382681e+03 
       3.267488989496e-03       1.542236929005e+03 
       4.113524921635e-03       1.843552876323e+03 
       5.178621055894e-03       2.175493698403e+03 
       6.519497645318e-03       2.526372527399e+03 
       8.207561257823e-03       2.876122588604e+03 
       1.033270743633e-02       3.194306484424e+03 
       1.300810796423e-02       3.439156374669e+03 
       1.637623767538e-02       3.559893559326e+03 
       2.061646115147e-02       3.507131110639e+03 
       2.595425718065e-02       3.257684368607e+03 
       3.264012381938e-02       2.853211094454e+03 
       4.023702945216e-02       2.444836272432e+03 
       4.622651872309e-02       2.204736386330e+03 
       5.066391484341e-02       2.067212540028e+03 
       5.439100701808e-02       1.969187544503e+03 
       5.775138344887e-02       1.888222791602e+03 
       6.090346085831e-02       1.814526325567e+03 
       6.393326349807e-02       1.743163117102e+03 
       6.689332916034e-02       1.671595100259e+03 
       6.981865085007e-02       1.598717872816e+03 
       7.273416462363e-02       1.524400009718e+03 
       7.565864576020e-02       1.449203899673e+03 
       7.860690138180e-02       1.374171566038e+03 
       8.159108281241e-02       1.300630545535e+03 
       8.462151095597e-02       1.230006455454e+03 
       8.770721683188e-02       1.163645172899e+03 
       9.085630758067e-02       1.102651945978e+03 
       9.407622122356e-02       1.047758431846e+03 
       9.737390805005e-02       9.992260613267e+02 
       1.007559621429e-01       9.567934198278e+02 
       1.042287181104e-01       9.196744172134e+02 
       1.077983229714e-01       8.866153924175e+02 
       1.114707899391e-01       8.560207388971e+02 
       1.152520388053e-01       8.261503340866e+02 
       1.191479262995e-01       7.953798761591e+02 
       1.231642689155e-01       7.624899801886e+02 
       1.273068601203e-01       7.269231604879e+02 
       1.315814834689e-01       6.889324458233e+02 
       1.359939228917e-01       6.495550366337e+02 
       1.405499712518e-01       6.103890998533e+02 
       1.452554381603e-01       5.732126653198e+02 
       1.501161579684e-01       5.395404628913e+02 
       1.551379988110e-01       5.102359637912e+02 
       1.603268735501e-01       4.852813466615e+02 
       1.656887534489e-01       4.637714043526e+02 
       1.712296853945e-01       4.441572211871e+02 
       1.769558134829e-01       4.247120741252e+02 
       1.828734057717e-01       4.041084465506e+02 
       1.889888870162e-01       3.818994889651e+02 
       1.953088782141e-01       3.586719421991e+02 
       2.018402438240e-01       3.357538987532e+02 
       2.085901475797e-01       3.145877676316e+02 
       2.155661179247e-01       2.960666973551e+02 
       2.227761242414e-01       2.801523899948e+02 
       2.302286652688e-01       2.659539731736e+02 
       2.379328714088e-01       2.522377598287e+02 
       2.458986230426e-01       2.381182360856e+02 
       2.541366875393e-01       2.235292148184e+02 
       2.626588783953e-01       2.091550581280e+02 
       2.714782409307e-01       1.958642224684e+02 
       2.806092702878e-01       1.840664622854e+02 
       2.900681692151e-01       1.734672175382e+02 
       2.998731554447e-01       1.633802378719e+02 
       3.100448315946e-01       1.533222186310e+02 
       3.206066347715e-01       1.433675121906e+02 
       3.315853888871e-01       1.339485158651e+02 
       3.430119908408e-01       1.253399302534e+02 
       3.549222732324e-01       1.173869424481e+02 
       3.673581028225e-01       1.097426134530e+02 
       3.803687981606e-01       1.022838746477e+02 
       3.940129858867e-01       9.517475606590e+01 
       4.083610700921e-01       8.854205319197e+01 
       4.234985745371e-01       8.227649974669e+01 
       4.395307537479e-01       7.623413314893e+01 
       4.565890924176e-01       7.044072860551e+01 
       4.748406903441e-01       6.494685872524e+01 
       4.945021916185e-01       5.968167913459e+01 
       5.158611211271e-01       5.459487737425e+01 
       5.393097836338e-01       4.969644566509e+01 
       5.654014691575e-01       4.493980406942e+01 
       5.949484348339e-01       4.028658543622e+01 
       6.292031207893e-01       3.569765179729e+01 
       6.702173339903e-01       3.111166698023e+01 
       7.216119450489e-01       2.645206800938e+01 
       7.903547348711e-01       2.161774835058e+01 
       8.909241341782e-01       1.652083059905e+01 
       1.051969902282e+00       1.131337351407e+01 
       1.303362895144e+00       6.880574437113e+00 
       1.639405404605e+00       3.999643213234e+00 
       2.063868547666e+00       2.298192910704e+00 
       2.598256506019e+00       1.309186117486e+00 
       3.271011141768e+00       7.400053693456e-01 
       4.117959048633e+00       4.153398019884e-01 
       5.184203291052e+00       2.316251091653e-01 
       6.526525263013e+00       1.284181632663e-01 
       8.216408504323e+00       7.081778578299e-02 
       1.034384545977e+01       3.886188368541e-02 
