# Matter power spectrum P(k) at redshift z=0
# for k=2.09124e-07 to 10.4958 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.091240788660e-07       1.218295049484e+00 
       2.632716171025e-07       1.519681158680e+00 
       3.314393289744e-07       1.895625221178e+00 
       4.172573937139e-07       2.364571644188e+00 
       5.252959362054e-07       2.949527675578e+00 
       6.613084028012e-07       3.679192174317e+00 
       8.325379533195e-07       4.589363618517e+00 
       1.048103185717e-06       5.724696428707e+00 
       1.319483734682e-06       7.140891771420e+00 
       1.661131604040e-06       8.907430321337e+00 
       2.091240788660e-06       1.111098104281e+01 
       2.632716171025e-06       1.385965320725e+01 
       3.314393289744e-06       1.728830021005e+01 
       4.172573937139e-06       2.156513530666e+01 
       5.252959362054e-06       2.689998365866e+01 
       6.613084028012e-06       3.355457518276e+01 
       8.325379533195e-06       4.185538246171e+01 
       1.048103185717e-05       5.220963212238e+01 
       1.319483734682e-05       6.512527240389e+01 
       1.661131604040e-05       8.123587092472e+01 
       2.091240788660e-05       1.013316531224e+02 
       2.632716171025e-05       1.263981822612e+02 
       3.314393289744e-05       1.576645355171e+02 
       4.172573937139e-05       1.966632545222e+02 
       5.252959362054e-05       2.453048437393e+02 
       6.613084028012e-05       3.059701415785e+02 
       8.325379533195e-05       3.816244491407e+02 
       1.048103185717e-04       4.759577543332e+02 
       1.319483734682e-04       5.935554906427e+02 
       1.661131604040e-04       7.401035478855e+02 
       2.091240788660e-04       9.226288728483e+02 
       2.632716171025e-04       1.149771667892e+03 
       3.314393289744e-04       1.432075370705e+03 
       4.172573937139e-04       1.782265571509e+03 
       5.252959362054e-04       2.215471262327e+03 
       6.613084028012e-04       2.749326949711e+03 
       8.325379533195e-04       3.403873121369e+03 
       1.048103185717e-03       4.201078110947e+03 
       1.319483734682e-03       5.163585865340e+03 
       1.661131604040e-03       6.312280376765e+03 
       2.091240788660e-03       7.662523520967e+03 
       2.632716171025e-03       9.218632909661e+03 
       3.314393289744e-03       1.096678712845e+04 
       4.172573937139e-03       1.286711036339e+04 
       5.252959362054e-03       1.484530200184e+04 
       6.613084028012e-03       1.678592937650e+04 
       8.325379533195e-03       1.852969920590e+04 
       1.048103185717e-02       1.987554796692e+04 
       1.319483734682e-02       2.059110855258e+04 
       1.661131604040e-02       2.043845965331e+04 
       2.091240787961e-02       1.923244892686e+04 
       2.632714990690e-02       1.695584120083e+04 
       3.314080366579e-02       1.392138020744e+04 
       4.154332099610e-02       1.088020971749e+04 
       4.992423666965e-02       8.884050578888e+03 
