# Matter power spectrum P(k) at redshift z=1
# for k=9.11207e-06 to 11.4832 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.112074983192e-06       3.080747484308e+01 
       1.147142275051e-05       3.842868167816e+01 
       1.444166561006e-05       4.793517122874e+01 
       1.818097982513e-05       5.979329861632e+01 
       2.288849751318e-05       7.458469738382e+01 
       2.881491115713e-05       9.303477558696e+01 
       3.627582389430e-05       1.160481707447e+02 
       4.566855653430e-05       1.447528731570e+02 
       5.749330634099e-05       1.805550304632e+02 
       7.237978436074e-05       2.252069141141e+02 
       9.112074983192e-05       2.808908601307e+02 
       1.147142275051e-04       3.503223431678e+02 
       1.444166561006e-04       4.368754341242e+02 
       1.818097982513e-04       5.447332151868e+02 
       2.288849751318e-04       6.790639904512e+02 
       2.881491115713e-04       8.462199913282e+02 
       3.627582389430e-04       1.053947927610e+03 
       4.566855653430e-04       1.311589569115e+03 
       5.749330634099e-04       1.630237996321e+03 
       7.237978436074e-04       2.022806196534e+03 
       9.112074983192e-04       2.503953025556e+03 
       1.147142275051e-03       3.089682398432e+03 
       1.444166561006e-03       3.796502230389e+03 
       1.818097982513e-03       4.639586931683e+03 
       2.288849751318e-03       5.629807309063e+03 
       2.881491115713e-03       6.769626770049e+03 
       3.627582389430e-03       8.047654743155e+03 
       4.566855653430e-03       9.431254187000e+03 
       5.749330634099e-03       1.085800283379e+04 
       7.237978436074e-03       1.222710335939e+04 
       9.112074983192e-03       1.338897093212e+04 
       1.147142275051e-02       1.414362645817e+04 
       1.444166561003e-02       1.425107848802e+04 
       1.818097968605e-02       1.349019819027e+04 
       2.288839052370e-02       1.179334452597e+04 
       2.879997593427e-02       9.453888401248e+03 
       3.577498194769e-02       7.281481959336e+03 
       4.167296100336e-02       6.135705658288e+03 
       4.594727750091e-02       5.625656578593e+03 
       4.946925842079e-02       5.337947440162e+03 
       5.261255910002e-02       5.137404181780e+03 
       5.554349833840e-02       4.968293348413e+03 
       5.835000124007e-02       4.801911732243e+03 
       6.108474316909e-02       4.622909644454e+03 
       6.378230234228e-02       4.423658486925e+03 
       6.646703579704e-02       4.202056748756e+03 
       6.915710800804e-02       3.960345508708e+03 
       7.186672819529e-02       3.704232787046e+03 
       7.460747540894e-02       3.441545935699e+03 
       7.738912483487e-02       3.181790055368e+03 
       8.022018516206e-02       2.934107089598e+03 
       8.310826034344e-02       2.707068350133e+03 
       8.606030020051e-02       2.507261504032e+03 
       8.908277815816e-02       2.338864191429e+03 
       9.218181972141e-02       2.203371021517e+03 
       9.536329674264e-02       2.099497823199e+03 
       9.863289735818e-02       2.023065046038e+03 
       1.019961782613e-01       1.967487523461e+03 
       1.054586039347e-01       1.923857058113e+03 
       1.090255761403e-01       1.882036577430e+03 
       1.127024560911e-01       1.832155143433e+03 
       1.164945811509e-01       1.766157938040e+03 
       1.204072775226e-01       1.679846166398e+03 
       1.244458701275e-01       1.574187663408e+03 
       1.286156907126e-01       1.455280209126e+03 
       1.329220851076e-01       1.332914429895e+03 
       1.373704204921e-01       1.218065884454e+03 
       1.419660934797e-01       1.120130452945e+03 
       1.467145398084e-01       1.044469943936e+03 
       1.516212464006e-01       9.913946937705e+02 
       1.566917665524e-01       9.563862760737e+02 
       1.619317389966e-01       9.311201569062e+02 
       1.673469115873e-01       9.041719730627e+02 
       1.729431703498e-01       8.663241747567e+02 
       1.787265746573e-01       8.141845300753e+02 
       1.847033993193e-01       7.514582115618e+02 
       1.908801844198e-01       6.864706797648e+02 
       1.972637938278e-01       6.285097335355e+02 
       2.038614834306e-01       5.840690143081e+02 
       2.106809803305e-01       5.537072516544e+02 
       2.177305745102e-01       5.321078969300e+02 
       2.250192248369e-01       5.111004412640e+02 
       2.325566817693e-01       4.839960390148e+02 
       2.403536297835e-01       4.494159312972e+02 
       2.484218534063e-01       4.123642074084e+02 
       2.567744318894e-01       3.797586349477e+02 
       2.654259690791e-01       3.551095423293e+02 
       2.743928670627e-01       3.368660083964e+02 
       2.836936548889e-01       3.197162124294e+02 
       2.933493873488e-01       2.995035965839e+02 
       3.033841338603e-01       2.766510238769e+02 
       3.138255845326e-01       2.550474400324e+02 
       3.247058104086e-01       2.376323133299e+02 
       3.360622291004e-01       2.232514630690e+02 
       3.479388477599e-01       2.088158760752e+02 
       3.603878861034e-01       1.931161961562e+02 
       3.734719288441e-01       1.779075310452e+02 
       3.872668291347e-01       1.648973753845e+02 
       4.018656993028e-01       1.531657594964e+02 
       4.173845122140e-01       1.410686331164e+02 
       4.339701510153e-01       1.292121748009e+02 
       4.518122917815e-01       1.186070279499e+02 
       4.711614914077e-01       1.083763594610e+02 
       4.923577168121e-01       9.821817629372e+01 
       5.158772452135e-01       8.869675271380e+01 
       5.424136071724e-01       7.933590526920e+01 
       5.730255267396e-01       7.018766043078e+01 
       6.094261420176e-01       6.111418124688e+01 
       6.545935297200e-01       5.199513874663e+01 
       7.141635062378e-01       4.262941266905e+01 
       7.997211863629e-01       3.285053713389e+01 
       9.349354120893e-01       2.282568675686e+01 
       1.150311813428e+00       1.397631905909e+01 
       1.445691774236e+00       8.066081949527e+00 
       1.819970803592e+00       4.597052327487e+00 
       2.291207315144e+00       2.599509088207e+00 
       2.884459112629e+00       1.459632976391e+00 
       3.631318876170e+00       8.143425483593e-01 
       4.571559611538e+00       4.516821625807e-01 
       5.755252566497e+00       2.491786151965e-01 
       7.245433707256e+00       1.367844043486e-01 
       9.121460613535e+00       7.474696472835e-02 
       1.148323855906e+01       4.067308129232e-02 
