# Matter power spectrum P(k) at redshift z=2.5
# for k=8.85559e-06 to 11.1608 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.855592869273e-06       1.337563469803e+01 
       1.114853089963e-05       1.668449896752e+01 
       1.403516885372e-05       2.081187529683e+01 
       1.766923072877e-05       2.596020561920e+01 
       2.224424357130e-05       3.238196624727e+01 
       2.800384349805e-05       4.039200869900e+01 
       3.525475020760e-05       5.038289574070e+01 
       4.438310092281e-05       6.284396851933e+01 
       5.587501360594e-05       7.838494641017e+01 
       7.034247451287e-05       9.776505709285e+01 
       8.855592869273e-05       1.219287358905e+02 
       1.114853089963e-04       1.520489014578e+02 
       1.403516885372e-04       1.895785308602e+02 
       1.766923072877e-04       2.363102957850e+02 
       2.224424357130e-04       2.944420045894e+02 
       2.800384349805e-04       3.666415234899e+02 
       3.525475020760e-04       4.560975563168e+02 
       4.438310092281e-04       5.665314196444e+02 
       5.587501360594e-04       7.021315159510e+02 
       7.034247451287e-04       8.673656821392e+02 
       8.855592869273e-04       1.066644147526e+03 
       1.114853089963e-03       1.303844582635e+03 
       1.403516885372e-03       1.581666746449e+03 
       1.766923072877e-03       1.900538671981e+03 
       2.224424357130e-03       2.256901453040e+03 
       2.800384349805e-03       2.641625261238e+03 
       3.525475020760e-03       3.038744799513e+03 
       4.438310092281e-03       3.424402530573e+03 
       5.587501360594e-03       3.766984933900e+03 
       7.034247451287e-03       4.028707644495e+03 
       8.855592869273e-03       4.167381613530e+03 
       1.114853089963e-02       4.141391640716e+03 
       1.403516885372e-02       3.914293526251e+03 
       1.766923072857e-02       3.466974913853e+03 
       2.224424280293e-02       2.820517443272e+03 
       2.800344262795e-02       2.067779977976e+03 
       3.521396311400e-02       1.382252159595e+03 
       4.336237488562e-02       9.579953600676e+02 
       4.973863972937e-02       8.048024562968e+02 
       5.447699571583e-02       7.469020414058e+02 
       5.846551879811e-02       7.149737055360e+02 
       6.206577941561e-02       6.890775467935e+02 
       6.544519278549e-02       6.616126402155e+02 
       6.869495526502e-02       6.294793006792e+02 
       7.187088946533e-02       5.918718028148e+02 
       7.501024020000e-02       5.493958259239e+02 
       7.813958465767e-02       5.035642557244e+02 
       8.127895664229e-02       4.563989901108e+02 
       8.444417118341e-02       4.100810026698e+02 
       8.764821763378e-02       3.666550905994e+02 
       9.090213671392e-02       3.277942268360e+02 
       9.421559536208e-02       2.946537325485e+02 
       9.759727624291e-02       2.678275571808e+02 
       1.010551490204e-01       2.473489616159e+02 
       1.045966635921e-01       2.327582842904e+02 
       1.082288902562e-01       2.231854123430e+02 
       1.119586228274e-01       2.173868003953e+02 
       1.157924552817e-01       2.138317117111e+02 
       1.197368391072e-01       2.107996829097e+02 
       1.237981263694e-01       2.065923310121e+02 
       1.279826020855e-01       1.998153704652e+02 
       1.322965085670e-01       1.897060594200e+02 
       1.367460637735e-01       1.763532244126e+02 
       1.413374753065e-01       1.606898961312e+02 
       1.460769513954e-01       1.442583538809e+02 
       1.509707100538e-01       1.287599052029e+02 
       1.560249874608e-01       1.156199296494e+02 
       1.612460465553e-01       1.056308474620e+02 
       1.666401867784e-01       9.889353229717e+01 
       1.722137558770e-01       9.481115723188e+01 
       1.779731646570e-01       9.228446014573e+01 
       1.839249055668e-01       8.994863935289e+01 
       1.900755759810e-01       8.656365419147e+01 
       1.964319070523e-01       8.146746368725e+01 
       2.030007990042e-01       7.490134517209e+01 
       2.097893637534e-01       6.776761766885e+01 
       2.168049757894e-01       6.121182273535e+01 
       2.240553323046e-01       5.603850755801e+01 
       2.315485236766e-01       5.235550174297e+01 
       2.392931155681e-01       4.972380811975e+01 
       2.472982441462e-01       4.748473289915e+01 
       2.555737262563e-01       4.497576242688e+01 
       2.641301868362e-01       4.184747649241e+01 
       2.729792064703e-01       3.836285595038e+01 
       2.821334927902e-01       3.509617948615e+01 
       2.916070805049e-01       3.241324371762e+01 
       3.014155662610e-01       3.034219477275e+01 
       3.115763864159e-01       2.856038016061e+01 
       3.221091483161e-01       2.669929809901e+01 
       3.330360290501e-01       2.470881960424e+01 
       3.443822602301e-01       2.273289779417e+01 
       3.561767236749e-01       2.099780274925e+01 
       3.684526916634e-01       1.953181760592e+01 
       3.812487578902e-01       1.816919085736e+01 
       3.946100231679e-01       1.680018856889e+01 
       4.085896261348e-01       1.547065552444e+01 
       4.232507483167e-01       1.426349106403e+01 
       4.386692823808e-01       1.315830202384e+01 
       4.549374450445e-01       1.211027796436e+01 
       4.721687639303e-01       1.111025843703e+01 
       4.905051102391e-01       1.016263457228e+01 
       5.101268596710e-01       9.283387153310e+00 
       5.312679834417e-01       8.445036343276e+00 
       5.542391823136e-01       7.646785845497e+00 
       5.794646745977e-01       6.889339809508e+00 
       6.075432556577e-01       6.161931915289e+00 
       6.393548740347e-01       5.460533661992e+00 
       6.762580306102e-01       4.779295384396e+00 
       7.204817020293e-01       4.108063441395e+00 
       7.759667304377e-01       3.438004952371e+00 
       8.503119953786e-01       2.756807727598e+00 
       9.593245368990e-01       2.056356786941e+00 
       1.134126391106e+00       1.363950855805e+00 
       1.406199801858e+00       8.001656824848e-01 
       1.768882020077e+00       4.499380041186e-01 
       2.226870838791e+00       2.508841896270e-01 
       2.803464237058e+00       1.390865842262e-01 
       3.529352369071e+00       7.669859439097e-02 
       4.443191384600e+00       4.208828676078e-02 
       5.593646543537e+00       2.299292621853e-02 
       7.041983778254e+00       1.250872291255e-02 
       8.865332327886e+00       6.778858364255e-03 
       1.116079215158e+01       3.660396414959e-03 
