# Matter power spectrum P(k) at redshift z=0
# for k=8.1417e-06 to 10.2637 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.141701453016e-06       1.046478672954e+02 
       1.024979485444e-05       1.305356448396e+02 
       1.290372720794e-05       1.628273415799e+02 
       1.624483008893e-05       2.031068219152e+02 
       2.045102940923e-05       2.533493229373e+02 
       2.574632062063e-05       3.160184124418e+02 
       3.241269728952e-05       3.941855566755e+02 
       4.080516828256e-05       4.916796298990e+02 
       5.137066328346e-05       6.132717098537e+02 
       6.467183342826e-05       7.649033489817e+02 
       8.141701453016e-05       9.539667413063e+02 
       1.024979485444e-04       1.189645014654e+03 
       1.290372720794e-04       1.483319524044e+03 
       1.624483008893e-04       1.849045038100e+03 
       2.045102940923e-04       2.304081794398e+03 
       2.574632062063e-04       2.869451662473e+03 
       3.241269728952e-04       3.570452057993e+03 
       4.080516828256e-04       4.437022869214e+03 
       5.137066328346e-04       5.503832464452e+03 
       6.467183342826e-04       6.809917868487e+03 
       8.141701453016e-04       8.397543166687e+03 
       1.024979485444e-03       1.030948383718e+04 
       1.290372720794e-03       1.258363850576e+04 
       1.624483008893e-03       1.524539576999e+04 
       2.045102940923e-03       1.829559570542e+04 
       2.574632062063e-03       2.169638240028e+04 
       3.241269728952e-03       2.535560270627e+04 
       4.080516828256e-03       2.910738200882e+04 
       5.137066328346e-03       3.266458660748e+04 
       6.467183342826e-03       3.573766038458e+04 
       8.141701453016e-03       3.784437753715e+04 
       1.024979485444e-02       3.845511598999e+04 
       1.290372720794e-02       3.700437499175e+04 
       1.624483007841e-02       3.308506498158e+04 
       2.045101433284e-02       2.681513325424e+04 
       2.574282519995e-02       1.932440635185e+04 
       3.223061828526e-02       1.286083065133e+04 
       3.849663326936e-02       9.581861022159e+03 
       4.298693376301e-02       8.492462118922e+03 
       4.654897434347e-02       8.069569920166e+03 
       4.966473399795e-02       7.862874162404e+03 
       5.253687309291e-02       7.710372218219e+03 
       5.526734540446e-02       7.536498793413e+03 
       5.791511002615e-02       7.301588097187e+03 
       6.051786450986e-02       6.988751260484e+03 
       6.310161928950e-02       6.596762689439e+03 
       6.568544522391e-02       6.136657944019e+03 
       6.828404787845e-02       5.628624950349e+03 
       7.090926367750e-02       5.099482065268e+03 
       7.357097878999e-02       4.576504200356e+03 
       7.627771930172e-02       4.086702806072e+03 
       7.903704445632e-02       3.651147695913e+03 
       8.185581675993e-02       3.284961730965e+03 
       8.474039221490e-02       2.995994909952e+03 
       8.769675706426e-02       2.785030675005e+03 
       9.073062769289e-02       2.646769189881e+03 
       9.384752451337e-02       2.570568145282e+03 
       9.705282708117e-02       2.540855863727e+03 
       1.003518154195e-01       2.537470962785e+03 
       1.037497010737e-01       2.537095843807e+03 
       1.072516504579e-01       2.515295982036e+03 
       1.108628024219e-01       2.452006029923e+03 
       1.145882815454e-01       2.336470183404e+03 
       1.184332083842e-01       2.171412148368e+03 
       1.224027077076e-01       1.971789477062e+03 
       1.265019156471e-01       1.762171074177e+03 
       1.307359865947e-01       1.568371344205e+03 
       1.351101006456e-01       1.410738428881e+03 
       1.396294723457e-01       1.300160421380e+03 
       1.442993614854e-01       1.236545291960e+03 
       1.491250866727e-01       1.209899230875e+03 
       1.541120424035e-01       1.203578250867e+03 
       1.592657203485e-01       1.194432300334e+03 
       1.645917355718e-01       1.161574036196e+03 
       1.700958584071e-01       1.096133252395e+03 
       1.757840527356e-01       1.005312468754e+03 
       1.816625214557e-01       9.070492202836e+02 
       1.877377599976e-01       8.206300017516e+02 
       1.940166188520e-01       7.589610063131e+02 
       2.005063762389e-01       7.241207000041e+02 
       2.072148222735e-01       7.066253957030e+02 
       2.141503563070e-01       6.908290303008e+02 
       2.213220995454e-01       6.631903950523e+02 
       2.287400256322e-01       6.198694989839e+02 
       2.364151126389e-01       5.693881537755e+02 
       2.443595209218e-01       5.251279650326e+02 
       2.525868026366e-01       4.942121834997e+02 
       2.611121504829e-01       4.746397351800e+02 
       2.699526956245e-01       4.576394258656e+02 
       2.791278679504e-01       4.350558476854e+02 
       2.886598362306e-01       4.068624563614e+02 
       2.985740518050e-01       3.792560526248e+02 
       3.088999279797e-01       3.578443667982e+02 
       3.196716994811e-01       3.414373724479e+02 
       3.309295239627e-01       3.251941896755e+02 
       3.427209136071e-01       3.065614392342e+02 
       3.551026240753e-01       2.878488238176e+02 
       3.681431883504e-01       2.718737499221e+02 
       3.819263779818e-01       2.580041732173e+02 
       3.965560277215e-01       2.436476917833e+02 
       4.121629150072e-01       2.290081846363e+02 
       4.289148250081e-01       2.158703763986e+02 
       4.470317155789e-01       2.033544986272e+02 
       4.668093538130e-01       1.906718051961e+02 
       4.886576373521e-01       1.785763196800e+02 
       5.131656597349e-01       1.666709294851e+02 
       5.412183611150e-01       1.547418181933e+02 
       5.742194986664e-01       1.427310215258e+02 
       6.145506084190e-01       1.303359327169e+02 
       6.665937775689e-01       1.171885246944e+02 
       7.391480850663e-01       1.027318306513e+02 
       8.506315175910e-01       8.635031033193e+01 
       1.031291474096e+00       6.855285866838e+01 
       1.292279089719e+00       5.260769621306e+01 
       1.626694235316e+00       4.014976831152e+01 
       2.047885481471e+00       3.044316381277e+01 
       2.578135071798e+00       2.281183441815e+01 
       3.245679756924e+00       1.681447848527e+01 
       4.086068724538e+00       1.214449419078e+01 
       5.144055751658e+00       8.568783969364e+00 
       6.475982505448e+00       5.894850272428e+00 
       8.152778942443e+00       3.953113400663e+00 
       1.026374058738e+01       2.588083638095e+00 
