# Matter power spectrum P(k) at redshift z=1.5
# for k=8.92739e-06 to 11.2546 h/Mpc,
# number of wavenumbers equal to 123
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.927393167892e-06       2.371194692717e+01 
       1.123892212014e-05       2.957781851769e+01 
       1.414896465822e-05       3.689472707445e+01 
       1.781249115881e-05       4.602159148087e+01 
       2.242459776718e-05       5.740598517969e+01 
       2.823089597836e-05       7.160611000145e+01 
       3.554059234488e-05       8.931798794893e+01 
       4.474295485319e-05       1.114092521736e+02 
       5.632804286344e-05       1.389611047346e+02 
       7.091280455741e-05       1.733200930285e+02 
       8.927393167892e-05       2.161616864070e+02 
       1.123892212014e-04       2.695675955171e+02 
       1.414896465822e-04       3.361183672236e+02 
       1.781249115881e-04       4.190014579605e+02 
       2.242459776718e-04       5.221319923240e+02 
       2.823089597836e-04       6.502774502551e+02 
       3.554059234488e-04       8.091672525646e+02 
       4.474295485319e-04       1.005553266002e+03 
       5.632804286344e-04       1.247171874456e+03 
       7.091280455741e-04       1.542554421444e+03 
       8.927393167892e-04       1.900648618316e+03 
       1.123892212014e-03       2.330193942235e+03 
       1.414896465822e-03       2.838598715552e+03 
       1.781249115881e-03       3.429899819039e+03 
       2.242459776718e-03       4.102016264498e+03 
       2.823089597836e-03       4.843718353658e+03 
       3.554059234488e-03       5.631423597586e+03 
       4.474295485319e-03       6.426029403906e+03 
       5.632804286344e-03       7.171071667008e+03 
       7.091280455741e-03       7.792899431241e+03 
       8.927393167892e-03       8.201988868844e+03 
       1.123892212014e-02       8.299459945341e+03 
       1.414896465822e-02       7.987996649463e+03 
       1.781249115665e-02       7.201344976351e+03 
       2.242459308878e-02       5.962453085467e+03 
       2.822937436199e-02       4.463747481199e+03 
       3.543548610176e-02       3.095143191425e+03 
       4.295157687587e-02       2.298561901427e+03 
       4.845165063700e-02       2.007883866833e+03 
       5.269670815257e-02       1.880887962825e+03 
       5.635458326339e-02       1.804223604061e+03 
       5.969848852485e-02       1.740933985575e+03 
       6.286124578730e-02       1.675312973739e+03 
       6.591781191937e-02       1.600265899406e+03 
       6.891526141211e-02       1.513409291831e+03 
       7.188562577663e-02       1.415345777392e+03 
       7.485212647851e-02       1.308823708567e+03 
       7.783250034906e-02       1.197937128938e+03 
       8.084090788254e-02       1.087404379985e+03 
       8.388909335457e-02       9.819142661069e+02 
       8.698712375534e-02       8.855987167574e+02 
       9.014387778500e-02       8.015838215426e+02 
       9.336737982819e-02       7.317668227622e+02 
       9.666503407605e-02       6.768498664817e+02 
       1.000437921853e-01       6.361645695077e+02 
       1.035102754043e-01       6.080667285691e+02 
       1.070708647001e-01       5.899210887754e+02 
       1.107317678920e-01       5.781967007450e+02 
       1.144990699487e-01       5.688633713905e+02 
       1.183787707750e-01       5.577034929345e+02 
       1.223768136188e-01       5.410541932648e+02 
       1.264991064382e-01       5.165403427611e+02 
       1.307515380409e-01       4.837822645693e+02 
       1.351399904586e-01       4.445556793121e+02 
       1.396703487869e-01       4.023642490776e+02 
       1.443485095683e-01       3.614531454705e+02 
       1.491803887003e-01       3.256967427342e+02 
       1.541719297869e-01       2.976104979586e+02 
       1.593291138147e-01       2.779306614540e+02 
       1.646579710099e-01       2.656041796077e+02 
       1.701645957173e-01       2.580363188087e+02 
       1.758551651321e-01       2.517245104085e+02 
       1.817359627079e-01       2.432454512243e+02 
       1.878134070636e-01       2.303993261265e+02 
       1.940940872198e-01       2.131503279028e+02 
       2.005848050128e-01       1.936751229725e+02 
       2.072926255815e-01       1.751816472011e+02 
       2.142249368892e-01       1.601137687888e+02 
       2.213895193626e-01       1.492183873186e+02 
       2.287946268985e-01       1.417407718978e+02 
       2.364490807373e-01       1.358633015082e+02 
       2.443623780451e-01       1.293459252135e+02 
       2.525448175121e-01       1.209317191097e+02 
       2.610076448990e-01       1.111696018093e+02 
       2.697632222932e-01       1.016235977184e+02 
       2.788252259333e-01       9.369907342648e+01 
       2.882088789107e-01       8.775588926952e+01 
       2.979312269827e-01       8.284089054020e+01 
       3.080114683073e-01       7.781308335799e+01 
       3.184713513782e-01       7.221128516781e+01 
       3.293356601761e-01       6.644152258277e+01 
       3.406328120822e-01       6.134354194787e+01 
       3.523956032522e-01       5.709740298829e+01 
       3.646621491448e-01       5.328603692253e+01 
       3.774770866854e-01       4.939216478081e+01 
       3.908931321552e-01       4.553024139278e+01 
       4.049731303023e-01       4.196318656762e+01 
       4.197927935518e-01       3.877014293197e+01 
       4.354444295132e-01       3.576520666624e+01 
       4.520421146505e-01       3.282780380252e+01 
       4.697290360824e-01       3.004477331758e+01 
       4.886881744989e-01       2.748124323163e+01 
       5.091582995201e-01       2.501627707930e+01 
       5.314587204932e-01       2.265286812989e+01 
       5.560290764570e-01       2.041391574501e+01 
       5.834962273334e-01       1.825267579765e+01 
       6.147927809871e-01       1.616119702260e+01 
       6.513805545766e-01       1.411314282154e+01 
       6.957033959543e-01       1.208780831910e+01 
       7.521804761759e-01       1.004757804304e+01 
       8.295369422943e-01       7.957045195817e+00 
       9.460698902884e-01       5.801371331600e+00 
       1.134926236910e+00       3.728423518127e+00 
       1.417259065237e+00       2.158492240039e+00 
       1.783730242532e+00       1.217009973227e+00 
       2.245578861287e+00       6.810922794845e-01 
       2.827016285764e+00       3.788679591807e-01 
       3.559002641704e+00       2.095621670655e-01 
       4.480518866283e+00       1.153240755075e-01 
       5.640639058787e+00       6.316476372443e-02 
       7.101143849866e+00       3.444492486675e-02 
       8.939810445402e+00       1.870794873818e-02 
       1.125455454634e+01       1.012220311784e-02 
