# Matter power spectrum P(k) at redshift z=1
# for k=1.20088e-05 to 12.0223 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.200876854369e-05       1.134690691372e+01 
       1.511814388401e-05       1.415392812480e+01 
       1.903261551474e-05       1.765532874765e+01 
       2.396064332441e-05       2.202288413612e+01 
       3.016466276403e-05       2.747082125916e+01 
       3.797506049184e-05       3.426632617784e+01 
       4.780776866760e-05       4.274261552907e+01 
       6.018641485682e-05       5.331517598167e+01 
       7.577020710804e-05       6.650198679573e+01 
       9.538903918522e-05       8.294857542065e+01 
       1.200876854369e-04       1.034589971973e+02 
       1.511814388401e-04       1.290339339544e+02 
       1.903261551474e-04       1.609171358255e+02 
       2.396064332441e-04       2.006512949914e+02 
       3.016466276403e-04       2.501438130071e+02 
       3.797506049184e-04       3.117415689506e+02 
       4.780776866760e-04       3.883111869753e+02 
       6.018641485682e-04       4.833172398467e+02 
       7.577020710804e-04       6.008858919629e+02 
       9.538903918522e-04       7.458375613286e+02 
       1.200876854369e-03       9.236685099741e+02 
       1.511814388401e-03       1.140440947429e+03 
       1.903261551474e-03       1.402477057630e+03 
       2.396064332441e-03       1.715713053395e+03 
       3.016466276403e-03       2.084690858354e+03 
       3.797506049184e-03       2.511122528835e+03 
       4.780776866760e-03       2.991912776346e+03 
       6.018641485682e-03       3.516719268847e+03 
       7.577020710804e-03       4.065253982236e+03 
       9.538903918522e-03       4.604215244315e+03 
       1.200876854369e-02       5.085658906212e+03 
       1.511814388401e-02       5.446501752722e+03 
       1.903261551473e-02       5.611583981670e+03 
       2.396064324769e-02       5.508730265120e+03 
       3.016458913161e-02       5.101665245711e+03 
       3.796275112614e-02       4.441889277948e+03 
       4.732344514898e-02       3.725455055294e+03 
       5.562728153045e-02       3.257151312851e+03 
       6.159073830823e-02       3.007550896145e+03 
       6.644114778163e-02       2.839922506093e+03 
       7.074047198800e-02       2.706320679526e+03 
       7.473352036967e-02       2.587557330085e+03 
       7.854747995938e-02       2.474615724534e+03 
       8.225760711946e-02       2.363040925339e+03 
       8.591284551447e-02       2.250916489552e+03 
       8.954741868351e-02       2.137915977347e+03 
       9.318669500886e-02       2.024855220595e+03 
       9.685041738817e-02       1.913199650609e+03 
       1.005546032878e-01       1.804809856975e+03 
       1.043127231927e-01       1.701586167889e+03 
       1.081364635882e-01       1.605351864952e+03 
       1.120362387262e-01       1.517463301641e+03 
       1.160215440707e-01       1.438788590999e+03 
       1.201012063505e-01       1.369435548666e+03 
       1.242835639515e-01       1.308840783977e+03 
       1.285765990757e-01       1.255697318340e+03 
       1.329880356824e-01       1.208120577152e+03 
       1.375254126429e-01       1.163810160759e+03 
       1.421961386277e-01       1.120374045123e+03 
       1.470075333598e-01       1.075663452372e+03 
       1.519668586303e-01       1.028141287376e+03 
       1.570813416492e-01       9.772307346394e+02 
       1.623581927583e-01       9.234863947305e+02 
       1.678046191678e-01       8.684273334356e+02 
       1.734278361400e-01       8.143482065756e+02 
       1.792350768860e-01       7.635082638164e+02 
       1.852336023420e-01       7.178140363333e+02 
       1.914307119305e-01       6.781302794693e+02 
       1.978337563711e-01       6.442302943650e+02 
       2.044501535823e-01       6.147126494185e+02 
       2.112874086995e-01       5.874525901738e+02 
       2.183531392208e-01       5.602662385946e+02 
       2.256551062911e-01       5.315793526296e+02 
       2.332012531329e-01       5.010503541058e+02 
       2.409997516476e-01       4.696111882031e+02 
       2.490590582484e-01       4.390114515831e+02 
       2.573879800460e-01       4.110720394345e+02 
       2.659957526216e-01       3.866923558966e+02 
       2.748921307847e-01       3.654240945145e+02 
       2.840874939598e-01       3.460174630512e+02 
       2.935929681929e-01       3.272257358984e+02 
       3.034205672440e-01       3.082056211264e+02 
       3.135833558763e-01       2.888669560809e+02 
       3.240956393125e-01       2.700763356633e+02 
       3.349731839647e-01       2.527776180817e+02 
       3.462334760503e-01       2.372684707931e+02 
       3.578960266977e-01       2.231966577632e+02 
       3.699827347969e-01       2.097521301314e+02 
       3.825183224036e-01       1.964488166489e+02 
       3.955308623234e-01       1.835227601825e+02 
       4.090524240951e-01       1.713483102281e+02 
       4.231198737539e-01       1.601778243209e+02 
       4.377758756466e-01       1.497719916334e+02 
       4.530701630203e-01       1.397810599979e+02 
       4.690611709372e-01       1.301295333031e+02 
       4.858181648298e-01       1.210138374086e+02 
       5.034240581082e-01       1.124770067567e+02 
       5.219792050910e-01       1.043768147864e+02 
       5.416066024937e-01       9.662091296334e+01 
       5.624591716298e-01       8.923791450959e+01 
       5.847301936202e-01       8.221871212340e+01 
       6.086686628727e-01       7.551380994767e+01 
       6.346025702357e-01       6.906381600689e+01 
       6.629754658988e-01       6.287269492424e+01 
       6.944062593199e-01       5.688148809863e+01 
       7.297918043641e-01       5.105079781788e+01 
       7.704930653663e-01       4.533090818003e+01 
       8.186960597682e-01       3.964963868697e+01 
       8.781667970405e-01       3.392734575766e+01 
       9.559593992741e-01       2.804881035069e+01 
       1.066460048560e+00       2.189071752015e+01 
       1.239430320333e+00       1.550323982714e+01 
       1.517378085296e+00       9.669096141696e+00 
       1.905490918863e+00       5.629302341443e+00 
       2.398761577616e+00       3.228211690011e+00 
       3.019861402415e+00       1.835539959942e+00 
       3.801780259252e+00       1.035782832154e+00 
       4.786157778430e+00       5.804568118140e-01 
       6.025415652122e+00       3.232509198657e-01 
       7.585548881079e+00       1.789813962515e-01 
       9.549640248797e+00       9.858862524211e-02 
       1.202228478270e+01       5.404279593146e-02 
