# Matter power spectrum P(k) at redshift z=1.5
# for k=1.09674e-05 to 10.9793 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096743953647e-05       1.022426521005e+01 
       1.380718833477e-05       1.275356681702e+01 
       1.738222026007e-05       1.590856113961e+01 
       2.188291879881e-05       1.984402501442e+01 
       2.754896256005e-05       2.475300426414e+01 
       3.468208903542e-05       3.087628000181e+01 
       4.366216322079e-05       3.851415014034e+01 
       5.496740681256e-05       4.804110011729e+01 
       6.919986525676e-05       5.992406459129e+01 
       8.711746886447e-05       7.474510489455e+01 
       1.096743953647e-04       9.322952186653e+01 
       1.380718833477e-04       1.162805536832e+02 
       1.738222026007e-04       1.450219664382e+02 
       2.188291879881e-04       1.808498165551e+02 
       2.754896256005e-04       2.254944248168e+02 
       3.468208903542e-04       2.810928105400e+02 
       4.366216322079e-04       3.502701783762e+02 
       5.496740681256e-04       4.362261687378e+02 
       6.919986525676e-04       5.428175623992e+02 
       8.711746886447e-04       6.746250690110e+02 
       1.096743953647e-03       8.369885936529e+02 
       1.380718833477e-03       1.035977986699e+03 
       1.738222026007e-03       1.278214856805e+03 
       2.188291879881e-03       1.570560416089e+03 
       2.754896256005e-03       1.919255239263e+03 
       3.468208903542e-03       2.328779853521e+03 
       4.366216322079e-03       2.800103481179e+03 
       5.496740681256e-03       3.323263382741e+03 
       6.919986525676e-03       3.891392701917e+03 
       8.711746886447e-03       4.473350389450e+03 
       1.096743953647e-02       5.023089216785e+03 
       1.380718833477e-02       5.473775057388e+03 
       1.738222025991e-02       5.738005994196e+03 
       2.188291812721e-02       5.723504358744e+03 
       2.754860125305e-02       5.374683202250e+03 
       3.464439543614e-02       4.744431678976e+03 
       4.269611400411e-02       4.083851372373e+03 
       4.903200262937e-02       3.695103481613e+03 
       5.372962519635e-02       3.476842400328e+03 
       5.767746553723e-02       3.325461406299e+03 
       6.123791961232e-02       3.203321000860e+03 
       6.457825490787e-02       3.093538520703e+03 
       6.778937413141e-02       2.987227536759e+03 
       7.092682631438e-02       2.879516440999e+03 
       7.402762621410e-02       2.767911503549e+03 
       7.711815976657e-02       2.651854628583e+03 
       8.021829965964e-02       2.531804285258e+03 
       8.334372234393e-02       2.409364223199e+03 
       8.650729528259e-02       2.286827620406e+03 
       8.971994965373e-02       2.166891623789e+03 
       9.299125199902e-02       2.052230258334e+03 
       9.632979136387e-02       1.945380584139e+03 
       9.974344880662e-02       1.848288821120e+03 
       1.032395893102e-01       1.762188969183e+03 
       1.068252009510e-01       1.687369625183e+03 
       1.105069972606e-01       1.623145046483e+03 
       1.142914932974e-01       1.567836514983e+03 
       1.181850625646e-01       1.518937140905e+03 
       1.221939797491e-01       1.473306798291e+03 
       1.263244528492e-01       1.427637571156e+03 
       1.305826473328e-01       1.378959132969e+03 
       1.349747043496e-01       1.325194628192e+03 
       1.395067546125e-01       1.265718919112e+03 
       1.441849292886e-01       1.201484230470e+03 
       1.490153690629e-01       1.134916941338e+03 
       1.540042324212e-01       1.069369792564e+03 
       1.591577041254e-01       1.008311622006e+03 
       1.644820048096e-01       9.544724227862e+02 
       1.699834025939e-01       9.090574506699e+02 
       1.756682275990e-01       8.714906185553e+02 
       1.815428902269e-01       8.394961443515e+02 
       1.876139040703e-01       8.098715775770e+02 
       1.938879143059e-01       7.791113808612e+02 
       2.003717324339e-01       7.447270088879e+02 
       2.070723782414e-01       7.065211914073e+02 
       2.139971299044e-01       6.666182242519e+02 
       2.211535832085e-01       6.281286145171e+02 
       2.285497209731e-01       5.937668512385e+02 
       2.361939939267e-01       5.648062454832e+02 
       2.440954145115e-01       5.406107930638e+02 
       2.522636654218e-01       5.188080732464e+02 
       2.607092251277e-01       4.966866463226e+02 
       2.694435132326e-01       4.728178984408e+02 
       2.784790593127e-01       4.476542765210e+02 
       2.878296999388e-01       4.231982539771e+02 
       2.975108099792e-01       4.014495560366e+02 
       3.075395761279e-01       3.827806665354e+02 
       3.179353230731e-01       3.659708537930e+02 
       3.287199060329e-01       3.493077490827e+02 
       3.399181878976e-01       3.320039225432e+02 
       3.515586254135e-01       3.148267354160e+02 
       3.636739974903e-01       2.989608358406e+02 
       3.763023209406e-01       2.848005256990e+02 
       3.894880165441e-01       2.715237070430e+02 
       4.032834140447e-01       2.583074606015e+02 
       4.177507230264e-01       2.452209528221e+02 
       4.329646549383e-01       2.329021276405e+02 
       4.490159723083e-01       2.214536516950e+02 
       4.660163859943e-01       2.104115693069e+02 
       4.841054588237e-01       1.995188074459e+02 
       5.034605757150e-01       1.890510552884e+02 
       5.243117439029e-01       1.790552773030e+02 
       5.469642681003e-01       1.692121736155e+02 
       5.718347845913e-01       1.595611390730e+02 
       5.995110223749e-01       1.500853044678e+02 
       6.308560163589e-01       1.405963964488e+02 
       6.672009191035e-01       1.310318431106e+02 
       7.107273319782e-01       1.211780678620e+02 
       7.652869826880e-01       1.107827906930e+02 
       8.382956934594e-01       9.942717847862e+01 
       9.451672133334e-01       8.651327343084e+01 
       1.116364175292e+00       7.162009015835e+01 
       1.383409069371e+00       5.624546739232e+01 
       1.740121767555e+00       4.317328537106e+01 
       2.190662324123e+00       3.261632597750e+01 
       2.757880412214e+00       2.409629963235e+01 
       3.471965733606e+00       1.731037369576e+01 
       4.370945890916e+00       1.204604225142e+01 
       5.502694855651e+00       8.109042399064e+00 
       6.927482387128e+00       5.289375997108e+00 
       8.721183616912e+00       3.356346598877e+00 
       1.097931967625e+01       2.081673267659e+00 
