# Matter power spectrum P(k) at redshift z=0.5
# for k=1.61478e-07 to 10.2015 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.614777430887e-07       1.692059992480e+00 
       2.032884342135e-07       2.110647737568e+00 
       2.559249757552e-07       2.632787188110e+00 
       3.221904554910e-07       3.284095327026e+00 
       4.056137518552e-07       4.096526354475e+00 
       5.106374595837e-07       5.109939409251e+00 
       6.428544740839e-07       6.374054116605e+00 
       8.093058335098e-07       7.950889902827e+00 
       1.018855679719e-06       9.917808748818e+00 
       1.282663306149e-06       1.237131065723e+01 
       1.614777430887e-06       1.543176802780e+01 
       2.032884342135e-06       1.924933118332e+01 
       2.559249757552e-06       2.401129472106e+01 
       3.221904554910e-06       2.995128596117e+01 
       4.056137518552e-06       3.736072604563e+01 
       5.106374595837e-06       4.660312549356e+01 
       6.428544740839e-06       5.813191459515e+01 
       8.093058335098e-06       7.251268148831e+01 
       1.018855679719e-05       9.045090515702e+01 
       1.282663306149e-05       1.128265363748e+02 
       1.614777430887e-05       1.407371083158e+02 
       2.032884342135e-05       1.755514623435e+02 
       2.559249757552e-05       2.189766666612e+02 
       3.221904554910e-05       2.731412959589e+02 
       4.056137518552e-05       3.406989313395e+02 
       5.106374595837e-05       4.249565123807e+02 
       6.428544740839e-05       5.300329634324e+02 
       8.093058335098e-05       6.610541659514e+02 
       1.018855679719e-04       8.243905225714e+02 
       1.282663306149e-04       1.027942391977e+03 
       1.614777430887e-04       1.281475363191e+03 
       2.032884342135e-04       1.596999715373e+03 
       2.559249757552e-04       1.989173844156e+03 
       3.221904554910e-04       2.475687911486e+03 
       4.056137518552e-04       3.077553912846e+03 
       5.106374595837e-04       3.819203320944e+03 
       6.428544740839e-04       4.728282099973e+03 
       8.093058335098e-04       5.834971337243e+03 
       1.018855679719e-03       7.170366747329e+03 
       1.282663306149e-03       8.763096922294e+03 
       1.614777430887e-03       1.063379763825e+04 
       2.032884342135e-03       1.278721590582e+04 
       2.559249757552e-03       1.520218252585e+04 
       3.221904554910e-03       1.782019208398e+04 
       4.056137518552e-03       2.053111889989e+04 
       5.106374595837e-03       2.316106246296e+04 
       6.428544740839e-03       2.546150714667e+04 
       8.093058335098e-03       2.710351620640e+04 
       1.018855679719e-02       2.768412303106e+04 
       1.282663306149e-02       2.676963576648e+04 
       1.614777428830e-02       2.402957207123e+04 
       2.032881852557e-02       1.952619037700e+04 
       2.558746895321e-02       1.409531532156e+04 
       3.198604033208e-02       9.441765937774e+03 
       3.795321932159e-02       7.146784876106e+03 
       4.222250889857e-02       6.367689097224e+03 
       4.564584827435e-02       6.056149244666e+03 
       4.865748030269e-02       5.902071546447e+03 
       5.144260280972e-02       5.789915539436e+03 
       5.409566743030e-02       5.663555609403e+03 
       5.667182898816e-02       5.493074684309e+03 
       5.920660758698e-02       5.264430419489e+03 
       6.172464965330e-02       4.975418250491e+03 
       6.424410929509e-02       4.633315337021e+03 
       6.677903958510e-02       4.252665127185e+03 
       6.934078951848e-02       3.852739121162e+03 
       7.193886553265e-02       3.454716146653e+03 
       7.458148671010e-02       3.078891983202e+03 
       7.727595575268e-02       2.742328108010e+03 
       8.002891438072e-02       2.457284269184e+03 
       8.284652355078e-02       2.230571216374e+03 
       8.573459319817e-02       2.063679881860e+03 
       8.869867713492e-02       1.953315586756e+03 
       9.174414329601e-02       1.891918496748e+03 
       9.487622616887e-02       1.867960515737e+03 
       9.810006611601e-02       1.866217219753e+03 
       1.014207389273e-01       1.868601501737e+03 
       1.048432780374e-01       1.856213471485e+03 
       1.083726912471e-01       1.812791094138e+03 
       1.120139733887e-01       1.728834350005e+03 
       1.157721161116e-01       1.604805247102e+03 
       1.196521157901e-01       1.451656626089e+03 
       1.236589804398e-01       1.287906126655e+03 
       1.277977364581e-01       1.134183230591e+03 
       1.320734359586e-01       1.007527752136e+03 
       1.364911654382e-01       9.176226439659e+02 
       1.410560565008e-01       8.656102532603e+02 
       1.457732993487e-01       8.445864219955e+02 
       1.506481597434e-01       8.408877401868e+02 
       1.556860001341e-01       8.367327497510e+02 
       1.608923056546e-01       8.153911103957e+02 
       1.662727156941e-01       7.679976117970e+02 
       1.718330617725e-01       6.980279982687e+02 
       1.775794124928e-01       6.194794809519e+02 
       1.835181264113e-01       5.493172093583e+02 
       1.896559137800e-01       4.992913424957e+02 
       1.959999082763e-01       4.716725718073e+02 
       2.025577500645e-01       4.594292588504e+02 
       2.093376818550e-01       4.497321799360e+02 
       2.163486600544e-01       4.305144676774e+02 
       2.236004836783e-01       3.977962896039e+02 
       2.311039444573e-01       3.579581762950e+02 
       2.388710025789e-01       3.220996497645e+02 
       2.469149938394e-01       2.975238396918e+02 
       2.552508757545e-01       2.832975032412e+02 
       2.638955225580e-01       2.720016889190e+02 
       2.728680822283e-01       2.561242519420e+02 
       2.821904130858e-01       2.345831202024e+02 
       2.918876235999e-01       2.128474189616e+02 
       3.019887476148e-01       1.963456122916e+02 
       3.125275994396e-01       1.848883165265e+02 
       3.235438710148e-01       1.738395727755e+02 
       3.350845596239e-01       1.602114401232e+02 
       3.472058542252e-01       1.460691783973e+02 
       3.599756694905e-01       1.345891754369e+02 
       3.734771129304e-01       1.251612133462e+02 
       3.878133264977e-01       1.151695552699e+02 
       4.031144043939e-01       1.047916752412e+02 
       4.195475377683e-01       9.579834405900e+01 
       4.373323405926e-01       8.751589855864e+01 
       4.567648110841e-01       7.899240683944e+01 
       4.782563203996e-01       7.111171241020e+01 
       5.024000931139e-01       6.353110817484e+01 
       5.300909942002e-01       5.605587597862e+01 
       5.627558434302e-01       4.878923353235e+01 
       6.028306491844e-01       4.153311740472e+01 
       6.548309617522e-01       3.417534213947e+01 
       7.278846526893e-01       2.658806469336e+01 
       8.410312849221e-01       1.880851144623e+01 
       1.023939035850e+00       1.167350230555e+01 
       1.284395142919e+00       6.690264209653e+00 
       1.616829572161e+00       3.773127160682e+00 
       2.035467111323e+00       2.113235065317e+00 
       2.562501270686e+00       1.176299022131e+00 
       3.225997967422e+00       6.510858569767e-01 
       4.061290819583e+00       3.585175038519e-01 
       5.112862217460e+00       1.964763620589e-01 
       6.436712172563e+00       1.071992556247e-01 
       8.103340522444e+00       5.824882343038e-02 
       1.020150130413e+01       3.152862829146e-02 
