# Matter power spectrum P(k) at redshift z=0
# for k=2.25134e-07 to 11.2964 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.251343894042e-07       9.436031725467e-01 
       2.834274038897e-07       1.177035040870e+00 
       3.568139611556e-07       1.468214104570e+00 
       4.492021629818e-07       1.831426067313e+00 
       5.655120180107e-07       2.284490679749e+00 
       7.119374501486e-07       2.849636004177e+00 
       8.962761476000e-07       3.554588957000e+00 
       1.128344818199e-06       4.433935632818e+00 
       1.420501964897e-06       5.530818148078e+00 
       1.788306021112e-06       6.899051252889e+00 
       2.251343894042e-06       8.605762549094e+00 
       2.834274038897e-06       1.073468584162e+01 
       3.568139611556e-06       1.339026918134e+01 
       4.492021629818e-06       1.670279911451e+01 
       5.655120180107e-06       2.083479247428e+01 
       7.119374501486e-06       2.598896917596e+01 
       8.962761476000e-06       3.241819691719e+01 
       1.128344818199e-05       4.043789516743e+01 
       1.420501964897e-05       5.044150599950e+01 
       1.788306021112e-05       6.291978878787e+01 
       2.251343894042e-05       7.848488144235e+01 
       2.834274038897e-05       9.790030086066e+01 
       3.568139611556e-05       1.221183390450e+02 
       4.492021629818e-05       1.523266591802e+02 
       5.655120180107e-05       1.900063177872e+02 
       7.119374501486e-05       2.370039416107e+02 
       8.962761476000e-05       2.956213688379e+02 
       1.128344818199e-04       3.687267002591e+02 
       1.420501964897e-04       4.598913310111e+02 
       1.788306021112e-04       5.735580014069e+02 
       2.251343894042e-04       7.152449336511e+02 
       2.834274038897e-04       8.917902333626e+02 
       3.568139611556e-04       1.111638266022e+03 
       4.492021629818e-04       1.385165050831e+03 
       5.655120180107e-04       1.725032825429e+03 
       7.119374501486e-04       2.146555173002e+03 
       8.962761476000e-04       2.668038421034e+03 
       1.128344818199e-03       3.311018022120e+03 
       1.420501964897e-03       4.100207587457e+03 
       1.788306021112e-03       5.062912217262e+03 
       2.251343894042e-03       6.227635983013e+03 
       2.834274038897e-03       7.621365107751e+03 
       3.568139611556e-03       9.265158286445e+03 
       4.492021629818e-03       1.116736624961e+04 
       5.655120180107e-03       1.331372007782e+04 
       7.119374501486e-03       1.565385685355e+04 
       8.962761476001e-03       1.808446904776e+04 
       1.128344818199e-02       2.042961055000e+04 
       1.420501964897e-02       2.242366188636e+04 
       1.788306021081e-02       2.371233140041e+04 
       2.251343787628e-02       2.390794132903e+04 
       2.834222873620e-02       2.275405648175e+04 
       3.563269270774e-02       2.042092168255e+04 
       4.377692712138e-02       1.790527414493e+04 
       5.005982715744e-02       1.639984209929e+04 
       5.475799105964e-02       1.551883831789e+04 
       5.872951365016e-02       1.488940838710e+04 
       6.232260274915e-02       1.437173994434e+04 
       6.569985121051e-02       1.390126461788e+04 
       6.895037982864e-02       1.344331161457e+04 
       7.212898554221e-02       1.297844294946e+04 
       7.527235371751e-02       1.249673388638e+04 
       7.840673391593e-02       1.199511957976e+04 
       8.155195796769e-02       1.147585039263e+04 
       8.472371180082e-02       1.094529638192e+04 
       8.793490028781e-02       1.041278919125e+04 
       9.119650823585e-02       9.889393583846e+03 
       9.451816564920e-02       9.386613861438e+03 
       9.790853126589e-02       8.915097970481e+03 
       1.013755599733e-01       8.483433059823e+03 
       1.049266934701e-01       8.097124237471e+03 
       1.085689986675e-01       7.757839478007e+03 
       1.123092695631e-01       7.462992767826e+03 
       1.161541029907e-01       7.205741342066e+03 
       1.201099553140e-01       6.975487602730e+03 
       1.241831850035e-01       6.758979045555e+03 
       1.283800846429e-01       6.542047003828e+03 
       1.327069049965e-01       6.311882866868e+03 
       1.371698731607e-01       6.059521147718e+03 
       1.417752064143e-01       5.781956913147e+03 
       1.465291231148e-01       5.483209530882e+03 
       1.514378518105e-01       5.173785602855e+03 
       1.565076396249e-01       4.868422263059e+03 
       1.617447608960e-01       4.582560086224e+03 
       1.671555270093e-01       4.328448368297e+03 
       1.727462983350e-01       4.111916419929e+03 
       1.785234991607e-01       3.930669323296e+03 
       1.844936364996e-01       3.774664232733e+03 
       1.906633236469e-01       3.628793426549e+03 
       1.970393093523e-01       3.477573454171e+03 
       2.036285134834e-01       3.310627866582e+03 
       2.104380700723e-01       3.126787901419e+03 
       2.174753786763e-01       2.934570260770e+03 
       2.247481650502e-01       2.748278135184e+03 
       2.322645522428e-01       2.581351964681e+03 
       2.400331433900e-01       2.440177846207e+03 
       2.480631177263e-01       2.321324830250e+03 
       2.563643416655e-01       2.213612789685e+03 
       2.649474972691e-01       2.104318673527e+03 
       2.738242310349e-01       1.986482005845e+03 
       2.830073267632e-01       1.862750007969e+03 
       2.925109073471e-01       1.742756357324e+03 
       3.023506717718e-01       1.635710045162e+03 
       3.125441755187e-01       1.543727684153e+03 
       3.231111651155e-01       1.460888623762e+03 
       3.340739810037e-01       1.378682695533e+03 
       3.454580475552e-01       1.293379995836e+03 
       3.572924754861e-01       1.208610058484e+03 
       3.696108108736e-01       1.130593848317e+03 
       3.824519776589e-01       1.061196689304e+03 
       3.958614787720e-01       9.964336721724e+02 
       4.098929477422e-01       9.318545101711e+02 
       4.246101825431e-01       8.678808476153e+02 
       4.400898541933e-01       8.080162095721e+02 
       4.564251773473e-01       7.529592678212e+02 
       4.737309814599e-01       6.999131053157e+02 
       4.921508697952e-01       6.477064135381e+02 
       5.118675750731e-01       5.980570519004e+02 
       5.331183604251e-01       5.510697898686e+02 
       5.562186652640e-01       5.051430668276e+02 
       5.815997752302e-01       4.606042342925e+02 
       6.098714781111e-01       4.175056518070e+02 
       6.419316998386e-01       3.749587205088e+02 
       6.791701692918e-01       3.329440158071e+02 
       7.238741601624e-01       2.906795869612e+02 
       7.801027345349e-01       2.475131474248e+02 
       8.557144341006e-01       2.024332643145e+02 
       9.670894718347e-01       1.546119688317e+02 
       1.146128917170e+00       1.056780864936e+02 
       1.423105745619e+00       6.443030067281e+01 
       1.790375233831e+00       3.770258937542e+01 
       2.253933253788e+00       2.180353540353e+01 
       2.837533812719e+00       1.249292212491e+01 
       3.572243423646e+00       7.098734062475e+00 
       4.497188023143e+00       4.003333588924e+00 
       5.661624283951e+00       2.242275156007e+00 
       7.127562683097e+00       1.248096312088e+00 
       8.973069785906e+00       6.907694546984e-01 
       1.129642557528e+01       3.803198494734e-01 
