# Matter power spectrum P(k) at redshift z=0.5
# for k=1.83714e-07 to 11.6054 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.837140707330e-07       1.098696985705e+00 
       2.312823121500e-07       1.370496505891e+00 
       2.911671800641e-07       1.709534745405e+00 
       3.665577620631e-07       2.132445453960e+00 
       4.614688815517e-07       2.659977295486e+00 
       5.809549017377e-07       3.318011809219e+00 
       7.313788889039e-07       4.138833196417e+00 
       9.207514688909e-07       5.162712229287e+00 
       1.159157422134e-06       6.439881988921e+00 
       1.459292734994e-06       8.033002360384e+00 
       1.837140707330e-06       1.002023418791e+01 
       2.312823121500e-06       1.249907389432e+01 
       2.911671800641e-06       1.559113666234e+01 
       3.665577620632e-06       1.944812277505e+01 
       4.614688815517e-06       2.425925969477e+01 
       5.809549017377e-06       3.026058472051e+01 
       7.313788889039e-06       3.774652309739e+01 
       9.207514688909e-06       4.708432852588e+01 
       1.159157422134e-05       5.873209240823e+01 
       1.459292734994e-05       7.326120111356e+01 
       1.837140707330e-05       9.138433470283e+01 
       2.312823121500e-05       1.139903641244e+02 
       2.911671800641e-05       1.421878262772e+02 
       3.665577620631e-05       1.773590452025e+02 
       4.614688815517e-05       2.212274272326e+02 
       5.809549017377e-05       2.759409806894e+02 
       7.313788889039e-05       3.441756651986e+02 
       9.207514688909e-05       4.292626777340e+02 
       1.159157422134e-04       5.353440486602e+02 
       1.459292734994e-04       6.675605829050e+02 
       1.837140707330e-04       8.322745584928e+02 
       2.312823121500e-04       1.037325559833e+03 
       2.911671800641e-04       1.292309813733e+03 
       3.665577620632e-04       1.608860052589e+03 
       4.614688815517e-04       2.000885099920e+03 
       5.809549017377e-04       2.484711745068e+03 
       7.313788889039e-04       3.079060454689e+03 
       9.207514688909e-04       3.804746459147e+03 
       1.159157422134e-03       4.683824617978e+03 
       1.459292734994e-03       5.737673915826e+03 
       1.837140707330e-03       6.983740597087e+03 
       2.312823121500e-03       8.430726016960e+03 
       2.911671800641e-03       1.007205110224e+04 
       3.665577620632e-03       1.187808228728e+04 
       4.614688815517e-03       1.378644325286e+04 
       5.809549017377e-03       1.567063790324e+04 
       7.313788889039e-03       1.741081771482e+04 
       9.207514688909e-03       1.878015745139e+04 
       1.159157422134e-02       1.951384362451e+04 
       1.459292734993e-02       1.931835118123e+04 
       1.837140703567e-02       1.794932687693e+04 
       2.312819078733e-02       1.538244248018e+04 
       2.910930934109e-02       1.205281286803e+04 
       3.634003643556e-02       8.990690427379e+03 
       4.291321371197e-02       7.331579171760e+03 
       4.762135052694e-02       6.645894957782e+03 
       5.142463667966e-02       6.281256807560e+03 
       5.478365678938e-02       6.032558598627e+03 
       5.789695735059e-02       5.821503824286e+03 
       6.086677043568e-02       5.610971275828e+03 
       6.375320184269e-02       5.382272692029e+03 
       6.659515638292e-02       5.127409739650e+03 
       6.941973634591e-02       4.845742506055e+03 
       7.224696978566e-02       4.542047978537e+03 
       7.509240302322e-02       4.224954511360e+03 
       7.796862064681e-02       3.905417263046e+03 
       8.088618565220e-02       3.595193095001e+03 
       8.385424676034e-02       3.305405792427e+03 
       8.688094501434e-02       3.045338832920e+03 
       8.997369415969e-02       2.821566147365e+03 
       9.313937875398e-02       2.637459191393e+03 
       9.638449694345e-02       2.493024838430e+03 
       9.971526498131e-02       2.384975863595e+03 
       1.031376946417e-01       2.306957392466e+03 
       1.066576510213e-01       2.249945247725e+03 
       1.102808958996e-01       2.202951406600e+03 
       1.140131203274e-01       2.154220183916e+03 
       1.178599691269e-01       2.092987662785e+03 
       1.218270593343e-01       2.011589832357e+03 
       1.259199941793e-01       1.907355683057e+03 
       1.301443739059e-01       1.783530870414e+03 
       1.345058045494e-01       1.648655014960e+03 
       1.390099056591e-01       1.514378554213e+03 
       1.436623178771e-01       1.392386072281e+03 
       1.484687112326e-01       1.291462767116e+03 
       1.534347949831e-01       1.215544283143e+03 
       1.585663298102e-01       1.163031453448e+03 
       1.638691431682e-01       1.127259848589e+03 
       1.693491485726e-01       1.098082533199e+03 
       1.750123696128e-01       1.064676325790e+03 
       1.808649694719e-01       1.019216848980e+03 
       1.869132867507e-01       9.600095239707e+02 
       1.931638784146e-01       8.921470386138e+02 
       1.996235707338e-01       8.248880232780e+02 
       2.062995191689e-01       7.671123268021e+02 
       2.131992782790e-01       7.233821302471e+02 
       2.203308829174e-01       6.923594310541e+02 
       2.277029422421e-01       6.678933439509e+02 
       2.353247484363e-01       6.423147384419e+02 
       2.432064025187e-01       6.107045865060e+02 
       2.513589602889e-01       5.736531402113e+02 
       2.597946023150e-01       5.362560293274e+02 
       2.685268330266e-01       5.040009439878e+02 
       2.775707154958e-01       4.788654490676e+02 
       2.869431505168e-01       4.584056915066e+02 
       2.966632113088e-01       4.381754936015e+02 
       3.067525488412e-01       4.155619431729e+02 
       3.172358878158e-01       3.917354366437e+02 
       3.281416403156e-01       3.698100869895e+02 
       3.395026739526e-01       3.513304619864e+02 
       3.513572853816e-01       3.349344125234e+02 
       3.637504504396e-01       3.183807692836e+02 
       3.767354523577e-01       3.013018809917e+02 
       3.903760350671e-01       2.851459517902e+02 
       4.047492989366e-01       2.706762862001e+02 
       4.199496674200e-01       2.569681580689e+02 
       4.360944334595e-01       2.432245128360e+02 
       4.533316960452e-01       2.299573526936e+02 
       4.718520184774e-01       2.175168998892e+02 
       4.919060749032e-01       2.053472844984e+02 
       5.138323018936e-01       1.933486065745e+02 
       5.381020094916e-01       1.817026944480e+02 
       5.653965383012e-01       1.700924230346e+02 
       5.967467899859e-01       1.584603284634e+02 
       6.338026454834e-01       1.465876042507e+02 
       6.793938977229e-01       1.342070171771e+02 
       7.387940322592e-01       1.208815681489e+02 
       8.227122688790e-01       1.059690427291e+02 
       9.534044741401e-01       8.877514737233e+01 
       1.164109960353e+00       7.004690391901e+01 
       1.461124433287e+00       5.338227705579e+01 
       1.839336514997e+00       4.017276466616e+01 
       2.315586918210e+00       2.976755335454e+01 
       2.915151214122e+00       2.160849667607e+01 
       3.669957942680e+00       1.530479974317e+01 
       4.620203314256e+00       1.054679544228e+01 
       5.816491359972e+00       7.062869014417e+00 
       7.322528780551e+00       4.600739585127e+00 
       9.218517560429e+00       2.923395140882e+00 
       1.160542601590e+01       1.818711676566e+00 
