# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04725e-05 to 10.4835 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047252130310e-05       2.641819588374e+01 
       1.318412319403e-05       3.304704224472e+01 
       1.659782772118e-05       4.133916924076e+01 
       2.089542709878e-05       5.171187944967e+01 
       2.630578416495e-05       6.468716015912e+01 
       3.311702016242e-05       8.091789051984e+01 
       4.169185824537e-05       1.012206111431e+02 
       5.248693981002e-05       1.266164325052e+02 
       6.607714231415e-05       1.583820700119e+02 
       8.318619359802e-05       1.981133536509e+02 
       1.047252130310e-04       2.478041181109e+02 
       1.318412319403e-04       3.099437005594e+02 
       1.659782772118e-04       3.876366701472e+02 
       2.089542709878e-04       4.847482632220e+02 
       2.630578416495e-04       6.060781309270e+02 
       3.311702016242e-04       7.575626561572e+02 
       4.169185824537e-04       9.465015397613e+02 
       5.248693981002e-04       1.181797437482e+03 
       6.607714231415e-04       1.474189111533e+03 
       8.318619359802e-04       1.836449592603e+03 
       1.047252130310e-03       2.283498591504e+03 
       1.318412319403e-03       2.832273202510e+03 
       1.659782772118e-03       3.501140055551e+03 
       2.089542709878e-03       4.308852029960e+03 
       2.630578416495e-03       5.272160242865e+03 
       3.311702016242e-03       6.402398619612e+03 
       4.169185824537e-03       7.700476343300e+03 
       5.248693981002e-03       9.149691331670e+03 
       6.607714231415e-03       1.070605839027e+04 
       8.318619359802e-03       1.228904378507e+04 
       1.047252130310e-02       1.376556571501e+04 
       1.318412319403e-02       1.494477330750e+04 
       1.659782772108e-02       1.558021491042e+04 
       2.089542662731e-02       1.541450753069e+04 
       2.630550948961e-02       1.430179975743e+04 
       3.308644182032e-02       1.241378600952e+04 
       4.085867244208e-02       1.048086979820e+04 
       4.706721502360e-02       9.371016927750e+03 
       5.164411322149e-02       8.777988675119e+03 
       5.547416222617e-02       8.383068215653e+03 
       5.892054661221e-02       8.072118748223e+03 
       6.214953110162e-02       7.795347901918e+03 
       6.525092380453e-02       7.526292665639e+03 
       6.827936443560e-02       7.250236803694e+03 
       7.127114071265e-02       6.960253462398e+03 
       7.425205155457e-02       6.653805529287e+03 
       7.724148465923e-02       6.332955526862e+03 
       8.025470515627e-02       6.002655240473e+03 
       8.330422256787e-02       5.669839015460e+03 
       8.640064906248e-02       5.342617695839e+03 
       8.955326073326e-02       5.029771645993e+03 
       9.277037720913e-02       4.738942541942e+03 
       9.605962563189e-02       4.476476722920e+03 
       9.942812846022e-02       4.246353380449e+03 
       1.028826395630e-01       4.049664957406e+03 
       1.064296442645e-01       3.884986670760e+03 
       1.100754336669e-01       3.747388001379e+03 
       1.138261602468e-01       3.629487063018e+03 
       1.176878795977e-01       3.521989577180e+03 
       1.216665818085e-01       3.414662013218e+03 
       1.257682150571e-01       3.298146928007e+03 
       1.299987033935e-01       3.165364759531e+03 
       1.343639602828e-01       3.013689613263e+03 
       1.388698992127e-01       2.845700657829e+03 
       1.435224424904e-01       2.668358391013e+03 
       1.483275292450e-01       2.492019152716e+03 
       1.532911235751e-01       2.327605311781e+03 
       1.584192237386e-01       2.183983800746e+03 
       1.637178732516e-01       2.065602870823e+03 
       1.691931747474e-01       1.971391294157e+03 
       1.748513074327e-01       1.894697338996e+03 
       1.806985489709e-01       1.826050201796e+03 
       1.867413026189e-01       1.753928209325e+03 
       1.929861304489e-01       1.669947373388e+03 
       1.994397934994e-01       1.572650604738e+03 
       2.061092997368e-01       1.468102131723e+03 
       2.130019607685e-01       1.365939047998e+03 
       2.201254583498e-01       1.275222025416e+03 
       2.274879218782e-01       1.200813195349e+03 
       2.350980182898e-01       1.141513566142e+03 
       2.429650560833e-01       1.090104388214e+03 
       2.510991056198e-01       1.037759372466e+03 
       2.595111384192e-01       9.791282478371e+02 
       2.682131889304e-01       9.149413826216e+02 
       2.772185432612e-01       8.515108488251e+02 
       2.865419606817e-01       7.957412513917e+02 
       2.961999354736e-01       7.495704183783e+02 
       3.062110090529e-01       7.095504814647e+02 
       3.165961454435e-01       6.699069530222e+02 
       3.273791874739e-01       6.274955346604e+02 
       3.385874169600e-01       5.844255391920e+02 
       3.502522503542e-01       5.448363003977e+02 
       3.624101129524e-01       5.105984502828e+02 
       3.751035514357e-01       4.792510458460e+02 
       3.883826689108e-01       4.478110791535e+02 
       4.023070029293e-01       4.161453680065e+02 
       4.169480221760e-01       3.865105452190e+02 
       4.323925033372e-01       3.596528546206e+02 
       4.487471864272e-01       3.340824159133e+02 
       4.661453308732e-01       3.086844535028e+02 
       4.847561730582e-01       2.844558968769e+02 
       5.047989476091e-01       2.618453748548e+02 
       5.265643373532e-01       2.397448560030e+02 
       5.504485017100e-01       2.182875681923e+02 
       5.770093976544e-01       1.976861780552e+02 
       6.070647604762e-01       1.773721551412e+02 
       6.418728770421e-01       1.574044907442e+02 
       6.834898825092e-01       1.374026316978e+02 
       7.355330769059e-01       1.170907768350e+02 
       8.049398038216e-01       9.600192196675e+01 
       9.060972849448e-01       7.373954271455e+01 
       1.067698076731e+00       5.086821421346e+01 
       1.321135576212e+00       3.113989984727e+01 
       1.661542124690e+00       1.817556765038e+01 
       2.091732151309e+00       1.048286849361e+01 
       2.633334686680e+00       5.993593124456e+00 
       3.315171954793e+00       3.399934784908e+00 
       4.173554218356e+00       1.915107382348e+00 
       5.254193462989e+00       1.071713763316e+00 
       6.614637669039e+00       5.962192885096e-01 
       8.327335451365e+00       3.299074186360e-01 
       1.048349421226e+01       1.816473296976e-01 
