# Matter power spectrum P(k) at redshift z=1
# for k=1.05032e-05 to 10.5146 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050324109020e-05       2.408104829183e+01 
       1.322279711466e-05       2.983353252346e+01 
       1.664651530264e-05       3.696014227486e+01 
       2.095672113232e-05       4.578907123439e+01 
       2.638294878136e-05       5.672690522693e+01 
       3.321416465891e-05       7.027724846461e+01 
       4.181415592062e-05       8.706384407066e+01 
       5.264090346119e-05       1.078591229366e+02 
       6.627097106710e-05       1.336194086308e+02 
       8.343020954065e-05       1.655282349208e+02 
       1.050324109020e-04       2.050494560776e+02 
       1.322279711466e-04       2.539919034040e+02 
       1.664651530264e-04       3.145873527624e+02 
       2.095672113232e-04       3.895829815336e+02 
       2.638294878136e-04       4.823481733714e+02 
       3.321416465891e-04       5.969926410497e+02 
       4.181415592062e-04       7.384877534308e+02 
       5.264090346119e-04       9.127754522981e+02 
       6.627097106710e-04       1.126840813887e+03 
       8.343020954065e-04       1.388718908758e+03 
       1.050324109020e-03       1.707401339523e+03 
       1.322279711466e-03       2.092567125820e+03 
       1.664651530264e-03       2.553936662681e+03 
       2.095672113232e-03       3.100014932211e+03 
       2.638294878136e-03       3.736328597626e+03 
       3.321416465891e-03       4.462749330898e+03 
       4.181415592062e-03       5.270224223244e+03 
       5.264090346119e-03       6.136633318006e+03 
       6.627097106710e-03       7.022355679279e+03 
       8.343020954065e-03       7.865632117682e+03 
       1.050324109020e-02       8.579730592972e+03 
       1.322279711466e-02       9.052466803783e+03 
       1.664651530263e-02       9.154367624074e+03 
       2.095672103691e-02       8.768014522703e+03 
       2.638286502130e-02       7.854475776226e+03 
       3.320114371710e-02       6.551779844293e+03 
       4.133354890582e-02       5.265103758811e+03 
       4.840908509081e-02       4.510285066734e+03 
       5.350611188389e-02       4.140125630797e+03 
       5.767385807737e-02       3.907426317053e+03 
       6.137843584233e-02       3.729918749742e+03 
       6.482464374614e-02       3.574311438015e+03 
       6.811963365511e-02       3.424697924191e+03 
       7.132712635941e-02       3.272890662773e+03 
       7.448871918785e-02       3.115342516393e+03 
       7.763358509580e-02       2.951460175963e+03 
       8.078340146217e-02       2.782725173582e+03 
       8.395507352303e-02       2.612174921975e+03 
       8.716234093211e-02       2.443681234026e+03 
       9.041677635643e-02       2.281504249422e+03 
       9.372843316852e-02       2.129678416552e+03 
       9.710628052451e-02       1.991639782063e+03 
       1.005585042134e-01       1.869772315961e+03 
       1.040927197106e-01       1.765154975794e+03 
       1.077161260032e-01       1.677523980935e+03 
       1.114356183533e-01       1.605195284004e+03 
       1.152578719033e-01       1.545098203880e+03 
       1.191894041392e-01       1.493153942087e+03 
       1.232366217632e-01       1.444648533393e+03 
       1.274058559241e-01       1.394857595362e+03 
       1.317033887051e-01       1.339658914828e+03 
       1.361354730687e-01       1.276706787742e+03 
       1.407083479955e-01       1.205715879705e+03 
       1.454282502433e-01       1.128667984584e+03 
       1.503014239499e-01       1.049563152477e+03 
       1.553341291702e-01       9.732656511789e+02 
       1.605326503549e-01       9.043032461752e+02 
       1.659033057241e-01       8.457815969053e+02 
       1.714524584571e-01       7.986474122407e+02 
       1.771865305976e-01       7.613674353142e+02 
       1.831120205615e-01       7.303788216367e+02 
       1.892355251231e-01       7.010638992714e+02 
       1.955637667522e-01       6.693912977300e+02 
       2.021036271766e-01       6.326550424071e+02 
       2.088621880566e-01       5.912322182463e+02 
       2.158467796902e-01       5.482457566972e+02 
       2.230650387255e-01       5.079456993076e+02 
       2.305249759509e-01       4.733140261800e+02 
       2.382350553820e-01       4.451099970960e+02 
       2.462042860807e-01       4.220119358230e+02 
       2.544423284430e-01       4.011442082937e+02 
       2.629596171147e-01       3.793883276329e+02 
       2.717675032545e-01       3.554677721074e+02 
       2.808784196209e-01       3.304838659124e+02 
       2.903060729540e-01       3.067419069405e+02 
       3.000656694442e-01       2.862024617236e+02 
       3.101741808232e-01       2.689752332484e+02 
       3.206506609414e-01       2.533548784478e+02 
       3.315166258118e-01       2.377015443982e+02 
       3.427965143269e-01       2.214910812894e+02 
       3.545182526522e-01       2.056587161560e+02 
       3.667139533417e-01       1.914033807638e+02 
       3.794207915689e-01       1.787881367768e+02 
       3.926821170950e-01       1.669648011989e+02 
       4.065488842355e-01       1.551946151315e+02 
       4.210815171377e-01       1.437933925222e+02 
       4.363523807180e-01       1.332333662357e+02 
       4.524491096356e-01       1.234866071423e+02 
       4.694791776635e-01       1.141760181620e+02 
       4.875763014001e-01       1.051412858989e+02 
       5.069096271486e-01       9.660706622199e+01 
       5.276972653778e-01       8.858091668763e+01 
       5.502268462445e-01       8.081442280684e+01 
       5.748878554447e-01       7.336311740791e+01 
       6.022246285546e-01       6.620702484096e+01 
       6.330274797389e-01       5.923231234959e+01 
       6.684985459374e-01       5.242039716056e+01 
       7.105743931541e-01       4.567382213077e+01 
       7.626032580123e-01       3.889716601164e+01 
       8.308824993824e-01       3.195695383048e+01 
       9.282969710358e-01       2.472345893918e+01 
       1.081384550022e+00       1.728859619684e+01 
       1.326604787151e+00       1.062911371379e+01 
       1.666507363436e+00       6.119488533237e+00 
       2.097931874565e+00       3.474180350062e+00 
       2.641139423089e+00       1.956336206551e+00 
       3.324997535617e+00       1.093578124001e+00 
       4.185923891741e+00       6.072512710100e-01 
       5.269765959150e+00       3.351578447594e-01 
       6.634242280181e+00       1.839629997940e-01 
       8.352016194519e+00       1.004590606651e-01 
       1.051456542700e+01       5.460363547554e-02 
