# Matter power spectrum P(k) at redshift z=1.5
# for k=2.10608e-07 to 10.5693 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.106075835224e-07       2.843745141107e-01 
       2.651392388129e-07       3.548466190158e-01 
       3.337905254053e-07       4.427827273993e-01 
       4.202173746489e-07       5.525106709028e-01 
       5.290223314229e-07       6.894307801911e-01 
       6.659996564349e-07       8.602816648723e-01 
       8.384438917321e-07       1.073471858477e+00 
       1.055538321665e-06       1.339493648465e+00 
       1.328844016267e-06       1.671439458439e+00 
       1.672915500389e-06       2.085646196695e+00 
       2.106075835224e-06       2.602499277682e+00 
       2.651392388129e-06       3.247435886708e+00 
       3.337905254053e-06       4.052196853173e+00 
       4.202173746489e-06       5.056388729672e+00 
       5.290223314229e-06       6.309432919294e+00 
       6.659996564349e-06       7.872997719030e+00 
       8.384438917321e-06       9.824032849061e+00 
       1.055538321665e-05       1.225855554583e+01 
       1.328844016267e-05       1.529637409051e+01 
       1.672915500389e-05       1.908698022683e+01 
       2.106075835224e-05       2.381689854587e+01 
       2.651392388129e-05       2.971885070722e+01 
       3.337905254053e-05       3.708317792912e+01 
       4.202173746489e-05       4.627206894178e+01 
       5.290223314229e-05       5.773726405044e+01 
       6.659996564349e-05       7.204204842881e+01 
       8.384438917321e-05       8.988850213744e+01 
       1.055538321665e-04       1.121511229751e+02 
       1.328844016267e-04       1.399180366251e+02 
       1.672915500389e-04       1.745409682038e+02 
       2.106075835224e-04       2.176947952982e+02 
       2.651392388129e-04       2.714465231394e+02 
       3.337905254053e-04       3.383314159584e+02 
       4.202173746489e-04       4.214301342569e+02 
       5.290223314229e-04       5.244346468885e+02 
       6.659996564349e-04       6.516833253314e+02 
       8.384438917321e-04       8.081406858189e+02 
       1.055538321665e-03       9.992981342617e+02 
       1.328844016267e-03       1.230962138371e+03 
       1.672915500389e-03       1.508821326227e+03 
       2.106075835224e-03       1.837589247289e+03 
       2.651392388129e-03       2.219697417365e+03 
       3.337905254053e-03       2.653636360744e+03 
       4.202173746489e-03       3.131908191529e+03 
       5.290223314229e-03       3.638669901259e+03 
       6.659996564349e-03       4.147449279682e+03 
       8.384438917321e-03       4.619458442599e+03 
       1.055538321665e-02       5.002775983406e+03 
       1.328844016267e-02       5.233588449996e+03 
       1.672915500389e-02       5.242005868121e+03 
       2.106075833235e-02       4.968345730687e+03 
       2.651389794011e-02       4.398113443584e+03 
       3.337348253800e-02       3.613397693465e+03 
       4.174984795933e-02       2.831762099112e+03 
       4.968528292774e-02       2.348588815202e+03 
       5.536411968071e-02       2.125942601595e+03 
       5.989621749798e-02       1.994144937136e+03 
       6.387325961736e-02       1.896134896412e+03 
       6.754596786466e-02       1.810837829915e+03 
       7.104144107715e-02       1.728732449186e+03 
       7.443357988902e-02       1.645307554124e+03 
       7.776982541121e-02       1.558794240324e+03 
       8.108301373595e-02       1.469167317731e+03 
       8.439728204167e-02       1.377574545251e+03 
       8.773128276046e-02       1.285915567831e+03 
       9.110005698446e-02       1.196476735821e+03 
       9.451618770150e-02       1.111599353617e+03 
       9.799054187956e-02       1.033388588054e+03 
       1.015327656982e-01       9.634783215569e+02 
       1.051516251444e-01       9.028638734452e+02 
       1.088552461466e-01       8.518051158265e+02 
       1.126512873345e-01       8.097951529318e+02 
       1.165470663367e-01       7.755892922363e+02 
       1.205496532323e-01       7.472967296032e+02 
       1.246659402849e-01       7.225493206427e+02 
       1.289026942357e-01       6.987658467195e+02 
       1.332665956028e-01       6.735136776543e+02 
       1.377642682262e-01       6.449295885253e+02 
       1.424023015016e-01       6.121086677571e+02 
       1.471872672141e-01       5.753358443552e+02 
       1.521257325303e-01       5.360489771557e+02 
       1.572242704727e-01       4.964994487805e+02 
       1.624894690480e-01       4.591863797794e+02 
