# Matter power spectrum P(k) at redshift z=1
# for k=2.09149e-07 to 10.4943 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.091485238857e-07       5.661818986703e-01 
       2.633023915589e-07       7.025964971688e-01 
       3.314780717197e-07       8.718785232515e-01 
       4.173061679404e-07       1.081946981111e+00 
       5.253573393187e-07       1.342628861738e+00 
       6.613857047408e-07       1.666118848747e+00 
       8.326352706956e-07       2.067549784521e+00 
       1.048225701035e-06       2.565700582573e+00 
       1.319637972329e-06       3.183874701732e+00 
       1.661325777733e-06       3.950990275934e+00 
       2.091485238857e-06       4.902932894376e+00 
       2.633023915589e-06       6.084234308646e+00 
       3.314780717197e-06       7.550155590507e+00 
       4.173061679404e-06       9.369272172467e+00 
       5.253573393187e-06       1.162668166410e+01 
       6.613857047408e-06       1.442798444460e+01 
       8.326352706956e-06       1.790422310734e+01 
       1.048225701035e-05       2.221801158169e+01 
       1.319637972329e-05       2.757114013894e+01 
       1.661325777733e-05       3.421401108202e+01 
       2.091485238857e-05       4.245734458019e+01 
       2.633023915589e-05       5.268669847313e+01 
       3.314780717197e-05       6.538047383960e+01 
       4.173061679404e-05       8.113223402793e+01 
       5.253573393187e-05       1.006783525591e+02 
       6.613857047408e-05       1.249322270570e+02 
       8.326352706956e-05       1.550265497748e+02 
       1.048225701035e-04       1.923653974753e+02 
       1.319637972329e-04       2.386881607205e+02 
       1.661325777733e-04       2.961474997370e+02 
       2.091485238857e-04       3.674034430624e+02 
       2.633023915589e-04       4.557351688016e+02 
       3.314780717197e-04       5.651705021512e+02 
       4.173061679404e-04       7.006301884775e+02 
       5.253573393187e-04       8.680792106653e+02 
       6.613857047408e-04       1.074671354933e+03 
       8.326352706956e-04       1.328867437010e+03 
       1.048225701035e-03       1.640499300841e+03 
       1.319637972329e-03       2.020718235229e+03 
       1.661325777733e-03       2.481679126871e+03 
       2.091485238857e-03       3.035750515119e+03 
       2.633023915589e-03       3.694175568527e+03 
       3.314780717197e-03       4.464876490173e+03 
       4.173061679404e-03       5.349234739682e+03 
       5.253573393187e-03       6.337378576123e+03 
       6.613857047408e-03       7.401900866059e+03 
       8.326352706956e-03       8.490044317243e+03 
       1.048225701035e-02       9.514685732741e+03 
       1.319637972329e-02       1.034686881639e+04 
       1.661325777705e-02       1.081773657786e+04 
       2.091485141757e-02       1.074807688183e+04 
       2.632977010110e-02       1.003220256994e+04 
       3.310298755210e-02       8.783329841336e+03 
       4.067460208311e-02       7.516252302609e+03 
       4.652037515888e-02       6.792871424365e+03 
       5.089008097923e-02       6.387810951755e+03 
       5.458305514942e-02       6.109552503240e+03 
       5.792370467156e-02       5.887687227324e+03 
       6.106343550248e-02       5.689841653885e+03 
       6.408520719371e-02       5.498528829503e+03 
       6.704001529745e-02       5.303772009834e+03 
       6.996199356091e-02       5.100272310764e+03 
       7.287556195306e-02       4.886125430060e+03 
       7.579916762124e-02       4.662093001306e+03 
       7.874739966002e-02       4.431043560506e+03 
       8.173225942017e-02       4.197403259693e+03 
       8.476396176893e-02       3.966562062292e+03 
       8.785146108798e-02       3.744238386651e+03 
       9.100280814094e-02       3.535838401217e+03 
       9.422539887805e-02       3.345858575803e+03 
       9.752615181939e-02       3.177378972442e+03 
       1.009116368121e-01       3.031684024883e+03 
       1.043881698023e-01       2.908035568762e+03 
       1.079618833024e-01       2.803622757371e+03 
       1.116387791310e-01       2.713725315059e+03 
       1.154247680201e-01       2.632140440963e+03 
       1.193256993886e-01       2.551920101802e+03 
       1.233473837314e-01       2.466412208941e+03 
       1.274956095044e-01       2.370489971987e+03 
       1.317761560078e-01       2.261712204602e+03 
       1.361948035203e-01       2.141058916053e+03 
       1.407573417730e-01       2.012911744586e+03 
       1.454695777428e-01       1.884141838212e+03 
       1.503373436820e-01       1.762469154448e+03 
       1.553665062544e-01       1.654525439996e+03 
       1.605629776249e-01       1.564148313419e+03 
       1.659327293326e-01       1.491338016056e+03 
       1.714818097630e-01       1.432143927213e+03 
       1.772163660322e-01       1.379622964562e+03 
       1.831426710898e-01       1.325860572863e+03 
       1.892671568531e-01       1.264671381069e+03 
       1.955964542015e-01       1.194025640162e+03 
       2.021374406982e-01       1.116945243872e+03 
       2.088972969639e-01       1.040133503255e+03 
       2.158835727379e-01       9.708381561986e+02 
       2.231042638085e-01       9.134911579052e+02 
       2.305679012263e-01       8.677422196998e+02 
       2.382836545205e-01       8.287853065659e+02 
       2.462614510709e-01       7.899613292640e+02 
       2.545121143613e-01       7.465481217655e+02 
       2.630475246039e-01       6.985402670647e+02 
       2.718808062359e-01       6.503098397788e+02 
       2.810265481285e-01       6.071877736307e+02 
       2.905010641190e-01       5.715275083425e+02 
       3.003227038458e-01       5.412050370067e+02 
       3.105122270468e-01       5.116548767059e+02 
       3.210932588161e-01       4.798834572107e+02 
       3.320928492677e-01       4.469342081143e+02 
       3.435421693777e-01       4.162964448660e+02 
       3.554773865476e-01       3.899340431447e+02 
       3.679407803847e-01       3.663210772710e+02 
       3.809821840092e-01       3.426343334291e+02 
       3.946608732401e-01       3.183426618416e+02 
       4.090480824351e-01       2.954067991506e+02 
       4.242304136945e-01       2.749197353998e+02 
       4.403145466505e-01       2.555149120383e+02 
       4.574338869211e-01       2.360238979980e+02 
       4.757581825737e-01       2.173562395699e+02 
       4.955078246508e-01       2.000558108749e+02 
       5.169758015226e-01       1.831332975559e+02 
       5.405626704432e-01       1.665892245423e+02 
       5.668347181479e-01       1.507777251637e+02 
       5.966257161930e-01       1.351198367048e+02 
       6.312259141424e-01       1.197340823005e+02 
       6.727584785499e-01       1.042753020488e+02 
       7.249904275331e-01       8.855125567513e+01 
       7.952131949589e-01       7.218586818704e+01 
       8.986232510056e-01       5.490336838459e+01 
       1.064835799969e+00       3.731643110051e+01 
       1.322061897749e+00       2.258996456650e+01 
       1.663243103585e+00       1.312099383485e+01 
       2.093884287629e+00       7.533339998705e+00 
       2.636044104056e+00       4.286326233585e+00 
       3.318582909196e+00       2.419052759361e+00 
       4.177848355532e+00       1.355192706230e+00 
       5.259599461402e+00       7.541277783933e-01 
       6.621443417818e+00       4.170949039922e-01 
       8.335903381448e+00       2.294022006691e-01 
       1.049428059717e+01       1.255255073755e-01 
