# Matter power spectrum P(k) at redshift z=1
# for k=1.0442e-05 to 10.4549 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044198000517e-05       2.047560497189e+01 
       1.314567397796e-05       2.545812163900e+01 
       1.654942302601e-05       3.165306204608e+01 
       2.083448919797e-05       3.935543899903e+01 
       2.622906789308e-05       4.893202905595e+01 
       3.302044009828e-05       6.083882065984e+01 
       4.157027114835e-05       7.564268110765e+01 
       5.233387072383e-05       9.404826422663e+01 
       6.588443975178e-05       1.169313773828e+02 
       8.294359544533e-05       1.453803369534e+02 
       1.044198000517e-04       1.807470865211e+02 
       1.314567397796e-04       2.247101850616e+02 
       1.654942302601e-04       2.793520363413e+02 
       2.083448919797e-04       3.472527879677e+02 
       2.622906789308e-04       4.316030779017e+02 
       3.302044009828e-04       5.363367854100e+02 
       4.157027114835e-04       6.662827673885e+02 
       5.233387072383e-04       8.273308565665e+02 
       6.588443975178e-04       1.026602490622e+03 
       8.294359544533e-04       1.272611230413e+03 
       1.044198000517e-03       1.575346705779e+03 
       1.314567397796e-03       1.946265779713e+03 
       1.654942302601e-03       2.398387585211e+03 
       2.083448919798e-03       2.945404351305e+03 
       2.622906789308e-03       3.600665713956e+03 
       3.302044009828e-03       4.375258859163e+03 
       4.157027114835e-03       5.263421899924e+03 
       5.233387072383e-03       6.278443983886e+03 
       6.588443975178e-03       7.391477091658e+03 
       8.294359544533e-03       8.555709650803e+03 
       1.044198000517e-02       9.688397790983e+03 
       1.314567397796e-02       1.066052456371e+04 
       1.654942302549e-02       1.129500988110e+04 
       2.083448764107e-02       1.139299024110e+04 
       2.622840383704e-02       1.081974744121e+04 
       3.296312606193e-02       9.660328196042e+03 
       4.034756289910e-02       8.439168389245e+03 
       4.593665703254e-02       7.727610168714e+03 
       5.015582907265e-02       7.313385182405e+03 
       5.374418768807e-02       7.022862737140e+03 
       5.700127451979e-02       6.789320138872e+03 
       6.006870160857e-02       6.581221505108e+03 
       6.302479444913e-02       6.380915656021e+03 
       6.591802830598e-02       6.178133857220e+03 
       6.878101883565e-02       5.966587172653e+03 
       7.163719736906e-02       5.744050103842e+03 
       7.450432577886e-02       5.510403374382e+03 
       7.739649287777e-02       5.268396778325e+03 
       8.032531816585e-02       5.021772458385e+03 
       8.330071344231e-02       4.776128294833e+03 
       8.633138404067e-02       4.537296822507e+03 
       8.942516960724e-02       4.311126727633e+03 
       9.258928209823e-02       4.102665904326e+03 
       9.583047569594e-02       3.915848208458e+03 
       9.915517028243e-02       3.752616585789e+03 
       1.025695423985e-01       3.612976847846e+03 
       1.060795929143e-01       3.494577525812e+03 
       1.096911976942e-01       3.393088635317e+03 
       1.134101456489e-01       3.302169964618e+03 
       1.172421673427e-01       3.214458456238e+03 
       1.211929565055e-01       3.122564555750e+03 
       1.252681862636e-01       3.020355238306e+03 
       1.294735215418e-01       2.904340713541e+03 
       1.338146288497e-01       2.774457331997e+03 
       1.382971845102e-01       2.634689406557e+03 
       1.429268822874e-01       2.491988605487e+03 
       1.477094413056e-01       2.354888514855e+03 
       1.526506151132e-01       2.231473207914e+03 
       1.577562027183e-01       2.126812235181e+03 
       1.630320624100e-01       2.042024203968e+03 
       1.684841291632e-01       1.974178097992e+03 
       1.741184364251e-01       1.915569997567e+03 
       1.799411430713e-01       1.856791089315e+03 
       1.859585663321e-01       1.790010065535e+03 
       1.921772215012e-01       1.712009935707e+03 
       1.986038692798e-01       1.625194325518e+03 
       2.052455716708e-01       1.536615914900e+03 
       2.121097574431e-01       1.455011780550e+03 
       2.192042983419e-01       1.386693950189e+03 
       2.265375974443e-01       1.332292268178e+03 
       2.341186913764e-01       1.287105198541e+03 
       2.419573685339e-01       1.243277793141e+03 
       2.500643060243e-01       1.194009378591e+03 
       2.584512288131e-01       1.138055229288e+03 
       2.671310955673e-01       1.080259670890e+03 
       2.761183170260e-01       1.027444006322e+03 
       2.854290145024e-01       9.836480333980e+02 
       2.950813284887e-01       9.469797877667e+02 
       3.050957905231e-01       9.117938506930e+02 
       3.154957758172e-01       8.736151858582e+02 
       3.263080601207e-01       8.328881883308e+02 
       3.375635126484e-01       7.941236221041e+02 
       3.492979687338e-01       7.604968977243e+02 
       3.615533429268e-01       7.306653746921e+02 
       3.743790682605e-01       7.007294289447e+02 
       3.878339847834e-01       6.694212740875e+02 
       4.019888574724e-01       6.390883839852e+02 
       4.169297926526e-01       6.117158529898e+02 
       4.327629645411e-01       5.858280544202e+02 
       4.496212981356e-01       5.593450931989e+02 
       4.676741531981e-01       5.333324356263e+02 
       4.871417553854e-01       5.089045177292e+02 
       5.083174047130e-01       4.846256154671e+02 
       5.316029515233e-01       4.602495325186e+02 
       5.575679908617e-01       4.363869198683e+02 
       5.870538299144e-01       4.120613082211e+02 
       6.213674758850e-01       3.872719189297e+02 
       6.626700713937e-01       3.612790771389e+02 
       7.148183961342e-01       3.333287943769e+02 
       7.853241321705e-01       3.019929568829e+02 
       8.898845399798e-01       2.651596993678e+02 
       1.058513655451e+00       2.211325824889e+02 
       1.316879131424e+00       1.744304322137e+02 
       1.656991314198e+00       1.331522823450e+02 
       2.086018460063e+00       9.849893682190e+01 
       2.626141627982e+00       7.017238020818e+01 
       3.306116430432e+00       4.806047514052e+01 
       4.162153988621e+00       3.175075618214e+01 
       5.239841424075e+00       2.035423743922e+01 
       6.596569522540e+00       1.274066902975e+01 
       8.304589002592e+00       7.830090614831e+00 
       1.045485812987e+01       4.746319783295e+00 
