# Matter power spectrum P(k) at redshift z=0
# for k=1.05287e-05 to 10.5425 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052868760890e-05       5.712573454710e+01 
       1.325483238368e-05       7.103637852333e+01 
       1.668684531689e-05       8.833432963351e+01 
       2.100749361211e-05       1.098441801320e+02 
       2.644686754639e-05       1.365913876277e+02 
       3.329463361651e-05       1.698507471600e+02 
       4.191546033620e-05       2.112069196171e+02 
       5.276843816429e-05       2.626294070485e+02 
       6.643152774572e-05       3.265652454895e+02 
       8.363233842339e-05       4.060532201268e+02 
       1.052868760890e-04       5.048640330748e+02 
       1.325483238368e-04       6.276708619505e+02 
       1.668684531689e-04       7.802542601344e+02 
       2.100749361211e-04       9.697434288991e+02 
       2.644686754639e-04       1.204891227982e+03 
       3.329463361651e-04       1.496371840042e+03 
       4.191546033620e-04       1.857076629840e+03 
       5.276843816429e-04       2.302367651254e+03 
       6.643152774572e-04       2.850233601184e+03 
       8.363233842339e-04       3.521271450521e+03 
       1.052868760890e-03       4.338329643045e+03 
       1.325483238368e-03       5.325448628592e+03 
       1.668684531689e-03       6.505697360158e+03 
       2.100749361211e-03       7.897670740341e+03 
       2.644686754639e-03       9.510229225177e+03 
       3.329463361651e-03       1.133547518829e+04 
       4.191546033620e-03       1.334031104822e+04 
       5.276843816429e-03       1.545668467081e+04 
       6.643152774572e-03       1.757197288949e+04 
       8.363233842339e-03       1.952424769773e+04 
       1.052868760890e-02       2.109609612272e+04 
       1.325483238368e-02       2.202276142709e+04 
       1.668684531689e-02       2.201517663296e+04 
       2.100749359175e-02       2.082753996305e+04 
       2.644684114996e-02       1.840741901705e+04 
       3.328899648229e-02       1.510106334086e+04 
       4.164155777480e-02       1.181749348451e+04 
       4.954351568940e-02       9.788667179326e+03 
       5.519810640513e-02       8.851500907973e+03 
       5.971275770889e-02       8.295568280131e+03 
       6.367537879956e-02       7.882439686178e+03 
       6.733523230687e-02       7.523957879625e+03 
       7.081874520249e-02       7.180199692849e+03 
       7.419945555482e-02       6.831608812175e+03 
       7.752458507700e-02       6.471466195972e+03 
       8.082682523530e-02       6.099157099348e+03 
       8.413021124092e-02       5.719061766145e+03 
       8.745331956065e-02       5.338880700483e+03 
       9.081113199100e-02       4.967799542220e+03 
       9.421618333562e-02       4.615368074327e+03 
       9.767930001122e-02       4.290051545194e+03 
       1.012100930117e-01       3.998809099092e+03 
       1.048172969753e-01       3.745611805901e+03 
       1.085090092586e-01       3.531657966092e+03 
       1.122928619446e-01       3.355115068024e+03 
       1.161761475953e-01       3.210720821535e+03 
       1.201659123049e-01       3.091011783047e+03 
       1.242690251364e-01       2.986287318566e+03 
       1.284922301935e-01       2.886151125110e+03 
       1.328421857530e-01       2.780671811877e+03 
       1.373254936850e-01       2.661843338944e+03 
       1.419487215920e-01       2.526124501401e+03 
       1.467184195728e-01       2.374185295527e+03 
       1.516411331609e-01       2.211835886571e+03 
       1.567234137581e-01       2.048331772251e+03 
       1.619718277305e-01       1.893917680006e+03 
       1.673929652388e-01       1.757361158124e+03 
       1.729934498121e-01       1.643775568412e+03 
       1.787799496385e-01       1.553438108168e+03 
       1.847591915186e-01       1.481857548796e+03 
       1.909379784178e-01       1.420923097942e+03 
       1.973232115351e-01       1.361085521973e+03 
       2.039219178083e-01       1.294726575930e+03 
       2.107412837686e-01       1.218340658764e+03 
       2.177886966740e-01       1.134334662568e+03 
       2.250717938767e-01       1.049455851578e+03 
       2.325985214327e-01       9.717634052231e+02 
       2.403772030562e-01       9.063385238756e+02 
       2.484166206621e-01       8.529620657188e+02 
       2.567261079485e-01       8.078358310574e+02 
       2.653156587744e-01       7.656447337207e+02 
       2.741960524966e-01       7.215449190208e+02 
       2.833789989915e-01       6.739282613993e+02 
       2.928773068322e-01       6.256498841919e+02 
       3.027050790851e-01       5.809757391408e+02 
       3.128779424953e-01       5.423443931718e+02 
       3.234133175662e-01       5.092826648769e+02 
       3.343307393427e-01       4.785700681607e+02 
       3.456522417904e-01       4.475967349784e+02 
       3.574028228392e-01       4.164390139284e+02 
       3.696110128623e-01       3.866386398824e+02 
       3.823095772707e-01       3.598977738198e+02 
       3.955363950019e-01       3.358036525169e+02 
       4.093355705376e-01       3.129243770755e+02 
       4.237588600688e-01       2.903932947899e+02 
       4.388675264004e-01       2.689908861010e+02 
       4.547347883700e-01       2.491691349226e+02 
       4.714491093623e-01       2.306759426227e+02 
       4.891186937562e-01       2.129808439385e+02 
       5.078777612738e-01       1.960657138787e+02 
       5.278955044685e-01       1.800997463962e+02 
       5.493892120950e-01       1.650005828414e+02 
       5.726440733677e-01       1.504778620087e+02 
       5.980441021403e-01       1.366100381880e+02 
       6.261223809375e-01       1.232844614331e+02 
       6.576465848563e-01       1.103735098580e+02 
       6.937727670389e-01       9.779766225769e+01 
       7.363403350090e-01       8.538598940761e+01 
       7.884816235057e-01       7.299158637557e+01 
       8.559855161995e-01       6.038229407302e+01 
       9.505225104724e-01       4.730906078096e+01 
       1.096475695181e+00       3.379336394706e+01 
       1.332693824765e+00       2.121061247218e+01 
       1.671026826295e+00       1.225577331100e+01 
       2.103503290944e+00       6.955777589431e+00 
       2.648152580686e+00       3.916382718759e+00 
       3.333826577045e+00       2.189849270343e+00 
       4.197038996357e+00       1.216711840687e+00 
       5.283759046805e+00       6.721255233125e-01 
       6.651858533820e+00       3.693152296078e-01 
       8.374193743885e+00       2.019452352277e-01 
       1.054248530747e+01       1.099297683825e-01 
