# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       2.334475935984e+01 
       1.320701002944e-05       2.929940155341e+01 
       1.662664053989e-05       3.677287263468e+01 
       2.093170028843e-05       4.615257466580e+01 
       2.635144940517e-05       5.792463619228e+01 
       3.317450929377e-05       7.269912053025e+01 
       4.176423277373e-05       9.124153068393e+01 
       5.257805394294e-05       1.145122965526e+02 
       6.619184821145e-05       1.437161571399e+02 
       8.333059976702e-05       1.803638214209e+02 
       1.049070096267e-04       2.263487103685e+02 
       1.320701002944e-04       2.840419990920e+02 
       1.662664053989e-04       3.564094434398e+02 
       2.093170028843e-04       4.471532292882e+02 
       2.635144940517e-04       5.608809874060e+02 
       3.317450929377e-04       7.033013102266e+02 
       4.176423277373e-04       8.814398883121e+02 
       5.257805394294e-04       1.103862480619e+03 
       6.619184821145e-04       1.380881908076e+03 
       8.333059976702e-04       1.724717045634e+03 
       1.049070096267e-03       2.149549032969e+03 
       1.320701002944e-03       2.671339299747e+03 
       1.662664053989e-03       3.307103112241e+03 
       2.093170028843e-03       4.073598007430e+03 
       2.635144940517e-03       4.984960576770e+03 
       3.317450929377e-03       6.049042855707e+03 
       4.176423277373e-03       7.262471413414e+03 
       5.257805394294e-03       8.603847870370e+03 
       6.619184821145e-03       1.002510727051e+04 
       8.333059976702e-03       1.144411891626e+04 
       1.049070096267e-02       1.273195091529e+04 
       1.320701002944e-02       1.371169722217e+04 
       1.662664053986e-02       1.416208856596e+04 
       2.093170009789e-02       1.386279318064e+04 
       2.635130920348e-02       1.270355839757e+04 
       3.315563348154e-02       1.085939777502e+04 
       4.115157380763e-02       8.977597038591e+03 
       4.784925191411e-02       7.881806858240e+03 
       5.271460063688e-02       7.326541237765e+03 
       5.673376449429e-02       6.969588530477e+03 
       6.032560480393e-02       6.693284840264e+03 
       6.367738997632e-02       6.448498496901e+03 
       6.688846392493e-02       6.210044613171e+03 
       7.001849067139e-02       5.964836861724e+03 
       7.310670916915e-02       5.707167776593e+03 
       7.618080038695e-02       5.435458159543e+03 
       7.926143286374e-02       5.152376225884e+03 
       8.236479139086e-02       4.862630805397e+03 
       8.550407668587e-02       4.573090304120e+03 
       8.869044158863e-02       4.291427698546e+03 
       9.193360043755e-02       4.024819766552e+03 
       9.524223961042e-02       3.779942144503e+03 
       9.862430209426e-02       3.561821342815e+03 
       1.020871894096e-01       3.373110299801e+03 
       1.056379076311e-01       3.214115320886e+03 
       1.092831745594e-01       3.082558467782e+03 
       1.130294992493e-01       2.973438650517e+03 
       1.168832414596e-01       2.879937355451e+03 
       1.208506562745e-01       2.793533456220e+03 
       1.249379276451e-01       2.705553330503e+03 
       1.291511936071e-01       2.608038427023e+03 
       1.334965652770e-01       2.495964276908e+03 
       1.379801412903e-01       2.367941675117e+03 
       1.426080190527e-01       2.227157670692e+03 
       1.473863039884e-01       2.080484232562e+03 
       1.523211178401e-01       1.936944856930e+03 
       1.574186070002e-01       1.805455119186e+03 
       1.626849518022e-01       1.692696681551e+03 
       1.681263776695e-01       1.601315546347e+03 
       1.737491690001e-01       1.529204326497e+03 
       1.795596866532e-01       1.470119018807e+03 
       1.855643898927e-01       1.415358025974e+03 
       1.917698636422e-01       1.356591560927e+03 
       1.981828519038e-01       1.287699698448e+03 
       2.048102982138e-01       1.208519434089e+03 
       2.116593940331e-01       1.124889292018e+03 
       2.187376360370e-01       1.045094794571e+03 
       2.260528933601e-01       9.756899730463e+02 
       2.336134860059e-01       9.191845085694e+02 
       2.414282758466e-01       8.736396351514e+02 
       2.495067719450e-01       8.332108755025e+02 
       2.578592523525e-01       7.911276351879e+02 
       2.664969051037e-01       7.442514175906e+02 
       2.754319918837e-01       6.941273076733e+02 
       2.846780388456e-01       6.456639446046e+02 
       2.942500603784e-01       6.035876789386e+02 
       3.041648233785e-01       5.685592088223e+02 
       3.144411619124e-01       5.373430847677e+02 
       3.251003552940e-01       5.060930554192e+02 
       3.361665868505e-01       4.730994632178e+02 
       3.476675064906e-01       4.403689957384e+02 
       3.596349283009e-01       4.106578577450e+02 
       3.721057058568e-01       3.846389698903e+02 
       3.851228443516e-01       3.604089752852e+02 
       3.987369326004e-01       3.361413602884e+02 
       4.130080135528e-01       3.122098855336e+02 
       4.280080658909e-01       2.899884892845e+02 
       4.438243528945e-01       2.695674451327e+02 
       4.605640275539e-01       2.500563263235e+02 
       4.783605996542e-01       2.309155575480e+02 
       4.973832351585e-01       2.127416819841e+02 
       5.178504927926e-01       1.956670805739e+02 
       5.400512503036e-01       1.790502042377e+02 
       5.643777403166e-01       1.630138347765e+02 
       5.913799167315e-01       1.475755630902e+02 
       6.218594001039e-01       1.324319548696e+02 
       6.570414345585e-01       1.175798859275e+02 
       6.989116361210e-01       1.027559726203e+02 
       7.509281862497e-01       8.776501621867e+01 
       8.196492253256e-01       7.228024539330e+01 
       9.185761871495e-01       5.598778994352e+01 
       1.075205758626e+00       3.914947002021e+01 
       1.324159152430e+00       2.419560894577e+01 
       1.664400815804e+00       1.412771331422e+01 
       2.095308042487e+00       8.144324383766e+00 
       2.637836365226e+00       4.655989429999e+00 
       3.320839232249e+00       2.641667442712e+00 
       4.180688897961e+00       1.488666479305e+00 
       5.263175492449e+00       8.337000779986e-01 
       6.625945374177e+00       4.642745462155e-01 
       8.341571008711e+00       2.571828061709e-01 
       1.050141571715e+01       1.417928534541e-01 
