# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04907e-05 to 10.5014 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049070096267e-05       9.689643540798e+00 
       1.320701002944e-05       1.216122045146e+01 
       1.662664053989e-05       1.526322200282e+01 
       2.093170028843e-05       1.915643772368e+01 
       2.635144940517e-05       2.404265265882e+01 
       3.317450929377e-05       3.017509319170e+01 
       4.176423277373e-05       3.787151372357e+01 
       5.257805394294e-05       4.753059201992e+01 
       6.619184821145e-05       5.965244769707e+01 
       8.333059976702e-05       7.486426781773e+01 
       1.049070096267e-04       9.395222684386e+01 
       1.320701002944e-04       1.179010677235e+02 
       1.662664053989e-04       1.479428356807e+02 
       2.093170028843e-04       1.856162065814e+02 
       2.635144940517e-04       2.328374237127e+02 
       3.317450929377e-04       2.919826870114e+02 
       4.176423277373e-04       3.659794539613e+02 
       5.257805394294e-04       4.584000229772e+02 
       6.619184821145e-04       5.735452748897e+02 
       8.333059976702e-04       7.165012651082e+02 
       1.049070096267e-03       8.931481826898e+02 
       1.320701002944e-03       1.110089103167e+03 
       1.662664053989e-03       1.374388437920e+03 
       2.093170028843e-03       1.693023951414e+03 
       2.635144940517e-03       2.071864779458e+03 
       3.317450929377e-03       2.514178882574e+03 
       4.176423277373e-03       3.018562945998e+03 
       5.257805394294e-03       3.572550480512e+03 
       6.619184821145e-03       4.161815646975e+03 
       8.333059976702e-03       4.749367922379e+03 
       1.049070096267e-02       5.281767426279e+03 
       1.320701002944e-02       5.685268657247e+03 
       1.662664053986e-02       5.868415577868e+03 
       2.093170009789e-02       5.740271447311e+03 
       2.635130920348e-02       5.255918638440e+03 
       3.315563348154e-02       4.489814936014e+03 
       4.115157380763e-02       3.710735065097e+03 
       4.784925191411e-02       3.257865237493e+03 
       5.271460063688e-02       3.028335006833e+03 
       5.673376449429e-02       2.880632568086e+03 
       6.032560480393e-02       2.766238686251e+03 
       6.367738997632e-02       2.664845343442e+03 
       6.688846392493e-02       2.566305788448e+03 
       7.001849067139e-02       2.465285161758e+03 
       7.310670916915e-02       2.359350683228e+03 
       7.618080038695e-02       2.247987575958e+03 
       7.926143286374e-02       2.132242791541e+03 
       8.236479139086e-02       2.014136166184e+03 
       8.550407668587e-02       1.896301641795e+03 
       8.869044158863e-02       1.781831205700e+03 
       9.193360043755e-02       1.673680245097e+03 
       9.524223961042e-02       1.574397730993e+03 
       9.862430209426e-02       1.486022669151e+03 
       1.020871894096e-01       1.409500529785e+03 
       1.056379076311e-01       1.344958562477e+03 
       1.092831745594e-01       1.291383449328e+03 
       1.130294992493e-01       1.246791119354e+03 
       1.168832414596e-01       1.208396193279e+03 
       1.208506562745e-01       1.172824463788e+03 
       1.249379276451e-01       1.136615187378e+03 
       1.291511936071e-01       1.096712113338e+03 
       1.334965652770e-01       1.051135260271e+03 
       1.379801412903e-01       9.994257761061e+02 
       1.426080190527e-01       9.428430050386e+02 
       1.473863039884e-01       8.841002003302e+02 
       1.523211178401e-01       8.267182431606e+02 
       1.574186070002e-01       7.741788731833e+02 
       1.626849518022e-01       7.290184105208e+02 
       1.681263776695e-01       6.922236623936e+02 
       1.737491690001e-01       6.629331094489e+02 
       1.795596866532e-01       6.386976089013e+02 
       1.855643898927e-01       6.161624385116e+02 
       1.917698636422e-01       5.921162827516e+02 
       1.981828519038e-01       5.642529996966e+02 
       2.048102982138e-01       5.325811527673e+02 
       2.116593940331e-01       4.993133218479e+02 
       2.187376360370e-01       4.676054321379e+02 
       2.260528933601e-01       4.399184746999e+02 
       2.336134860059e-01       4.171768480735e+02 
       2.414282758466e-01       3.986132450388e+02 
       2.495067719450e-01       3.820066372095e+02 
       2.578592523525e-01       3.648374137419e+02 
       2.664969051037e-01       3.459305781326e+02 
       2.754319918837e-01       3.259052922105e+02 
       2.846780388456e-01       3.065635225338e+02 
       2.942500603784e-01       2.896409425858e+02 
       3.041648233785e-01       2.753736238669e+02 
       3.144411619124e-01       2.625454535875e+02 
       3.251003552940e-01       2.497427953603e+02 
       3.361665868505e-01       2.363646203717e+02 
       3.476675064906e-01       2.231311574047e+02 
       3.596349283009e-01       2.110374347405e+02 
       3.721057058568e-01       2.003140844619e+02 
       3.851228443516e-01       1.902662068120e+02 
       3.987369326004e-01       1.802379500908e+02 
       4.130080135528e-01       1.703682138422e+02 
       4.280080658909e-01       1.611299431894e+02 
       4.438243528945e-01       1.525550034865e+02 
       4.605640275539e-01       1.443163340436e+02 
       4.783605996542e-01       1.362223915889e+02 
       4.973832351585e-01       1.284734124375e+02 
       5.178504927926e-01       1.211068872158e+02 
       5.400512503036e-01       1.138885578159e+02 
       5.643777403166e-01       1.068484131318e+02 
       5.913799167315e-01       9.997345631229e+01 
       6.218594001039e-01       9.313791720356e+01 
       6.570414345585e-01       8.630495647020e+01 
       6.989116361210e-01       7.933600237836e+01 
       7.509281862497e-01       7.208136816253e+01 
       8.196492253256e-01       6.429062528905e+01 
       9.185761871495e-01       5.561408798627e+01 
       1.075205758626e+00       4.579284360533e+01 
       1.324159152430e+00       3.566337554130e+01 
       1.664400815804e+00       2.717112502527e+01 
       2.095308042487e+00       2.055314211626e+01 
       2.637836365226e+00       1.534630380895e+01 
       3.320839232249e+00       1.123833605696e+01 
       4.180688897961e+00       8.031010138337e+00 
       5.263175492449e+00       5.579482821736e+00 
       6.625945374177e+00       3.760468554676e+00 
       8.341571008711e+00       2.458873247410e+00 
       1.050141571715e+01       1.563656386910e+00 
