# Matter power spectrum P(k) at redshift z=0.5
# for k=2.10092e-07 to 10.5409 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.100916773957e-07       6.864745125210e-01 
       2.644897514799e-07       8.564744603310e-01 
       3.329728692972e-07       1.068573541340e+00 
       4.191880065963e-07       1.333197270305e+00 
       5.277264338234e-07       1.663352957069e+00 
       6.643682180158e-07       2.075269067096e+00 
       8.363900324485e-07       2.589192914063e+00 
       1.052952666021e-06       3.230385893520e+00 
       1.325588868670e-06       4.030365176171e+00 
       1.668817512360e-06       5.028452892773e+00 
       2.100916773957e-06       6.273708954471e+00 
       2.644897514799e-06       7.827342504231e+00 
       3.329728692972e-06       9.765720515272e+00 
       4.191880065963e-06       1.218412138316e+01 
       5.277264338234e-06       1.520141794291e+01 
       6.643682180158e-06       1.896591995937e+01 
       8.363900324485e-06       2.366266298929e+01 
       1.052952666021e-05       2.952250133425e+01 
       1.325588868670e-05       3.683345093905e+01 
       1.668817512360e-05       4.595483760144e+01 
       2.100916773957e-05       5.733494163435e+01 
       2.644897514799e-05       7.153299776804e+01 
       3.329728692972e-05       8.924661487340e+01 
       4.191880065963e-05       1.113459301107e+02 
       5.277264338234e-05       1.389161108518e+02 
       6.643682180158e-05       1.733101646775e+02 
       8.363900324485e-05       2.162143999921e+02 
       1.052952666021e-04       2.697292594804e+02 
       1.325588868670e-04       3.364685357058e+02 
       1.668817512360e-04       4.196799886502e+02 
       2.100916773957e-04       5.233897703268e+02 
       2.644897514799e-04       6.525712302654e+02 
       3.329728692972e-04       8.133347739437e+02 
       4.191880065963e-04       1.013128628305e+03 
       5.277264338234e-04       1.260930727060e+03 
       6.643682180158e-04       1.567401808402e+03 
       8.363900324485e-04       1.944961069111e+03 
       1.052952666021e-03       2.407721226232e+03 
       1.325588868670e-03       2.971125174529e+03 
       1.668817512360e-03       3.650992505093e+03 
       2.100916773957e-03       4.461770446211e+03 
       2.644897514799e-03       5.413803882202e+03 
       3.329728692972e-03       6.509356119766e+03 
       4.191880065963e-03       7.737496944845e+03 
       5.277264338234e-03       9.067539662142e+03 
       6.643682180158e-03       1.044170700893e+04 
       8.363900324485e-03       1.176799309356e+04 
       1.052952666021e-02       1.291405587965e+04 
       1.325588868670e-02       1.370582186394e+04 
       1.668817512359e-02       1.393930658880e+04 
       2.100916764387e-02       1.342478212565e+04 
       2.644889113977e-02       1.208977463000e+04 
       3.328422907046e-02       1.013679773342e+04 
       4.143688519998e-02       8.187893480079e+03 
       4.852979989103e-02       7.042620056951e+03 
       5.363937693671e-02       6.482413996505e+03 
       5.781742369416e-02       6.131038286731e+03 
       6.153117533940e-02       5.862435477415e+03 
       6.498592696783e-02       5.625917214183e+03 
       6.828909155262e-02       5.396973083465e+03 
       7.150454571854e-02       5.163179423108e+03 
       7.467398879810e-02       4.919097099828e+03 
       7.782666543535e-02       4.663975916096e+03 
       8.098430637134e-02       4.400422695727e+03 
       8.416385851822e-02       4.133387177458e+03 
       8.737909544468e-02       3.869235685512e+03 
       9.064161841503e-02       3.614854389703e+03 
       9.396150566826e-02       3.376804975889e+03 
       9.734774856318e-02       3.160583839270e+03 
       1.008085531662e-01       2.970035338918e+03 
