# Matter power spectrum P(k) at redshift z=2
# for k=2.11096e-07 to 10.5948 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.110964881572e-07       2.103101753631e-01 
       2.657547332816e-07       2.622468529066e-01 
       3.345653870328e-07       3.270094358963e-01 
       4.211928676423e-07       4.077653169808e-01 
       5.302504043414e-07       5.084640848213e-01 
       6.675457086395e-07       6.340306893362e-01 
       8.403902561404e-07       7.906063100388e-01 
       1.057988649279e-06       9.858487057118e-01 
       1.331928795968e-06       1.229306736789e+00 
       1.676799007944e-06       1.532887375288e+00 
       2.110964881572e-06       1.911438041077e+00 
       2.657547332816e-06       2.383472740952e+00 
       3.345653870328e-06       2.972077521311e+00 
       4.211928676423e-06       3.706039498929e+00 
       5.302504043414e-06       4.621254666675e+00 
       6.675457086395e-06       5.762483273647e+00 
       8.403902561404e-06       7.185538526312e+00 
       1.057988649279e-05       8.960015454721e+00 
       1.331928795968e-05       1.117269300451e+01 
       1.676799007944e-05       1.393177494791e+01 
       2.110964881572e-05       1.737217546226e+01 
       2.657547332816e-05       2.166210478378e+01 
       3.345653870328e-05       2.701127090865e+01 
       4.211928676423e-05       3.368108639299e+01 
       5.302504043414e-05       4.199735565554e+01 
       6.675457086395e-05       5.236601623213e+01 
       8.403902561404e-05       6.529261163066e+01 
       1.057988649279e-04       8.140626660252e+01 
       1.331928795968e-04       1.014889829176e+02 
       1.676799007944e-04       1.265109992997e+02 
       2.110964881572e-04       1.576726196038e+02 
       2.657547332816e-04       1.964520465586e+02 
       3.345653870328e-04       2.446569347375e+02 
       4.211928676423e-04       3.044740096227e+02 
       5.302504043414e-04       3.785057201080e+02 
       6.675457086395e-04       4.697760965231e+02 
       8.403902561404e-04       5.816831956537e+02 
       1.057988649279e-03       7.178786614910e+02 
       1.331928795968e-03       8.820607020140e+02 
       1.676799007944e-03       1.077627876318e+03 
       2.110964881572e-03       1.307030688900e+03 
       2.657547332816e-03       1.570740459559e+03 
       3.345653870328e-03       1.866067526031e+03 
       4.211928676423e-03       2.185836194859e+03 
       5.302504043414e-03       2.516999128820e+03 
       6.675457086395e-03       2.839557226957e+03 
       8.403902561404e-03       3.126190477002e+03 
       1.057988649279e-02       3.342672676100e+03 
       1.331928795968e-02       3.449664286176e+03 
       1.676799007944e-02       3.407035127471e+03 
       2.110964881185e-02       3.183754402750e+03 
       2.657546575672e-02       2.777767667283e+03 
       3.345427229140e-02       2.244473647638e+03 
       4.197312339913e-02       1.714875187979e+03 
       5.070468785200e-02       1.369024502220e+03 
       5.704715482271e-02       1.214857049671e+03 
       6.197586301888e-02       1.129056412553e+03 
       6.623904959792e-02       1.067129439174e+03 
       7.014449674948e-02       1.013975946883e+03 
       7.384310558672e-02       9.632212473697e+02 
       7.742055361876e-02       9.120304231901e+02 
       8.093088718827e-02       8.593985356206e+02 
       8.441100796204e-02       8.054202057913e+02 
       8.788774241488e-02       7.508832087483e+02 
       9.138162866207e-02       6.969800106549e+02 
       9.490909635569e-02       6.450706107909e+02 
       9.848379524502e-02       5.964798026584e+02 
       1.021174431298e-01       5.523312899442e+02 
       1.058203879467e-01       5.134247816536e+02 
       1.096019921994e-01       4.801589016480e+02 
       1.134709027592e-01       4.524969749381e+02 
       1.174352442545e-01       4.299698334292e+02 
       1.215027600412e-01       4.117107940939e+02 
       1.256809162929e-01       3.965251170238e+02 
       1.299769795641e-01       3.830028106342e+02 
       1.343980749114e-01       3.696837941537e+02 
       1.389512295627e-01       3.552713417910e+02 
       1.436434057462e-01       3.388635498998e+02 
       1.484815253852e-01       3.201450376344e+02 
       1.534724887594e-01       2.994687274187e+02 
       1.586231888288e-01       2.777781962843e+02 
       1.639405226539e-01       2.563721873777e+02 
       1.694314011661e-01       2.365733378913e+02 
       1.751027584357e-01       2.193989681613e+02 
       1.809615615117e-01       2.053236762118e+02 
       1.870148218617e-01       1.941834121191e+02 
       1.932696094177e-01       1.852327783483e+02 
       1.997330702104e-01       1.773496603192e+02 
       2.064124485657e-01       1.693644819691e+02 
       2.133151148286e-01       1.604411476593e+02 
       2.204485995782e-01       1.503677932149e+02 
       2.278206353071e-01       1.396027851644e+02 
       2.354392065641e-01       1.290250234171e+02 
       2.433126096074e-01       1.195057165796e+02 
       2.514495227063e-01       1.115193375277e+02 
       2.598590883637e-01       1.049721695697e+02 
       2.685510089392e-01       9.930691832403e+01 
       2.775356574453e-01       9.382483141703e+01 
       2.868242056993e-01       8.806709522337e+01 
       2.964287725633e-01       8.203651547760e+01 
       3.063625957535e-01       7.611244211584e+01 
       3.166402316788e-01       7.072786346187e+01 
       3.272777890756e-01       6.605704155317e+01 
       3.382932039286e-01       6.193427900519e+01 
       3.497065654541e-01       5.803446635570e+01 
       3.615405059853e-01       5.414939846295e+01 
       3.738206717267e-01       5.032192177742e+01 
       3.865762969775e-01       4.673374960844e+01 
       3.998409122073e-01       4.348694728820e+01 
       4.136532272675e-01       4.051235635977e+01 
       4.280582465291e-01       3.767704447899e+01 
       4.431086951526e-01       3.493665605390e+01 
       4.588668686925e-01       3.234586863204e+01 
       4.754070677471e-01       2.994311595637e+01 
       4.928188552516e-01       2.769089685539e+01 
       5.112114930559e-01       2.554233347499e+01 
       5.307201060662e-01       2.350081144130e+01 
       5.515144396766e-01       2.157829038428e+01 
       5.738116192296e-01       1.975467420526e+01 
       5.978952832256e-01       1.801252771399e+01 
       6.241452409222e-01       1.635101049812e+01 
       6.530852470524e-01       1.475779419978e+01 
       6.854635070950e-01       1.321953358399e+01 
       7.223957275754e-01       1.172526746541e+01 
       7.656357003573e-01       1.025840216098e+01 
       8.181256810403e-01       8.799990442740e+00 
       8.852083439239e-01       7.325237136678e+00 
       9.774762743109e-01       5.805604080356e+00 
       1.117149087632e+00       4.231351140404e+00 
       1.343661781440e+00       2.718423394467e+00 
       1.679547576123e+00       1.580328089983e+00 
       2.113948686818e+00       8.962743724855e-01 
       2.661299732054e+00       5.043271818335e-01 
       3.350377855488e+00       2.818979291247e-01 
       4.217875821385e+00       1.566158493725e-01 
       5.309991055334e+00       8.653107233608e-02 
       6.684882675960e+00       4.756654818279e-02 
       8.415768675628e+00       2.602564648990e-02 
       1.059482504553e+01       1.417839574821e-02 
