# Matter power spectrum P(k) at redshift z=0.5
# for k=2.10038e-07 to 10.538 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.100383074552e-07       8.643068067739e-01 
       2.644225627056e-07       1.073885387604e+00 
       3.328882836418e-07       1.334282937708e+00 
       4.190815195652e-07       1.657822126421e+00 
       5.275923745939e-07       2.059813644208e+00 
       6.641994474451e-07       2.559280742254e+00 
       8.361775628883e-07       3.179859459599e+00 
       1.052685182692e-06       3.950917137202e+00 
       1.325252127110e-06       4.908942148703e+00 
       1.668393579853e-06       6.099270611673e+00 
       2.100383074552e-06       7.578231784387e+00 
       2.644225627056e-06       9.415813664388e+00 
       3.328882836418e-06       1.169897491052e+01 
       4.190815195652e-06       1.453575977583e+01 
       5.275923745939e-06       1.806041069643e+01 
       6.641994474451e-06       2.243972031918e+01 
       8.361775628883e-06       2.788092324572e+01 
       1.052685182692e-05       3.464150031893e+01 
       1.325252127110e-05       4.304135820457e+01 
       1.668393579853e-05       5.347795819344e+01 
       2.100383074552e-05       6.644510543769e+01 
       2.644225627056e-05       8.255627836979e+01 
       3.328882836418e-05       1.025735839297e+02 
       4.190815195652e-05       1.274436726239e+02 
       5.275923745939e-05       1.583422418637e+02 
       6.641994474451e-05       1.967290942391e+02 
       8.361775628883e-05       2.444160833071e+02 
       1.052685182692e-04       3.036506307600e+02 
       1.325252127110e-04       3.772177375232e+02 
       1.668393579853e-04       4.685633412078e+02 
       2.100383074552e-04       5.819411272829e+02 
       2.644225627056e-04       7.225828671162e+02 
       3.328882836418e-04       8.968881620074e+02 
       4.190815195652e-04       1.112622287685e+03 
       5.275923745939e-04       1.379100856535e+03 
       6.641994474451e-04       1.707329802993e+03 
       8.361775628883e-04       2.110060646972e+03 
       1.052685182692e-03       2.601695893866e+03 
       1.325252127110e-03       3.197881164992e+03 
       1.668393579853e-03       3.914484021911e+03 
       2.100383074552e-03       4.765755482867e+03 
       2.644225627056e-03       5.761493435396e+03 
       3.328882836418e-03       6.902942239200e+03 
       4.190815195652e-03       8.177566587781e+03 
       5.275923745939e-03       9.552361023560e+03 
       6.641994474451e-03       1.093956206514e+04 
       8.361775628883e-03       1.228606313927e+04 
       1.052685182692e-02       1.343577276452e+04 
       1.325252127110e-02       1.420961466233e+04 
       1.668393579852e-02       1.440011142678e+04 
       2.100383063410e-02       1.381843791211e+04 
       2.644216218354e-02       1.240138510663e+04 
       3.327465749734e-02       1.037073528183e+04 
       4.139955876894e-02       8.373976861152e+03 
       4.840924775282e-02       7.213946747333e+03 
       5.346689894510e-02       6.643116507547e+03 
       5.761188755765e-02       6.282801965864e+03 
       6.130067242527e-02       6.006814355027e+03 
       6.473456999704e-02       5.764351844767e+03 
       6.801923239506e-02       5.530880024462e+03 
       7.121762563151e-02       5.293981100097e+03 
       7.437092148820e-02       5.048198464347e+03 
       7.750803175290e-02       4.792707361617e+03 
       8.065046258244e-02       4.529967295505e+03 
       8.381500079519e-02       4.264708549674e+03 
       8.701530038648e-02       4.003019609655e+03 
       9.026286960200e-02       3.751473948350e+03 
       9.356771165544e-02       3.516314076371e+03 
       9.693875539859e-02       3.302739941923e+03 
       1.003841532809e-01       3.114349132226e+03 
       1.039114924483e-01       2.952757024808e+03 
       1.075279472106e-01       2.817403348284e+03 
       1.112403908388e-01       2.705541484162e+03 
       1.150554784701e-01       2.612418327293e+03 
       1.189797090558e-01       2.531676387487e+03 
       1.230194718497e-01       2.456027181105e+03 
       1.271810813494e-01       2.378216710687e+03 
       1.314708035682e-01       2.292212793552e+03 
       1.358948758177e-01       2.194403585175e+03 
       1.404595217288e-01       2.084470885245e+03 
       1.451709629264e-01       1.965585622665e+03 
       1.500354285769e-01       1.843726610304e+03 
       1.550591638941e-01       1.726219740162e+03 
       1.602484386051e-01       1.619892349381e+03 
       1.656095563299e-01       1.529372514215e+03 
       1.711488657888e-01       1.455973161524e+03 
       1.768727747388e-01       1.397393030164e+03 
       1.827877675200e-01       1.348306487614e+03 
       1.889004270879e-01       1.301827976507e+03 
       1.952174624012e-01       1.251654336032e+03 
       2.017457420375e-01       1.194285726074e+03 
       2.084923349215e-01       1.130342233955e+03 
       2.154645590842e-01       1.064143018409e+03 
       2.226700394268e-01       1.001584244593e+03 
       2.301167755618e-01       9.473665711368e+02 
       2.378132209498e-01       9.029545231560e+02 
       2.457683747685e-01       8.661554113864e+02 
       2.539918882550e-01       8.324440632091e+02 
       2.624941876838e-01       7.974660983277e+02 
       2.712866167076e-01       7.594516655830e+02 
       2.803816015457e-01       7.199813688311e+02 
       2.897928435034e-01       6.824812476291e+02 
       2.995355446312e-01       6.495806727177e+02 
       3.096266740815e-01       6.213368943296e+02 
       3.200852850574e-01       5.955389091715e+02 
       3.309328953738e-01       5.697213095153e+02 
       3.421939488983e-01       5.431889866352e+02 
       3.538963809525e-01       5.172370730149e+02 
       3.660723188410e-01       4.934550740659e+02 
       3.787589600665e-01       4.720095444654e+02 
       3.919996871071e-01       4.517077417630e+02 
       4.058455013947e-01       4.315610197073e+02 
       4.203568943857e-01       4.118254809008e+02 
       4.356063269829e-01       3.932535164366e+02 
       4.516815711400e-01       3.758334074080e+02 
       4.686902983978e-01       3.589306608533e+02 
       4.867665133276e-01       3.423607066374e+02 
       5.060797877222e-01       3.264165916571e+02 
       5.268488725926e-01       3.110237467674e+02 
       5.493623851416e-01       2.958681292034e+02 
       5.740113764136e-01       2.809492796661e+02 
       6.013427535169e-01       2.661816944275e+02 
       6.321512413632e-01       2.513306654532e+02 
       6.676469518605e-01       2.362366493816e+02 
       7.097818206769e-01       2.205726888857e+02 
       7.619359981828e-01       2.038969684661e+02 
       8.304783283368e-01       1.854824511419e+02 
       9.284580932817e-01       1.641842084289e+02 
       1.082693350507e+00       1.386650422597e+02 
       1.329372903325e+00       1.099919963041e+02 
       1.670218999613e+00       8.376230358473e+01 
       2.102611577923e+00       6.221961310956e+01 
       2.647030860821e+00       4.493855633611e+01 
       3.332414416322e+00       3.144881484339e+01 
       4.195261191337e+00       2.130436811961e+01 
       5.281520922888e+00       1.399825819130e+01 
       6.649040902747e+00       8.956146233339e+00 
       8.370646556527e+00       5.604773692808e+00 
       1.053801966316e+01       3.445584271922e+00 
