# Matter power spectrum P(k) at redshift z=2
# for k=2.10677e-07 to 10.573 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.106767343036e-07       2.995481108279e-01 
       2.652262944887e-07       3.711560845667e-01 
       3.339001220078e-07       4.598821827966e-01 
       4.203553485968e-07       5.698185499393e-01 
       5.291960303321e-07       7.060355709288e-01 
       6.662183304056e-07       8.748157228840e-01 
       8.387191859507e-07       1.083943328740e+00 
       1.055884896553e-06       1.343063578136e+00 
       1.329280328200e-06       1.664127371513e+00 
       1.673464784569e-06       2.061942505720e+00 
       2.106767343036e-06       2.554856616712e+00 
       2.652262944887e-06       3.165603376341e+00 
       3.339001220078e-06       3.922350964585e+00 
       4.203553485968e-06       4.860001154420e+00 
       5.291960303321e-06       6.021798900448e+00 
       6.662183304056e-06       7.461326606754e+00 
       8.387191859507e-06       9.244974944837e+00 
       1.055884896553e-05       1.145500394987e+01 
       1.329280328200e-05       1.419333516761e+01 
       1.673464784569e-05       1.758624886891e+01 
       2.106767343036e-05       2.179020136191e+01 
       2.652262944887e-05       2.699902740266e+01 
       3.339001220078e-05       3.345285353748e+01 
       4.203553485968e-05       4.144912092674e+01 
       5.291960303321e-05       5.135620146634e+01 
       6.662183304056e-05       6.363018715533e+01 
       8.387191859507e-05       7.883553291730e+01 
       1.055884896553e-04       9.767032155052e+01 
       1.329280328200e-04       1.209969595740e+02 
       1.673464784569e-04       1.498790314029e+02 
       2.106767343036e-04       1.856246957636e+02 
       2.652262944887e-04       2.298361506224e+02 
       3.339001220078e-04       2.844629094972e+02 
       4.203553485968e-04       3.518533689117e+02 
       5.291960303321e-04       4.347939674672e+02 
       6.662183304056e-04       5.365187130259e+02 
       8.387191859507e-04       6.606671558251e+02 
       1.055884896553e-03       8.111712716733e+02 
       1.329280328200e-03       9.920552974371e+02 
       1.673464784569e-03       1.207091992025e+03 
       2.106767343036e-03       1.459150980002e+03 
       2.652262944887e-03       1.749151709002e+03 
       3.339001220078e-03       2.074822710560e+03 
       4.203553485968e-03       2.429249061760e+03 
       5.291960303321e-03       2.799249362156e+03 
       6.662183304056e-03       3.162930793823e+03 
       8.387191859507e-03       3.492514098628e+03 
       1.055884896553e-02       3.749111771080e+03 
       1.329280328200e-02       3.887312684966e+03 
       1.673464784569e-02       3.859115581038e+03 
       2.106767341446e-02       3.625787962867e+03 
       2.652260751189e-02       3.182334199629e+03 
       3.338508224089e-02       2.592479428301e+03 
       4.178540356845e-02       2.013484836304e+03 
       4.983580016079e-02       1.655648332730e+03 
       5.560075310685e-02       1.492520817294e+03 
       6.018519267046e-02       1.397124775307e+03 
       6.420052573228e-02       1.326770727401e+03 
       6.790462996499e-02       1.265902763671e+03 
       7.142764116439e-02       1.207552877082e+03 
       7.484498236701e-02       1.148434544007e+03 
       7.820495672430e-02       1.087258516422e+03 
       8.154093477907e-02       1.023996924433e+03 
       8.487740928234e-02       9.594650028174e+02 
       8.823328318244e-02       8.950136053066e+02 
       9.162378280313e-02       8.322635117620e+02 
       9.506163395198e-02       7.728654996399e+02 
       9.855781787694e-02       7.182921940657e+02 
       1.021220752900e-01       6.696728392147e+02 
       1.057632527453e-01       6.276790050599e+02 
       1.094895466971e-01       5.924615720067e+02 
       1.133086789942e-01       5.636337405965e+02 
       1.172280251254e-01       5.402947709809e+02 
       1.212547090875e-01       5.210950022515e+02 
       1.253956741604e-01       5.043531271769e+02 
       1.296577359774e-01       4.882401016145e+02 
       1.340476224076e-01       4.710336798481e+02 
       1.385720035379e-01       4.514182416438e+02 
       1.432375142353e-01       4.287642920154e+02 
       1.480507712236e-01       4.032949371139e+02 
       1.530183862526e-01       3.760558492608e+02 
       1.581469766974e-01       3.486642563802e+02 
       1.634431747722e-01       3.228966528240e+02 
       1.689136364422e-01       3.002394262727e+02 
       1.745650510565e-01       2.815314502132e+02 
       1.804041526835e-01       2.667798270770e+02 
       1.864377341083e-01       2.551736889953e+02 
       1.926726644349e-01       2.452958602713e+02 
       1.991159112222e-01       2.355211939152e+02 
       2.057745680823e-01       2.245376985318e+02 
       2.126558886640e-01       2.118191771814e+02 
       2.197673279592e-01       1.978099132485e+02 
       2.271165918946e-01       1.836781802882e+02 
       2.347116962287e-01       1.707400950610e+02 
       2.425610358595e-01       1.598547188090e+02 
       2.506734657960e-01       1.510815834556e+02 
       2.590583952536e-01       1.437288764660e+02 
       2.677258966311e-01       1.367546942821e+02 
       2.766868315446e-01       1.293421732481e+02 
       2.859529966485e-01       1.213354670081e+02 
       2.955372927237e-01       1.132392083182e+02 
       3.054539215056e-01       1.057765120611e+02 
       3.157186160339e-01       9.935039369813e+01 
       3.263489120425e-01       9.380576063608e+01 
       3.373644702144e-01       8.863050435467e+01 
       3.487874622141e-01       8.340698931055e+01 
       3.606430375850e-01       7.812730077963e+01 
       3.729598943064e-01       7.309687816238e+01 
       3.857709837066e-01       6.855916735622e+01 
       3.991143915253e-01       6.445387145288e+01 
       4.130344527461e-01       6.054041314414e+01 
       4.275831807724e-01       5.669608250345e+01 
       4.428221254036e-01       5.301066475209e+01 
       4.588248251030e-01       4.959115609580e+01 
       4.756800975576e-01       4.639359275817e+01 
       4.934965362323e-01       4.331727144676e+01 
       5.124087806705e-01       4.035924865337e+01 
       5.325864614507e-01       3.756060575172e+01 
       5.542472939450e-01       3.489318039952e+01 
       5.776768184121e-01       3.231763645300e+01 
       6.032591887977e-01       2.983904235751e+01 
       6.315271301338e-01       2.744052035842e+01 
       6.632468412854e-01       2.509588246934e+01 
       6.995703812861e-01       2.278883674781e+01 
       7.423273289636e-01       2.048734547092e+01 
       7.946260274742e-01       1.815433446914e+01 
