# Matter power spectrum P(k) at redshift z=2
# for k=7.33563e-05 to 11.64 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.335626195956e-05       1.860284227774e+03 
       9.235006229512e-05       1.210331439634e+03 
       1.162618402041e-04       8.664440051655e+02 
       1.463649850549e-04       6.884093251149e+02 
       1.842625990825e-04       6.060652400179e+02 
       2.319728684282e-04       5.845597435510e+02 
       2.920365389110e-04       6.071160603250e+02 
       3.676522200075e-04       6.664483209655e+02 
       4.628467224700e-04       7.604271128600e+02 
       5.826895006831e-04       8.897895257029e+02 
       7.335626195956e-04       1.056779218374e+03 
       9.235006229512e-04       1.264168171790e+03 
       1.162618402041e-03       1.514405379373e+03 
       1.463649850549e-03       1.808663511878e+03 
       1.842625990825e-03       2.145410380597e+03 
       2.319728684282e-03       2.518605782438e+03 
       2.920365389110e-03       2.916213825325e+03 
       3.676522200075e-03       3.319033190522e+03 
       4.628467224700e-03       3.700253453982e+03 
       5.826895006831e-03       4.026477275027e+03 
       7.335626195956e-03       4.260334147743e+03 
       9.235006229512e-03       4.363763011583e+03 
       1.162618402041e-02       4.303545617257e+03 
       1.463649850549e-02       4.056286244638e+03 
       1.842625990784e-02       3.617692563296e+03 
       2.319728549634e-02       3.017467650416e+03 
       2.920304030370e-02       2.336878225806e+03 
       3.670931948112e-02       1.709655124617e+03 
       4.502706333021e-02       1.289243306704e+03 
       5.138744081178e-02       1.098569259500e+03 
       5.616357559584e-02       9.957994865276e+02 
       6.021210404342e-02       9.217558998833e+02 
       6.388027282538e-02       8.588158489271e+02 
       6.733112769954e-02       8.004890856629e+02 
       7.065440101670e-02       7.442945241308e+02 
       7.390542776719e-02       6.895798537820e+02 
       7.712133652719e-02       6.365931807792e+02 
       8.032874172339e-02       5.860412290501e+02 
       8.354778092470e-02       5.387538812728e+02 
       8.679440220513e-02       4.955037825679e+02 
       9.008174056295e-02       4.568842643322e+02 
       9.342098736129e-02       4.232029838723e+02 
       9.682196175985e-02       3.944582185691e+02 
       1.002934987869e-01       3.703429886573e+02 
       1.038437201180e-01       3.502525213172e+02 
       1.074802272518e-01       3.333426014751e+02 
       1.112102418042e-01       3.186143117451e+02 
       1.150407088119e-01       3.050055359337e+02 
       1.189783735644e-01       2.915221565350e+02 
       1.230298391166e-01       2.773920029063e+02 
       1.272016094823e-01       2.621706941483e+02 
       1.315001221056e-01       2.458339123663e+02 
       1.359317722774e-01       2.287608253495e+02 
       1.405029315548e-01       2.116260655403e+02 
       1.452199618227e-01       1.952314825906e+02 
       1.500892263723e-01       1.803064098002e+02 
       1.551170991878e-01       1.673316901823e+02 
       1.603099735187e-01       1.564131658815e+02 
       1.656742707436e-01       1.473028572875e+02 
       1.712164504835e-01       1.394677672933e+02 
       1.769430228963e-01       1.322373289236e+02 
       1.828605640629e-01       1.250167873592e+02 
       1.889757353680e-01       1.174594243559e+02 
       1.952953077643e-01       1.095793829575e+02 
       2.018261918114e-01       1.015982961192e+02 
       2.085754743848e-01       9.401745078968e+01 
       2.155504629659e-01       8.726196078187e+01 
       2.227587384711e-01       8.138178640636e+01 
       2.302082176409e-01       7.623593179027e+01 
       2.379072261323e-01       7.153387597101e+01 
       2.458645836235e-01       6.696510204156e+01 
       2.540897024951e-01       6.243347897308e+01 
       2.625927019969e-01       5.805984624950e+01 
       2.713845402864e-01       5.392595192264e+01 
       2.804771673630e-01       5.009015839421e+01 
       2.898837027727e-01       4.663728662931e+01 
       2.996186430802e-01       4.348626764353e+01 
       3.096981055915e-01       4.049000043912e+01 
       3.201401167812e-01       3.764199641268e+01 
       3.309649565073e-01       3.493835906288e+01 
       3.421955726378e-01       3.240937508397e+01 
       3.538580855284e-01       3.008364422496e+01 
       3.659824084196e-01       2.790612575915e+01 
       3.786030190849e-01       2.587742386133e+01 
       3.917599311715e-01       2.394457931708e+01 
       4.054999325673e-01       2.213795863246e+01 
       4.198781857987e-01       2.045319475549e+01 
       4.349603267892e-01       1.887850338797e+01 
       4.508252613122e-01       1.738207128839e+01 
       4.675689567314e-01       1.598671765229e+01 
       4.853096837676e-01       1.466884398815e+01 
       5.041954214695e-01       1.342475873313e+01 
       5.244145770533e-01       1.225397819220e+01 
       5.462119427945e-01       1.114244335658e+01 
       5.699132208221e-01       1.008687212795e+01 
       5.959641403424e-01       9.080308661197e+00 
       6.249956127218e-01       8.116353272034e+00 
       6.579379304594e-01       7.186507518534e+00 
       6.962333246055e-01       6.280194714546e+00 
       7.422603826240e-01       5.388510213111e+00 
       8.002507468422e-01       4.496067681277e+00 
       8.784189906196e-01       3.588037118189e+00 
       9.939081225338e-01       2.654936372653e+00 
       1.179843294895e+00       1.740207737970e+00 
       1.466276512609e+00       1.012578031513e+00 
       1.844823411689e+00       5.673943905004e-01 
       2.322481394724e+00       3.153874658822e-01 
       2.923830815653e+00       1.742551721800e-01 
       3.680884913604e+00       9.575562147028e-02 
       4.633959555625e+00       5.235443356550e-02 
       5.833809441803e+00       2.849329648844e-02 
       7.344330953851e+00       1.544139659867e-02 
       9.245964870429e+00       8.335168888333e-03 
       1.163998013194e+01       4.482849753349e-03 
