# Matter power spectrum P(k) at redshift z=0.5
# for k=4.45228e-05 to 11.1984 h/Mpc,
# number of wavenumbers equal to 116
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.452275312752e-05       3.537704862745e+03 
       5.605082531528e-05       2.318114356897e+03 
       7.056380834144e-05       1.672637664680e+03 
       8.883457147401e-05       1.339926418263e+03 
       1.118360994745e-04       1.189179711751e+03 
       1.407933075844e-04       1.155662789892e+03 
       1.772482727285e-04       1.208723477581e+03 
       2.231423547345e-04       1.335950216836e+03 
       2.809195808229e-04       1.535354209846e+03 
       3.536567989685e-04       1.811528779812e+03 
       4.452275312752e-04       2.173743945148e+03 
       5.605082531528e-04       2.634920549258e+03 
       7.056380834144e-04       3.210917628734e+03 
       8.883457147401e-04       3.919778636295e+03 
       1.118360994745e-03       4.780529996654e+03 
       1.407933075844e-03       5.810885769079e+03 
       1.772482727285e-03       7.023831113815e+03 
       2.231423547345e-03       8.422556533237e+03 
       2.809195808229e-03       9.993970349467e+03 
       3.536567989685e-03       1.170146319605e+04 
       4.452275312752e-03       1.347615818113e+04 
       5.605082531528e-03       1.520812553048e+04 
       7.056380834144e-03       1.674558570702e+04 
       8.883457147401e-03       1.788104260158e+04 
       1.118360994745e-02       1.836887899446e+04 
       1.407933075843e-02       1.794033040830e+04 
       1.772482725715e-02       1.638572111585e+04 
       2.231421466092e-02       1.371078068572e+04 
       2.808743084024e-02       1.036427450110e+04 
       3.514223910591e-02       7.337451342769e+03 
       4.184780359049e-02       5.706320847553e+03 
       4.664721255033e-02       5.092893226932e+03 
       5.047358731198e-02       4.805432468383e+03 
       5.382952708779e-02       4.629881304345e+03 
       5.692771976551e-02       4.488098192140e+03 
       5.987584472479e-02       4.343112132328e+03 
       6.273645391960e-02       4.176205773839e+03 
       6.554967583614e-02       3.979313484762e+03 
       6.834327044252e-02       3.751820527785e+03 
       7.113763470984e-02       3.498065510042e+03 
       7.394852499694e-02       3.227055301453e+03 
       7.678864304822e-02       2.949560480809e+03 
       7.966861192533e-02       2.677908872589e+03 
       8.259760379975e-02       2.423423086881e+03 
       8.558375880121e-02       2.195529549760e+03 
       8.863447301850e-02       2.001230975195e+03 
       9.175660151514e-02       1.843981710689e+03 
       9.495660436506e-02       1.724281148417e+03 
       9.824065340003e-02       1.639537675203e+03 
       1.016147111906e-01       1.584243611138e+03 
       1.050845899776e-01       1.550468591578e+03 
       1.086559958638e-01       1.527984257949e+03 
       1.123345620250e-01       1.505780780014e+03 
       1.161258736770e-01       1.472594030654e+03 
       1.200354868647e-01       1.419908733496e+03 
       1.240689426860e-01       1.343910074108e+03 
       1.282317782674e-01       1.246525404943e+03 
       1.325295356081e-01       1.135552520186e+03 
       1.369677692825e-01       1.022248239527e+03 
       1.415520539078e-01       9.183116250840e+02 
       1.462879922310e-01       8.329846980534e+02 
       1.511812246590e-01       7.710271581814e+02 
       1.562374410334e-01       7.317542600821e+02 
       1.614623954390e-01       7.096992372370e+02 
       1.668619248264e-01       6.959157762224e+02 
       1.724419722228e-01       6.796626747925e+02 
       1.782086153063e-01       6.516008893149e+02 
       1.841681011292e-01       6.087272847106e+02 
       1.903268877955e-01       5.554777650416e+02 
       1.966916939491e-01       5.008042968174e+02 
       2.032695570006e-01       4.534224529302e+02 
       2.100679011444e-01       4.186728284525e+02 
       2.170946163920e-01       3.967556797264e+02 
       2.243581501031e-01       3.825036972481e+02 
       2.318676128391e-01       3.681633746234e+02 
       2.396329008404e-01       3.479339956667e+02 
       2.476648380549e-01       3.210801346965e+02 
       2.559753414815e-01       2.920731020618e+02 
       2.645776146972e-01       2.671528794673e+02 
       2.734863758969e-01       2.490755320961e+02 
       2.827181287179e-01       2.360941874374e+02 
       2.922914867236e-01       2.239037558209e+02 
       3.022275659366e-01       2.090436638750e+02 
       3.125504646229e-01       1.921510865001e+02 
       3.232878561901e-01       1.763355513809e+02 
       3.344717304190e-01       1.638134065686e+02 
       3.461393316015e-01       1.535410540440e+02 
       3.583343615231e-01       1.432016980992e+02 
       3.711085438319e-01       1.320017683507e+02 
       3.845236894366e-01       1.212661177249e+02 
       3.986544689024e-01       1.120189452828e+02 
       4.135922023788e-01       1.037461113969e+02 
       4.294501467913e-01       9.533363670431e+01 
       4.463710419644e-01       8.708435069540e+01 
       4.645381628015e-01       7.970465437871e+01 
       4.841919919904e-01       7.265893281643e+01 
       5.056562435221e-01       6.572478850445e+01 
       5.293801239608e-01       5.921951861258e+01 
       5.560102274731e-01       5.290613865912e+01 
       5.865197278349e-01       4.676213725705e+01 
       6.224559874905e-01       4.073263906873e+01 
       6.664517919273e-01       3.473237986351e+01 
       7.233680051423e-01       2.864940058429e+01 
       8.029954806586e-01       2.237352638482e+01 
       9.257998393553e-01       1.591982019404e+01 
       1.124618620837e+00       9.941962174717e+00 
       1.409933529303e+00       5.708050448947e+00 
       1.774828148527e+00       3.219858656160e+00 
       2.234375202587e+00       1.803159314226e+00 
       2.812911721011e+00       1.003255205714e+00 
       3.541246046715e+00       5.549377770936e-01 
       4.458164637625e+00       3.053098993942e-01 
       5.612496752268e+00       1.671447565131e-01 
       7.065714785043e+00       9.108775286328e-02 
       8.895207895380e+00       4.942939012386e-02 
       1.119840326269e+01       2.671733755978e-02 
