# Matter power spectrum P(k) at redshift z=0
# for k=0.000116508 to 11.663 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.165082014483e-04       4.958257316672e+02 
       1.466751354857e-04       9.240840874505e+02 
       1.846530553413e-04       1.433070822321e+03 
       2.324644237346e-04       2.027734797759e+03 
       2.926553703776e-04       2.726360139002e+03 
       3.684312826664e-04       3.555512983274e+03 
       4.638275042486e-04       4.547615650787e+03 
       5.839242317877e-04       5.739333821241e+03 
       7.351170539599e-04       7.170006003457e+03 
       9.254575398734e-04       8.879111144788e+03 
       1.165082014483e-03       1.090155818091e+04 
       1.466751354857e-03       1.326034958781e+04 
       1.846530553413e-03       1.595651387897e+04 
       2.324644237346e-03       1.895629923460e+04 
       2.926553703776e-03       2.217832947274e+04 
       3.684312826664e-03       2.548151408954e+04 
       4.638275042486e-03       2.865602444603e+04 
       5.839242317877e-03       3.142540181474e+04 
       7.351170539599e-03       3.346001146738e+04 
       9.254575398734e-03       3.438713898940e+04 
       1.165082014483e-02       3.384053864044e+04 
       1.466751354855e-02       3.153118862523e+04 
       1.846530541692e-02       2.739832892801e+04 
       2.324634781502e-02       2.185806215339e+04 
       2.925181539106e-02       1.602557212875e+04 
       3.636671474235e-02       1.157540378961e+04 
       4.244474304319e-02       9.529155239594e+03 
       4.683922221655e-02       8.672498332472e+03 
       5.045029727306e-02       8.169265093538e+03 
       5.366844598699e-02       7.778002169641e+03 
       5.666665834316e-02       7.411018332748e+03 
       5.953604642285e-02       7.030928550576e+03 
       6.233104986749e-02       6.623362030616e+03 
       6.508733369116e-02       6.188570769982e+03 
       6.782998075288e-02       5.734660333237e+03 
       7.057767240992e-02       5.274835266907e+03 
       7.334500603990e-02       4.824601869619e+03 
       7.614386565647e-02       4.399137884073e+03 
       7.898427561166e-02       4.011551427665e+03 
       8.187495524955e-02       3.671488852193e+03 
       8.482369200951e-02       3.384805151814e+03 
       8.783759971953e-02       3.152955867961e+03 
       9.092330168625e-02       2.972560057674e+03 
       9.408706298643e-02       2.836867211644e+03 
       9.733488750138e-02       2.735473282941e+03 
       1.006725898898e-01       2.655664047576e+03 
       1.041058493752e-01       2.582685816645e+03 
       1.076402501117e-01       2.503066580979e+03 
       1.112813115261e-01       2.405232461068e+03 
       1.150345111294e-01       2.282948271383e+03 
       1.189053016973e-01       2.136343149565e+03 
       1.228991243185e-01       1.972198474224e+03 
       1.270214185462e-01       1.802312663996e+03 
       1.312776307117e-01       1.640477057253e+03 
       1.356732213508e-01       1.498658915835e+03 
       1.402136726151e-01       1.384012358745e+03 
       1.449044965009e-01       1.297970881516e+03 
       1.497512446962e-01       1.235929012455e+03 
       1.547595208315e-01       1.188784669197e+03 
       1.599349959056e-01       1.144984725837e+03 
       1.652834276513e-01       1.094179076614e+03 
       1.708106846018e-01       1.030519866443e+03 
       1.765227756202e-01       9.556488584312e+02 
       1.824258856666e-01       8.767436647801e+02 
       1.885264186056e-01       8.030356778483e+02 
       1.948310479088e-01       7.415764374563e+02 
       2.013467761904e-01       6.938464058037e+02 
       2.080810046469e-01       6.558474164408e+02 
       2.150416136609e-01       6.218029457791e+02 
       2.222370560997e-01       5.867362897544e+02 
       2.296764652086e-01       5.478146571383e+02 
       2.373697794975e-01       5.064220596477e+02 
       2.453278876859e-01       4.672673394705e+02 
       2.535627976493e-01       4.336093530213e+02 
       2.620878344787e-01       4.054898333743e+02 
       2.709178743018e-01       3.806344897357e+02 
       2.800696225735e-01       3.558491307772e+02 
       2.895619482972e-01       3.304258314725e+02 
       2.994162893730e-01       3.058034118596e+02 
       3.096571494008e-01       2.833733026601e+02 
       3.203127133825e-01       2.637344818212e+02 
       3.314156198197e-01       2.453835567783e+02 
       3.430039410913e-01       2.274765664550e+02 
       3.551224449622e-01       2.101461942980e+02 
       3.678242412011e-01       1.942826438506e+02 
       3.811729644153e-01       1.795177318906e+02 
       3.952457171859e-01       1.655653259964e+02 
       4.101371133552e-01       1.522865938952e+02 
       4.259649499939e-01       1.397083517251e+02 
       4.428783534878e-01       1.279315500552e+02 
       4.610697957734e-01       1.167345276952e+02 
       4.807933704848e-01       1.060322667848e+02 
       5.023935914620e-01       9.585670955290e+01 
       5.263526826765e-01       8.608717249581e+01 
       5.533720860259e-01       7.665895116136e+01 
       5.845212018291e-01       6.747742617434e+01 
       6.215276466963e-01       5.844888602072e+01 
       6.673887401757e-01       4.943074166176e+01 
       7.277640511706e-01       4.026433049841e+01 
       8.142683385647e-01       3.080583779467e+01 
       9.507055088884e-01       2.121225518731e+01 
       1.168498553891e+00       1.283116155124e+01 
       1.468325614926e+00       7.301866303420e+00 
       1.848458043179e+00       4.107547936867e+00 
       2.327070589008e+00       2.295874743214e+00 
       2.929608299421e+00       1.275715985847e+00 
       3.688158334744e+00       7.050690982326e-01 
       4.643116250330e+00       3.878027510873e-01 
       5.845337037454e+00       2.123246070687e-01 
       7.358843336953e+00       1.157651919285e-01 
       9.264234878302e+00       6.286969861289e-02 
       1.166298070912e+01       3.402096661296e-02 
