# Matter power spectrum P(k) at redshift z=0.5
# for k=0.000157447 to 12.5208 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.574469224083e-04       1.037658651764e+02 
       1.982139316285e-04       1.940914663557e+02 
       2.495365554988e-04       3.021360569453e+02 
       3.141479108890e-04       4.292371974659e+02 
       3.954887880803e-04       5.796746049836e+02 
       4.978908853939e-04       7.597345331769e+02 
       6.268074879231e-04       9.773324651826e+02 
       7.891038748493e-04       1.241870144925e+03 
       9.934229205930e-04       1.564150773794e+03 
       1.250645359393e-03       1.956202985914e+03 
       1.574469224083e-03       2.430791432891e+03 
       1.982139316285e-03       3.000364144342e+03 
       2.495365554988e-03       3.675297378031e+03 
       3.141479108890e-03       4.461345620245e+03 
       3.954887880803e-03       5.356007590548e+03 
       4.978908853939e-03       6.344111986050e+03 
       6.268074879231e-03       7.392471512459e+03 
       7.891038748493e-03       8.444588985812e+03 
       9.934229205930e-03       9.416716861946e+03 
       1.250645359393e-02       1.019437716502e+04 
       1.574469224083e-02       1.063719016732e+04 
       1.982139316252e-02       1.059389957971e+04 
       2.495365438488e-02       9.951134905259e+03 
       3.141422913584e-02       8.724387897017e+03 
       3.949524643267e-02       7.170772553084e+03 
       4.852688710550e-02       5.856954042628e+03 
       5.549817250321e-02       5.186095833027e+03 
       6.070978668418e-02       4.826351443268e+03 
       6.511461522612e-02       4.578406739403e+03 
       6.909936641765e-02       4.375344935014e+03 
       7.284455045547e-02       4.188184378190e+03 
       7.644908486246e-02       4.003432743399e+03 
       7.997377947637e-02       3.814593946228e+03 
       8.345933969249e-02       3.619708265065e+03 
       8.693488839133e-02       3.419399768178e+03 
       9.042242625218e-02       3.216880613988e+03 
       9.393935331587e-02       3.016143485730e+03 
       9.749998371573e-02       2.821962439177e+03 
       1.011165011438e-01       2.638883829585e+03 
       1.047995860982e-01       2.471032906490e+03 
       1.085588414540e-01       2.321339902929e+03 
       1.124030891738e-01       2.191309759197e+03 
       1.163405818482e-01       2.080974620346e+03 
       1.203791562488e-01       1.988671521553e+03 
       1.245263463524e-01       1.911266943780e+03 
       1.287894673798e-01       1.844328728426e+03 
       1.331756786940e-01       1.782668632061e+03 
       1.376920310355e-01       1.720903447766e+03 
       1.423455020308e-01       1.654339925894e+03 
       1.471430228933e-01       1.579831627603e+03 
       1.520914985608e-01       1.496456655113e+03 
       1.571978230604e-01       1.405995128025e+03 
       1.624688915956e-01       1.312392567612e+03 
       1.679116106529e-01       1.220855283884e+03 
       1.735329072990e-01       1.136570871818e+03 
       1.793397387592e-01       1.063398214012e+03 
       1.853391033174e-01       1.002897253935e+03 
       1.915380535475e-01       9.540021946642e+02 
       1.979437128643e-01       9.132723546215e+02 
       2.045632963711e-01       8.758263751877e+02 
       2.114041369688e-01       8.368094872716e+02 
       2.184737176924e-01       7.931997601386e+02 
       2.257797112420e-01       7.446029854970e+02 
       2.333300276996e-01       6.935779491860e+02 
       2.411328714622e-01       6.444288401997e+02 
       2.491968084989e-01       6.010341222246e+02 
       2.575308451637e-01       5.647369693079e+02 
       2.661445199762e-01       5.342784920255e+02 
       2.750480100545e-01       5.069976408657e+02 
       2.842522542557e-01       4.799889623593e+02 
       2.937690955898e-01       4.512752078371e+02 
       3.036114461590e-01       4.212758291165e+02 
       3.137934787885e-01       3.922627675209e+02 
       3.243308507168e-01       3.662117940721e+02 
       3.352409663143e-01       3.437180112165e+02 
       3.465432879119e-01       3.236356718385e+02 
       3.582597066453e-01       3.040203580090e+02 
       3.704149890199e-01       2.842072840029e+02 
       3.830373200669e-01       2.647397394833e+02 
       3.961589710742e-01       2.466897580146e+02 
       4.098171297954e-01       2.304874958610e+02 
       4.240549450977e-01       2.154271123454e+02 
       4.389228582277e-01       2.007896357101e+02 
       4.544803224938e-01       1.865302321405e+02 
       4.707980573575e-01       1.732070622106e+02 
       4.879610502608e-01       1.607958291308e+02 
       5.060726244511e-01       1.490093715162e+02 
       5.252600587444e-01       1.377097728773e+02 
       5.456825206678e-01       1.269218441036e+02 
       5.675425413676e-01       1.167329258992e+02 
       5.911030802209e-01       1.069853603166e+02 
       6.167137233796e-01       9.760132012028e+01 
       6.448524173491e-01       8.860106395597e+01 
       6.761948780404e-01       7.987380252783e+01 
       7.117360313974e-01       7.136924925854e+01 
       7.530155806019e-01       6.300588922095e+01 
       8.025673211727e-01       5.467188240054e+01 
       8.648871306417e-01       4.623213225710e+01 
       9.486778529160e-01       3.750970070725e+01 
       1.072078177597e+00       2.836332772206e+01 
       1.270429921680e+00       1.914512149740e+01 
       1.577359343018e+00       1.150639982272e+01 
       1.984428731418e+00       6.644737916156e+00 
       2.498230270610e+00       3.798921749394e+00 
       3.145085530676e+00       2.155463640817e+00 
       3.959428096822e+00       1.214583969083e+00 
       4.984624647260e+00       6.801084624633e-01 
       6.275270636692e+00       3.786659961869e-01 
       7.900097670417e+00       2.097210201351e-01 
       9.945633712944e+00       1.155948355955e-01 
       1.252081101762e+01       6.343119630831e-02 
