# Matter power spectrum P(k) at redshift z=2
# for k=5.10803e-05 to 10.2023 h/Mpc,
# number of wavenumbers equal to 115
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.108030832844e-05       1.344503663126e+03 
       6.430629819696e-05       8.714182843494e+02 
       8.095683293856e-05       6.212703262607e+02 
       1.019186142447e-04       4.916015616922e+02 
       1.283079334075e-04       4.312024704668e+02 
       1.615301179015e-04       4.146709427104e+02 
       2.033543701964e-04       4.298286617164e+02 
       2.560079842396e-04       4.714994125944e+02 
       3.222949569814e-04       5.384366560021e+02 
       4.057453114370e-04       6.318035800960e+02 
       5.108030832844e-04       7.544003585776e+02 
       6.430629819696e-04       9.102187664165e+02 
       8.095683293856e-04       1.104096148571e+03 
       1.019186142447e-03       1.341347025801e+03 
       1.283079334075e-03       1.627293583126e+03 
       1.615301179015e-03       1.966529206147e+03 
       2.033543701964e-03       2.361624559709e+03 
       2.560079842396e-03       2.811342736282e+03 
       3.222949569814e-03       3.308681218458e+03 
       4.057453114370e-03       3.838648410459e+03 
       5.108030832844e-03       4.375988580044e+03 
       6.430629819696e-03       4.883699930030e+03 
       8.095683293856e-03       5.312410325182e+03 
       1.019186142447e-02       5.601419080422e+03 
       1.283079334075e-02       5.682512059589e+03 
       1.615301179013e-02       5.490169684361e+03 
       2.033543685501e-02       4.985195174553e+03 
       2.560067360507e-02       4.197929598218e+03 
       3.221227548117e-02       3.276656647620e+03 
       4.000314929358e-02       2.501063826632e+03 
       4.657073332074e-02       2.105855068075e+03 
       5.133389317293e-02       1.921553125093e+03 
       5.526192372521e-02       1.806762512262e+03 
       5.876914971549e-02       1.717722756895e+03 
       6.204025774486e-02       1.637413188085e+03 
       6.517299334966e-02       1.558071635972e+03 
       6.822596251543e-02       1.476227388993e+03 
       7.123765990065e-02       1.390866639086e+03 
       7.423521433817e-02       1.302559312167e+03 
       7.723886542350e-02       1.212912689502e+03 
       8.026445097918e-02       1.124141044835e+03 
       8.332488094421e-02       1.038687485023e+03 
       8.643105679784e-02       9.588898102206e+02 
       8.959246965783e-02       8.867043634202e+02 
       9.281760302249e-02       8.235027216536e+02 
       9.611421181985e-02       7.699471162772e+02 
       9.948952034810e-02       7.259385718925e+02 
       1.029503653765e-01       6.906261001151e+02 
       1.065033011536e-01       6.624681198655e+02 
       1.101546773173e-01       6.393517120106e+02 
       1.139106971307e-01       6.187892241772e+02 
       1.177774611908e-01       5.982119359385e+02 
       1.217610002822e-01       5.753552003398e+02 
       1.258673000792e-01       5.486785711519e+02 
       1.301023197514e-01       5.177107389967e+02 
       1.344720061015e-01       4.831876351247e+02 
       1.389823045771e-01       4.468929795890e+02 
       1.436391683106e-01       4.112112776957e+02 
       1.484485662196e-01       3.785168482631e+02 
       1.534164911232e-01       3.505839824489e+02 
       1.585489687800e-01       3.281779827995e+02 
       1.638520687233e-01       3.109053139691e+02 
       1.693319177514e-01       2.973340039703e+02 
       1.749947169151e-01       2.853753815206e+02 
       1.808467628402e-01       2.728954719130e+02 
       1.868944742130e-01       2.584241122348e+02 
       1.931444242658e-01       2.416863377011e+02 
       1.996033801076e-01       2.236556033497e+02 
       2.062783497795e-01       2.060428378394e+02 
       2.131766379706e-01       1.904693176287e+02 
       2.203059114249e-01       1.777494882650e+02 
       2.276742752141e-01       1.676064779606e+02 
       2.352903612621e-01       1.589076939155e+02 
       2.431634308060e-01       1.503032748562e+02 
       2.513034928849e-01       1.409656220236e+02 
       2.597214414996e-01       1.309966475220e+02 
       2.684292148192e-01       1.212140721476e+02 
       2.774399807837e-01       1.124798528041e+02 
       2.867683547325e-01       1.050888354706e+02 
       2.964306563956e-01       9.864752197483e+01 
       3.064452158447e-01       9.247768586661e+01 
       3.168327410482e-01       8.619064992271e+01 
       3.276167637968e-01       7.993635453806e+01 
       3.388241864316e-01       7.412583383480e+01 
       3.504859596752e-01       6.895674976782e+01 
       3.626379329763e-01       6.424810210975e+01 
       3.753219346980e-01       5.970982598730e+01 
       3.885871626866e-01       5.527804869397e+01 
       4.024920002314e-01       5.110300897174e+01 
       4.171064246653e-01       4.726670546163e+01 
       4.325152567969e-01       4.366940440692e+01 
       4.488226278816e-01       4.021358819818e+01 
       4.661582504891e-01       3.693021228730e+01 
       4.846864321272e-01       3.385026902171e+01 
       5.046193836379e-01       3.092155854878e+01 
       5.262374824953e-01       2.811621839636e+01 
       5.499212425386e-01       2.544216089358e+01 
       5.762038882921e-01       2.287066518814e+01 
       6.058621272167e-01       2.038158486480e+01 
       6.400821337702e-01       1.795527693423e+01 
       6.807842255316e-01       1.556154740874e+01 
       7.313086513932e-01       1.316567751435e+01 
       7.979809250441e-01       1.072362734118e+01 
       8.938103498165e-01       8.194252879999e+00 
       1.045348758304e+00       5.628414197318e+00 
       1.286562286472e+00       3.397830724511e+00 
       1.617000271892e+00       1.933434186371e+00 
       2.035631789913e+00       1.087146789990e+00 
       2.562708400052e+00       6.069012866260e-01 
       3.226258727744e+00       3.366071717356e-01 
       4.061619097380e+00       1.855899144419e-01 
       5.113275494720e+00       1.017723323800e-01 
       6.437232457808e+00       5.553205439337e-02 
       8.103995522760e+00       3.016251629843e-02 
       1.020232590067e+01       1.631362995724e-02 
