# Matter power spectrum P(k) at redshift z=1
# for k=0.000154882 to 12.3184 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.548820046013e-04       1.740646949263e+02 
       1.949848914222e-04       3.255459927103e+02 
       2.454714347274e-04       5.066760173758e+02 
       3.090302270479e-04       7.196221917429e+02 
       3.890460058431e-04       9.714243501724e+02 
       4.897799031129e-04       1.272382099047e+03 
       6.165963662149e-04       1.635359249857e+03 
       7.762488342479e-04       2.075473290566e+03 
       9.772393833102e-04       2.609848330225e+03 
       1.230271493055e-03       3.257101065546e+03 
       1.548820046013e-03       4.036142336666e+03 
       1.949848914222e-03       4.964049258590e+03 
       2.454714347274e-03       6.052766449923e+03 
       3.090302270479e-03       7.304332921128e+03 
       3.890460058431e-03       8.704220679129e+03 
       4.897799031129e-03       1.021255835272e+04 
       6.165963662149e-03       1.175412427516e+04 
       7.762488342479e-03       1.320697175025e+04 
       9.772393833102e-03       1.439314897073e+04 
       1.230271493055e-02       1.507944371988e+04 
       1.548820044091e-02       1.500903639344e+04 
       1.949846572405e-02       1.400011762741e+04 
       2.454238811278e-02       1.213262875409e+04 
       3.068167660674e-02       9.971092187020e+03 
       3.641494816275e-02       8.523343151973e+03 
       4.051684897541e-02       7.828813077496e+03 
       4.380462306356e-02       7.418886116571e+03 
       4.669636666017e-02       7.122706853531e+03 
       4.937028978021e-02       6.872460054715e+03 
       5.191723263419e-02       6.634730155415e+03 
       5.439022138451e-02       6.391425874062e+03 
       5.682339581554e-02       6.133182300286e+03 
       5.924043945560e-02       5.856599219334e+03 
       6.165879406581e-02       5.562787108066e+03 
       6.409195927126e-02       5.256326399623e+03 
       6.655083571084e-02       4.944294761764e+03 
       6.904455324138e-02       4.635253069928e+03 
       7.158100460064e-02       4.338195911640e+03 
       7.416720195088e-02       4.061532010290e+03 
       7.680952232127e-02       3.812178818421e+03 
       7.951388078712e-02       3.594842417058e+03 
       8.228585513806e-02       3.411519884796e+03 
       8.513077706020e-02       3.261232612596e+03 
       8.805379962966e-02       3.139991468713e+03 
       9.105994768646e-02       3.041021025182e+03 
       9.415415561494e-02       2.955315974481e+03 
       9.734129573701e-02       2.872625577658e+03 
       1.006261996583e-01       2.782905794641e+03 
       1.040136743331e-01       2.678114107927e+03 
       1.075085142332e-01       2.553986934146e+03 
       1.111155107474e-01       2.411249957470e+03 
       1.148394597773e-01       2.255722700856e+03 
       1.186851683774e-01       2.097068531445e+03 
       1.226574612253e-01       1.946429455786e+03 
       1.267611876577e-01       1.813617877535e+03 
       1.310012299854e-01       1.704668447431e+03 
       1.353825137792e-01       1.620346295132e+03 
       1.399100208095e-01       1.555897032824e+03 
       1.445888053150e-01       1.502165074591e+03 
       1.494240142700e-01       1.448126744291e+03 
       1.544209123207e-01       1.384504020649e+03 
       1.595849120720e-01       1.307305685851e+03 
       1.649216104213e-01       1.219515212740e+03 
       1.704368316847e-01       1.129664902190e+03 
       1.761366783193e-01       1.047762111963e+03 
       1.820275901594e-01       9.806502685611e+02 
       1.881164132348e-01       9.290693201882e+02 
       1.944104794622e-01       8.876363152098e+02 
       2.009176988068e-01       8.477891592113e+02 
       2.076466659217e-01       8.025651222587e+02 
       2.146067838281e-01       7.506421097405e+02 
       2.218084079268e-01       6.967157683883e+02 
       2.292630146003e-01       6.476722980670e+02 
       2.369833999442e-01       6.074684450672e+02 
       2.449839158686e-01       5.745717215959e+02 
       2.532807530884e-01       5.437044174345e+02 
       2.618922836075e-01       5.105014182467e+02 
       2.708394795165e-01       4.751421416271e+02 
       2.801464307741e-01       4.414381729255e+02 
       2.898409928554e-01       4.123875561989e+02 
       2.999556068861e-01       3.871042595740e+02 
       3.105283519080e-01       3.623877002585e+02 
       3.216043140992e-01       3.368367543662e+02 
       3.332373957291e-01       3.121649704835e+02 
       3.454927451145e-01       2.900815916158e+02 
       3.584500811261e-01       2.696872145149e+02 
       3.722083353061e-01       2.493966196631e+02 
       3.868922841151e-01       2.296510084532e+02 
       4.026622739856e-01       2.113707490971e+02 
       4.197289116919e-01       1.938388092650e+02 
       4.383760294091e-01       1.766144690037e+02 
       4.589980468998e-01       1.601825196095e+02 
       4.821636680141e-01       1.441244300937e+02 
       5.087306288981e-01       1.283434914917e+02 
       5.400662737159e-01       1.126966401822e+02 
       5.785044908848e-01       9.693263707961e+01 
       6.283702888235e-01       8.073314682113e+01 
       6.984041477111e-01       6.375172816290e+01 
       8.068406898053e-01       4.598527183234e+01 
       9.821558772964e-01       2.925407375454e+01 
       1.231938957544e+00       1.720655477181e+01 
       1.550794520471e+00       9.941976897105e+00 
       1.952333921812e+00       5.694375896955e+00 
       2.457842785856e+00       3.236323734957e+00 
       3.094240741309e+00       1.826426745071e+00 
       3.895418299443e+00       1.024169174345e+00 
       4.904041086737e+00       5.709558601356e-01 
       6.173821944576e+00       3.165979629849e-01 
       7.772381333919e+00       1.746930500685e-01 
       9.784848371425e+00       9.595510605890e-02 
       1.231839426534e+01       5.248375816766e-02 
