# Matter power spectrum P(k) at redshift z=2.5
# for k=1.02824e-05 to 10.2967 h/Mpc,
# number of wavenumbers equal to 122
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028242515066e-05       5.093465113741e+02 
       1.294480631704e-05       3.303854547133e+02 
       1.629654562327e-05       2.357405194878e+02 
       2.051613540960e-05       1.867018140139e+02 
       2.582828421895e-05       1.639194400259e+02 
       3.251588334628e-05       1.578035116315e+02 
       4.093507183157e-05       1.637765937439e+02 
       5.153420216238e-05       1.799318527944e+02 
       6.487771667876e-05       2.058885918979e+02 
       8.167620618608e-05       2.422485178340e+02 
       1.028242515066e-04       2.903581531704e+02 
       1.294480631704e-04       3.522316421098e+02 
       1.629654562327e-04       4.305606805063e+02 
       2.051613540960e-04       5.287718183550e+02 
       2.582828421895e-04       6.511035168591e+02 
       3.251588334628e-04       8.026737570875e+02 
       4.093507183157e-04       9.894972667610e+02 
       5.153420216238e-04       1.218394646918e+03 
       6.487771667876e-04       1.496727595350e+03 
       8.167620618608e-04       1.831917593512e+03 
       1.028242515066e-03       2.230747677487e+03 
       1.294480631704e-03       2.698356460111e+03 
       1.629654562327e-03       3.236495611636e+03 
       2.051613540960e-03       3.840879238664e+03 
       2.582828421895e-03       4.498586300629e+03 
       3.251588334628e-03       5.185582506183e+03 
       4.093507183157e-03       5.864621077762e+03 
       5.153420216238e-03       6.484830075861e+03 
       6.487771667876e-03       6.983235327110e+03 
       8.167620618608e-03       7.288583043202e+03 
       1.028242515066e-02       7.327897279270e+03 
       1.294480631704e-02       7.037926789127e+03 
       1.629654561507e-02       6.386808443250e+03 
       2.051612289738e-02       5.411867038579e+03 
       2.582523079648e-02       4.263638121782e+03 
       3.234981734917e-02       3.216538479235e+03 
       3.873094221745e-02       2.583688539786e+03 
       4.331105072517e-02       2.294384187514e+03 
       4.692957911080e-02       2.120752709538e+03 
       5.008784789720e-02       1.988716003352e+03 
       5.299561673029e-02       1.872985478584e+03 
       5.575787174502e-02       1.763156819835e+03 
       5.843510465524e-02       1.654938735058e+03 
       6.106588903491e-02       1.547134024059e+03 
       6.367678400860e-02       1.440290481657e+03 
       6.628722947172e-02       1.335933509499e+03 
       6.891219399241e-02       1.236036810852e+03 
       7.156371080783e-02       1.142617014479e+03 
       7.425181972959e-02       1.057420864435e+03 
       7.698517134079e-02       9.816985928758e+02 
       7.977142916443e-02       9.160616105762e+02 
       8.261754566318e-02       8.604172181721e+02 
       8.552995648806e-02       8.139712565258e+02 
       8.851472002967e-02       7.752890821384e+02 
       9.157761932474e-02       7.424154342654e+02 
       9.472423740085e-02       7.130608512420e+02 
       9.796001346779e-02       6.848623099126e+02 
       1.012902850448e-01       6.557085888204e+02 
       1.047203196166e-01       6.240861629386e+02 
       1.082553384323e-01       5.893653925666e+02 
       1.119005344118e-01       5.519300504619e+02 
       1.156610856918e-01       5.130785556622e+02 
       1.195421660578e-01       4.746937421021e+02 
       1.235489533157e-01       4.387612444340e+02 
       1.276866365355e-01       4.068725284621e+02 
       1.319604230172e-01       3.798480229920e+02 
       1.363755457824e-01       3.575666831559e+02 
       1.409372723598e-01       3.390308929571e+02 
       1.456509156168e-01       3.226552258000e+02 
       1.505218473747e-01       3.067335436919e+02 
       1.555555155367e-01       2.899750317817e+02 
       1.607574654531e-01       2.719217417445e+02 
       1.661333662465e-01       2.530477220014e+02 
       1.716890428314e-01       2.344634202712e+02 
       1.774305143777e-01       2.173581965792e+02 
       1.833640400149e-01       2.024582650813e+02 
       1.894961726373e-01       1.897521377223e+02 
       1.958338217843e-01       1.785859978209e+02 
       2.023843267272e-01       1.680598277895e+02 
       2.091555411274e-01       1.575160850558e+02 
       2.161559309455e-01       1.468464058823e+02 
       2.233946877162e-01       1.364322913720e+02 
       2.308818598770e-01       1.267828362682e+02 
       2.386285056072e-01       1.181498112452e+02 
       2.466468716425e-01       1.103920919600e+02 
       2.549506038720e-01       1.031494173619e+02 
       2.635549973023e-01       9.614887813121e+01 
       2.724772953543e-01       8.937844011512e+01 
       2.817370516754e-01       8.299961895279e+01 
       2.913565720467e-01       7.712564270533e+01 
       3.013614600434e-01       7.170426471911e+01 
       3.117812986442e-01       6.659961468449e+01 
       3.226505121470e-01       6.174075023157e+01 
       3.340094703687e-01       5.715396166444e+01 
       3.459059231041e-01       5.286999640660e+01 
       3.583968919195e-01       4.885777997296e+01 
       3.715512064559e-01       4.506586682595e+01 
       3.854529669799e-01       4.147907912065e+01 
       4.002063676500e-01       3.809908717962e+01 
       4.159425689134e-01       3.490666024291e+01 
       4.328297436512e-01       3.187706828220e+01 
       4.510881989131e-01       2.899850251883e+01 
       4.710139185330e-01       2.625514014009e+01 
       4.930166819154e-01       2.362737553566e+01 
       5.176846854199e-01       2.109692819134e+01 
       5.459001857648e-01       1.864133012403e+01 
       5.790600721600e-01       1.623433963013e+01 
       6.195287910085e-01       1.384359928283e+01 
       6.716452524915e-01       1.142945460824e+01 
       7.440999137206e-01       8.947854163648e+00 
       8.550987489994e-01       6.397898009910e+00 
       1.035068184364e+00       4.014073669574e+00 
       1.296446554120e+00       2.299709036133e+00 
       1.631912252797e+00       1.291639051657e+00 
       2.054454315834e+00       7.201743691880e-01 
       2.586404743934e+00       3.990090647455e-01 
       3.256090657324e+00       2.197940544083e-01 
       4.099175271610e+00       1.204348248410e-01 
       5.160555916828e+00       6.567194695339e-02 
       6.496754982680e+00       3.565053993921e-02 
       8.178929941896e+00       1.927335508940e-02 
       1.029666274514e+01       1.037962648321e-02 
