# Matter power spectrum P(k) at redshift z=0.5
# for k=0.000132588 to 10.5436 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.325882767716e-04       2.530826281827e+02 
       1.669187509338e-04       4.736575714939e+02 
       2.101382572555e-04       7.377629501071e+02 
       2.645483920490e-04       1.048762068928e+03 
       3.330466933998e-04       1.417242464877e+03 
       4.192809456350e-04       1.858773062985e+03 
       5.278434371410e-04       2.393035586648e+03 
       6.645155164656e-04       3.043566668645e+03 
       8.365754702101e-04       3.837672840860e+03 
       1.053186118331e-03       4.806138178697e+03 
       1.325882767716e-03       5.982190141751e+03 
       1.669187509338e-03       7.399207248029e+03 
       2.101382572555e-03       9.086787681897e+03 
       2.645483920490e-03       1.106447097815e+04 
       3.330466933998e-03       1.333294003489e+04 
       4.192809456350e-03       1.586181780685e+04 
       5.278434371410e-03       1.857416496913e+04 
       6.645155164656e-03       2.132917649176e+04 
       8.365754702101e-03       2.390363438037e+04 
       1.053186118331e-02       2.597862604131e+04 
       1.325882767715e-02       2.714653547620e+04 
       1.669187503613e-02       2.697502476196e+04 
       2.101377172400e-02       2.518694307934e+04 
       2.644593879709e-02       2.197891593546e+04 
       3.295879912877e-02       1.839238596858e+04 
       3.871446864625e-02       1.609384259842e+04 
       4.285015595192e-02       1.492673175507e+04 
       4.621745070234e-02       1.418310664489e+04 
       4.920380962505e-02       1.361207983308e+04 
       5.197830149813e-02       1.311091806611e+04 
       5.462888456385e-02       1.262875740598e+04 
       5.720765472392e-02       1.213871511024e+04 
       5.974851789842e-02       1.162782049357e+04 
       6.227519629714e-02       1.109257665219e+04 
       6.480528249904e-02       1.053647781333e+04 
       6.735247340887e-02       9.968171108844e+03 
       6.992788521284e-02       9.399762438811e+03 
       7.254086928693e-02       8.845117529911e+03 
       7.519954063703e-02       8.318172095178e+03 
       7.791113244952e-02       7.831346840734e+03 
       8.068224101650e-02       7.394179634859e+03 
       8.351899904623e-02       7.012267353025e+03 
       8.642720071288e-02       6.686574296764e+03 
       8.941239328073e-02       6.413137257945e+03 
       9.247994501171e-02       6.183210249518e+03 
       9.563509589007e-02       5.983929984063e+03 
       9.888299568140e-02       5.799615579303e+03 
       1.022287325383e-01       5.613776602899e+03 
       1.056773545068e-01       5.411732920348e+03 
       1.092338857187e-01       5.183455743478e+03 
       1.129033386757e-01       4.925932195872e+03 
       1.166907237786e-01       4.644223495720e+03 
       1.206010570910e-01       4.350606240989e+03 
       1.246393672139e-01       4.061757862043e+03 
       1.288107020861e-01       3.794650581134e+03 
       1.331201364739e-01       3.562286302685e+03 
       1.375727808938e-01       3.370412932741e+03 
       1.421737926896e-01       3.216009845741e+03 
       1.469283899772e-01       3.087946551382e+03 
       1.518418691615e-01       2.969949589927e+03 
       1.569196267264e-01       2.845576788073e+03 
       1.621671859985e-01       2.703963392282e+03 
       1.675902295993e-01       2.544026761945e+03 
       1.731946383200e-01       2.374751198828e+03 
       1.789865372017e-01       2.210890293544e+03 
       1.849723496796e-01       2.066030655028e+03 
       1.911588607619e-01       1.946455963324e+03 
       1.975532903918e-01       1.848666933661e+03 
       2.041633783757e-01       1.761638432955e+03 
       2.109974825975e-01       1.672944454659e+03 
       2.180646926864e-01       1.575788567578e+03 
       2.253749619025e-01       1.472589830791e+03 
       2.329392608009e-01       1.372359744856e+03 
       2.407697572804e-01       1.283681866424e+03 
       2.488800290125e-01       1.208606478636e+03 
       2.572853160943e-01       1.141895284273e+03 
       2.660028242473e-01       1.075947738447e+03 
       2.750520922383e-01       1.007308078435e+03 
       2.844554418010e-01       9.389215736684e+02 
       2.942385347202e-01       8.760666722666e+02 
       3.044310707332e-01       8.204801799880e+02 
       3.150676727707e-01       7.690376835488e+02 
       3.261890247765e-01       7.180540846924e+02 
       3.378433550866e-01       6.676165356458e+02 
       3.500884002893e-01       6.203774002952e+02 
       3.629940492991e-01       5.770569155760e+02 
       3.766459699825e-01       5.356672407662e+02 
       3.911506875142e-01       4.951540515254e+02 
       4.066428631512e-01       4.566147248776e+02 
       4.232960063152e-01       4.202860262345e+02 
       4.413387239230e-01       3.850734159419e+02 
       4.610802462864e-01       3.510048344833e+02 
       4.829521921333e-01       3.182162987554e+02 
       5.075802486865e-01       2.860916211364e+02 
       5.359143242486e-01       2.545578058648e+02 
       5.694810524895e-01       2.231470969258e+02 
       6.109123017587e-01       1.914190045644e+02 
       6.651417597621e-01       1.586987040175e+02 
       7.422376803438e-01       1.242874622740e+02 
       8.630121249138e-01       8.841789836447e+01 
       1.056973454747e+00       5.549759352775e+01 
       1.327420082205e+00       3.256456585726e+01 
       1.671049890202e+00       1.882300409420e+01 
       2.103726839690e+00       1.078598400079e+01 
       2.648435177737e+00       6.132831829658e+00 
       3.334182346743e+00       3.462627193707e+00 
       4.197486883870e+00       1.942538845739e+00 
       5.284322903777e+00       1.083418028089e+00 
       6.652568387691e+00       6.010335454326e-01 
       8.375087396962e+00       3.317916167116e-01 
       1.054361035003e+01       1.823306746420e-01 
