# Matter power spectrum P(k) at redshift z=0
# for k=0.000135576 to 10.7823 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.355756215688e-04       4.213767722923e+02 
       1.706795952128e-04       7.797014732640e+02 
       2.148728796881e-04       1.200668346731e+03 
       2.705089285447e-04       1.687354875163e+03 
       3.405505642622e-04       2.254082828919e+03 
       4.287277593505e-04       2.922211734771e+03 
       5.397362709879e-04       3.718352698681e+03 
       6.794877072137e-04       4.673600415550e+03 
       8.554243416131e-04       5.823027573441e+03 
       1.076915441524e-03       7.204712417387e+03 
       1.355756215688e-03       8.857579945505e+03 
       1.706795952128e-03       1.081776378309e+04 
       2.148728796881e-03       1.311274890657e+04 
       2.705089285447e-03       1.575231066096e+04 
       3.405505642622e-03       1.871671668882e+04 
       4.287277593505e-03       2.187293877960e+04 
       5.397362709879e-03       2.519720255564e+04 
       6.794877072137e-03       2.843461470664e+04 
       8.554243416131e-03       3.126839922043e+04 
       1.076915441524e-02       3.328418891199e+04 
       1.355756215650e-02       3.400382518112e+04 
       1.706795834550e-02       3.299029462259e+04 
       2.148677565930e-02       3.012091383073e+04 
       2.700589744721e-02       2.595449179737e+04 
       3.307850923587e-02       2.211271702708e+04 
       3.768957110122e-02       1.998614994446e+04 
       4.116448128688e-02       1.875054659469e+04 
       4.411669657713e-02       1.786001126494e+04 
       4.679482101195e-02       1.712275007585e+04 
       4.931612628707e-02       1.645082359424e+04 
       5.174537136908e-02       1.580066956858e+04 
       5.412258874511e-02       1.514922116273e+04 
       5.647468958750e-02       1.448735869591e+04 
       5.882099327990e-02       1.381332605182e+04 
       6.117613595760e-02       1.313328189219e+04 
       6.355172118022e-02       1.245641853543e+04 
       6.595731457627e-02       1.179619455886e+04 
       6.840107282414e-02       1.116418368590e+04 
       7.089015742050e-02       1.057306240410e+04 
       7.343101589126e-02       1.003248723642e+04 
       7.602957812929e-02       9.549270292298e+03 
       7.869139653445e-02       9.125129719336e+03 
       8.142174783044e-02       8.757345537514e+03 
       8.422570805927e-02       8.438585502796e+03 
       8.710820836941e-02       8.156974273322e+03 
       9.007407678140e-02       7.897529469837e+03 
       9.312806955643e-02       7.645195019411e+03 
       9.627489477771e-02       7.384459706490e+03 
       9.951923008377e-02       7.104297124760e+03 
       1.028657360471e-01       6.799629615162e+03 
       1.063190663936e-01       6.472901164228e+03 
       1.098838760632e-01       6.134386999106e+03 
       1.135648279800e-01       5.797990446812e+03 
       1.173665993198e-01       5.480794920391e+03 
       1.212938880087e-01       5.195857233161e+03 
       1.253514201532e-01       4.950557820193e+03 
       1.295439590828e-01       4.744325749707e+03 
       1.338763166715e-01       4.568568494526e+03 
       1.383533675971e-01       4.408752854483e+03 
       1.429800671904e-01       4.249296234960e+03 
       1.477614735245e-01       4.078913450915e+03 
       1.527027744001e-01       3.892828898732e+03 
       1.578093198940e-01       3.696789800029e+03 
       1.630866611719e-01       3.503863578350e+03 
       1.685405963149e-01       3.327999002693e+03 
       1.741772239976e-01       3.175504665274e+03 
       1.800030059804e-01       3.045038966628e+03 
       1.860248395646e-01       2.928934815407e+03 
       1.922501414152e-01       2.816397576172e+03 
       1.986869445070e-01       2.699636292437e+03 
       2.053440104191e-01       2.577894955531e+03 
       2.122309598314e-01       2.457933937065e+03 
       2.193584249019e-01       2.347147631797e+03 
       2.267382282987e-01       2.249362823738e+03 
       2.343835951135e-01       2.161701898182e+03 
       2.423094058213e-01       2.077431681954e+03 
       2.505325010585e-01       1.992839821397e+03 
       2.590720525456e-01       1.908745052550e+03 
       2.679500193696e-01       1.829043546946e+03 
       2.771917156729e-01       1.756059583786e+03 
       2.868265254779e-01       1.688130795900e+03 
       2.968888143235e-01       1.622174394364e+03 
       3.074191078354e-01       1.557314714471e+03 
       3.184656378999e-01       1.495275772177e+03 
       3.300864037049e-01       1.436740774694e+03 
       3.423519676316e-01       1.380614719602e+03 
       3.553493223499e-01       1.326002350809e+03 
       3.691873569996e-01       1.272875713460e+03 
       3.840047755695e-01       1.221578421913e+03 
       3.999818926359e-01       1.171535997953e+03 
       4.173587785557e-01       1.122164479962e+03 
       4.364642306204e-01       1.073397655383e+03 
       4.577640860452e-01       1.024625645002e+03 
       4.819460204934e-01       9.752390097587e+02 
       5.100776441882e-01       9.244239295524e+02 
       5.439227793679e-01       8.708784200395e+02 
       5.866259758146e-01       8.126278829484e+02 
       6.443052009664e-01       7.463542403576e+02 
       7.297399361933e-01       6.667152564291e+02 
       8.674508258754e-01       5.682944853206e+02 
       1.078820500566e+00       4.591560214508e+02 
       1.357414771300e+00       3.585606193722e+02 
       1.708875184525e+00       2.713906981092e+02 
       2.151346376697e+00       1.983844568581e+02 
       2.708384623190e+00       1.400614245110e+02 
       3.409654227046e+00       9.580806162596e+01 
       4.292500351860e+00       6.377970992205e+01 
       5.403937773092e+00       4.151076233097e+01 
       6.803154586300e+00       2.652848192253e+01 
       8.564664189057e+00       1.671044367786e+01 
       1.078227339109e+01       1.040815638931e+01 
