# Matter power spectrum P(k) at redshift z=1
# for k=0.00017663 to 11.1599 h/Mpc,
# number of wavenumbers equal to 110
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.766304548709e-04       8.514952323931e+01 
       2.223645681337e-04       1.576409614418e+02 
       2.799404055062e-04       2.428963650402e+02 
       3.524240902797e-04       3.415875459033e+02 
       4.436756429816e-04       4.566926421574e+02 
       5.585545415436e-04       5.926658386654e+02 
       7.031785062223e-04       7.551049875898e+02 
       8.852492905107e-04       9.506357775459e+02 
       1.114462827597e-03       1.186872636117e+03 
       1.403025574161e-03       1.472324114250e+03 
       1.766304548709e-03       1.816121609162e+03 
       2.223645681337e-03       2.227532534289e+03 
       2.799404055062e-03       2.714833583828e+03 
       3.524240902797e-03       3.283731687171e+03 
       4.436756429816e-03       3.934978968745e+03 
       5.585545415436e-03       4.660923702246e+03 
       7.031785062223e-03       5.441004096420e+03 
       8.852492905107e-03       6.236376998124e+03 
       1.114462827597e-02       6.983235047465e+03 
       1.403025574161e-02       7.590113468347e+03 
       1.766304548543e-02       7.938309620971e+03 
       2.223645298454e-02       7.908269001123e+03 
       2.799273013795e-02       7.438180991681e+03 
       3.514800574140e-02       6.624051291082e+03 
       4.268777334112e-02       5.843622640988e+03 
       4.823419877713e-02       5.398584099058e+03 
       5.249711391057e-02       5.123288805087e+03 
       5.616162681693e-02       4.918077897708e+03 
       5.950722393423e-02       4.744531271030e+03 
       6.266906915835e-02       4.584436504229e+03 
       6.572315590409e-02       4.427640226198e+03 
       6.871707934992e-02       4.268872226800e+03 
       7.168315710203e-02       4.105384070189e+03 
       7.464477811549e-02       3.936708316499e+03 
       7.761978165932e-02       3.763529121972e+03 
       8.062239261523e-02       3.588247674647e+03 
       8.366439619861e-02       3.413787755044e+03 
       8.675588525328e-02       3.243543775318e+03 
       8.990575426880e-02       3.080983564701e+03 
       9.312203649604e-02       2.929214051021e+03 
       9.641214010473e-02       2.790560598963e+03 
       9.978301720370e-02       2.666431342407e+03 
       1.032412869031e-01       2.556922583410e+03 
       1.067933261023e-01       2.460838582035e+03 
       1.104453371003e-01       2.375711849779e+03 
       1.142033982441e-01       2.298070520053e+03 
       1.180735019767e-01       2.223648671598e+03 
       1.220615834418e-01       2.148165793054e+03 
       1.261735419972e-01       2.068035237412e+03 
       1.304152574619e-01       1.980946351954e+03 
       1.347926025641e-01       1.886625432176e+03 
       1.393114528242e-01       1.786995976590e+03 
       1.439776949538e-01       1.685631034443e+03 
       1.487972347518e-01       1.587202492033e+03 
       1.537760054162e-01       1.496163139294e+03 
       1.589199771532e-01       1.415798719011e+03 
       1.642351689384e-01       1.347063692957e+03 
       1.697276632702e-01       1.288515892023e+03 
       1.754036247453e-01       1.236505166598e+03 
       1.812693232787e-01       1.186614944283e+03 
       1.873311627893e-01       1.134196849599e+03 
       1.935957161793e-01       1.076688483205e+03 
       2.000697674560e-01       1.014726720936e+03 
       2.067603618838e-01       9.518960264197e+02 
       2.136748651283e-01       8.925678466207e+02 
       2.208210324669e-01       8.400117921625e+02 
       2.282070893080e-01       7.951993185741e+02 
       2.358418245087e-01       7.564816101071e+02 
       2.437346983157e-01       7.201526677200e+02 
       2.518959672199e-01       6.827507331597e+02 
       2.603368286281e-01       6.430615782453e+02 
       2.690695890818e-01       6.025260699996e+02 
       2.781078608345e-01       5.641377998857e+02 
       2.874667930386e-01       5.302850767526e+02 
       2.971633456971e-01       5.006833407409e+02 
       3.072166170845e-01       4.731659085666e+02 
       3.176482387743e-01       4.454988279966e+02 
       3.284828570950e-01       4.172623071015e+02 
       3.397487262932e-01       3.899538937881e+02 
       3.514784477257e-01       3.650689874037e+02 
       3.637099022430e-01       3.426136336525e+02 
       3.764874414686e-01       3.211522409034e+02 
       3.898634309296e-01       2.998233260670e+02 
       4.039002788191e-01       2.791340833214e+02 
       4.186731466396e-01       2.599021118021e+02 
       4.342736357841e-01       2.419357209563e+02 
       4.508149012238e-01       2.245230493295e+02 
       4.684389031202e-01       2.075715667387e+02 
       4.873269501361e-01       1.915196010012e+02 
       5.077154714172e-01       1.761933279542e+02 
       5.299203961032e-01       1.612208790629e+02 
       5.543762984316e-01       1.467793123144e+02 
       5.817021102878e-01       1.327219185255e+02 
       6.128173624732e-01       1.188729180218e+02 
       6.491609000505e-01       1.051551339573e+02 
       6.931330748672e-01       9.134246691643e+01 
       7.490634359000e-01       7.718761998064e+01 
       8.254782829436e-01       6.236464398432e+01 
       9.402509678190e-01       4.667577129688e+01 
       1.126138797827e+00       3.101505590286e+01 
       1.405390230946e+00       1.858037769193e+01 
       1.768728457660e+00       1.079628904762e+01 
       2.226691945566e+00       6.205437720845e+00 
       2.803239065915e+00       3.534338035771e+00 
       3.529068895413e+00       1.996550363062e+00 
       4.442834512408e+00       1.119443227205e+00 
       5.593197268066e+00       6.234223857793e-01 
       7.041418173946e+00       3.450521885643e-01 
       8.864620274250e+00       1.899072291645e-01 
       1.115989572916e+01       1.039819406690e-01 
