# Matter power spectrum P(k) at redshift z=2.5
# for k=0.00017663 to 11.1599 h/Mpc,
# number of wavenumbers equal to 110
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.766304548709e-04       2.908472557475e+01 
       2.223645681337e-04       5.384749343785e+01 
       2.799404055062e-04       8.297315865936e+01 
       3.524240902797e-04       1.166943491062e+02 
       4.436756429816e-04       1.560330903782e+02 
       5.585545415436e-04       2.025191296791e+02 
       7.031785062223e-04       2.580751098861e+02 
       8.852492905107e-04       3.249742008036e+02 
       1.114462827597e-03       4.058190903503e+02 
       1.403025574161e-03       5.035049301579e+02 
       1.766304548709e-03       6.211412750692e+02 
       2.223645681337e-03       7.619034311728e+02 
       2.799404055062e-03       9.286240401297e+02 
       3.524240902797e-03       1.123253772549e+03 
       4.436756429816e-03       1.346050720809e+03 
       5.585545415436e-03       1.594397868615e+03 
       7.031785062223e-03       1.861267059467e+03 
       8.852492905107e-03       2.133414494701e+03 
       1.114462827597e-02       2.388934027943e+03 
       1.403025574161e-02       2.596464750622e+03 
       1.766304548543e-02       2.715636644810e+03 
       2.223645298454e-02       2.705363036259e+03 
       2.799273013795e-02       2.544510698520e+03 
       3.514800574140e-02       2.266006486134e+03 
       4.268777334112e-02       1.999030636080e+03 
       4.823419877713e-02       1.846792957368e+03 
       5.249711391057e-02       1.752606359668e+03 
       5.616162681693e-02       1.682409553555e+03 
       5.950722393423e-02       1.623055072760e+03 
       6.266906915835e-02       1.568271382293e+03 
       6.572315590409e-02       1.514662597434e+03 
       6.871707934992e-02       1.460351031719e+03 
       7.168315710203e-02       1.404430739760e+03 
       7.464477811549e-02       1.346694408565e+03 
       7.761978165932e-02       1.287475055276e+03 
       8.062239261523e-02       1.227511850899e+03 
       8.366439619861e-02       1.167825015877e+03 
       8.675588525328e-02       1.109584684676e+03 
       8.990575426880e-02       1.053974165667e+03 
       9.312203649604e-02       1.002049833278e+03 
       9.641214010473e-02       9.546233090285e+02 
       9.978301720370e-02       9.121584386140e+02 
       1.032412869031e-01       8.746956956562e+02 
       1.067933261023e-01       8.418265877361e+02 
       1.104453371003e-01       8.127125092570e+02 
       1.142033982441e-01       7.861461566651e+02 
       1.180735019767e-01       7.606894792271e+02 
       1.220615834418e-01       7.348738412652e+02 
       1.261735419972e-01       7.074525744857e+02 
       1.304152574619e-01       6.776600715285e+02 
       1.347926025641e-01       6.454003783991e+02 
       1.393114528242e-01       6.113092720597e+02 
       1.439776949538e-01       5.766350596300e+02 
       1.487972347518e-01       5.429603175256e+02 
       1.537760054162e-01       5.118247126290e+02 
       1.589199771532e-01       4.843263093393e+02 
       1.642351689384e-01       4.608159798379e+02 
       1.697276632702e-01       4.407909644025e+02 
       1.754036247453e-01       4.230013577839e+02 
       1.812693232787e-01       4.059306326296e+02 
       1.873311627893e-01       3.880015961485e+02 
       1.935957161793e-01       3.683225309250e+02 
       2.000697674560e-01       3.471275132464e+02 
       2.067603618838e-01       3.256307707063e+02 
       2.136748651283e-01       3.053388185103e+02 
       2.208210324669e-01       2.873586153056e+02 
       2.282070893080e-01       2.720301043307e+02 
       2.358418245087e-01       2.587833756954e+02 
       2.437346983157e-01       2.463562369118e+02 
       2.518959672199e-01       2.335619393375e+02 
       2.603368286281e-01       2.199878596646e+02 
       2.690695890818e-01       2.061169531740e+02 
       2.781078608345e-01       1.929873696873e+02 
       2.874667930386e-01       1.814045292047e+02 
       2.971633456971e-01       1.712775339114e+02 
       3.072166170845e-01       1.618645331718e+02 
       3.176482387743e-01       1.524025124792e+02 
       3.284828570950e-01       1.427396017972e+02 
       3.397487262932e-01       1.333986824796e+02 
       3.514784477257e-01       1.248856485249e+02 
       3.637099022430e-01       1.172058444398e+02 
       3.764874414686e-01       1.098626316065e+02 
       3.898634309296e-01       1.025673866709e+02 
       4.039002788191e-01       9.548828690828e+01 
       4.186731466396e-01       8.890961851527e+01 
       4.342736357841e-01       8.276455715279e+01 
       4.508149012238e-01       7.680758320351e+01 
       4.684389031202e-01       7.100759736350e+01 
       4.873269501361e-01       6.551681455898e+01 
       5.077154714172e-01       6.027416206050e+01 
       5.299203961032e-01       5.515213257133e+01 
       5.543762984316e-01       5.021190030373e+01 
       5.817021102878e-01       4.540279467920e+01 
       6.128173624732e-01       4.066518730552e+01 
       6.491609000505e-01       3.597260286159e+01 
       6.931330748672e-01       3.124768750823e+01 
       7.490634359000e-01       2.640504467978e+01 
       8.254782829436e-01       2.133456623550e+01 
       9.402509678190e-01       1.596743641916e+01 
       1.126138797827e+00       1.061002226421e+01 
       1.405390230946e+00       6.356198133664e+00 
       1.768728457660e+00       3.693299529030e+00 
       2.226691945566e+00       2.122836593554e+00 
       2.803239065915e+00       1.209079214575e+00 
       3.529068895413e+00       6.829946128227e-01 
       4.442834512408e+00       3.829485330322e-01 
       5.593197268066e+00       2.132671016587e-01 
       7.041418173946e+00       1.180415004837e-01 
       8.864620274250e+00       6.496748972951e-02 
       1.115989572916e+01       3.557298630183e-02 
