# Matter power spectrum P(k) at redshift z=0.5
# for k=4.85674e-05 to 12.2152 h/Mpc,
# number of wavenumbers equal to 116
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.856736181436e-05       5.565172907429e+01 
       6.114268597190e-05       1.033983932978e+02 
       7.697408111538e-05       1.599099667706e+02 
       9.690462676566e-05       2.257678913031e+02 
       1.219956971557e-04       3.031351954972e+02 
       1.535834832789e-04       3.952705693021e+02 
       1.933501499316e-04       5.063920024392e+02 
       2.434134171232e-04       6.417199489721e+02 
       3.064393363880e-04       8.076256583408e+02 
       3.857842677522e-04       1.011839646064e+03 
       4.856736181436e-04       1.263689798988e+03 
       6.114268597190e-04       1.574339434330e+03 
       7.697408111538e-04       1.956990740676e+03 
       9.690462676566e-04       2.427006935063e+03 
       1.219956971557e-03       3.001854317875e+03 
       1.535834832789e-03       3.700637077255e+03 
       1.933501499316e-03       4.542917322668e+03 
       2.434134171232e-03       5.546682877935e+03 
       3.064393363880e-03       6.725163042202e+03 
       3.857842677522e-03       8.081932922661e+03 
       4.856736181436e-03       9.604473136932e+03 
       6.114268597190e-03       1.125568610250e+04 
       7.697408111538e-03       1.296467194668e+04 
       9.690462676566e-03       1.461663352734e+04 
       1.219956971557e-02       1.604617521966e+04 
       1.535834832789e-02       1.703729804487e+04 
       1.933501496988e-02       1.734872469639e+04 
       2.434131312608e-02       1.679117516859e+04 
       3.063809324429e-02       1.536872673789e+04 
       3.830515273796e-02       1.347389313516e+04 
       4.547650181022e-02       1.200332452809e+04 
       5.060726524406e-02       1.117083106635e+04 
       5.471776158755e-02       1.060207649390e+04 
       5.833222297934e-02       1.014562747224e+04 
       6.167395303394e-02       9.740642653869e+03 
       6.485670918382e-02       9.358684812873e+03 
       6.794686656050e-02       8.984509025602e+03 
       7.098714579674e-02       8.611131398996e+03 
       7.400717575690e-02       8.235950369254e+03 
       7.702877219907e-02       7.860194488571e+03 
       8.006881723947e-02       7.487274267408e+03 
       8.314094078381e-02       7.121881689141e+03 
       8.625655713032e-02       6.769382514242e+03 
       8.942553281682e-02       6.435234456312e+03 
       9.265663275834e-02       6.123633807445e+03 
       9.595782733400e-02       5.837912817315e+03 
       9.933650904329e-02       5.579279273765e+03 
       1.027996484618e-01       5.346807109046e+03 
       1.063539083013e-01       5.137649114197e+03 
       1.100057278342e-01       4.946757029649e+03 
       1.137613859022e-01       4.767867460439e+03 
       1.176270481730e-01       4.594050927861e+03 
       1.216088026538e-01       4.418736939177e+03 
       1.257126863918e-01       4.236874476860e+03 
       1.299447055680e-01       4.045892353016e+03 
       1.343108507164e-01       3.846586031501e+03 
       1.388171084805e-01       3.642551189446e+03 
       1.434694711088e-01       3.440063011376e+03 
       1.482739447548e-01       3.246397054778e+03 
       1.532365575603e-01       3.067578095624e+03 
       1.583633684420e-01       2.907406949272e+03 
       1.636604774733e-01       2.766037721030e+03 
       1.691340387247e-01       2.640192430543e+03 
       1.747902764182e-01       2.523852151159e+03 
       1.806355052363e-01       2.410021352941e+03 
       1.866761556249e-01       2.293265830331e+03 
       1.929188049275e-01       2.171667698942e+03 
       1.993702151989e-01       2.046881309626e+03 
       2.060373785745e-01       1.924080000533e+03 
       2.129275711194e-01       1.809208721339e+03 
       2.200484161672e-01       1.706130241482e+03 
       2.274079582901e-01       1.614381539740e+03 
       2.350147492370e-01       1.530356252011e+03 
       2.428779474500e-01       1.449878638985e+03 
       2.510074331533e-01       1.369761695203e+03 
       2.594139415218e-01       1.289075202249e+03 
       2.681092171265e-01       1.210024088921e+03 
       2.771061937670e-01       1.135967973336e+03 
       2.864192050046e-01       1.068353134401e+03 
       2.960642323128e-01       1.006518578943e+03 
       3.060591998796e-01       9.479679230194e+02 
       3.164243279459e-01       8.905229611994e+02 
       3.271825604088e-01       8.345356433027e+02 
       3.383600876868e-01       7.813123011253e+02 
       3.499869931350e-01       7.318385111658e+02 
       3.620980615564e-01       6.857090611438e+02 
       3.747338029895e-01       6.415782250318e+02 
       3.879417662053e-01       5.989606375882e+02 
       4.017782477481e-01       5.583330351512e+02 
       4.163105497143e-01       5.201282873751e+02 
       4.316200124100e-01       4.838479966039e+02 
       4.478061631330e-01       4.490601810759e+02 
       4.649925087825e-01       4.158194103521e+02 
       4.833348110677e-01       3.840917788773e+02 
       5.030332194169e-01       3.537146073995e+02 
       5.243505963804e-01       3.244517047653e+02 
       5.476411612586e-01       2.962473260115e+02 
       5.733970832673e-01       2.689094495434e+02 
       6.023279001997e-01       2.422271273890e+02 
       6.355035576254e-01       2.159907604171e+02 
       6.746292946826e-01       1.898941916694e+02 
       7.226149178459e-01       1.635494010842e+02 
       7.848509045642e-01       1.364241645013e+02 
       8.722277659687e-01       1.079170260606e+02 
       1.007469947549e+00       7.800286185992e+01 
       1.226153553461e+00       4.971905016169e+01 
       1.537925570348e+00       2.927243481645e+01 
       1.935975151481e+00       1.691402181735e+01 
       2.437247409206e+00       9.680895425157e+00 
       3.068312697479e+00       5.494319423849e+00 
       3.862776826186e+00       3.094780932150e+00 
       4.862947906576e+00       1.731175474081e+00 
       6.122088695819e+00       9.623742570369e-01 
       7.707253032425e+00       5.319425413982e-01 
       9.702856697647e+00       2.924745482136e-01 
       1.221517286367e+01       1.600444090509e-01 
