# Matter power spectrum P(k) at redshift z=2
# for k=6.34483e-05 to 10.0695 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.344831375074e-05       7.414141340089e+02 
       7.987669451630e-05       4.837550632629e+02 
       1.005588005367e-04       3.474853214086e+02 
       1.265960293752e-04       2.770984445174e+02 
       1.593749584126e-04       2.448430070141e+02 
       2.006411851493e-04       2.369730781483e+02 
       2.525922866370e-04       2.469425593055e+02 
       3.179948484705e-04       2.720403919657e+02 
       4.003317955591e-04       3.117327714905e+02 
       5.039878705786e-04       3.668505079454e+02 
       6.344831375074e-04       4.391876211882e+02 
       7.987669451630e-04       5.312859426260e+02 
       1.005588005367e-03       6.462834069012e+02 
       1.265960293752e-03       7.877574899854e+02 
       1.593749584126e-03       9.595120378239e+02 
       2.006411851493e-03       1.165208998796e+03 
       2.525922866370e-03       1.407683282979e+03 
       3.179948484705e-03       1.687998265766e+03 
       4.003317955591e-03       2.004225850724e+03 
       5.039878705786e-03       2.349929041277e+03 
       6.344831375074e-03       2.710661787971e+03 
       7.987669451630e-03       3.068732473028e+03 
       1.005588005367e-02       3.393237267762e+03 
       1.265960293752e-02       3.644836871249e+03 
       1.593749584126e-02       3.776693818271e+03 
       2.006411851327e-02       3.740759227748e+03 
       2.525922471227e-02       3.504755439879e+03 
       3.179809765621e-02       3.082044611424e+03 
       3.993113085367e-02       2.566136011021e+03 
       4.854379254427e-02       2.151683095870e+03 
       5.489731858248e-02       1.936821376419e+03 
       5.977035623217e-02       1.809113173112e+03 
       6.395431367518e-02       1.714825578868e+03 
       6.777163860077e-02       1.635004465337e+03 
       7.137786492588e-02       1.561292777778e+03 
       7.486027492688e-02       1.489609106101e+03 
       7.827345940145e-02       1.418084613193e+03 
       8.165444704451e-02       1.346142318948e+03 
       8.503001353707e-02       1.274044310588e+03 
       8.842056674116e-02       1.202599818914e+03 
       9.184236980216e-02       1.132953043269e+03 
       9.530888952750e-02       1.066352369244e+03 
       9.883165361567e-02       1.003993833404e+03 
       1.024208170556e-01       9.468662307791e+02 
       1.060855484706e-01       8.956225555694e+02 
       1.098343006661e-01       8.504938194998e+02 
       1.136750042084e-01       8.112526579160e+02 
       1.176152083363e-01       7.772065196561e+02 
       1.216621848990e-01       7.472572726619e+02 
       1.258230057522e-01       7.200070447998e+02 
       1.301046007313e-01       6.939122631966e+02 
       1.345138012038e-01       6.675073809723e+02 
       1.390573728089e-01       6.396505033255e+02 
       1.437420400834e-01       6.097148202968e+02 
       1.485745050546e-01       5.777699542059e+02 
       1.535614614823e-01       5.445639667581e+02 
       1.587096061579e-01       5.113726650707e+02 
       1.640256484931e-01       4.796855405212e+02 
       1.695163195215e-01       4.508098748485e+02 
       1.751883813577e-01       4.255699403239e+02 
       1.810486381206e-01       4.040758572996e+02 
       1.871039492954e-01       3.857147248158e+02 
       1.933612464926e-01       3.693077015247e+02 
       1.998275545483e-01       3.534497748197e+02 
       2.065100179060e-01       3.369656147867e+02 
       2.134159332127e-01       3.193226793204e+02 
       2.205527890760e-01       3.008018200116e+02 
       2.279283139459e-01       2.823153541745e+02 
       2.355505331355e-01       2.650360533855e+02 
       2.434278360731e-01       2.497761789027e+02 
       2.515690550088e-01       2.365986759918e+02 
       2.599835565877e-01       2.248611610448e+02 
       2.686813479835e-01       2.137700611078e+02 
       2.776731996659e-01       2.027026187440e+02 
       2.869707874013e-01       1.913849100986e+02 
       2.965868567875e-01       1.801226078400e+02 
       3.065354145558e-01       1.695491446263e+02 
       3.168319521037e-01       1.600129693502e+02 
       3.274937083566e-01       1.514445293359e+02 
       3.385399812154e-01       1.434483154018e+02 
       3.499924997421e-01       1.355903439766e+02 
       3.618758731318e-01       1.278598296183e+02 
       3.742181378281e-01       1.204773570341e+02 
       3.870514314710e-01       1.136358054513e+02 
       4.004128326159e-01       1.073274501661e+02 
       4.143454197213e-01       1.013167299549e+02 
       4.288996239218e-01       9.550037612130e+01 
       4.441349809804e-01       8.992555686745e+01 
       4.601224340650e-01       8.469930032211e+01 
       4.769474097355e-01       7.974417631764e+01 
       4.947140002506e-01       7.499558287726e+01 
       5.135507630981e-01       7.044731685856e+01 
       5.336189423359e-01       6.609399870084e+01 
       5.551244171202e-01       6.192894348185e+01 
       5.783355677327e-01       5.790773465667e+01 
       6.036108775920e-01       5.401501594233e+01 
       6.314432257169e-01       5.023137838452e+01 
       6.625341871966e-01       4.652029398195e+01 
       6.979253556430e-01       4.285000485939e+01 
       7.392451909238e-01       3.917433155928e+01 
       7.892075240540e-01       3.542937765503e+01 
       8.527011998995e-01       3.152478084655e+01 
       9.393416398328e-01       2.732803234787e+01 
       1.069280411777e+00       2.269089245684e+01 
       1.279654687413e+00       1.769614133720e+01 
       1.596447323967e+00       1.317807305552e+01 
       2.009140696917e+00       9.772360798852e+00 
       2.529351783513e+00       7.245325290587e+00 
       3.184265224701e+00       5.332590339356e+00 
       4.008752409267e+00       3.869471022744e+00 
       5.046720277617e+00       2.752507210745e+00 
       6.353444403709e+00       1.911462322327e+00 
       7.998512612251e+00       1.292578862073e+00 
       1.006953078412e+01       8.502201451391e-01 
