# Matter power spectrum P(k) at redshift z=1.5
# for k=0.000144167 to 11.4635 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.441667203043e-04       1.298457028157e+02 
       1.814951477261e-04       2.426366282724e+02 
       2.284888535897e-04       3.772472661382e+02 
       2.876504240958e-04       5.350992175424e+02 
       3.621304286076e-04       7.210946123650e+02 
       4.558951989580e-04       9.422833722448e+02 
       5.739380510832e-04       1.207143703034e+03 
       7.225451973042e-04       1.525054586206e+03 
       9.096305100561e-04       1.905748809502e+03 
       1.145156964453e-03       2.358532107263e+03 
       1.441667203043e-03       2.890855093439e+03 
       1.814951477261e-03       3.505970921179e+03 
       2.284888535897e-03       4.200137051889e+03 
       2.876504240958e-03       4.959387745954e+03 
       3.621304286076e-03       5.756208856546e+03 
       4.558951989580e-03       6.546342723602e+03 
       5.739380510832e-03       7.267727155808e+03 
       7.225451973042e-03       7.839645173513e+03 
       9.096305100561e-03       8.167109003636e+03 
       1.145156964453e-02       8.146711641033e+03 
       1.441667203041e-02       7.685122289817e+03 
       1.814951465940e-02       6.740167336764e+03 
       2.284879362370e-02       5.394809540430e+03 
       2.875168194516e-02       3.928771093847e+03 
       3.574766040656e-02       2.796377174770e+03 
       4.172985082961e-02       2.287946497600e+03 
       4.605413097733e-02       2.090892424120e+03 
       4.960660222122e-02       1.986606811167e+03 
       5.277209137786e-02       1.911401424616e+03 
       5.572100997059e-02       1.841092280654e+03 
       5.854308064843e-02       1.764733760117e+03 
       6.129189947219e-02       1.677767193593e+03 
       6.400257221722e-02       1.579323205561e+03 
       6.669978477174e-02       1.471183342935e+03 
       6.940192058497e-02       1.356766798347e+03 
       7.212334276223e-02       1.240550609731e+03 
       7.487574354606e-02       1.127308359399e+03 
       7.766898476290e-02       1.021489407257e+03 
       8.051164381554e-02       9.268447375463e+02 
       8.341138093284e-02       8.459223181533e+02 
       8.637519339537e-02       7.800020584018e+02 
       8.940959573295e-02       7.291561559269e+02 
       9.252074992095e-02       6.921570931250e+02 
       9.571456087508e-02       6.668212067781e+02 
       9.899674728065e-02       6.498502954040e+02 
       1.023728945245e-01       6.373332811916e+02 
       1.058484944189e-01       6.249594940282e+02 
       1.094289750606e-01       6.086410061360e+02 
       1.131197232795e-01       5.852539124723e+02 
       1.169261015459e-01       5.534404878589e+02 
       1.208534608102e-01       5.140057268120e+02 
       1.249071504916e-01       4.697974349534e+02 
       1.290925266577e-01       4.249247656578e+02 
       1.334149593281e-01       3.836711720985e+02 
       1.378798397627e-01       3.493541620891e+02 
       1.424925885506e-01       3.236389009474e+02 
       1.472586652900e-01       3.062957554123e+02 
       1.521835806295e-01       2.953053292149e+02 
       1.572729114294e-01       2.873483166629e+02 
       1.625323197977e-01       2.786949880102e+02 
       1.679675767452e-01       2.664168482709e+02 
       1.735845912122e-01       2.493767285998e+02 
       1.793894452283e-01       2.288441920229e+02 
       1.853884359928e-01       2.078358393175e+02 
       1.915881257181e-01       1.894572226553e+02 
       1.979954001577e-01       1.753185072842e+02 
       2.046175368701e-01       1.652506140133e+02 
       2.114622844607e-01       1.578123967283e+02 
       2.185379543028e-01       1.507870911535e+02 
       2.258535266070e-01       1.422353846510e+02 
       2.334187731963e-01       1.318635399384e+02 
       2.412443999985e-01       1.209811020926e+02 
       2.493422131337e-01       1.112318965934e+02 
       2.577253136165e-01       1.035578194655e+02 
       2.664083272127e-01       9.755302545992e+01 
       2.754076780038e-01       9.192508840359e+01 
       2.847419169252e-01       8.585170495741e+01 
       2.944321202137e-01       7.934378437142e+01 
       3.045023777392e-01       7.318097831258e+01 
       3.149803981924e-01       6.795293105880e+01 
       3.258982679762e-01       6.343191152824e+01 
       3.372934147833e-01       5.905209286168e+01 
       3.492098474503e-01       5.459108217993e+01 
       3.616997742515e-01       5.036157079059e+01 
       3.748257481056e-01       4.653561538797e+01 
       3.886635588558e-01       4.300734873797e+01 
       4.033062065083e-01       3.961870916289e+01 
       4.188694746447e-01       3.633116564743e+01 
       4.354999344942e-01       3.327728793180e+01 
       4.533867508932e-01       3.041009735966e+01 
       4.727796372304e-01       2.763380566366e+01 
       4.940171452904e-01       2.499770193012e+01 
       5.175731150435e-01       2.247088995815e+01 
       5.441367245354e-01       2.001976012536e+01 
       5.747585486818e-01       1.763864311071e+01 
       6.111355356802e-01       1.529152290548e+01 
       6.562112546844e-01       1.294562059951e+01 
       7.155426215681e-01       1.055836076402e+01 
       8.005319430641e-01       8.088598210983e+00 
       9.345542772419e-01       5.579938377587e+00 
       1.148534172029e+00       3.382062071994e+00 
       1.443217213071e+00       1.927129310198e+00 
       1.816848747978e+00       1.084913723854e+00 
       2.287276844368e+00       6.065894575935e-01 
       2.879510943062e+00       3.370693601254e-01 
       3.625089499760e+00       1.862696993475e-01 
       4.563717291277e+00       1.024265050816e-01 
       5.745379670233e+00       5.607178297075e-02 
       7.233004467261e+00       3.057165228398e-02 
       9.105813127456e+00       1.660792063520e-02 
       1.146353954120e+01       8.991035079216e-03 
