# Matter power spectrum P(k) at redshift z=0
# for k=6.15603e-05 to 12.2954 h/Mpc,
# number of wavenumbers equal to 115
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.156027674506e-05       4.998780132588e+03 
       7.749979675143e-05       3.290850863081e+03 
       9.756646353926e-05       2.384465909475e+03 
       1.228289002885e-04       1.917850206003e+03 
       1.546324238759e-04       1.709290042128e+03 
       1.946706879047e-04       1.668931638463e+03 
       2.450758759346e-04       1.754729449479e+03 
       3.085322480318e-04       1.950485156295e+03 
       3.884190874053e-04       2.254935127766e+03 
       4.889906595604e-04       2.676332626665e+03 
       6.156027674506e-04       3.229702631266e+03 
       7.749979675143e-04       3.935291046039e+03 
       9.756646353926e-04       4.817304589549e+03 
       1.228289002885e-03       5.902145339776e+03 
       1.546324238759e-03       7.215499144779e+03 
       1.946706879047e-03       8.777919395832e+03 
       2.450758759346e-03       1.059825825510e+04 
       3.085322480318e-03       1.266531087707e+04 
       3.884190874053e-03       1.493763238347e+04 
       4.889906595604e-03       1.733204513012e+04 
       6.156027674506e-03       1.971315198346e+04 
       7.749979675143e-03       2.189097691504e+04 
       9.756646353926e-03       2.360894650793e+04 
       1.228289002885e-02       2.456705835453e+04 
       1.546324238756e-02       2.445234491713e+04 
       1.946706861766e-02       2.302556595059e+04 
       2.450745962423e-02       2.030157866988e+04 
       3.083590523089e-02       1.676411191578e+04 
       3.827708720306e-02       1.351482251610e+04 
       4.451858985529e-02       1.169413082379e+04 
       4.905096389562e-02       1.075503930260e+04 
       5.279369322889e-02       1.012361919808e+04 
       5.613784201022e-02       9.615085057292e+03 
       5.925813822832e-02       9.155386280839e+03 
       6.224722671709e-02       8.710923082061e+03 
       6.516072818039e-02       8.266334655290e+03 
       6.803521253489e-02       7.817938495103e+03 
       7.089647235695e-02       7.365905520334e+03 
       7.376376276994e-02       6.917088324184e+03 
       7.665215950346e-02       6.479094937398e+03 
       7.957395710362e-02       6.060868331374e+03 
       8.253954165093e-02       5.670538812215e+03 
       8.555795874464e-02       5.315170500059e+03 
       8.863729611643e-02       4.999259715690e+03 
       9.178494881901e-02       4.724482054297e+03 
       9.500780738422e-02       4.489276352279e+03 
       9.831239388076e-02       4.289341625924e+03 
       1.017049617697e-01       4.117238010951e+03 
       1.051915700009e-01       3.963408707102e+03 
       1.087781384010e-01       3.817844491321e+03 
       1.124704892468e-01       3.670335096090e+03 
       1.162743785143e-01       3.512986018499e+03 
       1.201955193739e-01       3.341340331364e+03 
       1.242395998879e-01       3.155321430688e+03 
       1.284122964612e-01       2.959357402402e+03 
       1.327192843224e-01       2.762019614350e+03 
       1.371662461359e-01       2.572947672873e+03 
       1.417588797283e-01       2.401040747380e+03 
       1.465029058422e-01       2.252077184726e+03 
       1.514040767790e-01       2.127210713212e+03 
       1.564681867684e-01       2.022933869712e+03 
       1.617010848824e-01       1.931890712182e+03 
       1.671086912976e-01       1.845245179617e+03 
       1.726970177043e-01       1.754807868250e+03 
       1.784721926557e-01       1.656732470629e+03 
       1.844404926524e-01       1.551840541131e+03 
       1.906083797728e-01       1.446226169667e+03 
       1.969825466866e-01       1.346786830101e+03 
       2.035699699477e-01       1.259234631742e+03 
       2.103779725501e-01       1.184720266026e+03 
       2.174142968708e-01       1.119575591280e+03 
       2.246871893259e-01       1.058564406754e+03 
       2.322054983525e-01       9.979444749063e+02 
       2.399787877162e-01       9.359313594399e+02 
       2.480174676780e-01       8.736357776308e+02 
       2.563329472508e-01       8.147137079571e+02 
       2.649378117106e-01       7.618566147189e+02 
       2.738460307548e-01       7.147153793799e+02 
       2.830732043337e-01       6.712802557542e+02 
       2.926368553467e-01       6.289939154187e+02 
       3.025567813161e-01       5.871926008593e+02 
       3.128554810994e-01       5.473196287121e+02 
       3.235586781305e-01       5.103352327464e+02 
       3.346959692267e-01       4.765087736255e+02 
       3.463016386447e-01       4.446460820396e+02 
       3.584156923382e-01       4.138979980233e+02 
       3.710851896281e-01       3.844883677209e+02 
       3.843659825701e-01       3.570492647389e+02 
       3.983250234333e-01       3.312550621436e+02 
       4.130434784052e-01       3.067301657861e+02 
       4.286210090389e-01       2.833530887509e+02 
       4.451817843450e-01       2.611876815952e+02 
       4.628831251732e-01       2.401559591737e+02 
       4.819282720025e-01       2.200738859306e+02 
       5.025858331405e-01       2.008134525068e+02 
       5.252204831609e-01       1.823570597864e+02 
       5.503434748828e-01       1.645288642405e+02 
       5.786999084812e-01       1.472115327563e+02 
       6.114284340612e-01       1.302368583633e+02 
       6.503739241223e-01       1.133954249214e+02 
       6.987485675159e-01       9.644142415106e+01 
       7.626421417109e-01       7.903876389429e+01 
       8.545891282946e-01       6.085850583600e+01 
       1.000129057163e+00       4.222233030634e+01 
       1.231529929953e+00       2.584049147695e+01 
       1.547941636495e+00       1.493674516729e+01 
       1.948697234766e+00       8.530406722286e+00 
       2.453264302167e+00       4.834917322476e+00 
       3.088476771760e+00       2.721645633414e+00 
       3.888161891705e+00       1.522607300578e+00 
       4.894905810637e+00       8.469483821581e-01 
       6.162321313350e+00       4.686865894282e-01 
       7.757902897018e+00       2.581138244806e-01 
       9.766621099287e+00       1.415223111676e-01 
       1.229544748926e+01       7.728141166115e-02 
